raman_shift_cm-1,intensity
2.000000000000000000e+02,4.020593999999999824e+01
2.010000000000000000e+02,4.020661700000000138e+01
2.020000000000000000e+02,4.020729800000000154e+01
2.030000000000000000e+02,4.020798299999999870e+01
2.040000000000000000e+02,4.020867100000000249e+01
2.050000000000000000e+02,4.020936400000000077e+01
2.060000000000000000e+02,4.021006100000000316e+01
2.070000000000000000e+02,4.021076200000000256e+01
2.080000000000000000e+02,4.021146699999999896e+01
2.090000000000000000e+02,4.021217599999999948e+01
2.100000000000000000e+02,4.021288899999999700e+01
2.110000000000000000e+02,4.021360599999999863e+01
2.120000000000000000e+02,4.021432800000000185e+01
2.130000000000000000e+02,4.021505299999999750e+01
2.140000000000000000e+02,4.021578300000000183e+01
2.150000000000000000e+02,4.021651800000000065e+01
2.160000000000000000e+02,4.021725599999999901e+01
2.170000000000000000e+02,4.021799899999999894e+01
2.180000000000000000e+02,4.021874700000000047e+01
2.190000000000000000e+02,4.021949899999999900e+01
2.200000000000000000e+02,4.022025500000000164e+01
2.210000000000000000e+02,4.022101700000000335e+01
2.220000000000000000e+02,4.022178199999999748e+01
2.230000000000000000e+02,4.022255299999999778e+01
2.240000000000000000e+02,4.022332699999999761e+01
2.250000000000000000e+02,4.022410699999999650e+01
2.260000000000000000e+02,4.022489199999999698e+01
2.270000000000000000e+02,4.022568100000000157e+01
2.280000000000000000e+02,4.022647500000000065e+01
2.290000000000000000e+02,4.022727400000000131e+01
2.300000000000000000e+02,4.022807799999999645e+01
2.310000000000000000e+02,4.022888700000000028e+01
2.320000000000000000e+02,4.022970099999999860e+01
2.330000000000000000e+02,4.023051999999999850e+01
2.340000000000000000e+02,4.023134399999999999e+01
2.350000000000000000e+02,4.023217300000000307e+01
2.360000000000000000e+02,4.023300799999999811e+01
2.370000000000000000e+02,4.023384800000000183e+01
2.380000000000000000e+02,4.023469300000000004e+01
2.390000000000000000e+02,4.023554299999999984e+01
2.400000000000000000e+02,4.023639899999999869e+01
2.410000000000000000e+02,4.023725999999999914e+01
2.420000000000000000e+02,4.023812699999999865e+01
2.430000000000000000e+02,4.023899999999999721e+01
2.440000000000000000e+02,4.023987799999999737e+01
2.450000000000000000e+02,4.024076099999999911e+01
2.460000000000000000e+02,4.024165099999999740e+01
2.470000000000000000e+02,4.024254599999999726e+01
2.480000000000000000e+02,4.024344700000000330e+01
2.490000000000000000e+02,4.024435400000000129e+01
2.500000000000000000e+02,4.024526699999999835e+01
2.510000000000000000e+02,4.024618600000000157e+01
2.520000000000000000e+02,4.024711099999999675e+01
2.530000000000000000e+02,4.024804199999999810e+01
2.540000000000000000e+02,4.024897899999999851e+01
2.550000000000000000e+02,4.024992300000000256e+01
2.560000000000000000e+02,4.025087299999999857e+01
2.570000000000000000e+02,4.025182900000000075e+01
2.580000000000000000e+02,4.025279100000000199e+01
2.590000000000000000e+02,4.025376099999999724e+01
2.600000000000000000e+02,4.025473600000000118e+01
2.610000000000000000e+02,4.025571899999999914e+01
2.620000000000000000e+02,4.025670800000000327e+01
2.630000000000000000e+02,4.025770399999999682e+01
2.640000000000000000e+02,4.025870599999999655e+01
2.650000000000000000e+02,4.025971599999999739e+01
2.660000000000000000e+02,4.026073199999999730e+01
2.670000000000000000e+02,4.026175599999999832e+01
2.680000000000000000e+02,4.026278700000000299e+01
2.690000000000000000e+02,4.026382399999999961e+01
2.700000000000000000e+02,4.026487000000000194e+01
2.710000000000000000e+02,4.026592200000000332e+01
2.720000000000000000e+02,4.026698199999999872e+01
2.730000000000000000e+02,4.026804899999999776e+01
2.740000000000000000e+02,4.026912399999999792e+01
2.750000000000000000e+02,4.027020699999999920e+01
2.760000000000000000e+02,4.027129699999999701e+01
2.770000000000000000e+02,4.027239500000000305e+01
2.780000000000000000e+02,4.027350100000000310e+01
2.790000000000000000e+02,4.027461499999999717e+01
2.800000000000000000e+02,4.027573799999999693e+01
2.810000000000000000e+02,4.027686800000000034e+01
2.820000000000000000e+02,4.027800599999999775e+01
2.830000000000000000e+02,4.027915300000000087e+01
2.840000000000000000e+02,4.028030799999999800e+01
2.850000000000000000e+02,4.028147200000000083e+01
2.860000000000000000e+02,4.028264399999999767e+01
2.870000000000000000e+02,4.028382500000000022e+01
2.880000000000000000e+02,4.028501500000000135e+01
2.890000000000000000e+02,4.028621400000000108e+01
2.900000000000000000e+02,4.028742100000000192e+01
2.910000000000000000e+02,4.028863799999999884e+01
2.920000000000000000e+02,4.028986400000000145e+01
2.930000000000000000e+02,4.029109900000000266e+01
2.940000000000000000e+02,4.029234399999999994e+01
2.950000000000000000e+02,4.029359800000000291e+01
2.960000000000000000e+02,4.029486200000000196e+01
2.970000000000000000e+02,4.029613499999999959e+01
2.980000000000000000e+02,4.029741899999999788e+01
2.990000000000000000e+02,4.029871200000000186e+01
3.000000000000000000e+02,4.030001500000000192e+01
3.010000000000000000e+02,4.030132799999999804e+01
3.020000000000000000e+02,4.030265200000000192e+01
3.030000000000000000e+02,4.030398600000000187e+01
3.040000000000000000e+02,4.030533100000000246e+01
3.050000000000000000e+02,4.030668599999999913e+01
3.060000000000000000e+02,4.030805200000000355e+01
3.070000000000000000e+02,4.030942900000000151e+01
3.080000000000000000e+02,4.031081700000000012e+01
3.090000000000000000e+02,4.031221599999999938e+01
3.100000000000000000e+02,4.031362599999999929e+01
3.110000000000000000e+02,4.031504799999999733e+01
3.120000000000000000e+02,4.031648100000000312e+01
3.130000000000000000e+02,4.031792599999999993e+01
3.140000000000000000e+02,4.031938300000000197e+01
3.150000000000000000e+02,4.032085200000000214e+01
3.160000000000000000e+02,4.032233300000000042e+01
3.170000000000000000e+02,4.032382599999999684e+01
3.180000000000000000e+02,4.032533200000000306e+01
3.190000000000000000e+02,4.032685000000000031e+01
3.200000000000000000e+02,4.032838100000000026e+01
3.210000000000000000e+02,4.032992500000000291e+01
3.220000000000000000e+02,4.033148200000000116e+01
3.230000000000000000e+02,4.033305200000000212e+01
3.240000000000000000e+02,4.033463499999999868e+01
3.250000000000000000e+02,4.033623200000000253e+01
3.260000000000000000e+02,4.033784299999999945e+01
3.270000000000000000e+02,4.033946699999999908e+01
3.280000000000000000e+02,4.034110600000000346e+01
3.290000000000000000e+02,4.034275900000000092e+01
3.300000000000000000e+02,4.034442599999999857e+01
3.310000000000000000e+02,4.034610800000000097e+01
