# laser_nm,532.021,center=1200,
# calibration,factory_polynomial,,
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,704.828,552.7481,660
1,705.83,552.7787,650
2,706.832,552.8094,662
3,707.834,552.84,670
4,708.836,552.8706,664
5,709.838,552.9012,653
6,710.839,552.9319,659
7,711.841,552.9625,666
8,712.842,552.9931,655
9,713.843,553.0237,666
10,714.844,553.0543,673
11,715.845,553.0849,673
12,716.846,553.1156,657
13,717.846,553.1462,657
14,718.847,553.1768,665
15,719.847,553.2074,654
16,720.847,553.238,662
17,721.847,553.2686,661
18,722.847,553.2992,657
19,723.847,553.3298,666
20,724.846,553.3604,657
21,725.846,553.391,654
22,726.845,553.4216,654
23,727.844,553.4522,660
24,728.843,553.4828,659
25,729.842,553.5135,652
26,730.841,553.5441,650
27,731.84,553.5747,654
28,732.838,553.6053,663
29,733.836,553.6359,673
30,734.835,553.6664,663
31,735.833,553.697,656
32,736.831,553.7276,652
33,737.828,553.7582,662
34,738.826,553.7888,653
35,739.823,553.8194,659
36,740.821,553.85,660
37,741.818,553.8806,661
38,742.815,553.9112,659
39,743.812,553.9418,664
40,744.809,553.9724,655
41,745.805,554.003,658
42,746.802,554.0335,651
43,747.798,554.0641,658
44,748.794,554.0947,660
45,749.79,554.1253,657
46,750.786,554.1559,666
47,751.782,554.1865,664
48,752.778,554.217,656
49,753.773,554.2476,666
50,754.769,554.2782,670
51,755.764,554.3088,660
52,756.759,554.3394,662
53,757.754,554.3699,660
54,758.749,554.4005,667
55,759.743,554.4311,664
56,760.738,554.4616,657
57,761.732,554.4922,659
58,762.727,554.5228,659
59,763.721,554.5534,655
60,764.715,554.5839,651
61,765.709,554.6145,671
62,766.702,554.6451,669
63,767.696,554.6756,662
64,768.689,554.7062,667
65,769.682,554.7368,665
66,770.676,554.7673,663
67,771.669,554.7979,674
68,772.661,554.8284,664
69,773.654,554.859,659
70,774.647,554.8896,663
71,775.639,554.9201,665
72,776.631,554.9507,667
73,777.624,554.9812,664
74,778.616,555.0118,660
75,779.607,555.0424,664
76,780.599,555.0729,661
77,781.591,555.1035,660
78,782.582,555.134,674
79,783.574,555.1646,668
80,784.565,555.1951,677
81,785.556,555.2257,666
82,786.547,555.2562,664
83,787.537,555.2868,662
84,788.528,555.3173,664
85,789.518,555.3479,675
86,790.509,555.3784,666
87,791.499,555.4089,655
88,792.489,555.4395,660
89,793.479,555.47,663
90,794.469,555.5006,656
91,795.458,555.5311,664
92,796.448,555.5616,669
93,797.437,555.5922,678
94,798.426,555.6227,689
95,799.415,555.6533,723
96,800.404,555.6838,733
97,801.393,555.7143,793
98,802.382,555.7449,890
99,803.37,555.7754,1003
100,804.359,555.8059,1084
101,805.347,555.8365,1198
102,806.335,555.867,1290
103,807.323,555.8975,1344
104,808.311,555.928,1399
105,809.299,555.9586,1368
106,810.286,555.9891,1364
107,811.274,556.0196,1380
108,812.261,556.0501,1398
109,813.248,556.0807,1393
110,814.235,556.1112,1389
111,815.222,556.1417,1372
112,816.208,556.1722,1386
113,817.195,556.2027,1380
114,818.181,556.2333,1383
