# laser_nm,532.021
# calibration,factory_polynomial
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-225.431,525.7159,673
1,-222.363,525.8007,663
2,-219.296,525.8855,666
3,-216.230,525.9703,667
4,-213.165,526.0551,678
5,-210.102,526.1399,666
6,-207.040,526.2247,669
7,-203.979,526.3094,670
8,-200.919,526.3942,671
9,-197.860,526.4790,674
10,-194.803,526.5637,675
11,-191.746,526.6485,677
12,-188.691,526.7332,667
13,-185.637,526.8180,664
14,-182.585,526.9027,665
15,-179.533,526.9875,669
16,-176.483,527.0722,676
17,-173.434,527.1569,666
18,-170.386,527.2416,669
19,-167.339,527.3263,672
20,-164.294,527.4110,673
21,-161.249,527.4957,670
22,-158.206,527.5804,659
23,-155.164,527.6651,666
24,-152.123,527.7498,666
25,-149.084,527.8344,670
26,-146.045,527.9191,663
27,-143.008,528.0038,665
28,-139.972,528.0884,671
29,-136.937,528.1731,670
30,-133.904,528.2577,674
31,-130.871,528.3423,665
32,-127.840,528.4270,668
33,-124.810,528.5116,666
34,-121.781,528.5962,663
35,-118.754,528.6808,666
36,-115.727,528.7654,663
37,-112.702,528.8500,672
38,-109.678,528.9346,663
39,-106.655,529.0192,662
40,-103.633,529.1038,675
41,-100.612,529.1884,672
42,-97.593,529.2729,672
43,-94.575,529.3575,666
44,-91.558,529.4421,670
45,-88.542,529.5266,666
46,-85.527,529.6111,669
47,-82.514,529.6957,669
48,-79.501,529.7802,668
49,-76.490,529.8647,667
50,-73.480,529.9493,670
51,-70.472,530.0338,663
52,-67.464,530.1183,664
53,-64.457,530.2028,668
54,-61.452,530.2873,664
55,-58.448,530.3718,672
56,-55.445,530.4563,665
57,-52.443,530.5407,664
58,-49.443,530.6252,663
59,-46.443,530.7097,662
60,-43.445,530.7941,665
61,-40.448,530.8786,672
62,-37.452,530.9630,672
63,-34.458,531.0475,677
64,-31.464,531.1319,683
65,-28.472,531.2163,671
66,-25.480,531.3008,671
67,-22.490,531.3852,690
68,-19.502,531.4696,673
69,-16.514,531.5540,665
70,-13.527,531.6384,667
71,-10.542,531.7228,666
72,-7.558,531.8072,680
73,-4.575,531.8915,669
74,-1.593,531.9759,676
75,1.388,532.0603,674
76,4.368,532.1447,666
77,7.346,532.2290,667
78,10.323,532.3134,675
79,13.299,532.3977,674
80,16.274,532.4820,691
81,19.248,532.5664,672
82,22.221,532.6507,673
83,25.192,532.7350,669
84,28.162,532.8193,666
85,31.131,532.9036,672
86,34.099,532.9879,663
87,37.066,533.0722,673
88,40.032,533.1565,670
89,42.996,533.2408,669
90,45.960,533.3251,669
91,48.922,533.4093,689
92,51.883,533.4936,692
93,54.843,533.5779,709
94,57.802,533.6621,709
95,60.759,533.7463,747
96,63.716,533.8306,799
97,66.671,533.9148,907
98,69.625,533.9990,1039
99,72.578,534.0833,1215
100,75.530,534.1675,1405
101,78.481,534.2517,1584
102,81.430,534.3359,1726
103,84.379,534.4201,1837
104,87.326,534.5043,1817
105,90.272,534.5884,1877
106,93.217,534.6726,1805
107,96.161,534.7568,1863
108,99.103,534.8410,1865
109,102.045,534.9251,1888
110,104.985,535.0093,1847
111,107.924,535.0934,1891
112,110.863,535.1775,1915
113,113.800,535.2617,1925
114,116.735,535.3458,1863
115,119.670,535.4299,1954
116,122.604,535.5140,1923
117,125.536,535.5981,1911
118,128.467,535.6822,1900
119,131.397,535.7663,1873
120,134.326,535.8504,1915
121,137.254,535.9345,1925
122,140.181,536.0186,1944
123,143.106,536.1026,1868
124,146.031,536.1867,1925
125,148.954,536.2708,1900
