System
Type	MANTARAY
Unit	WAVENUMBER
Rayleigh	532.021nm
Grating	1200gr

Measuring Condition
Acquisition Mode	SINGLE
Exposure Time	0.2s
Laser Filter	532nm
ND Filter	20%
Lens Magnification	MPLFLN20x
X Pixels	1024	Y Pixels	255


X Axis Data	Y Axis Data
-196.22	99
-193.26	98
-190.31	100
-187.35	99
-184.4	99
-181.45	97
-178.49	98
-175.54	100
-172.59	97
-169.64	99
-166.7	101
-163.75	101
-160.8	98
-157.86	98
-154.91	101
-151.97	98
-149.02	98
-146.08	97
-143.14	99
-140.2	99
-137.26	98
-134.32	99
-131.39	96
-128.45	102
-125.51	98
-122.58	100
-119.65	99
-116.71	99
-113.78	99
-110.85	101
-107.92	100
-104.99	99
-102.06	99
-99.14	99
-96.21	99
-93.29	100
-90.36	99
-87.44	99
-84.52	100
-81.59	99
-78.67	100
-75.75	97
-72.84	101
-69.92	99
-67	99
-64.08	100
-61.17	99
-58.25	98
-55.34	100
-52.43	98
-49.52	101
-46.61	98
-43.7	101
-40.79	99
-37.88	99
-34.97	99
-32.07	98
-29.16	99
-26.26	96
-23.36	100
-20.45	98
-17.55	97
-14.65	98
-11.75	98
-8.85	100
-5.96	99
-3.06	102
-0.16	102
2.73	99
5.63	99
8.52	100
11.41	99
14.3	99
17.19	97
20.08	99
22.97	99
25.86	100
28.75	99
31.63	100
34.52	98
37.4	101
40.29	100
43.17	99
46.05	98
48.93	98
51.81	101
54.69	99
57.57	100
60.44	98
63.32	100
66.19	97
69.07	102
71.94	100
74.81	104
77.68	108
80.55	112
83.42	122
86.29	137
89.16	164
92.03	193
94.89	222
97.76	238
100.62	273
103.49	275
106.35	281
109.21	288
112.07	288
114.93	290
117.79	291
120.65	290
123.5	292
126.36	303
129.22	294
132.07	296
134.92	301
137.78	296
140.63	297
143.48	294
146.33	295
149.18	306
152.03	304
154.87	296
157.72	301
160.56	306
163.41	299
166.25	307
169.1	294
171.94	302
174.78	303
177.62	292
180.46	302
183.3	301
186.13	311
188.97	301
191.8	312
194.64	316
197.47	302
200.31	309
203.14	311
205.97	313
208.8	310
211.63	310
214.46	317
217.28	318
220.11	315
222.94	315
225.76	313
228.59	323
231.41	314
234.23	312
237.05	317
239.87	317
242.69	324
245.51	327
248.33	317
251.15	326
253.96	327
256.78	328
259.59	324
262.41	326
265.22	324
268.03	326
270.84	324
273.65	342
276.46	337
279.27	331
282.07	330
284.88	336
287.69	336
290.49	329
293.29	339
296.1	330
298.9	335
301.7	339
304.5	337
307.3	340
310.1	335
312.9	340
315.69	339
318.49	336
321.28	340
324.08	347
326.87	335
329.66	340
332.45	347
335.24	337
338.03	345
340.82	350
343.61	349
346.4	343
349.18	351
351.97	347
354.75	347
357.54	356
360.32	344
363.1	348
365.88	350
368.66	353
371.44	354
374.22	356
377	354
379.77	360
382.55	356
385.32	354
388.1	359
390.87	360
393.64	360
396.42	356
399.19	361
401.96	367
404.72	368
407.49	368
410.26	361
413.02	372
415.79	375
418.55	373
421.32	373
424.08	366
426.84	376
429.6	375
432.36	368
435.12	380
437.88	373
440.64	376
443.4	383
446.15	375
448.91	376
451.66	377
454.41	379
457.17	382
459.92	379
462.67	379
465.42	382
468.17	388
470.91	378
473.66	386
476.41	382
479.15	392
481.9	384
484.64	377
487.38	385
490.13	382
492.87	392
495.61	392
498.35	391
501.09	384
503.82	386
506.56	392
509.3	391
512.03	388
514.77	392
517.5	391
520.23	401
522.96	387
525.69	391
528.42	397
531.15	395
533.88	395
536.61	398
539.34	395
542.06	406
544.79	408
547.51	407
550.23	392
552.96	403
555.68	400
558.4	403
561.12	406
563.84	407
566.55	411
569.27	407
571.99	406
574.7	408
577.42	401
580.13	412
582.85	408
585.56	405
588.27	406
590.98	412
593.69	413
596.4	414
599.11	415
601.81	415
604.52	406
607.22	416
609.93	412
612.63	417
615.34	414
618.04	414
620.74	408
623.44	411
626.14	406
628.84	410
631.53	407
634.23	420
636.93	412
639.62	413
642.32	420
645.01	414
647.7	411
650.39	416
653.09	418
655.78	419
658.47	414
661.15	416
663.84	422
666.53	418
669.21	423
671.9	412
674.58	416
677.27	416
679.95	422
682.63	422
685.31	425
687.99	418
690.67	426
693.35	421
696.03	428
698.7	421
701.38	426
704.06	424
706.73	428
709.4	434
712.08	425
714.75	425
717.42	443
720.09	432
722.76	433
725.43	432
728.09	426
730.76	432
733.43	418
736.09	428
738.76	426
741.42	427
744.08	425
746.74	439
749.4	432
752.06	439
754.72	434
757.38	435
760.04	437
762.7	433
765.35	425
768.01	428
770.66	427
773.32	432
775.97	435
778.62	431
781.27	438
783.92	432
786.57	442
789.22	428
791.87	441
794.51	440
797.16	435
799.8	444
802.45	435
805.09	442
807.74	447
810.38	439
813.02	439
815.66	442
818.3	442
820.94	443
823.57	442
826.21	442
828.85	447
831.48	437
834.12	438
836.75	444
839.38	448
842.02	442
844.65	430
847.28	437
849.91	441
852.54	449
855.16	441
857.79	441
