System
Type,MANTARAY
Unit,WAVENUMBER
Rayleigh,532.021nm
Grating,1200gr

Measuring Condition
Acquisition Mode,SINGLE
Exposure Time,0.2s
Laser Filter,532nm
ND Filter,20%
Lens Magnification,MPLFLN20x
X Pixels,1024,Y Pixels,255


X Axis Data,Y Axis Data
-196.19,97
-193.23,98
-190.28,99
-187.32,100
-184.37,96
-181.42,97
-178.46,97
-175.51,98
-172.56,99
-169.61,96
-166.66,98
-163.72,101
-160.77,97
-157.82,97
-154.88,97
-151.94,97
-148.99,97
-146.05,97
-143.11,97
-140.17,98
-137.23,98
-134.29,99
-131.36,98
-128.42,99
-125.48,98
-122.55,97
-119.62,98
-116.68,97
-113.75,99
-110.82,97
-107.89,98
-104.96,97
-102.03,96
-99.11,96
-96.18,98
-93.26,97
-90.33,98
-87.41,98
-84.49,97
-81.56,97
-78.64,97
-75.72,98
-72.8,97
-69.89,97
-66.97,97
-64.05,97
-61.14,98
-58.22,97
-55.31,98
-52.4,97
-49.49,97
-46.58,97
-43.67,98
-40.76,99
-37.85,98
-34.94,97
-32.04,98
-29.13,98
-26.23,99
-23.33,96
-20.42,99
-17.52,98
-14.62,98
-11.72,98
-8.82,99
-5.93,99
-3.03,96
-0.13,100
2.76,99
5.66,98
8.55,98
11.44,98
14.33,98
17.22,97
20.11,99
23,99
25.89,98
28.78,98
31.66,101
34.55,98
37.43,103
40.31,99
43.2,97
46.08,98
48.96,96
51.84,96
54.72,96
57.59,97
60.47,97
63.35,98
66.22,98
69.1,99
71.97,98
74.84,100
77.71,99
80.58,101
83.45,106
86.32,113
89.19,120
92.06,134
94.92,143
97.79,150
100.65,159
103.51,169
106.38,170
109.24,169
112.1,169
114.96,174
117.82,170
120.68,169
123.53,171
126.39,175
129.24,164
132.1,169
134.95,175
137.8,168
140.66,170
143.51,175
146.36,177
149.2,175
152.05,172
154.9,173
157.75,169
160.59,172
163.44,173
166.28,175
169.12,175
171.96,175
174.8,178
177.64,175
180.48,175
183.32,175
186.16,173
189,176
191.83,178
194.67,171
197.5,172
200.33,176
203.16,174
206,175
208.83,176
211.66,175
214.48,170
217.31,175
220.14,175
222.96,181
225.79,179
228.61,179
231.44,176
234.26,176
237.08,178
239.9,180
242.72,182
245.54,183
248.36,183
251.17,181
253.99,187
256.8,177
259.62,181
262.43,181
265.24,180
268.05,187
270.87,184
273.68,183
276.48,178
279.29,181
282.1,183
284.91,180
287.71,185
290.52,179
293.32,185
296.12,189
298.92,184
301.72,180
304.52,185
307.32,185
310.12,185
312.92,185
315.72,183
318.51,184
321.31,189
324.1,182
326.89,189
329.69,187
332.48,185
335.27,184
338.06,187
340.85,187
343.63,186
346.42,185
349.21,190
351.99,190
354.78,185
357.56,192
360.34,184
363.13,191
365.91,188
368.69,189
371.47,186
374.24,188
377.02,185
379.8,192
382.57,192
385.35,192
388.12,197
390.89,192
393.67,193
396.44,197
399.21,192
401.98,196
404.75,194
407.51,196
410.28,199
413.05,192
415.81,192
418.58,198
421.34,195
424.1,197
426.87,197
429.63,197
432.39,196
435.15,198
437.9,197
440.66,198
443.42,196
446.17,195
448.93,192
451.68,195
454.44,201
457.19,196
459.94,201
462.69,204
465.44,197
468.19,197
470.94,200
473.68,203
476.43,197
479.17,193
481.92,196
484.66,195
487.41,194
490.15,201
492.89,194
495.63,195
498.37,195
501.11,203
503.84,194
506.58,201
509.32,199
512.05,203
514.79,198
517.52,205
520.25,205
522.98,203
525.71,209
528.44,204
531.17,199
533.9,205
536.63,205
539.36,206
542.08,203
544.81,207
547.53,202
550.25,206
552.98,208
555.7,205
558.42,203
561.14,205
563.86,208
566.57,203
569.29,212
572.01,201
574.72,206
577.44,208
580.15,209
582.86,206
585.58,203
588.29,203
591,207
593.71,205
596.42,201
599.12,201
601.83,210
604.54,208
607.24,208
609.95,207
612.65,200
615.35,204
618.05,208
620.76,205
623.46,208
626.16,212
628.85,209
631.55,208
634.25,211
636.94,211
639.64,208
642.33,205
645.03,205
647.72,208
650.41,206
653.1,207
655.79,208
658.48,210
661.17,211
663.86,209
666.55,211
669.23,212
671.92,211
674.6,209
677.28,209
679.97,205
682.65,208
685.33,209
688.01,211
690.69,209
693.37,207
696.04,213
698.72,210
701.4,210
704.07,209
706.75,207
709.42,210
712.09,218
714.76,212
717.43,212
720.1,211
722.77,210
725.44,213
728.11,209
730.78,217
733.44,209
736.11,214
738.77,213
741.43,216
744.1,212
746.76,209
749.42,212
752.08,212
754.74,219
757.4,215
760.05,216
762.71,213
765.37,211
768.02,214
770.68,218
773.33,211
775.98,217
778.63,224
781.28,210
783.93,218
786.58,220
789.23,214
791.88,217
794.53,214
797.17,223
799.82,218
802.46,214
805.11,220
807.75,220
810.39,211
813.03,221
815.67,221
818.31,219
820.95,219
823.59,217
826.22,216
828.86,220
831.49,212
834.13,222
836.76,218
839.4,217
842.03,218
844.66,222
847.29,218
849.92,222
852.55,218
855.17,221
857.8,222
