System
Type	MANTARAY
Unit	WAVENUMBER
Rayleigh	785.035nm
Grating	1200gr

Measuring Condition
Acquisition Mode	SINGLE
Exposure Time	0.2s
Laser Filter	785nm
ND Filter	20%
Lens Magnification	MPLFLN20x
X Pixels	1024	Y Pixels	255


X Axis Data	Y Axis Data
742.85	1514
743.9	1550
744.94	1527
745.99	1518
747.04	1540
748.08	1514
749.13	1494
750.17	1494
751.22	1529
752.27	1545
753.31	1557
754.36	1553
755.4	1555
756.45	1547
757.49	1538
758.53	1535
759.58	1553
760.62	1552
761.66	1567
762.71	1572
763.75	1547
764.79	1595
765.84	1585
766.88	1598
767.92	1558
768.96	1586
770	1587
771.05	1595
772.09	1585
773.13	1610
774.17	1594
775.21	1611
776.25	1629
777.29	1621
778.33	1615
779.37	1630
780.41	1621
781.45	1633
782.49	1652
783.53	1643
784.57	1635
785.6	1628
786.64	1683
787.68	1651
788.72	1690
789.76	1682
790.79	1664
791.83	1699
792.87	1676
793.9	1675
794.94	1681
795.98	1710
797.01	1705
798.05	1685
799.08	1707
800.12	1725
801.16	1723
802.19	1715
803.22	1723
804.26	1727
805.29	1737
806.33	1764
807.36	1791
808.4	1743
809.43	1765
810.46	1748
811.5	1769
812.53	1764
813.56	1784
814.59	1729
815.63	1774
816.66	1745
817.69	1773
818.72	1764
819.75	1761
820.78	1773
821.81	1769
822.84	1793
823.87	1767
824.9	1805
825.93	1792
826.96	1780
827.99	1799
829.02	1800
830.05	1788
831.08	1797
832.11	1795
833.14	1787
834.17	1811
835.2	1779
836.22	1829
837.25	1813
838.28	1809
839.31	1825
840.33	1805
841.36	1804
842.39	1810
843.41	1812
844.44	1816
845.46	1823
846.49	1823
847.51	1839
848.54	1835
849.57	1838
850.59	1828
851.61	1870
852.64	1855
853.66	1879
854.69	1882
855.71	1860
856.73	1866
857.76	1847
858.78	1850
859.8	1861
860.83	1828
861.85	1873
862.87	1836
863.89	1859
864.91	1860
865.94	1889
866.96	1913
867.98	1903
869	1926
870.02	1922
871.04	1913
872.06	1875
873.08	1871
874.1	1896
875.12	1903
876.14	1929
877.16	1918
878.18	1922
879.2	1918
880.22	1922
881.23	1939
882.25	1952
883.27	1906
884.29	1915
885.3	1935
886.32	1975
887.34	1970
888.36	1951
889.37	1943
890.39	1997
891.41	1979
892.42	1982
893.44	1963
894.45	1987
895.47	2029
896.48	2009
897.5	2026
898.51	2006
899.53	2058
900.54	2031
901.56	2039
902.57	2049
903.58	2074
904.6	2054
905.61	2044
906.62	2095
907.63	2095
908.65	2116
909.66	2107
910.67	2075
911.68	2112
912.7	2079
913.71	2112
914.72	2110
915.73	2119
916.74	2119
917.75	2134
918.76	2123
919.77	2119
920.78	2149
921.79	2154
922.8	2205
923.81	2203
924.82	2191
925.83	2165
926.84	2174
927.84	2198
928.85	2177
929.86	2173
930.87	2183
931.88	2191
932.88	2218
933.89	2186
934.9	2179
935.9	2245
936.91	2210
937.92	2216
938.92	2204
939.93	2227
940.93	2212
941.94	2215
942.95	2227
943.95	2206
944.96	2212
945.96	2246
946.96	2234
947.97	2231
948.97	2250
949.98	2260
950.98	2234
951.98	2262
952.99	2250
953.99	2266
954.99	2269
955.99	2236
957	2255
958	2255
959	2277
960	2252
961	2269
962	2263
963.01	2302
964.01	2281
965.01	2313
966.01	2305
967.01	2287
968.01	2308
969.01	2343
970.01	2293
971.01	2297
972	2334
973	2307
974	2329
975	2305
976	2364
977	2311
977.99	2328
978.99	2362
979.99	2324
980.99	2377
981.98	2354
982.98	2346
983.98	2371
984.97	2348
985.97	2352
986.96	2381
987.96	2377
988.96	2373
