System
Type	MANTARAY
Unit	WAVENUMBER
Rayleigh	785.035nm
Grating	1200gr

Measuring Condition
Acquisition Mode	SINGLE
Exposure Time	0.2s
Laser Filter	532nm
ND Filter	20%
Lens Magnification	MPLFLN20x
X Pixels	1024	Y Pixels	255


X Axis Data	Y Axis Data
742.95	138
743.99	139
745.04	139
746.09	143
747.14	144
748.18	145
749.23	143
750.27	146
751.32	142
752.37	147
753.41	149
754.46	149
755.5	147
756.55	151
757.59	145
758.64	143
759.68	142
760.73	140
761.77	146
762.81	143
763.86	145
764.9	145
765.94	145
766.99	144
768.03	143
769.07	142
770.11	144
771.15	142
772.2	146
773.24	143
774.28	143
775.32	144
776.36	145
777.4	146
778.44	145
779.48	140
780.52	143
781.56	140
782.6	145
783.64	145
784.68	144
785.72	145
786.75	145
787.79	143
788.83	143
789.87	144
790.91	143
791.94	143
792.98	142
794.02	144
795.06	144
796.09	139
797.13	143
798.16	144
799.2	147
800.24	141
801.27	144
802.31	144
803.34	140
804.38	142
805.41	141
806.45	143
807.48	142
808.51	147
809.55	146
810.58	142
811.61	142
812.65	142
813.68	143
814.71	139
815.74	145
816.78	143
817.81	142
818.84	142
819.87	146
820.9	140
821.93	143
822.97	141
824	143
825.03	142
826.06	147
827.09	143
828.12	139
829.15	137
830.18	141
831.2	141
832.23	143
833.26	141
834.29	140
835.32	139
836.35	143
837.37	141
838.4	143
839.43	141
840.46	141
841.48	145
842.51	141
843.54	141
844.56	138
845.59	140
846.61	141
847.64	139
848.67	138
849.69	143
850.72	142
851.74	139
852.77	140
853.79	143
854.81	138
855.84	140
856.86	138
857.88	140
858.91	141
859.93	136
860.95	140
861.98	138
863	141
864.02	138
865.04	139
866.06	136
867.09	140
868.11	143
869.13	137
870.15	141
871.17	141
872.19	138
873.21	140
874.23	141
875.25	139
876.27	140
877.29	138
878.31	140
879.33	138
880.34	140
881.36	140
882.38	139
883.4	137
884.42	138
885.43	138
886.45	136
887.47	140
888.49	138
889.5	137
890.52	142
891.53	139
892.55	141
893.57	136
894.58	139
895.6	136
896.61	140
897.63	138
898.64	140
899.66	138
900.67	140
901.69	137
902.7	137
903.71	140
904.73	136
905.74	136
906.75	136
907.77	138
908.78	139
909.79	136
910.8	135
911.81	138
912.83	137
913.84	139
914.85	137
915.86	140
916.87	137
917.88	135
918.89	138
919.9	136
920.91	137
921.92	136
922.93	135
923.94	136
924.95	139
925.96	139
926.97	137
927.97	135
928.98	137
929.99	139
931	138
932.01	137
933.01	133
934.02	135
935.03	137
936.03	139
937.04	139
938.05	136
939.05	134
940.06	137
941.06	139
942.07	136
943.07	137
944.08	138
945.08	134
946.09	134
947.09	135
948.1	135
949.1	134
950.1	135
951.11	134
952.11	139
953.11	133
954.12	133
955.12	134
956.12	134
957.12	136
958.13	134
959.13	134
960.13	135
961.13	136
962.13	136
963.13	135
964.13	135
965.13	135
966.13	134
967.13	137
968.13	133
969.13	133
970.13	132
971.13	135
972.13	136
973.13	134
974.13	133
975.13	133
976.12	134
977.12	135
978.12	133
979.12	137
980.11	134
981.11	133
982.11	134
983.1	133
984.1	136
985.1	135
986.09	135
987.09	134
988.08	134
989.08	132
990.07	136
991.07	132
992.06	133
993.06	135
994.05	133
995.05	131
996.04	133
997.03	131
998.03	135
999.02	131
1000.01	131
1001.01	136
1002	133
1002.99	133
1003.98	135
1004.97	133
1005.97	130
1006.96	132
1007.95	131
1008.94	135
1009.93	131
1010.92	130
1011.91	130
1012.9	131
1013.89	134
1014.88	128
1015.87	132
1016.86	133
1017.85	131
1018.84	132
1019.82	134
1020.81	133
1021.8	133
