System,,,
Type,MANTARAY,,
Unit,WAVENUMBER,,
Rayleigh,532.021nm,,
Grating,1200gr,,
,,,
Measuring Condition,,,
Acquisition Mode,SINGLE,,
Exposure Time,0.2s,,
Laser Filter,532nm,,
ND Filter,20%,,
Lens Magnification,MPLFLN20x,,
X Pixels,1024,Y Pixels,255
,,,
,,,
X Axis Data,Y Axis Data,,
-136.59,98,,
-133.65,99,,
-130.71,100,,
-127.78,100,,
-124.85,99,,
-121.92,100,,
-118.98,99,,
-116.05,99,,
-113.12,99,,
-110.2,99,,
-107.27,99,,
-104.34,100,,
-101.42,98,,
-98.49,99,,
-95.57,98,,
-92.64,100,,
-89.72,99,,
-86.8,98,,
-83.88,99,,
-80.96,97,,
-78.04,98,,
-75.12,100,,
-72.21,99,,
-69.29,97,,
-66.38,101,,
-63.46,98,,
-60.55,98,,
-57.64,99,,
-54.73,99,,
-51.82,100,,
-48.91,98,,
-46,99,,
-43.09,98,,
-40.19,97,,
-37.28,97,,
-34.38,97,,
-31.47,99,,
-28.57,100,,
-25.67,100,,
-22.77,99,,
-19.87,99,,
-16.97,100,,
-14.07,98,,
-11.17,98,,
-8.28,102,,
-5.38,99,,
-2.48,99,,
0.41,99,,
3.3,100,,
6.19,98,,
9.08,99,,
11.97,100,,
14.86,99,,
17.75,98,,
20.64,98,,
23.53,100,,
26.41,99,,
29.3,99,,
32.18,99,,
35.06,100,,
37.94,99,,
40.83,99,,
43.71,98,,
46.59,97,,
49.46,101,,
52.34,99,,
55.22,99,,
58.09,100,,
60.97,99,,
63.84,99,,
66.71,99,,
69.59,100,,
72.46,102,,
75.33,103,,
78.2,104,,
81.07,109,,
83.93,115,,
86.8,122,,
89.66,140,,
92.53,151,,
95.39,175,,
98.26,183,,
101.12,191,,
103.98,195,,
106.84,198,,
109.7,207,,
112.56,205,,
115.42,204,,
118.27,196,,
121.13,204,,
123.98,202,,
126.84,203,,
129.69,204,,
132.54,199,,
135.39,199,,
138.24,206,,
141.09,204,,
143.94,198,,
146.79,207,,
149.64,207,,
152.48,202,,
155.33,207,,
158.17,209,,
161.02,205,,
163.86,203,,
166.7,202,,
169.54,203,,
172.38,202,,
175.22,202,,
178.06,208,,
180.89,199,,
183.73,209,,
186.56,205,,
189.4,205,,
192.23,210,,
195.06,206,,
197.9,207,,
200.73,208,,
203.56,204,,
206.39,210,,
209.21,207,,
212.04,207,,
214.87,211,,
217.69,207,,
220.52,209,,
223.34,204,,
226.16,208,,
228.99,203,,
231.81,210,,
234.63,207,,
237.45,207,,
240.27,210,,
243.08,215,,
245.9,211,,
248.72,208,,
251.53,211,,
254.34,212,,
257.16,211,,
259.97,208,,
262.78,209,,
265.59,213,,
268.4,213,,
271.21,213,,
274.02,215,,
276.82,213,,
279.63,213,,
282.44,212,,
285.24,213,,
288.04,215,,
290.85,217,,
293.65,214,,
296.45,213,,
299.25,215,,
302.05,213,,
304.85,216,,
307.64,213,,
310.44,210,,
313.23,218,,
316.03,215,,
318.82,217,,
321.62,217,,
324.41,221,,
327.2,217,,
329.99,218,,
332.78,217,,
335.57,212,,
338.36,219,,
341.14,217,,
343.93,217,,
346.71,210,,
349.5,213,,
352.28,219,,
355.06,212,,
357.84,216,,
360.63,220,,
363.4,216,,
366.18,216,,
368.96,218,,
371.74,219,,
374.52,217,,
377.29,217,,
380.07,218,,
382.84,223,,
385.61,221,,
388.38,227,,
391.16,221,,
393.93,218,,
396.69,219,,
399.46,227,,
402.23,217,,
405,226,,
407.76,223,,
410.53,226,,
413.29,220,,
416.06,227,,
418.82,228,,
421.58,218,,
424.34,225,,
427.1,225,,
429.86,229,,
432.62,230,,
435.38,222,,
438.13,229,,
440.89,231,,
443.64,231,,
446.4,224,,
449.15,230,,
451.9,231,,
454.65,229,,
457.4,232,,
460.15,229,,
462.9,226,,
465.65,229,,
468.4,236,,
471.14,226,,
473.89,229,,
476.63,232,,
479.37,228,,
482.12,223,,
484.86,229,,
487.6,229,,
490.34,229,,
493.08,230,,
495.82,228,,
498.56,228,,
501.29,231,,
504.03,233,,
506.76,232,,
509.5,238,,
512.23,236,,
514.96,237,,
517.69,235,,
520.42,235,,
523.15,236,,
525.88,239,,
528.61,238,,
531.34,240,,
534.07,240,,
536.79,237,,
539.52,240,,
542.24,237,,
544.96,240,,
547.68,238,,
550.41,236,,
553.13,241,,
555.85,240,,
558.56,238,,
561.28,238,,
564,238,,
566.72,239,,
569.43,231,,
572.15,242,,
574.86,243,,
577.57,239,,
580.28,239,,
583,246,,
585.71,243,,
588.42,240,,
591.12,240,,
593.83,240,,
596.54,240,,
599.24,234,,
601.95,243,,
604.65,241,,
607.36,240,,
610.06,237,,
612.76,239,,
615.46,241,,
618.16,238,,
620.86,246,,
623.56,240,,
626.26,233,,
628.96,242,,
631.65,239,,
634.35,236,,
637.04,239,,
639.73,246,,
642.43,239,,
645.12,241,,
647.81,242,,
650.5,240,,
653.19,245,,
655.88,248,,
