System
Type,MANTARAY
Unit,WAVENUMBER
Rayleigh,532.021nm
Grating,1200gr

Measuring Condition
Acquisition Mode,SINGLE
Exposure Time,0.2s
Laser Filter,532nm
ND Filter,20%
Lens Magnification,MPLFLN20x
X Pixels,1024,Y Pixels,255


X Axis Data,Y Axis Data
-136.59,99
-133.65,100
-130.71,99
-127.78,100
-124.85,99
-121.92,100
-118.98,100
-116.05,102
-113.12,99
-110.2,100
-107.27,100
-104.34,101
-101.42,100
-98.49,98
-95.57,100
-92.64,100
-89.72,97
-86.8,100
-83.88,98
-80.96,99
-78.04,100
-75.12,97
-72.21,96
-69.29,99
-66.38,100
-63.46,98
-60.55,99
-57.64,99
-54.73,100
-51.82,100
-48.91,100
-46,99
-43.09,100
-40.19,98
-37.28,99
-34.38,100
-31.47,98
-28.57,101
-25.67,101
-22.77,101
-19.87,98
-16.97,100
-14.07,99
-11.17,100
-8.28,99
-5.38,99
-2.48,100
0.41,100
3.3,98
6.19,100
9.08,100
11.97,99
14.86,99
17.75,99
20.64,99
23.53,100
26.41,100
29.3,99
32.18,100
35.06,101
37.94,99
40.83,99
43.71,101
46.59,99
49.46,99
52.34,99
55.22,99
58.09,101
60.97,103
63.84,99
66.71,102
69.59,101
72.46,103
75.33,102
78.2,106
81.07,110
83.93,122
86.8,135
89.66,153
92.53,172
95.39,203
98.26,218
101.12,230
103.98,235
106.84,244
109.7,239
112.56,239
115.42,243
118.27,243
121.13,239
123.98,245
126.84,248
129.69,247
132.54,246
135.39,240
138.24,249
141.09,246
143.94,243
146.79,245
149.64,244
152.48,243
155.33,240
158.17,243
161.02,249
163.86,243
166.7,240
169.54,243
172.38,244
175.22,244
178.06,246
180.89,250
183.73,246
186.56,248
189.4,239
192.23,252
195.06,251
197.9,253
200.73,248
203.56,247
206.39,252
209.21,251
212.04,256
214.87,259
217.69,256
220.52,253
223.34,251
226.16,250
228.99,251
231.81,251
234.63,254
237.45,252
240.27,253
243.08,258
245.9,256
248.72,260
251.53,254
254.34,254
257.16,261
259.97,262
262.78,260
265.59,260
268.4,260
271.21,259
274.02,264
276.82,260
279.63,260
282.44,257
285.24,266
288.04,265
290.85,261
293.65,267
296.45,268
299.25,260
302.05,266
304.85,262
307.64,269
310.44,259
313.23,258
316.03,270
318.82,270
321.62,259
324.41,269
327.2,261
329.99,264
332.78,265
335.57,263
338.36,270
341.14,268
343.93,272
346.71,261
349.5,266
352.28,262
355.06,267
357.84,265
360.63,269
363.4,272
366.18,269
368.96,273
371.74,268
374.52,276
377.29,267
380.07,272
382.84,267
385.61,273
388.38,272
391.16,264
393.93,272
396.69,279
399.46,278
402.23,270
405,275
407.76,276
410.53,281
413.29,279
416.06,270
418.82,282
421.58,275
424.34,278
427.1,285
429.86,279
432.62,279
435.38,285
438.13,278
440.89,287
443.64,285
446.4,286
449.15,288
451.9,288
454.65,292
457.4,286
460.15,287
462.9,288
465.65,281
468.4,277
471.14,287
473.89,282
476.63,286
479.37,277
482.12,290
484.86,284
487.6,289
490.34,290
493.08,287
495.82,294
498.56,284
501.29,288
504.03,290
506.76,293
509.5,290
512.23,294
514.96,287
517.69,300
520.42,296
523.15,289
525.88,298
528.61,291
531.34,295
534.07,296
536.79,298
539.52,302
542.24,300
544.96,300
547.68,293
550.41,300
553.13,297
555.85,290
558.56,301
561.28,297
564,308
566.72,304
569.43,301
572.15,302
574.86,299
577.57,292
580.28,299
583,295
585.71,299
588.42,301
591.12,303
593.83,297
596.54,295
599.24,302
601.95,303
604.65,305
607.36,297
610.06,296
612.76,301
615.46,303
618.16,302
620.86,303
623.56,301
626.26,303
628.96,309
631.65,298
634.35,306
637.04,306
639.73,304
642.43,303
645.12,299
647.81,303
650.5,300
653.19,307
655.88,308
658.56,313
661.25,305
663.94,305
666.62,312
669.31,302
671.99,305
674.67,305
677.35,315
680.03,308
682.71,314
685.39,311
688.07,311
690.75,310
693.43,309
696.1,306
698.78,309
701.45,308
704.12,311
706.8,311
709.47,318
712.14,308
714.81,310
717.48,320
720.15,316
722.81,313
725.48,310
728.15,315
730.81,312
733.47,308
736.14,320
738.8,320
741.46,314
744.12,321
746.78,321
749.44,321
752.1,323
754.76,314
757.41,322
760.07,320
762.73,315
765.38,318
768.03,318
770.69,321
773.34,324
775.99,327
778.64,322
781.29,323
783.94,323
786.58,324
789.23,328
791.88,323
794.52,324
797.17,318
799.81,327
802.45,325
805.09,322
807.73,335
810.37,331
813.01,323
815.65,330
818.29,329
820.93,329
823.56,332
826.2,327
828.83,327
831.47,328
834.1,329
836.73,331
839.36,330
841.99,330
844.62,327
847.25,331
849.88,328
852.51,337
855.13,330
857.76,328
860.38,332
863.01,333
865.63,331
868.25,337
870.87,338
873.49,337
876.11,335
878.73,338
881.35,338
883.97,337
886.58,334
889.2,339
891.81,339
894.43,341
897.04,339
899.65,339
902.26,342
904.87,343
907.48,340
910.09,342
912.7,338
915.31,338
917.92,343
920.52,341
