# laser_nm,532.021
# calibration,factory_polynomial
# exposure_time,0.2
# laser_power_pct,20
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,2435.172,611.2066,1154
1,2433.035,611.1268,1151
2,2430.897,611.0470,1157
3,2428.758,610.9672,1158
4,2426.619,610.8873,1239
5,2424.480,610.8075,1192
6,2422.339,610.7276,1161
7,2420.198,610.6478,1224
8,2418.056,610.5679,1279
9,2415.914,610.4881,1238
10,2413.771,610.4082,1220
11,2411.627,610.3283,1234
12,2409.483,610.2485,1227
13,2407.338,610.1686,1233
14,2405.192,610.0887,1234
15,2403.046,610.0089,1164
16,2400.899,609.9290,1147
17,2398.751,609.8491,1301
18,2396.603,609.7692,1309
19,2394.454,609.6893,1191
20,2392.304,609.6094,1189
21,2390.154,609.5295,1171
22,2388.003,609.4496,1208
23,2385.851,609.3697,1263
24,2383.699,609.2898,1364
25,2381.546,609.2099,1670
26,2379.392,609.1300,1597
27,2377.238,609.0500,1356
28,2375.083,608.9701,1245
29,2372.927,608.8902,1323
30,2370.771,608.8102,1498
31,2368.614,608.7303,1890
32,2366.457,608.6504,2477
33,2364.298,608.5704,3268
34,2362.139,608.4905,3474
35,2359.980,608.4105,2773
36,2357.819,608.3306,3090
37,2355.659,608.2506,2991
38,2353.497,608.1706,2962
39,2351.335,608.0907,2851
40,2349.172,608.0107,3026
41,2347.008,607.9307,2989
42,2344.844,607.8508,2945
43,2342.679,607.7708,2967
44,2340.513,607.6908,2878
45,2338.347,607.6108,2922
46,2336.180,607.5308,2999
47,2334.012,607.4508,3064
48,2331.844,607.3708,2883
49,2329.675,607.2908,2936
50,2327.505,607.2108,3075
51,2325.335,607.1308,3178
52,2323.164,607.0508,3057
53,2320.993,606.9708,3059
54,2318.820,606.8908,3063
55,2316.647,606.8107,3019
56,2314.474,606.7307,2963
57,2312.299,606.6507,2931
58,2310.124,606.5706,2981
59,2307.949,606.4906,3167
60,2305.772,606.4106,3218
61,2303.595,606.3305,3004
62,2301.418,606.2505,3069
63,2299.239,606.1704,2958
64,2297.060,606.0904,3001
65,2294.881,606.0103,3007
66,2292.700,605.9302,3127
67,2290.519,605.8502,3135
68,2288.338,605.7701,3112
69,2286.155,605.6900,3029
70,2283.972,605.6099,3056
71,2281.789,605.5299,3100
72,2279.604,605.4498,2972
73,2277.419,605.3697,2982
74,2275.233,605.2896,2950
75,2273.047,605.2095,2973
76,2270.860,605.1294,2971
77,2268.672,605.0493,2960
78,2266.484,604.9692,3006
79,2264.295,604.8891,2992
80,2262.105,604.8090,2943
81,2259.914,604.7289,2992
82,2257.723,604.6488,3065
83,2255.531,604.5686,3058
84,2253.339,604.4885,2998
85,2251.146,604.4084,3056
86,2248.952,604.3282,2967
87,2246.757,604.2481,2955
88,2244.562,604.1680,3014
89,2242.366,604.0878,2942
90,2240.170,604.0077,2942
91,2237.973,603.9275,3052
92,2235.775,603.8474,2971
93,2233.576,603.7672,2965
94,2231.377,603.6871,2958
95,2229.177,603.6069,2932
96,2226.976,603.5267,2855
97,2224.775,603.4466,2815
98,2222.573,603.3664,2779
99,2220.370,603.2862,2799
100,2218.167,603.2060,2957
101,2215.963,603.1259,2967
