System
Type	MANTARAY
Unit	WAVENUMBER
Rayleigh	532.021nm
Grating	1200gr

Measuring Condition
Acquisition Mode	SINGLE
Exposure Time	0.2s
Laser Filter	532nm
ND Filter	20%
Lens Magnification	MPLFLN20x
X Pixels	1024	Y Pixels	255


X Axis Data	Y Axis Data
-136.93	102
-133.99	102
-131.05	103
-128.12	104
-125.18	103
-122.25	101
-119.32	102
-116.39	104
-113.46	102
-110.53	102
-107.6	101
-104.67	105
-101.74	102
-98.82	101
-95.89	103
-92.97	103
-90.05	103
-87.12	103
-84.2	101
-81.28	101
-78.36	101
-75.44	103
-72.53	102
-69.61	103
-66.69	101
-63.78	103
-60.87	103
-57.95	101
-55.04	103
-52.13	102
-49.22	103
-46.31	103
-43.4	102
-40.49	101
-37.59	103
-34.68	103
-31.78	102
-28.87	101
-25.97	102
-23.07	102
-20.17	100
-17.27	102
-14.37	102
-11.47	103
-8.57	101
-5.68	102
-2.78	107
0.12	106
3.01	104
5.9	102
8.79	103
11.68	103
14.58	104
17.46	104
20.35	102
23.24	103
26.13	102
29.01	100
31.9	101
34.78	102
37.66	102
40.55	102
43.43	102
46.31	105
49.19	104
52.06	102
54.94	103
57.82	105
60.69	103
63.57	103
66.44	103
69.32	103
72.19	105
75.06	108
77.93	108
80.8	116
83.67	133
86.53	157
89.4	188
92.27	242
95.13	289
97.99	312
100.86	336
103.72	352
106.58	358
109.44	361
112.3	365
115.16	371
118.02	369
120.87	367
123.73	367
126.58	370
129.44	359
132.29	374
135.14	362
137.99	369
140.84	365
143.69	369
146.54	370
149.39	364
152.24	368
155.08	369
157.93	375
160.77	373
163.62	377
166.46	372
169.3	372
172.14	369
174.98	378
177.82	375
180.66	374
183.49	372
186.33	371
189.16	378
192	378
194.83	378
197.67	378
200.5	380
203.33	377
206.16	380
208.99	380
211.81	388
214.64	384
217.47	382
220.29	383
223.12	390
225.94	388
228.76	395
231.59	380
234.41	386
237.23	393
240.05	385
242.87	392
245.68	388
248.5	395
251.32	399
254.13	397
256.94	401
259.76	396
262.57	397
265.38	394
268.19	393
271	400
273.81	408
276.62	400
279.42	401
282.23	398
285.03	399
287.84	405
290.64	403
293.44	395
296.25	402
299.05	411
301.85	394
304.65	408
307.44	401
310.24	407
313.04	404
315.83	402
318.63	415
321.42	414
324.21	408
327.01	411
329.8	410
332.59	411
335.38	409
338.16	416
340.95	414
343.74	411
346.52	422
349.31	421
352.09	411
354.88	413
357.66	420
360.44	421
363.22	413
366	414
368.78	420
371.56	412
374.33	423
377.11	419
379.89	424
382.66	419
385.43	420
388.21	424
390.98	429
393.75	416
396.52	427
399.29	419
402.06	429
404.83	426
407.59	429
410.36	433
413.12	435
415.89	425
418.65	431
421.41	432
424.17	431
426.93	438
429.69	443
432.45	444
435.21	445
437.97	445
440.72	439
443.48	449
446.23	445
448.99	448
451.74	450
454.49	448
457.24	438
459.99	458
462.74	449
465.49	446
468.24	448
470.99	442
473.73	449
476.48	443
479.22	447
481.97	447
484.71	448
487.45	448
490.19	447
492.93	445
495.67	453
498.41	453
501.14	455
503.88	460
506.62	457
509.35	460
512.09	461
514.82	455
517.55	458
520.28	459
523.01	461
525.74	459
528.47	468
531.2	468
533.93	462
536.65	467
539.38	476
542.1	460
544.83	469
547.55	460
550.27	474
552.99	470
555.71	468
558.43	465
561.15	481
563.87	467
566.59	482
569.3	478
572.02	479
574.73	478
577.44	469
580.16	489
582.87	481
585.58	474
588.29	478
591	480
593.71	479
596.41	477
599.12	481
601.83	480
604.53	483
607.24	468
609.94	479
612.64	485
615.34	484
618.04	477
620.74	477
623.44	478
626.14	482
628.84	486
631.54	480
634.23	491
636.93	483
639.62	483
642.31	490
645.01	489
647.7	489
650.39	482
653.08	492
655.77	492
658.45	490
661.14	494
663.83	494
666.51	491
669.2	497
671.88	492
674.57	480
677.25	504
679.93	490
682.61	493
685.29	497
687.97	502
690.65	496
693.32	502
696	501
698.68	494
701.35	498
704.02	515
706.7	499
709.37	505
712.04	504
714.71	507
717.38	512
720.05	501
722.72	502
725.39	509
728.05	513
730.72	508
733.38	512
736.05	507
738.71	513
741.37	519
744.03	518
746.69	515
749.35	520
752.01	513
754.67	514
757.33	523
759.98	517
762.64	523
765.29	517
767.95	511
770.6	517
773.25	518
775.91	523
778.56	522
781.21	519
783.85	522
786.5	535
789.15	521
791.8	531
794.44	526
797.09	522
799.73	525
802.37	533
805.02	537
807.66	539
810.3	535
812.94	539
815.58	531
818.22	531
820.85	540
823.49	529
826.13	542
828.76	540
831.39	552
834.03	531
836.66	536
839.29	544
841.92	543
844.55	544
847.18	538
849.81	536
852.44	540
855.06	529
857.69	541
860.32	541
862.94	535
865.56	551
868.19	536
870.81	547
873.43	549
876.05	559
878.67	547
881.29	557
883.9	556
886.52	554
889.14	561
891.75	561
894.37	552
896.98	562
899.59	570
902.21	555
904.82	571
907.43	556
910.04	560
912.65	563
915.25	574
917.86	563
920.47	566
