System
Type	MANTARAY
Unit	WAVENUMBER
Rayleigh	532.021nm
Grating	1200gr

Measuring Condition
Acquisition Mode	SINGLE
Exposure Time	0.2s
Laser Filter	532nm
ND Filter	20%
Lens Magnification	MPLFLN20x
X Pixels	1024	Y Pixels	255


X Axis Data	Y Axis Data
-136.86	99
-133.92	100
-130.99	99
-128.05	99
-125.12	98
-122.19	100
-119.25	99
-116.32	100
-113.39	100
-110.46	99
-107.54	100
-104.61	99
-101.68	99
-98.76	99
-95.83	98
-92.91	98
-89.99	101
-87.06	100
-84.14	101
-81.22	99
-78.3	99
-75.39	99
-72.47	99
-69.55	100
-66.64	100
-63.72	100
-60.81	101
-57.9	98
-54.99	100
-52.08	100
-49.17	100
-46.26	99
-43.35	98
-40.44	101
-37.54	101
-34.63	100
-31.73	99
-28.82	100
-25.92	99
-23.02	99
-20.12	100
-17.22	99
-14.32	99
-11.42	99
-8.52	100
-5.63	99
-2.73	101
0.16	98
3.06	97
5.95	100
8.84	100
11.73	99
14.62	99
17.51	98
20.4	99
23.28	99
26.17	100
29.05	99
31.94	100
34.82	97
37.7	99
40.59	100
43.47	99
46.35	99
49.23	101
52.1	100
54.98	103
57.86	101
60.73	102
63.61	100
66.48	100
69.35	101
72.22	100
75.09	101
77.96	103
80.83	108
83.7	113
86.57	120
89.43	138
92.3	150
95.16	172
98.03	186
100.89	195
103.75	203
106.61	213
109.47	210
112.33	213
115.19	210
118.05	216
120.9	215
123.76	216
126.61	210
129.47	211
132.32	215
135.17	213
138.02	216
140.87	213
143.72	215
146.57	212
149.42	216
152.26	212
155.11	210
157.96	211
160.8	214
163.64	213
166.48	215
169.33	216
172.17	212
175	220
177.84	214
180.68	218
183.52	219
186.35	207
189.19	215
192.02	216
194.86	217
197.69	218
200.52	207
203.35	217
206.18	210
209.01	224
211.84	216
214.66	221
217.49	211
220.31	212
223.14	214
225.96	219
228.78	217
231.61	222
234.43	224
237.25	221
240.06	225
242.88	218
245.7	217
248.52	220
251.33	220
254.15	216
256.96	219
259.77	216
262.58	219
265.4	218
268.21	224
271.02	220
273.82	220
276.63	223
279.44	224
282.24	224
285.05	225
287.85	230
290.66	226
293.46	221
296.26	222
299.06	222
301.86	222
304.66	225
307.46	223
310.25	226
313.05	227
315.84	230
318.64	225
321.43	225
324.22	227
327.02	233
329.81	228
332.6	227
335.39	225
338.17	224
340.96	227
343.75	231
346.53	231
349.32	228
352.1	223
354.88	225
357.67	230
360.45	233
363.23	230
366.01	231
368.79	229
371.56	230
374.34	227
377.12	228
379.89	229
382.67	232
385.44	226
388.21	228
390.98	226
393.75	234
396.52	234
399.29	236
402.06	234
404.83	239
407.6	237
410.36	242
413.13	239
415.89	237
418.65	235
421.42	237
424.18	236
426.94	235
429.7	233
432.46	237
435.21	230
437.97	240
440.73	240
443.48	245
446.24	245
448.99	243
451.74	238
454.49	240
457.24	240
459.99	245
462.74	241
465.49	239
468.24	240
470.99	237
473.73	242
476.48	241
479.22	244
481.96	245
484.71	241
487.45	239
490.19	235
492.93	239
495.67	244
498.41	237
501.14	243
503.88	240
506.61	241
509.35	246
512.08	238
514.82	247
517.55	242
520.28	246
523.01	248
525.74	256
528.47	256
531.2	257
533.92	249
536.65	249
539.37	253
542.1	249
544.82	256
547.54	246
550.27	250
552.99	247
555.71	249
558.43	243
561.14	250
563.86	248
566.58	253
569.3	255
572.01	254
574.72	250
577.44	249
580.15	256
582.86	253
585.57	248
588.28	254
590.99	256
593.7	253
596.41	253
599.11	251
601.82	254
604.52	251
607.23	252
609.93	248
612.63	248
615.34	249
618.04	250
620.74	252
623.44	254
626.13	258
628.83	248
631.53	252
634.22	253
636.92	256
639.61	252
642.3	253
645	252
647.69	255
650.38	246
653.07	247
655.76	257
658.45	256
661.13	256
663.82	254
666.5	254
669.19	253
671.87	252
674.56	257
677.24	260
679.92	258
682.6	258
685.28	255
687.96	254
690.64	261
693.31	252
695.99	260
698.67	262
701.34	260
704.01	257
706.69	262
709.36	257
712.03	265
714.7	256
717.37	259
720.04	264
722.71	263
725.37	264
728.04	257
730.71	260
733.37	259
736.04	263
738.7	258
741.36	258
744.02	264
746.68	264
749.34	258
752	264
754.66	262
757.32	264
759.97	267
762.63	267
765.28	263
767.94	265
770.59	264
773.24	262
775.89	267
778.54	266
781.19	269
783.84	263
786.49	270
789.14	271
791.78	268
794.43	272
797.07	271
799.72	267
802.36	272
805	271
807.65	275
810.29	270
812.93	276
815.57	277
818.2	274
820.84	275
823.48	277
826.11	277
828.75	276
831.38	274
834.02	278
836.65	268
839.28	272
841.91	268
844.54	275
847.17	275
849.8	271
852.43	274
855.05	275
857.68	270
860.3	276
862.93	271
865.55	276
868.17	274
870.8	281
873.42	277
876.04	285
878.66	280
881.27	281
883.89	281
886.51	285
889.13	283
891.74	288
894.36	285
896.97	281
899.58	278
902.19	280
904.81	276
907.42	282
910.03	280
912.63	274
915.24	285
917.85	278
920.46	283
