System
Type	MANTARAY
Unit	WAVENUMBER
Rayleigh	532.021nm
Grating	1200gr

Measuring Condition
Acquisition Mode	SINGLE
Exposure Time	0.2s
Laser Filter	532nm
ND Filter	20%
Lens Magnification	MPLFLN20x
X Pixels	1024	Y Pixels	255


X Axis Data	Y Axis Data
-136.78	101
-133.84	100
-130.9	98
-127.97	101
-125.04	100
-122.1	100
-119.17	99
-116.24	101
-113.31	98
-110.38	100
-107.45	101
-104.52	100
-101.6	99
-98.67	99
-95.75	99
-92.82	100
-89.9	100
-86.98	99
-84.06	99
-81.14	99
-78.22	99
-75.3	100
-72.38	99
-69.47	101
-66.55	100
-63.64	100
-60.73	100
-57.81	99
-54.9	99
-51.99	101
-49.08	100
-46.17	100
-43.26	101
-40.36	100
-37.45	99
-34.54	100
-31.64	101
-28.74	101
-25.83	99
-22.93	102
-20.03	101
-17.13	98
-14.23	99
-11.34	100
-8.44	100
-5.54	101
-2.65	102
0.25	103
3.14	100
6.03	101
8.92	102
11.82	101
14.71	100
17.59	99
20.48	99
23.37	100
26.26	100
29.14	99
32.02	99
34.91	98
37.79	100
40.67	102
43.55	100
46.43	99
49.31	101
52.19	100
55.07	102
57.94	102
60.82	99
63.69	101
66.57	99
69.44	100
72.31	101
75.18	102
78.05	105
80.92	107
83.79	111
86.65	119
89.52	137
92.39	149
95.25	166
98.11	175
100.98	186
103.84	186
106.7	190
109.56	191
112.42	190
115.28	193
118.13	199
120.99	192
123.85	192
126.7	198
129.55	194
132.41	197
135.26	194
138.11	192
140.96	191
143.81	191
146.66	195
149.5	193
152.35	195
155.2	192
158.04	191
160.88	194
163.73	191
166.57	187
169.41	192
172.25	194
175.09	187
177.93	194
180.77	193
183.6	192
186.44	189
189.27	195
192.11	196
194.94	193
197.77	192
200.6	190
203.43	194
206.26	197
209.09	193
211.92	193
214.75	196
217.57	197
220.4	193
223.22	196
226.05	196
228.87	193
231.69	199
234.51	191
237.33	197
240.15	201
242.97	195
245.78	197
248.6	196
251.42	196
254.23	195
257.04	194
259.86	201
262.67	198
265.48	197
268.29	198
271.1	200
273.91	197
276.71	195
279.52	201
282.33	197
285.13	202
287.94	208
290.74	198
293.54	203
296.34	201
299.14	202
301.94	204
304.74	203
307.54	202
310.33	198
313.13	201
315.93	204
318.72	207
321.51	196
324.31	205
327.1	202
329.89	202
332.68	206
335.47	205
338.26	203
341.04	209
343.83	203
346.61	203
349.4	200
352.18	203
354.97	201
357.75	209
360.53	204
363.31	205
366.09	204
368.87	202
371.64	204
374.42	208
377.2	201
379.97	207
382.75	204
385.52	206
388.29	202
391.06	204
393.83	208
396.6	204
399.37	205
402.14	214
404.91	209
407.67	215
410.44	212
413.2	216
415.97	214
418.73	213
421.49	211
424.25	208
427.02	212
429.77	211
432.53	206
435.29	212
438.05	214
440.8	214
443.56	219
446.31	220
449.07	212
451.82	217
454.57	214
457.32	215
460.07	215
462.82	213
465.57	211
468.32	213
471.06	214
473.81	212
476.55	216
479.3	213
482.04	213
484.78	210
487.52	217
490.26	214
493	220
495.74	211
498.48	215
501.22	212
503.95	215
506.69	217
509.42	216
512.16	222
514.89	221
517.62	219
520.35	220
523.08	221
525.81	221
528.54	223
531.27	228
534	219
536.72	227
539.45	225
542.17	228
544.89	225
547.62	224
550.34	223
553.06	222
555.78	224
558.5	222
561.22	228
563.93	223
566.65	226
569.37	222
572.08	222
574.79	226
577.51	226
580.22	225
582.93	217
585.64	224
588.35	223
591.06	228
593.77	224
596.48	221
599.18	222
601.89	226
604.59	230
607.3	221
610	219
612.7	222
615.4	223
618.1	228
620.8	223
623.5	224
626.2	224
628.9	225
631.59	227
634.29	226
636.98	225
639.68	220
642.37	224
645.06	224
647.75	220
650.44	217
653.13	221
655.82	227
658.51	224
661.2	226
663.88	222
666.57	224
669.25	223
671.94	224
674.62	226
677.3	223
679.98	230
682.66	228
685.34	230
688.02	225
690.7	225
693.38	227
696.05	230
698.73	229
701.4	229
704.08	225
706.75	236
709.42	226
712.09	231
714.76	231
717.43	226
720.1	231
722.77	232
725.43	227
728.1	233
730.77	232
733.43	234
736.09	235
738.76	225
741.42	238
744.08	230
746.74	231
749.4	234
752.06	227
754.72	234
757.37	234
760.03	235
762.68	230
765.34	236
767.99	235
770.65	235
773.3	232
775.95	230
778.6	236
781.25	233
783.9	240
786.54	235
789.19	237
791.84	241
794.48	234
797.13	232
799.77	235
802.41	237
805.06	234
807.7	244
810.34	242
812.98	236
815.62	242
818.26	241
820.89	242
823.53	240
826.16	241
828.8	240
831.43	238
834.07	242
836.7	238
839.33	238
841.96	241
844.59	238
847.22	239
849.85	241
852.47	239
855.1	239
857.73	241
860.35	236
862.97	243
865.6	244
868.22	240
870.84	244
873.46	248
876.08	249
878.7	249
881.32	250
883.94	245
886.55	249
889.17	242
891.79	250
894.4	251
897.01	250
899.63	248
902.24	243
904.85	249
907.46	245
910.07	249
912.68	251
915.28	246
917.89	248
