# laser_nm,532.021
# calibration,factory_polynomial
# exposure_time,0.2
# laser_power_pct,20
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,2435.172,611.2066,220
1,2433.035,611.1268,215
2,2430.897,611.0470,216
3,2428.758,610.9672,214
4,2426.619,610.8873,217
5,2424.480,610.8075,216
6,2422.339,610.7276,221
7,2420.198,610.6478,217
8,2418.056,610.5679,215
9,2415.914,610.4881,217
10,2413.771,610.4082,213
11,2411.627,610.3283,216
12,2409.483,610.2485,215
13,2407.338,610.1686,219
14,2405.192,610.0887,219
15,2403.046,610.0089,214
16,2400.899,609.9290,217
17,2398.751,609.8491,212
18,2396.603,609.7692,216
19,2394.454,609.6893,216
20,2392.304,609.6094,213
21,2390.154,609.5295,215
22,2388.003,609.4496,215
23,2385.851,609.3697,215
24,2383.699,609.2898,218
25,2381.546,609.2099,218
26,2379.392,609.1300,219
27,2377.238,609.0500,215
28,2375.083,608.9701,215
29,2372.927,608.8902,213
30,2370.771,608.8102,214
31,2368.614,608.7303,215
32,2366.457,608.6504,213
33,2364.298,608.5704,215
34,2362.139,608.4905,214
35,2359.980,608.4105,215
36,2357.819,608.3306,213
37,2355.659,608.2506,218
38,2353.497,608.1706,211
39,2351.335,608.0907,219
40,2349.172,608.0107,219
41,2347.008,607.9307,220
42,2344.844,607.8508,218
43,2342.679,607.7708,221
44,2340.513,607.6908,220
45,2338.347,607.6108,218
46,2336.180,607.5308,215
47,2334.012,607.4508,212
48,2331.844,607.3708,215
49,2329.675,607.2908,215
50,2327.505,607.2108,212
51,2325.335,607.1308,216
52,2323.164,607.0508,220
53,2320.993,606.9708,216
54,2318.820,606.8908,213
55,2316.647,606.8107,220
56,2314.474,606.7307,211
57,2312.299,606.6507,215
58,2310.124,606.5706,218
59,2307.949,606.4906,216
60,2305.772,606.4106,214
61,2303.595,606.3305,219
62,2301.418,606.2505,215
63,2299.239,606.1704,215
64,2297.060,606.0904,218
65,2294.881,606.0103,214
66,2292.700,605.9302,217
67,2290.519,605.8502,216
68,2288.338,605.7701,217
69,2286.155,605.6900,211
70,2283.972,605.6099,217
71,2281.789,605.5299,210
72,2279.604,605.4498,216
73,2277.419,605.3697,214
74,2275.233,605.2896,218
75,2273.047,605.2095,216
76,2270.860,605.1294,218
77,2268.672,605.0493,217
78,2266.484,604.9692,222
79,2264.295,604.8891,214
80,2262.105,604.8090,215
81,2259.914,604.7289,216
82,2257.723,604.6488,217
83,2255.531,604.5686,212
84,2253.339,604.4885,220
85,2251.146,604.4084,223
86,2248.952,604.3282,218
87,2246.757,604.2481,217
88,2244.562,604.1680,218
89,2242.366,604.0878,219
90,2240.170,604.0077,218
91,2237.973,603.9275,219
92,2235.775,603.8474,220
93,2233.576,603.7672,218
94,2231.377,603.6871,221
95,2229.177,603.6069,215
96,2226.976,603.5267,220
