pixel,intensity
0,154
1,154
2,154
3,158
4,157
5,155
6,151
7,155
8,155
9,156
10,155
11,154
12,151
13,153
14,155
15,156
16,155
17,153
18,155
19,152
20,152
21,155
22,156
23,152
24,154
25,152
26,157
27,153
28,153
29,155
30,152
31,156
32,154
33,154
34,156
35,153
36,155
37,155
38,155
39,154
40,156
41,153
42,152
43,153
44,154
45,157
46,153
47,152
48,154
49,153
50,152
51,157
52,153
53,156
54,157
55,156
56,155
57,154
58,154
59,153
60,154
61,151
62,155
63,153
64,155
65,152
66,155
67,152
68,153
69,155
70,153
71,153
72,153
73,152
74,152
75,154
76,149
77,151
78,153
79,156
80,155
81,155
82,153
83,156
84,154
85,154
86,154
87,153
88,153
89,153
90,154
91,153
92,155
93,152
94,155
95,154
96,153
97,153
98,155
99,152
100,153
101,157
102,152
103,156
104,155
105,155
106,153
107,154
108,154
109,150
110,154
111,155
112,153
113,156
114,154
115,156
116,154
117,154
118,152
119,155
120,152
121,152
122,154
123,153
124,152
125,151
126,154
127,155
128,151
129,153
130,155
131,152
132,153
133,154
134,153
135,154
136,154
137,154
138,152
139,153
140,155
141,153
142,155
143,152
144,151
145,152
146,155
147,156
148,154
149,153
150,156
151,152
152,152
153,153
154,153
155,154
156,155
157,154
158,155
159,152
160,154
161,155
162,154
163,151
164,153
165,153
166,155
167,154
168,153
169,152
170,153
171,153
172,154
173,154
174,155
175,152
176,154
177,154
178,154
179,152
180,152
181,154
182,154
183,155
184,153
185,154
186,155
187,155
188,155
189,154
190,155
191,155
192,154
193,152
194,156
195,154
196,151
197,152
198,154
199,152
200,155
201,151
202,152
203,153
204,153
205,155
206,154
207,152
208,154
209,151
210,152
211,153
212,151
213,154
214,152
215,152
216,153
217,153
218,155
219,155
220,152
221,153
222,154
223,153
224,153
225,155
226,156
227,151
228,153
229,154
230,153
231,151
232,153
233,154
234,151
235,155
236,152
237,153
238,153
239,153
240,153
241,153
242,152
243,153
244,151
245,151
246,151
247,151
248,152
249,154
250,154
251,154
252,150
253,154
254,151
255,150
256,153
257,153
258,156
259,155
260,152
261,151
262,154
263,153
264,153
265,154
266,152
267,152
268,154
269,154
270,155
271,153
272,153
273,151
274,152
275,152
276,152
277,154
278,153
279,154
280,155
281,153
282,150
283,152
284,155
285,153
286,154
287,153
288,155
289,154
290,154
291,154
292,153
293,153
294,155
295,154
296,152
297,151
298,156
299,153
300,152
301,154
302,153
303,153
304,152
305,155
306,152
307,151
308,151
309,152
310,151
311,154
312,151
313,152
314,155
315,153
316,153
317,154
318,153
319,150
320,152
321,154
322,154
323,153
324,152
325,153
326,151
327,153
328,152
329,152
330,152
331,154
332,152
333,152
334,153
335,152
336,151
337,153
338,154
339,154
340,153
341,155
342,153
343,153
344,154
345,153
346,155
347,152
348,151
349,153
350,156
351,153
352,151
353,151
354,151
355,151
356,153
357,150
358,152
359,152
360,152
361,154
362,156
363,153
364,154
365,155
366,153
367,153
368,154
369,157
370,153
371,153
372,154
373,158
374,154
375,155
376,150
377,152
378,156
379,154
380,153
381,153
382,154
383,155
384,154
385,152
386,155
387,154
388,153
389,152
390,153
391,156
392,154
393,153
394,155
395,153
396,154
397,152
398,154
399,154
400,155
401,156
402,153
403,155
404,153
405,153
406,155
407,152
408,155
409,153
410,153
411,153
412,155
413,155
414,153
415,152
416,155
417,154
418,153
419,155
420,154
421,155
422,153
423,155
424,158
425,156
426,152
427,155
428,156
429,155
430,155
431,153
432,154
433,156
434,158
435,156
436,156
437,156
438,159
439,152
440,153
441,154
442,153
443,155
444,154
445,154
446,154
447,155
448,155
449,157
450,159
451,157
452,159
453,156
454,159
455,160
456,158
457,157
458,155
459,158
460,157
461,162
462,158
463,160
464,159
465,159
466,163
467,160
468,159
469,162
470,158
471,159
472,159
473,156
474,157
475,160
476,159
477,157
478,160
479,160
480,161
481,160
482,166
483,168
484,166
485,167
486,166
487,171
488,166
489,159
490,160
491,159
