pixel_index,raman_shift_cm-1,intensity
0,200.0,0.0
1,201.0,6.627159801443825e-07
2,202.0,1.3293475643043947e-06
3,203.0,1.9998947524800366e-06
4,204.0,2.673378643676095e-06
5,205.0,3.3517570398899516e-06
6,206.0,4.034051040126394e-06
7,207.0,4.720260644378466e-06
8,208.0,5.4103858526461665e-06
9,209.0,6.104426664936453e-06
10,210.0,6.802383081242369e-06
11,211.0,7.5042551015708705e-06
12,212.0,8.211021626924125e-06
13,213.0,8.920724855283887e-06
14,214.0,9.635322588675356e-06
15,215.0,1.0354814827084625e-05
16,216.0,1.1077243768507354e-05
17,217.0,1.1804567214954838e-05
18,218.0,1.2536785166427074e-05
19,219.0,1.3272918721914941e-05
20,220.0,1.4012967881425393e-05
21,221.0,1.4758890446962767e-05
22,222.0,1.5507749715506645e-05
23,223.0,1.6262482390084405e-05
24,224.0,1.7020151767675622e-05
25,225.0,1.7783694551293763e-05
26,226.0,1.8552131839936657e-05
27,227.0,1.9324484732602137e-05
28,228.0,2.0101732130285416e-05
29,229.0,2.088387403299345e-05
30,230.0,2.167091044071928e-05
31,231.0,2.2462841353476817e-05
32,232.0,2.3259666771252156e-05
33,233.0,2.4061386694052246e-05
34,234.0,2.486800112187709e-05
35,235.0,2.5679510054726688e-05
36,236.0,2.6496892393596256e-05
37,237.0,2.731916923749753e-05
38,238.0,2.8146340586416605e-05
39,239.0,2.897840644036043e-05
40,240.0,2.981634570033118e-05
41,241.0,3.065917946532668e-05
42,242.0,3.1507886636349106e-05
43,243.0,3.2362467213398455e-05
44,244.0,3.322194229547255e-05
45,245.0,3.408631188257141e-05
46,246.0,3.495753377669936e-05
47,247.0,3.5833650175852055e-05
48,248.0,3.671563998103863e-05
49,249.0,3.7603503192245174e-05
50,250.0,3.8497239809478645e-05
51,251.0,3.9396849832745984e-05
52,252.0,4.03023332620333e-05
53,253.0,4.1213690097354485e-05
54,254.0,4.21309203387026e-05
55,255.0,4.3055002887086756e-05
56,256.0,4.398495884149088e-05
57,257.0,4.492078820192888e-05
58,258.0,4.5862490968393805e-05
59,259.0,4.681202494288999e-05
60,260.0,4.776645342241788e-05
61,261.0,4.872871310997703e-05
62,262.0,4.9696846203570065e-05
63,263.0,5.067183160418523e-05
64,264.0,5.165269041083427e-05
65,265.0,5.264138042552153e-05
66,266.0,5.363594384623571e-05
67,267.0,5.46383384749881e-05
68,268.0,5.564758541077655e-05
69,269.0,5.6662705752584954e-05
70,270.0,5.76866362034407e-05
71,271.0,5.871644006032337e-05
72,272.0,5.97540751252373e-05
73,273.0,6.079856249718727e-05
74,274.0,6.185088107717546e-05
75,275.0,6.291103086520187e-05
76,276.0,6.397803296025737e-05
77,277.0,6.505286626335803e-05
78,278.0,6.613553077448996e-05
79,279.0,6.722602649365315e-05
80,280.0,6.832533232186367e-05
81,281.0,6.943149045711023e-05
82,282.0,7.054547980038807e-05
83,283.0,7.166827925271323e-05
84,284.0,7.279890991306966e-05
85,285.0,7.393835068247343e-05
86,286.0,7.508562265990846e-05
87,287.0,7.624170474639082e-05
88,288.0,7.740659694191357e-05
89,289.0,7.85802992464767e-05
90,290.0,7.976183275907804e-05
91,291.0,8.095315528172195e-05
92,292.0,8.215328791341319e-05
93,293.0,8.336223065414481e-05
94,294.0,8.458096240491898e-05
95,295.0,8.58085042647405e-05
96,296.0,8.704583513460456e-05
97,297.0,8.8291976113509e-05
98,298.0,8.954888500346513e-05
99,299.0,9.08146040024686e-05
100,300.0,9.20901120115146e-05
101,301.0,9.337540903060316e-05
102,302.0,9.467147396075037e-05
103,303.0,9.597732790094012e-05
104,304.0,9.729394975218154e-05
105,305.0,9.862036061346552e-05
106,306.0,9.995753938580813e-05
107,307.0,0.00010130548606919547
108,308.0,0.00010266420066363446
109,309.0,0.00010403368316912515
110,310.0,0.0001054139335856675
111,311.0,0.00010680593081426371
112,312.0,0.00010820869595391855
113,313.0,0.00010962320790562027
114,314.0,0.0001110494666693828
115,315.0,0.00011248747224519916
116,316.0,0.00011393722463306936
117,317.0,0.00011539872383299343
118,318.0,0.00011687294874598741
119,319.0,0.00011835892047102828
120,320.0,0.00011985761790913212
121,321.0,0.00012136904106029893
122,322.0,0.00012289318992452175
123,323.0,0.00012443006450180754
124,324.0,0.00012597966479214933
125,325.0,0.00012754296969656325
126,326.0,0.0001291199792150353
127,327.0,0.00013070971444657036
128,328.0,0.00013231413319317965
129,329.0,0.00013393225655384714
130,330.0,0.00013556408452857977
131,331.0,0.00013721059601838666
132,332.0,0.00013887179102326086
133,333.0,0.0001405466906422002
134,334.0,0.000142237252677209
135,335.0,0.00014394249822729206
136,336.0,0.00014566340619345155
137,337.0,0.00014739997657568053
138,338.0,0.00014915123047298375
139,339.0,0.00015091912568736558
140,340.0,0.00015270268331781688
141,341.0,0.00015450288226535373
142,342.0,0.00015631972252996224
143,343.0,0.00015815222521064717
144,344.0,0.0001600023481094198
145,345.0,0.00016187009122627325
146,346.0,0.00016375447566020524
147,347.0,0.00016565745921322717
