pixel_index,raman_shift_cm-1,intensity
0,800,41.878212
1,801,41.885824
2,802,41.893701
3,803,41.901845
4,804,41.910258
5,805,41.918941
6,806,41.927897
7,807,41.937128
8,808,41.946637
9,809,41.956425
10,810,41.966495
11,811,41.976851
12,812,41.987495
13,813,41.998431
14,814,42.00966
15,815,42.021188
16,816,42.033017
17,817,42.045152
18,818,42.057595
19,819,42.070352
20,820,42.083426
21,821,42.096822
22,822,42.110543
23,823,42.124596
24,824,42.138985
25,825,42.153715
26,826,42.168792
27,827,42.18422
28,828,42.200006
29,829,42.216156
30,830,42.232676
31,831,42.249571
32,832,42.266849
33,833,42.284517
34,834,42.302582
35,835,42.32105
36,836,42.33993
37,837,42.35923
38,838,42.378957
39,839,42.39912
40,840,42.419728
41,841,42.44079
42,842,42.462314
43,843,42.484311
44,844,42.506791
45,845,42.529764
46,846,42.55324
47,847,42.577231
48,848,42.601748
49,849,42.626803
50,850,42.652409
51,851,42.678576
52,852,42.70532
53,853,42.732653
54,854,42.76059
55,855,42.789145
56,856,42.818332
57,857,42.848169
58,858,42.878669
59,859,42.909852
60,860,42.941733
61,861,42.97433
62,862,43.007663
63,863,43.04175
64,864,43.076612
65,865,43.112268
66,866,43.148741
67,867,43.186052
68,868,43.224226
69,869,43.263285
70,870,43.303254
71,871,43.34416
72,872,43.386029
73,873,43.428889
74,874,43.472768
75,875,43.517698
76,876,43.563708
77,877,43.610831
78,878,43.659102
79,879,43.708555
80,880,43.759226
81,881,43.811154
82,882,43.864378
83,883,43.918939
84,884,43.974881
85,885,44.032247
86,886,44.091085
87,887,44.151443
88,888,44.213372
89,889,44.276924
90,890,44.342156
91,891,44.409123
92,892,44.477887
93,893,44.548511
94,894,44.62106
95,895,44.695603
96,896,44.772212
97,897,44.850963
98,898,44.931934
99,899,45.015207
100,900,45.10087
101,901,45.189014
102,902,45.279733
103,903,45.373127
104,904,45.469301
105,905,45.568366
106,906,45.670437
107,907,45.775637
108,908,45.884092
109,909,45.995939
110,910,46.111319
111,911,46.230382
112,912,46.353285
113,913,46.480196
114,914,46.61129
115,915,46.746753
116,916,46.88678
117,917,47.03158
118,918,47.181371
119,919,47.336387
120,920,47.496874
121,921,47.663093
122,922,47.835322
123,923,48.013855
124,924,48.199005
125,925,48.391104
126,926,48.590508
127,927,48.797593
128,928,49.012763
129,929,49.236445
130,930,49.4691
131,931,49.711217
132,932,49.963322
133,933,50.225975
134,934,50.499779
135,935,50.785381
136,936,51.083475
137,937,51.394808
138,938,51.720184
139,939,52.06047
140,940,52.4166
141,941,52.789585
142,942,53.180518
143,943,53.590582
144,944,54.021062
145,945,54.473351
146,946,54.948966
147,947,55.449559
148,948,55.976932
149,949,56.533052
150,950,57.120075
151,951,57.74036
152,952,58.396501
153,953,59.09135
154,954,59.828051
155,955,60.610073
156,956,61.441259
157,957,62.325866
158,958,63.268626
159,959,64.274812
160,960,65.350306
161,961,66.501694
162,962,67.736365
163,963,69.062632
164,964,70.489873
165,965,72.028703
166,966,73.691164
167,967,75.490971
168,968,77.443791
169,969,79.567586
170,970,81.883024
171,971,84.413976
172,972,87.188129
173,973,90.237727
174,974,93.60049
175,975,97.320748
176,976,101.450858
177,977,106.052967
178,978,111.201241
179,979,116.98468
180,980,123.510706
181,981,130.909756
182,982,139.341184
183,983,149.000901
184,984,160.131278
185,985,173.034013
186,986,188.086834
187,987,205.765076
188,988,226.669178
189,989,251.558861
190,990,281.393454
191,991,317.374483
192,992,360.978616
193,993,413.951633
194,994,478.19898
195,995,555.445772
196,996,646.450611
197,997,749.507311
198,998,858.192993
199,999,959.276436
200,1000,1033.434028
201,1001,1061.759698
202,1002,1036.16026
203,1003,964.761224
204,1004,866.501894
205,1005,760.74098
206,1006,660.747707
207,1007,572.987063
208,1008,499.212851
209,1009,438.721294
210,1010,389.851403
211,1011,350.773793
212,1012,319.834009
213,1013,295.666235
214,1014,277.204837
215,1015,263.658533
216,1016,254.477031
217,1017,249.322588
218,1018,248.050985
219,1019,250.70283
220,1020,257.504168
221,1021,268.873198
222,1022,285.425515
223,1023,307.960868
224,1024,337.395303
225,1025,374.568225
226,1026,419.80535
227,1027,472.091014
228,1028,527.826726
229,1029,579.678449
230,1030,616.968478
231,1031,629.254354
232,1032,612.044987
233,1033,569.772715
234,1034,512.819597
235,1035,451.799544
236,1036,393.977514
237,1037,342.875459
238,1038,299.422487
239,1039,263.193222
240,1040,233.231685
241,1041,208.483562
242,1042,187.983084
243,1043,170.913124
