raman_shift_cm-1,intensity
800,59.325476
801,48.49024
802,39.931986
803,45.041193
804,29.851388
805,27.881765
806,25.149151
807,28.80277
808,11.736506
809,16.011875
810,8.4591059
811,4.9522118
812,12.953319
813,9.0747554
814,7.599153
815,16.210685
816,-0.489347
817,6.2627814
818,16.239655
819,13.893351
820,11.388198
821,8.5650946
822,10.068641
823,9.1584396
824,2.2113956
825,11.755185
826,5.5184192
827,-3.3545384
828,7.9160853
829,14.620446
830,-2.8003253
831,0.63668877
832,3.1968818
833,2.6915798
834,1.2449053
835,3.1703215
836,-2.566767
837,-2.4302566
838,-6.0119132
839,5.3807105
840,-0.55678888
841,4.4473112
842,6.0626852
843,-9.36706
844,2.610344
845,0.42434187
846,-6.5621984
847,-2.1345537
848,9.9928046
849,-2.0754799
850,3.9623089
851,1.2151234
852,-1.9347499
853,3.7932218
854,10.419615
855,3.9018734
856,-3.2420254
857,2.1075569
858,7.2304095
859,2.5433908
860,4.4476763
861,-6.5471497
862,1.4466868
863,5.1457292
864,-7.2550328
865,6.360503
866,-14.21927
867,0.89529414
868,-4.9102873
869,-3.646641
870,11.755124
871,5.3285137
872,9.7882675
873,3.5608668
874,-3.2327755
875,1.7200427
876,4.8437223
877,-4.8970722
878,1.8657798
879,2.5217479
880,12.314839
881,-3.2660029
882,-11.98686
883,3.1349852
884,-4.2537637
885,12.468105
886,2.6458887
887,1.8482477
888,8.343714
889,7.1776533
890,-0.91456364
891,-1.0894584
892,-1.824747
893,7.2701913
894,-2.1313583
895,-4.1549699
896,-6.0524162
897,1.7888481
898,4.1411365
899,1.3929799
900,-0.76024016
901,11.707424
902,-6.099479
903,5.6906535
904,-16.0501
905,18.556424
906,2.060495
907,-5.4748759
908,9.2188217
909,7.4554255
910,8.1349783
911,-5.0228087
912,6.1290838
913,5.2137006
914,5.3384798
915,3.2737894
916,-2.9867058
917,12.891932
918,-3.7794977
919,4.1802053
920,-0.15531841
921,1.3389769
922,13.324202
923,-2.4006527
924,8.4912841
925,5.6541191
926,-8.4234449
927,-5.3640723
928,10.956062
929,-2.761515
930,8.7589804
931,2.1484812
932,-3.8756014
933,3.1334642
934,1.0411181
935,11.544897
936,5.5407594
937,-5.0395293
938,1.1731619
939,6.6408121
940,10.811397
941,4.4430262
942,1.2355832
943,1.2377682
944,5.2742012
945,-8.8400232
946,4.321818
947,7.3116039
948,0.12517809
949,3.4379384
950,6.8088609
951,1.6760338
952,6.4756748
953,2.5557456
954,16.782151
955,0.63834682
956,1.8210352
957,8.9583664
958,8.4000132
959,14.556359
960,9.6943652
961,0.14961205
962,14.365229
963,12.387771
964,20.565847
965,18.306709
966,1.0639729
967,14.671195
968,14.92409
969,18.280576
970,13.777728
971,3.9491506
972,9.0215478
973,18.578688
974,5.8343352
975,27.055344
976,16.281367
977,14.917067
978,23.767131
979,28.223531
980,19.686565
981,25.13528
982,29.59083
983,32.671242
984,32.339603
985,28.248956
986,47.197287
987,55.148014
988,62.605292
989,61.718205
990,79.074291
991,88.763488
992,111.73034
993,125.30014
994,165.47993
995,209.6741
996,275.75782
997,361.71249
998,498.17191
999,694.34209
1000,909.02918
1001,998.16787
1002,897.49508
1003,691.74444
1004,505.50796
1005,373.63569
1006,268.60542
1007,209.36988
1008,169.03938
1009,128.55664
1010,116.64488
1011,90.357216
1012,96.124573
1013,64.166417
1014,59.928714
1015,65.610318
1016,64.895229
1017,62.988615
1018,56.064858
1019,48.836314
1020,66.739373
1021,59.817516
1022,83.799217
1023,89.700146
1024,94.349538
1025,132.71665
1026,147.94587
1027,193.84915
1028,241.42995
1029,332.95427
1030,398.47512
1031,421.91114
1032,394.05296
1033,324.3183
1034,250.59569
1035,181.2066
1036,145.81271
1037,114.97798
1038,89.535049
1039,64.41303
1040,58.190186
1041,50.46896
1042,40.59188
1043,46.736097
1044,30.529639
1045,24.680301
1046,26.122164
1047,21.353561
1048,22.151414
1049,19.97408
1050,28.013551
1051,15.971661
1052,16.324836
1053,16.519758
1054,14.559889
1055,11.405131
1056,19.947681
1057,22.686681
1058,17.222359
1059,11.734969
1060,7.0420658
1061,10.805385
1062,8.1532382
1063,7.7478262
1064,-7.1925569
1065,10.775153
1066,-2.0344038
1067,4.2862003
1068,5.899518
1069,3.2869121
1070,10.709122
1071,13.288428
1072,5.1190111
1073,2.9887799
1074,-0.97414512
1075,6.6258871
1076,14.453896
1077,-0.24796691
1078,3.3108751
1079,13.219053
1080,-5.6148254
1081,16.678674
1082,-1.4586745
1083,3.2189988
1084,1.158251
1085,6.5988208
1086,-0.22906291
1087,3.0711775
1088,-1.7768619
1089,8.4187837
1090,13.464034
1091,5.3923765
1092,9.7231829
1093,-0.11077701
1094,8.8229899
1095,12.924177
1096,-9.2379294
1097,5.2094973
1098,12.791806
1099,-4.0619515
1100,-5.762536
1101,12.973172
1102,2.5923357
1103,1.498097
1104,-3.4718233
1105,2.6160166
1106,5.9895758
1107,8.297522
1108,7.0249414
1109,-1.2095199
1110,4.4903988
1111,2.6497334
1112,-2.8189051
1113,5.5894198
1114,4.3498516
1115,3.9084146
1116,0.81796297
1117,12.904908
1118,1.7569682
1119,13.216821
1120,9.6028038
1121,10.443401
1122,-1.869635
1123,4.8675231
1124,-1.7194696
1125,5.1503659
1126,1.7984855
1127,-2.7625044
1128,8.1552152
1129,3.6556737
1130,13.869497
1131,5.4253612
1132,9.1610074
1133,17.836411
1134,-3.9059318
1135,20.102518
1136,1.0946658
1137,14.756579
1138,19.095734
1139,17.962901
1140,3.4817135
1141,15.57272
1142,30.511895
1143,26.816378
1144,31.105817
1145,30.061693
1146,38.467875
1147,51.134125
1148,58.86459
1149,51.930025
1150,81.417083
1151,80.537045
1152,119.78038
1153,116.01327
1154,133.71667
1155,134.56813
1156,147.43154
1157,128.79404
1158,104.91879
1159,84.599568
1160,82.282925
1161,66.049306
1162,51.731165
1163,42.207894
1164,47.918191
1165,26.877069
1166,33.365068
1167,36.871922
1168,37.771054
1169,22.865222
1170,30.361732
1171,27.18958
1172,28.309899
1173,25.394357
1174,28.311776
1175,39.708235
1176,45.478885
1177,49.395366
1178,65.984956
1179,72.185954
1180,84.05423
1181,106.10714
1182,121.2763
1183,135.97019
1184,114.23339
1185,108.43138
1186,79.953219
1187,84.630149
1188,52.468513
1189,42.652125
1190,32.421236
1191,20.717073
1192,30.12359
1193,27.88295
1194,16.267955
1195,13.100562
1196,12.607208
1197,22.962101
1198,10.050558
1199,5.7748945
1200,6.3393367
