raman_shift_cm-1,intensity
200,300.0010839659
201,300.00019687241
202,299.999752404205
203,300.000257172705
204,299.999757155305
205,300.00101173965
206,299.99975537059
207,299.9993854017
208,300.0015857963
209,299.9984864225
210,300.000471546945
211,300.00117877735
212,299.999630734245
213,300.00037930793
214,300.0018179437
215,300.0011249524
216,300.000110824615
217,299.999692526625
218,300.00018113915
219,299.99897730025
220,299.9978836791
221,299.998864228
222,299.99959017829
223,300.00101136075
224,300.00056084245
225,299.9994793727
226,299.99872735625
227,299.99962721278
228,299.99958068635
229,300.00162486085
230,299.999840273255
231,299.9999955391494
232,299.99920499685
233,300.00202093935
234,299.99955196845
235,299.999944398385
236,299.999812377825
237,299.99935762065
238,299.9994057954
239,300.0006213801
240,299.99820731205
241,299.999768743675
242,299.9989682329
243,299.99922324995
244,300.00084194125
245,300.000281138395
246,300.00010212795
247,300.000267950755
248,299.99985229796
249,299.99994291673
250,300.000429972845
251,299.99898453675
252,300.0020265624
253,300.00057444665
254,300.0016343695
255,299.99938613015
256,299.999972336687
257,299.99963976993
258,299.9993370348
259,299.99987495204
260,299.999500627045
261,299.999727129535
262,299.9990263954
263,300.000224168415
264,299.9994664096
265,299.999700378525
266,299.9983408309
267,300.00008082017
268,299.99982427889
269,300.0014120635
270,300.0013848321
271,299.99932287075
272,299.9998878591
273,300.00070037595
274,299.999870268665
275,299.99866918855
276,299.99963726455
277,300.00054206005
278,299.999229749
279,299.99819707275
280,299.9991990423
281,299.9991762996
282,299.99842347025
283,300.00014453092
284,299.9987171645
285,299.999928387475
286,299.9992406724
287,300.00072527955
288,300.0006631882
289,299.999682724505
290,300.00148243
291,300.0017512556
292,299.999773235385
293,299.999742661825
294,299.9993783861
295,299.9987454906
296,299.999519302455
297,299.999929541575
298,300.0004347495
299,299.99937019845
300,300.00116324705
301,299.999738941555
302,299.99992437877
303,300.00078481385
304,300.0015312268
305,300.0006295212
306,299.999921003575
307,299.9999977105227
308,299.9994643648
309,299.999621113375
310,300.000249833875
311,299.99945510095
312,299.99981718676
313,299.99955841464
314,299.99926954365
315,299.99977717801
316,299.999977127346
317,299.999632362915
318,299.9981391179
319,299.99963700955
320,300.0012395502
321,300.00015139806
322,300.000419341155
323,300.000389056935
324,299.9989483208
325,299.99953010266
326,299.999803224905
327,299.99950404873
328,299.999979834489
329,299.999598622975
330,300.000163733845
331,300.00053949665
332,300.00033405103
333,300.0008062677
334,300.00103181945
335,300.000191550545
336,300.0006244813
337,300.00101732725
338,299.9993095571
339,299.9989741443
340,300.0013208095
341,299.999542375415
342,300.0008440545
343,300.00067528245
344,299.99903621935
345,300.00167908875
346,300.0005783588
347,300.0024234903
348,300.00156271395
349,300.001029999
350,299.9989239496
351,299.99778926675
352,300.000253100955
353,299.9999109141
354,299.999707996345
355,299.99893719225
356,300.0010530967
357,299.99662561005
358,300.0000276098295
359,299.99961521761
360,300.00074530105
361,300.00195716705
362,300.00072851345
363,299.999848502935
364,299.9989545348
365,300.00079648025
366,299.999503506125
367,299.99969343113
368,300.00089753455
369,300.000336852395
370,300.0005125604
371,299.9989430672
372,300.0012529002
373,299.99939506295
374,300.0012971286
375,299.9994759015
376,300.0014678229
377,300.00081937685
378,299.99971039333
379,300.0022303849
380,299.9988688916
381,300.0008074046
382,299.9994136046
383,299.99980449709
384,300.000137593165
