raman_shift_cm-1,intensity
200.000000,5.907262
201.000000,-1.377519
202.000000,5.017342
203.000000,3.063823
204.000000,-4.17245
205.000000,-2.76634
206.000000,7.2972
207.000000,-0.359607
208.000000,-1.981938
209.000000,2.589547
210.000000,-11.562317
211.000000,0.68822
212.000000,-1.789942
213.000000,-3.758418
214.000000,-3.663993
215.000000,1.568105
216.000000,-8.445883
217.000000,-0.678051
218.000000,-14.257635
219.000000,2.207491
220.000000,-3.866058
221.000000,7.529078
222.000000,6.713296
223.000000,0.472231
224.000000,-10.467262
225.000000,3.380253
226.000000,-2.677382
227.000000,4.938558
228.000000,5.442777
229.000000,1.199187
230.000000,3.619445
231.000000,-5.074717
232.000000,6.89701
233.000000,1.951824
234.000000,-5.467965
235.000000,0.474733
236.000000,-8.426794
237.000000,-10.171384
238.000000,4.299866
239.000000,-4.052192
240.000000,-9.831029
241.000000,-5.452044
242.000000,10.377061
243.000000,-4.388769
244.000000,4.973317
245.000000,6.42021
246.000000,-5.427439
247.000000,-7.303366
248.000000,2.361386
249.000000,2.721775
250.000000,0.527901
251.000000,6.816203
252.000000,1.657783
253.000000,-1.621765
254.000000,4.754865
255.000000,-1.009503
256.000000,-9.059273
257.000000,-0.602296
258.000000,-5.34857
259.000000,5.4385
260.000000,-2.039559
261.000000,-2.954932
262.000000,-4.591693
263.000000,0.186567
264.000000,-2.443155
265.000000,5.350218
266.000000,7.03041
267.000000,11.696878
268.000000,-2.980911
269.000000,0.638192
270.000000,-9.060713
271.000000,2.121156
272.000000,4.830743
273.000000,8.908942
274.000000,-5.163362
275.000000,9.78723
276.000000,-2.232463
277.000000,4.864577
278.000000,3.409274
279.000000,-11.489005
280.000000,-4.265024
281.000000,-3.888099
282.000000,-5.895911
283.000000,-1.060116
284.000000,-0.383164
285.000000,-12.120048
286.000000,0.337186
287.000000,-1.504762
288.000000,-2.846522
289.000000,6.766847
290.000000,-4.114315
291.000000,5.904865
292.000000,17.765312
293.000000,-3.198341
294.000000,-7.769929
295.000000,-0.454636
296.000000,-1.688486
297.000000,-1.582632
298.000000,5.80839
299.000000,2.02889
300.000000,4.905256
301.000000,-0.917292
302.000000,3.982543
303.000000,6.676386
304.000000,5.645013
305.000000,1.304575
306.000000,4.402357
307.000000,1.798732
308.000000,-6.860718
309.000000,-3.493715
310.000000,3.346128
311.000000,-0.200028
312.000000,-7.462301
313.000000,2.260846
314.000000,-0.701767
315.000000,-5.007754
316.000000,7.280663
317.000000,-10.506019
318.000000,8.398412
319.000000,-0.193807
320.000000,-1.523999
321.000000,2.709285
322.000000,2.640477
323.000000,-3.159865
324.000000,-0.81185
325.000000,-0.137012
326.000000,5.927633
327.000000,-3.144256
328.000000,-1.895695
329.000000,-3.806668
330.000000,5.725633
331.000000,1.999631
332.000000,1.027187
333.000000,-11.025963
334.000000,1.970337
335.000000,1.013627
336.000000,0.547834
337.000000,1.083795
338.000000,-2.109158
339.000000,8.111886
340.000000,6.420378
341.000000,-1.295649
342.000000,-6.132002
343.000000,1.22197
344.000000,-3.503884
345.000000,-2.709865
346.000000,4.618101
347.000000,6.144416
348.000000,5.371903
349.000000,2.215689
350.000000,-1.098946
351.000000,8.158624
352.000000,5.605472
353.000000,7.26015
354.000000,-4.182041
355.000000,5.878188
356.000000,5.993559
357.000000,-9.784084
358.000000,-2.665973
359.000000,-3.943777
360.000000,-5.410351
361.000000,3.850226
362.000000,-0.331176
363.000000,5.678207
364.000000,-0.069222
365.000000,-1.194439
366.000000,-3.983885
367.000000,-6.694879
368.000000,4.187906
369.000000,-3.913664
370.000000,0.86411
371.000000,-0.342917
372.000000,10.945851
373.000000,8.901881
374.000000,-0.785375
375.000000,-9.063487
376.000000,1.051139
377.000000,-3.624161
378.000000,1.125749
379.000000,2.854281
380.000000,3.295825
381.000000,-1.553002
382.000000,-5.609925
383.000000,-0.322992
384.000000,1.618317
385.000000,3.273367
386.000000,3.799548
387.000000,3.104287
388.000000,-10.296213
389.000000,-2.037418
390.000000,-2.887482
391.000000,1.081489
392.000000,-3.478096
393.000000,-5.060262
394.000000,-4.279364
395.000000,1.738808
396.000000,-0.731703
397.000000,7.288571
398.000000,4.642003
399.000000,2.415603
400.000000,-5.100799
401.000000,3.258018
402.000000,-0.402532
403.000000,-14.46855
404.000000,-6.629004
405.000000,-1.686132
406.000000,-6.296709
407.000000,1.491272
408.000000,-1.56568
409.000000,-1.254354
410.000000,-0.391981
411.000000,-9.686838
412.000000,-2.937844
413.000000,-8.491859
414.000000,1.973783
415.000000,-3.503616
416.000000,9.79862
417.000000,3.690285
418.000000,5.499396
419.000000,3.578866
420.000000,1.696181
421.000000,-3.829879
422.000000,2.970447
423.000000,-7.360934
424.000000,-0.773237
425.000000,-7.443626
426.000000,-3.3086
427.000000,-4.499855
428.000000,0.679649
429.000000,1.278717
430.000000,2.983774
431.000000,-4.708171
432.000000,6.362624
433.000000,4.526721
434.000000,-11.460677
435.000000,-7.874871
436.000000,8.201261
437.000000,2.669303
438.000000,2.46371
439.000000,-3.94899
440.000000,-1.149543
441.000000,-3.482457
442.000000,-1.472048
443.000000,-2.024718
444.000000,0.860664
445.000000,4.126574
446.000000,2.381433
447.000000,-1.010729
448.000000,2.82288
449.000000,-7.092015
450.000000,-1.234729
451.000000,4.129461
452.000000,1.947224
453.000000,5.084158
454.000000,6.918988
455.000000,2.518836
456.000000,-9.452812
457.000000,-9.073549
458.000000,-4.806895
459.000000,-5.850435
460.000000,-4.167389
461.000000,-4.027116
462.000000,2.176501
463.000000,6.039311
464.000000,-1.993345
465.000000,-11.002968
466.000000,1.295494
467.000000,4.639958
468.000000,-5.676465
469.000000,3.192615
470.000000,4.813245
471.000000,-5.20061
472.000000,0.620953
473.000000,-1.442687
474.000000,-3.298501
475.000000,-0.131515
476.000000,-9.097367
477.000000,-5.266343
478.000000,2.562698
479.000000,10.466549
480.000000,-3.324751
481.000000,-2.688427
482.000000,15.966066
483.000000,10.069476
484.000000,0.266858
485.000000,-6.134773
486.000000,0.868362
487.000000,4.634298
488.000000,9.344529
489.000000,-9.213534
490.000000,6.221517
491.000000,1.291392
492.000000,-10.160385
493.000000,1.08214
494.000000,2.851926
495.000000,-1.097686
496.000000,5.337882
497.000000,0.393937
498.000000,0.667066
499.000000,-7.682882
500.000000,0.061253
501.000000,-0.131725
502.000000,1.333605
503.000000,-6.639905
504.000000,-3.116226
505.000000,5.526485
506.000000,-2.61802
507.000000,1.011267
508.000000,-2.05353
509.000000,-13.57545
510.000000,-7.787222
511.000000,0.970607
512.000000,6.614397
513.000000,-6.755486
514.000000,1.729115
515.000000,3.308038
516.000000,2.443551
517.000000,5.030774
518.000000,7.415639
519.000000,9.899618
520.000000,11.738591
521.000000,3.865827
522.000000,7.317755
523.000000,-2.737518
524.000000,7.095548
525.000000,-9.857612
526.000000,-0.850272
527.000000,-8.375
528.000000,-3.716954
529.000000,2.631045
530.000000,-5.343137
531.000000,-1.100591
532.000000,2.731861
533.000000,-4.428261
534.000000,1.871798
535.000000,-8.219969
536.000000,-7.154497
537.000000,6.251933
538.000000,8.842423
539.000000,-5.826555
540.000000,0.606209
541.000000,6.981193
542.000000,3.638673
543.000000,-4.060696
544.000000,-1.816523
545.000000,8.650571
546.000000,4.942289
547.000000,-2.189159
548.000000,11.398219
549.000000,7.796214
550.000000,13.438617
551.000000,-8.469715
552.000000,6.509379
553.000000,-15.913899
554.000000,5.745672
555.000000,-7.36272
556.000000,1.182049
557.000000,10.424332
558.000000,-2.815534
559.000000,2.846356
560.000000,-2.218176
561.000000,4.610796
562.000000,1.406521
563.000000,4.739506
564.000000,-0.370164
565.000000,-1.185202
566.000000,6.640427
567.000000,0.116736
568.000000,4.400589
569.000000,4.304041
570.000000,-9.897977
571.000000,2.174065
572.000000,1.16793
573.000000,8.525592
574.000000,12.140567
575.000000,2.762852
576.000000,6.963199
577.000000,6.904707
578.000000,5.225943
579.000000,-5.42801
580.000000,-4.700356
581.000000,-8.088285
582.000000,-2.462693
583.000000,5.481352
584.000000,-1.285437
585.000000,-1.637637
586.000000,12.361865
587.000000,5.02076
588.000000,-1.851033
589.000000,-1.33828
590.000000,2.897171
591.000000,3.311677
592.000000,12.335623
593.000000,-2.536852
594.000000,1.793445
595.000000,-2.394818
596.000000,-2.967406
597.000000,10.6833
598.000000,11.313418
599.000000,0.152358
600.000000,3.592248
601.000000,16.413133
602.000000,13.5864
603.000000,14.565936
604.000000,10.628962
605.000000,14.669498
606.000000,25.571241
607.000000,19.416693
608.000000,22.869557
609.000000,24.831424
610.000000,34.080257
611.000000,32.140712
612.000000,31.9341
613.000000,47.167694
614.000000,66.186793
615.000000,70.063359
616.000000,93.999182
617.000000,122.401982
618.000000,144.303131
619.000000,169.922539
620.000000,194.172319
621.000000,174.011141
622.000000,150.900534
623.000000,114.639817
624.000000,102.970668
625.000000,82.527067
626.000000,67.535964
627.000000,46.703842
628.000000,47.096
629.000000,40.93598
630.000000,34.141737
631.000000,21.926104
632.000000,23.274902
633.000000,14.508113
634.000000,5.980071
635.000000,1.233544
636.000000,8.275513
637.000000,18.060399
638.000000,11.827339
639.000000,10.609913
640.000000,3.770423
641.000000,9.359637
642.000000,1.791112
643.000000,4.955014
644.000000,1.141891
645.000000,6.827631
646.000000,0.357325
647.000000,6.27022
648.000000,-0.328442
649.000000,6.204425
650.000000,8.262653
651.000000,2.007626
652.000000,12.472014
653.000000,-14.223689
654.000000,8.360083
655.000000,-5.200276
656.000000,0.411045
657.000000,8.441448
658.000000,-3.990458
659.000000,6.518077
660.000000,8.019913
661.000000,1.258096
662.000000,-8.358342
663.000000,11.325448
664.000000,3.377976
665.000000,3.666094
666.000000,7.16025
667.000000,1.696894
668.000000,3.355282
669.000000,6.989727
670.000000,1.900893
671.000000,-1.354888
672.000000,1.605087
673.000000,7.104535
674.000000,9.009596
675.000000,0.457099
676.000000,7.546329
677.000000,-1.206158
678.000000,9.43026
679.000000,-9.067362
680.000000,-0.257349
681.000000,5.550571
682.000000,14.848433
683.000000,-3.044278
684.000000,10.718673
685.000000,5.958374
686.000000,7.308147
687.000000,-1.502637
688.000000,2.086903
689.000000,-4.859917
690.000000,-6.888583
691.000000,10.168265
692.000000,-1.760127
693.000000,-0.887247
694.000000,0.681918
695.000000,6.083051
696.000000,7.232249
697.000000,9.706256
698.000000,6.600043
699.000000,6.949432
700.000000,-5.180968
701.000000,5.165817
702.000000,8.212827
703.000000,-0.567876
704.000000,2.501657
705.000000,6.225401
706.000000,7.807881
707.000000,12.807236
708.000000,1.596664
709.000000,10.120227
710.000000,-6.600071
711.000000,-0.607099
712.000000,-3.305174
713.000000,0.887127
714.000000,9.038204
715.000000,12.792559
716.000000,-0.715511
717.000000,-8.864028
718.000000,0.65154
719.000000,-3.327822
720.000000,-0.310666
721.000000,-4.304263
722.000000,2.753741
723.000000,5.700519
724.000000,5.926494
725.000000,-1.467706
726.000000,-3.558909
727.000000,2.572076
728.000000,9.716753
729.000000,7.645004
730.000000,-5.406455
731.000000,7.953979
732.000000,4.352694
733.000000,6.551149
734.000000,8.73469
735.000000,13.273382
736.000000,-0.647336
737.000000,-2.224519
738.000000,-0.709288
739.000000,10.455814
740.000000,5.390752
741.000000,-4.13876
742.000000,-1.542898
743.000000,15.783815
744.000000,-5.780091
745.000000,15.557515
746.000000,-0.555114
747.000000,7.355073
748.000000,-6.38053
749.000000,1.184903
750.000000,-1.067033
751.000000,1.525448
752.000000,4.8612
753.000000,-5.247117
754.000000,6.007452
755.000000,1.100369
756.000000,-1.243538
757.000000,13.679919
758.000000,-0.723733
759.000000,-0.127256
760.000000,6.027626
761.000000,0.377811
762.000000,10.343899
763.000000,-3.482937
764.000000,4.081604
765.000000,6.709124
766.000000,-4.30733
767.000000,2.037953
768.000000,-3.35212
769.000000,4.719441
770.000000,15.015477
771.000000,1.50522
772.000000,7.212437
773.000000,18.781032
774.000000,6.93648
775.000000,-3.058587
776.000000,5.697366
777.000000,3.891697
778.000000,13.244499
779.000000,10.599729
