raman_shift_cm-1,intensity
200.000000,-6.358721
201.000000,-5.517547
202.000000,-2.483928
203.000000,-9.380896
204.000000,12.655948
205.000000,2.132945
206.000000,4.286138
207.000000,2.1767
208.000000,2.418705
209.000000,7.7613
210.000000,-2.356362
211.000000,-1.547974
212.000000,9.180777
213.000000,-11.875368
214.000000,10.705821
215.000000,0.236506
216.000000,1.793643
217.000000,3.193648
218.000000,2.7445
219.000000,12.821921
220.000000,2.07386
221.000000,10.696185
222.000000,2.230031
223.000000,1.323886
224.000000,3.303128
225.000000,9.407067
226.000000,7.421402
227.000000,-9.270132
228.000000,-5.536039
229.000000,7.211025
230.000000,4.567303
231.000000,-1.90334
232.000000,-10.099703
233.000000,-9.316483
234.000000,-0.952437
235.000000,7.754084
236.000000,6.328574
237.000000,-1.024045
238.000000,-2.75432
239.000000,6.687835
240.000000,-6.321035
241.000000,-1.453245
242.000000,0.459126
243.000000,-9.915522
244.000000,-1.93132
245.000000,-4.007088
246.000000,8.036332
247.000000,3.828972
248.000000,5.815532
249.000000,1.506802
250.000000,11.391829
251.000000,-12.77404
252.000000,-9.141703
253.000000,-5.963193
254.000000,5.23285
255.000000,-4.462077
256.000000,-1.022439
257.000000,3.422472
258.000000,-8.29942
259.000000,6.412784
260.000000,8.960137
261.000000,-7.584499
262.000000,5.824298
263.000000,-0.505287
264.000000,-3.652021
265.000000,0.017774
266.000000,-3.609306
267.000000,-2.511092
268.000000,-1.196961
269.000000,0.172538
270.000000,9.628721
271.000000,0.407724
272.000000,0.27041
273.000000,0.940347
274.000000,-1.780977
275.000000,1.634107
276.000000,-2.482096
277.000000,10.625357
278.000000,-5.936202
279.000000,5.732378
280.000000,-9.553332
281.000000,4.53693
282.000000,-8.351609
283.000000,-5.027159
284.000000,4.27909
285.000000,0.441603
286.000000,-12.807325
287.000000,-4.112915
288.000000,2.536462
289.000000,9.49114
290.000000,8.415897
291.000000,0.143105
292.000000,-7.781516
293.000000,8.001445
294.000000,-0.986829
295.000000,1.628795
296.000000,-1.802416
297.000000,-8.683836
298.000000,-3.253065
299.000000,5.723504
300.000000,9.997579
301.000000,-3.971405
302.000000,0.459816
303.000000,3.825511
304.000000,-5.289506
305.000000,-3.116959
306.000000,3.483879
307.000000,3.871071
308.000000,-0.620385
309.000000,-2.805375
310.000000,-2.549043
311.000000,-9.284495
312.000000,-1.195432
313.000000,1.157781
314.000000,2.547214
315.000000,-1.174594
316.000000,0.512771
317.000000,2.452114
318.000000,-9.999945
319.000000,7.991584
320.000000,4.654249
321.000000,-6.477262
322.000000,-7.176525
323.000000,0.736752
324.000000,1.143247
325.000000,2.875783
326.000000,5.773649
327.000000,-0.779629
328.000000,-2.215025
329.000000,1.117035
330.000000,-9.277536
331.000000,-2.963676
332.000000,-4.009609
333.000000,-5.769086
334.000000,-7.619063
335.000000,-2.959772
336.000000,-3.97322
337.000000,-11.501654
338.000000,-1.914654
339.000000,-9.312637
340.000000,3.81737
341.000000,0.485408
342.000000,0.928917
343.000000,-2.774321
344.000000,8.036762
345.000000,-7.137325
346.000000,-0.037018
347.000000,-6.46689
348.000000,-4.378493
349.000000,-2.137691
350.000000,-2.350716
351.000000,8.970801
352.000000,-7.008511
353.000000,-6.914806
354.000000,-10.783778
355.000000,5.677147
356.000000,-7.12287
357.000000,-4.454494
358.000000,-12.406908
359.000000,4.626263
360.000000,6.280394
361.000000,-2.456746
362.000000,5.083511
363.000000,-11.51706
364.000000,-8.77796
365.000000,-5.121714
366.000000,-10.37311
367.000000,0.85045
368.000000,-0.830817
369.000000,-8.461561
370.000000,-0.220098
371.000000,-0.721326
372.000000,-2.222784
373.000000,0.846649
374.000000,-11.833987
375.000000,1.816211
376.000000,6.478046
377.000000,20.007418
378.000000,-6.492586
379.000000,-2.771339
380.000000,0.02593
381.000000,-0.118019
382.000000,-1.146112
383.000000,0.716265
384.000000,-9.417647
385.000000,-0.575588
386.000000,1.813792
387.000000,5.755747
388.000000,-2.709691
389.000000,4.266301
390.000000,-1.124845
391.000000,6.47421
392.000000,1.21392
393.000000,4.166427
394.000000,-4.95467
395.000000,-8.53428
396.000000,-8.269287
397.000000,-10.327963
398.000000,-0.147381
399.000000,4.826643
400.000000,-8.822734
401.000000,-5.495903
402.000000,7.91259
403.000000,6.514402
404.000000,-2.397627
405.000000,-11.58289
406.000000,-2.652344
407.000000,-12.145322
408.000000,9.692401
409.000000,-3.362897
410.000000,-12.926764
411.000000,-4.20369
412.000000,7.974346
413.000000,-7.682933
414.000000,-2.942337
415.000000,2.374012
416.000000,3.962653
417.000000,-0.387492
418.000000,-8.490969
419.000000,-6.068717
420.000000,5.945002
421.000000,-6.845094
422.000000,1.903363
423.000000,-6.872276
424.000000,1.868605
425.000000,-1.227098
426.000000,2.533121
427.000000,9.365449
428.000000,0.530754
429.000000,-4.120826
430.000000,6.594102
431.000000,6.027118
432.000000,-4.066413
433.000000,-8.196437
434.000000,-7.000508
435.000000,2.366025
436.000000,-2.957606
437.000000,7.546978
438.000000,12.342139
439.000000,-1.274385
440.000000,-6.640217
441.000000,-4.113489
442.000000,-11.820809
443.000000,10.343329
444.000000,4.072497
445.000000,-6.295953
446.000000,-4.490088
447.000000,5.418641
448.000000,2.095964
449.000000,0.834383
450.000000,-1.658099
451.000000,1.662867
452.000000,0.373707
453.000000,2.439963
454.000000,0.414206
455.000000,2.323798
456.000000,3.853669
457.000000,-7.596628
458.000000,-4.072922
459.000000,-6.087128
460.000000,3.445828
461.000000,3.186239
462.000000,1.838684
463.000000,5.906987
464.000000,9.093551
465.000000,-2.011943
466.000000,3.815772
467.000000,-5.223036
468.000000,5.414278
469.000000,-4.624166
470.000000,-5.273817
471.000000,1.431874
472.000000,4.729867
473.000000,0.065866
474.000000,-1.186794
475.000000,1.940147
476.000000,12.820492
477.000000,4.993446
478.000000,4.660239
479.000000,10.208418
480.000000,-1.010622
481.000000,3.070542
482.000000,10.753758
483.000000,-8.029382
484.000000,-2.805182
485.000000,-4.044428
486.000000,2.622742
487.000000,-5.490488
488.000000,-7.739101
489.000000,3.735976
490.000000,-3.028599
491.000000,1.375533
492.000000,-0.350268
493.000000,-2.451706
494.000000,2.355555
495.000000,6.18138
496.000000,-2.03017
497.000000,1.729791
498.000000,-1.221109
499.000000,2.663367
500.000000,4.175649
501.000000,3.030724
502.000000,-2.872929
503.000000,-1.933032
504.000000,3.971036
505.000000,2.362776
506.000000,10.065911
507.000000,-2.080301
508.000000,-6.10253
509.000000,-2.890626
510.000000,0.964113
511.000000,-2.457746
512.000000,-3.159637
513.000000,2.329717
514.000000,9.522537
515.000000,8.98604
516.000000,2.154927
517.000000,-8.089808
518.000000,-3.733678
519.000000,-6.542344
520.000000,2.019236
521.000000,0.026288
522.000000,-2.421798
523.000000,0.484383
524.000000,0.763298
525.000000,4.611926
526.000000,9.802533
527.000000,-6.302947
528.000000,-2.24154
529.000000,-3.550833
530.000000,-2.510375
531.000000,6.232389
532.000000,2.01794
533.000000,0.235157
534.000000,7.294557
535.000000,-3.052808
536.000000,-9.648818
537.000000,-11.628597
538.000000,-3.046768
539.000000,2.340117
540.000000,-5.165298
541.000000,-3.64087
542.000000,4.693697
543.000000,-2.354956
544.000000,0.629595
545.000000,3.119317
546.000000,-11.480439
547.000000,-3.852154
548.000000,-3.759623
549.000000,4.326901
550.000000,2.315607
551.000000,0.335061
552.000000,3.053692
553.000000,0.618626
554.000000,-0.374877
555.000000,-9.221416
556.000000,4.633789
557.000000,-0.805584
558.000000,4.784972
559.000000,-12.981879
560.000000,7.245511
561.000000,2.188615
562.000000,9.522662
563.000000,6.200503
564.000000,14.787264
565.000000,-3.4712
566.000000,-11.215819
567.000000,1.579017
568.000000,5.664222
569.000000,4.501381
570.000000,-3.568656
571.000000,4.129727
572.000000,-0.246682
573.000000,15.40804
574.000000,-14.272329
575.000000,-2.087543
576.000000,8.667607
577.000000,5.805641
578.000000,-6.576147
579.000000,0.340151
580.000000,5.988198
581.000000,3.969276
582.000000,-6.946292
583.000000,-1.443199
584.000000,-4.339517
585.000000,2.736042
586.000000,3.289047
587.000000,23.829768
588.000000,-5.381328
589.000000,-1.006294
590.000000,-0.50681
591.000000,11.424223
592.000000,15.335044
593.000000,3.040332
594.000000,-0.866517
595.000000,8.994765
596.000000,1.334317
597.000000,11.464482
598.000000,10.490044
599.000000,9.606188
600.000000,7.016059
601.000000,6.662853
602.000000,19.723755
603.000000,4.47023
604.000000,15.776178
605.000000,12.618777
606.000000,23.926026
607.000000,18.427359
608.000000,26.753514
609.000000,24.454773
610.000000,37.23045
611.000000,29.153944
612.000000,40.891794
613.000000,56.367728
614.000000,67.749071
615.000000,81.63024
616.000000,96.588925
617.000000,124.434777
618.000000,138.375595
619.000000,177.879671
620.000000,176.940263
621.000000,169.526608
622.000000,152.750346
623.000000,124.028536
624.000000,100.590447
625.000000,72.377386
626.000000,64.070579
627.000000,61.737459
628.000000,49.498955
629.000000,25.973523
630.000000,31.795172
631.000000,28.054101
632.000000,18.568701
633.000000,20.059692
634.000000,16.573268
635.000000,12.350326
636.000000,7.520416
637.000000,6.298538
638.000000,7.506259
639.000000,7.074043
640.000000,15.477207
641.000000,10.15644
642.000000,19.538603
643.000000,6.005574
644.000000,3.802445
