raman_shift_cm-1,intensity
200.000000,16.136915
201.000000,6.057316
202.000000,-1.284927
203.000000,2.185284
204.000000,-0.111954
205.000000,4.898662
206.000000,-4.875613
207.000000,2.571262
208.000000,-4.302584
209.000000,-3.032661
210.000000,-1.837017
211.000000,1.06136
212.000000,-7.753314
213.000000,1.881824
214.000000,5.637994
215.000000,-3.733036
216.000000,18.462171
217.000000,9.347032
218.000000,-2.529703
219.000000,-5.269469
220.000000,-0.681754
221.000000,2.02132
222.000000,-0.345802
223.000000,0.877258
224.000000,-12.493753
225.000000,-7.913136
226.000000,-3.58165
227.000000,-4.130541
228.000000,-5.831107
229.000000,5.256601
230.000000,-6.102985
231.000000,-0.930675
232.000000,-1.16414
233.000000,6.127308
234.000000,-0.216868
235.000000,-4.244491
236.000000,-3.406672
237.000000,12.105584
238.000000,-0.174796
239.000000,-1.323674
240.000000,1.485315
241.000000,-0.411094
242.000000,1.969313
243.000000,14.355823
244.000000,0.72767
245.000000,4.103396
246.000000,-4.837048
247.000000,3.932414
248.000000,-11.81957
249.000000,7.735553
250.000000,0.123539
251.000000,-2.140827
252.000000,-5.838154
253.000000,-1.764861
254.000000,-3.55265
255.000000,3.700749
256.000000,-1.069492
257.000000,-1.656477
258.000000,1.98114
259.000000,-7.371957
260.000000,-5.784761
261.000000,-7.168289
262.000000,-1.034483
263.000000,0.464029
264.000000,4.253037
265.000000,1.289673
266.000000,-4.234068
267.000000,-0.928302
268.000000,0.763435
269.000000,-4.665169
270.000000,-2.183876
271.000000,-3.429781
272.000000,-1.084295
273.000000,-1.758404
274.000000,-1.27865
275.000000,2.615639
276.000000,2.850881
277.000000,4.288321
278.000000,-3.227089
279.000000,-6.388932
280.000000,4.484887
281.000000,3.586102
282.000000,-1.604176
283.000000,-7.095677
284.000000,7.359151
285.000000,6.107417
286.000000,3.534952
287.000000,3.566038
288.000000,-17.14805
289.000000,-2.54245
290.000000,0.096966
291.000000,-0.816299
292.000000,1.581011
293.000000,-7.340896
294.000000,-3.118697
295.000000,-4.541575
296.000000,-6.73673
297.000000,-7.177704
298.000000,-2.154592
299.000000,-4.334746
300.000000,0.799627
301.000000,-1.486893
302.000000,3.202901
303.000000,-5.047994
304.000000,-2.841986
305.000000,2.499463
306.000000,-8.489019
307.000000,-7.198023
308.000000,-5.29978
309.000000,-4.662621
310.000000,9.588637
311.000000,-0.329071
312.000000,-2.871525
313.000000,-6.051194
314.000000,-4.357192
315.000000,-3.387175
316.000000,-4.679609
317.000000,1.503115
318.000000,-2.171474
319.000000,-1.160653
320.000000,-5.053725
321.000000,4.849179
322.000000,-6.441391
323.000000,-0.565312
324.000000,10.802766
325.000000,2.943891
326.000000,-3.901599
327.000000,-2.497221
328.000000,3.171299
329.000000,2.398571
330.000000,4.867367
331.000000,-3.598447
332.000000,-2.436692
333.000000,11.365045
334.000000,-5.975767
335.000000,2.685761
336.000000,-2.082824
337.000000,2.693166
338.000000,6.917104
339.000000,-3.012573
340.000000,3.743986
341.000000,-7.289878
342.000000,-1.337689
343.000000,9.451496
344.000000,-5.726673
345.000000,2.595594
346.000000,-5.03394
347.000000,6.158634
348.000000,7.590066
349.000000,-0.937191
350.000000,-3.272562
351.000000,3.953807
352.000000,-0.172128
353.000000,6.085572
354.000000,8.485993
355.000000,-0.452837
356.000000,5.284964
357.000000,3.48731
358.000000,6.616927
359.000000,7.900366
360.000000,-5.046204
361.000000,0.854386
362.000000,3.40827
363.000000,9.372116
364.000000,-8.962711
365.000000,-2.298718
366.000000,3.954904
367.000000,2.463513
368.000000,-0.246111
369.000000,4.579035
