pixel_index,raman_shift_cm-1,corrected_intensity,background_intensity
0,-228.03615456840282,3766.3312877552307,-3069.3312877552307
1,-224.95924409098728,3711.847118947399,-3016.847118947399
2,-221.88355426971083,3673.501156791088,-2964.501156791088
3,-218.80908450551493,3613.2932578465416,-2912.2932578465416
4,-215.7358341996988,3555.2232777323234,-2860.2232777323234
5,-212.66380275396062,3509.291071128666,-2808.291071128666
6,-209.5929895703694,3463.496491780822,-2756.496491780822
7,-206.52339405133682,3407.8393925024143,-2704.8393925024143
8,-203.4550155997016,3350.319625178786,-2653.319625178786
9,-200.38785361863216,3305.9370407703495,-2601.9370407703495
10,-197.32190751168937,3268.6914893159405,-2550.6914893159405
11,-194.25717668281138,3210.5828199361654,-2499.5828199361654
12,-191.1936605362985,3147.6108808367508,-2448.6108808367508
13,-188.13135847683048,3090.7755193118974,-2397.7755193118974
14,-185.07026990944925,3047.076581747627,-2347.076581747627
15,-182.01039423958915,2994.5139136251346,-2296.5139136251346
16,-178.95173087303797,2940.0873595241374,-2246.0873595241374
17,-175.89427921595657,2889.796763126227,-2195.796763126227
18,-172.83803867489166,2854.641967218218,-2145.641967218218
19,-169.78300865674996,2801.6228136954987,-2095.6228136954987
20,-166.729188568796,2749.7391435653826,-2045.7391435653824
21,-163.67657781869758,2701.990796950457,-1995.990796950457
22,-160.62517581446517,2643.377613091934,-1946.3776130919343
23,-157.5749819644843,2600.899430353003,-1896.899430353003
24,-154.5259956775222,2546.5560862221764,-1847.5560862221762
25,-151.4782163626973,2494.347417316643,-1798.3474173166428
26,-148.43164342950985,2444.273259385619,-1749.2732593856192
27,-145.38627628781765,2395.3334473136965,-1700.3334473136968
28,-142.34211434787335,2354.5278151241955,-1651.5278151241953
29,-139.29915702025906,2301.8561959825106,-1602.8561959825106
30,-136.2574037159516,2251.3184221994666,-1554.3184221994666
31,-133.21685384629424,2203.9143252346653,-1505.9143252346653
32,-130.17750682297506,2154.6437356998367,-1457.6437356998367
33,-127.13936205807023,2108.5064833621886,-1409.5064833621886
34,-124.1024189640289,2055.5023971477594,-1361.5023971477594
35,-121.06667695364285,2011.6313051447646,-1313.6313051447646
36,-118.03213544008766,1967.893034606951,-1265.893034606951
37,-114.99879383689016,1930.2874119569433,-1218.2874119569433
38,-111.9666515579567,1865.814262789599,-1170.814262789599
39,-108.93570801755355,1824.473411875354,-1123.473411875354
40,-105.90596263031563,1772.2646831635755,-1076.2646831635755
41,-102.87741481123345,1729.1878997859121,-1029.1878997859121
42,-99.8500639756597,1685.242884059643,-982.2428840596431
43,-96.82390953933078,1638.4294574910318,-935.4294574910318
44,-93.79895091832583,1588.74744077867,-888.7474407786699
45,-90.77518752909899,1543.1966538168354,-842.1966538168354
46,-87.75261878846011,1524.7769156988365,-795.7769156988365
47,-84.7312441135898,1458.4880447203655,-749.4880447203655
48,-81.7110629220243,1407.3298583828482,-703.3298583828482
49,-78.6920746316728,1363.3021733967935,-657.3021733967935
50,-75.67427866078928,1303.4048056851448,-611.4048056851448
51,-72.6576744280007,1266.6375703866302,-565.6375703866302
52,-69.64226135229828,1224.0002818591124,-520.0002818591124
53,-66.62803885302019,1166.4927536829373,-474.4927536829373
54,-63.615006349890606,1131.11479866429,-429.11479866429
55,-60.603163262963264,1081.8662288385376,-383.8662288385376
56,-57.5925090126779,1032.7468554735856,-338.7468554735856
57,-54.58304301981468,988.7564890732247,-293.75648907322466
58,-51.574764705535415,950.8949393804824,-248.89493938048236
59,-48.567673491335846,909.1620153809727,-204.16201538097266
60,-45.561768799089016,855.5575253062489,-159.55752530624886
61,-42.55705005102141,817.0812766371505,-115.0812766371505
62,-39.553516669717325,774.7330761071539,-70.73307610715392
63,-36.55116807812098,737.5127297057261,-26.512729705726088
64,-33.550003699534415,685.4200426816715,17.579957318328525
65,-30.550022957619593,647.4548195464831,61.54518045351688
66,-27.551225276385445,604.616864077695,105.38313592230497
67,-24.55361008020735,555.9059793222277,149.09402067777228
68,-21.55717679382498,514.3219675997452,192.67803240025478
69,-18.561924842311946,466.8646305059997,236.13536949400032
70,-15.567853651123498,444.53376891618336,279.46623108381664
71,-12.574962646053153,384.3291829882819,322.6708170117181
72,-9.583251253254387,340.250672166419,365.749327833581
73,-6.592718899247132,290.29803518421295,408.70196481578705
74,-3.603365010891764,247.47107006812166,451.52892993187834
75,-0.6151890154064421,210.76957414079698,494.230425859203
76,2.371809659628549,164.19334402443155,536.8066559755684
77,5.357631586290316,115.7421756441131,579.2578243558869
78,8.34227733628734,89.41586423116996,621.58413576883
79,11.325747480978986,37.21420432652576,663.7857956734742
80,14.308042591384181,3.136989784047728,705.8630102159523
81,17.289163238153222,0.0,747.8159862261036
