pixel_index,raman_shift_cm-1,corrected_intensity,background_intensity
0,-224.94214488331033,10.620064906015159,657.3799350939848
1,-221.87434455198064,0.0,657.5287940966917
2,-218.80775082154221,21.32348944142916,657.6765105585708
3,-215.7423631064261,16.17690857554794,657.8230914244521
4,-212.67818082143205,13.031456389357572,657.9685436106424
5,-209.6152033817262,9.887125995018437,658.1128740049816
6,-206.5534302028195,10.74391053310319,658.2560894668968
7,-203.4928607006002,8.60180317254094,658.3981968274591
8,-200.43349429131217,7.460797110562339,658.5392028894377
9,-197.3753303915679,8.32088557264342,658.6791144273566
10,-194.31836841832467,22.182061812450797,658.8179381875492
11,-191.26260778892572,13.044319111785853,658.9556808882141
12,-188.20804792105474,10.907650780529593,659.0923492194704
13,-185.15468823276188,8.772050156586829,659.2279498434132
14,-182.1025281424529,8.637510605831153,659.3624893941688
15,-179.05156706890654,5.504025522048892,659.4959744779511
16,-176.00180443125063,5.371588326884535,659.6284116731155
17,-172.95323964897298,13.240192469784574,659.7598075302154
18,-169.90587214192348,5.10983142794214,659.8901685720579
19,-166.85970133030992,10.980498706242088,660.0195012937579
20,-163.81472663469336,3.8521878372049514,660.147812162795
21,-160.77094747600148,1.7248923809318057,660.2751076190682
22,-157.72836327551752,2.5986059250486733,660.4013940749513
23,-154.6869734548738,3.473322084651386,660.5266779153486
24,-151.646777436067,0.0,660.6509654977503
25,-148.60777464146668,0.22573684771202807,660.774263152288
26,-145.56996449376123,7.103422818210447,660.8965771817896
27,-142.53334641603152,0.0,661.0179138618356
28,-139.49791983169447,5.861720559186097,661.1382794408139
29,-136.46368416452697,6.742319860024509,661.2576801399755
30,-133.43063883866807,10.623877846510027,661.37612215349
31,-130.39878327861243,2.5063883514991403,661.4936116485009
32,-127.36811690919076,1.3898452348192905,661.6101547651807
33,-124.33863915561763,1.274242383212595,661.7257576167874
34,-121.3103494434372,2.159573710281279,661.8404262897187
35,-118.2832471985579,0.045833156431626776,661.9541668435684
36,-115.25733184725031,7.933014688818957,662.066985311181
37,-112.23260281612328,12.821112301291919,662.1788876987081
38,-109.20905953214775,0.0,662.2898799856629
39,-106.18670142265246,5.600031875023774,662.3999681249762
40,-103.16552791529796,7.490841956948202,662.5091580430518
41,-100.14553843812855,3.3825443601781444,662.6174556398219
42,-97.12673241951816,0.27513321119795364,662.724866788802
43,-94.10910928820283,4.168602662852209,662.8313973371478
44,-91.0926684732547,20.062946894291372,662.9370531057086
45,-88.07740940412106,2.9581601109155145,663.0418398890845
46,-85.06333151058529,8.854236544319065,663.1457634556809
47,-82.05043422279071,11.75117045223567,663.2488295477643
48,-79.03871697121463,2.6489561184823742,663.3510438815176
49,-76.02817918670075,9.547587852904485,663.4524121470955
50,-73.01882030044628,0.0,663.5529400086803
51,-70.01063974397363,3.3473668954634377,663.6526331045366
52,-67.00363694918909,6.2485029529324265,663.7514970470676
53,-63.99781134831979,4.1504625771300425,663.84953742287
54,-60.99316237395073,6.053240207210365,663.9467597927896
55,-57.98968945902247,0.0,664.0431696919768
56,-54.98739203681603,2.8612273700581454,664.1387726299419
57,-51.986269540970234,0.0,664.2335740906104
58,-48.9863214054578,0.0,664.3275795323791
59,-45.98754706460926,0.0,664.4207943881707
60,-42.98994595309559,0.0,664.5132240654899
61,-39.99351750594553,0.0,664.6048739464785
62,-36.99826115851962,6.30425061202925,664.6957493879707
63,-34.00417634654264,0.21414427845081718,664.7858557215492
64,-31.0112625060777,21.124801746400294,664.8751982535997
65,-28.019519073526137,7.036217734632714,664.9637822653673
66,-25.028945485638424,22.948386986988794,665.0516130130112
67,-22.03954117952281,26.861304272339567,665.1386957276604
68,-19.051305592619315,14.774964384530563,665.2250356154694
69,-16.064238162717075,4.689362142326786,665.3106378576732
70,-13.078338327954329,0.6044923893568921,665.3955076106431
71,-10.093605526803259,0.0,665.4796500059417
72,-7.1100391980916635,15.43692984962081,665.5630701503792
73,-4.127638780985609,0.35422687393247543,665.6457731260675
74,-1.1464037149916049,0.27223600952288507,665.7277639904771
75,1.8336665600368964,0.0,665.8090477764916
76,4.812572603895161,0.0,665.8896294924632
77,7.790314976051024,0.0,665.9695141222686
78,10.76689423562321,15.951293374635839,666.0487066253642
79,13.742310941374827,2.872788063158737,666.1272119368413
80,16.716565651754557,14.794965032518121,666.2050349674819
81,19.68965892485113,3.717819396186087,666.2821806038139
82,22.661591318415017,0.0,666.3586537081669
83,25.63236338985189,0.0,666.4344591187271
84,28.601975696226997,0.0,666.5096016495932
85,31.570428794269485,3.4159139091684665,666.5840860908315
86,34.537723240374554,0.0,666.6579172085318
87,37.50385959057746,0.0,666.7310997448621
88,40.46883840059905,0.0,666.8036384181252
89,43.432660225793676,0.0,666.8755379228124
90,46.395325621192626,0.0,666.9468029296611
91,49.35683514149108,0.0,667.0174380857084
92,52.317189341030776,2.912551985652726,667.0874480143473
93,55.276388773826,0.0,667.1568373153824
94,58.234433993557126,0.0,667.2256105650848
95,61.19132555354239,9.70622768375199,667.293772316248
96,64.14706400680298,4.638672901757104,667.3613270982429
97,67.10164990597188,9.571720582926446,667.4282794170736
98,70.0550838033916,5.505366244567426,667.4946337554326
99,73.00736625103595,15.439605427243578,667.5603945727564
100,75.95849780056433,13.374433694719073,667.6255663052809
101,78.90847900327404,26.309846633903135,667.6901533660969
102,81.8573104101523,20.245839854794667,667.7541601452053
103,84.80499257183935,32.18240899042712,667.8175910095729
104,87.75152603862851,32.11954969681244,667.8804503031876
105,90.69691136050739,16.057257652886392,667.9427423471136
106,93.64114908709271,18.995528560452385,668.0044714395476
107,96.5842397676912,20.934358144126463,668.0656418558735
108,99.52618395126044,15.87374215128159,668.1262578487184
109,102.46698218643706,20.81367635199274,668.1863236480073
110,105.4066350215108,22.754156538980737,668.2458434610193
111,108.34514300444393,26.695178527557346,668.3048214724427
112,111.28250668287565,22.63673815556956,668.3632618444304
113,114.21872660408086,0.5788312833441296,668.4211687166559
114,117.15380331503736,14.521453793632645,668.4785462063674
115,120.0877373623674,10.464601591555265,668.5353984084447
116,123.02052929236358,9.408270604545919,668.5917293954541
117,125.95217965098888,14.3524567822966,668.6475432177034
118,128.88268898388327,8.297156096701883,668.7028439032981
119,131.8120578363397,3.2423645418036813,668.7576354581963
120,134.74028675332372,9.18807813373553,668.8119218662645
121,137.66737627948214,22.134292910667682,668.8657070893323
122,140.59332695911044,9.081004932750943,668.918995067249
123,143.51813933619192,1.0282102820615364,668.9717897179385
124,146.44181395436505,2.975905062546076,669.0240949374539
