pixel_index,raman_shift_cm-1,corrected_intensity,background_intensity
0,-228.03615456840282,607.3393768626456,55.66062313735438
1,-224.95924409098728,588.4333339806602,64.56666601933973
2,-221.88355426971083,584.5656433034185,73.43435669658153
3,-218.80908450551493,578.7361612787834,82.2638387212167
4,-215.7358341996988,572.9447447859881,91.05525521401191
5,-212.66380275396062,558.1912511348867,99.80874886511329
6,-209.5929895703694,556.475538065204,108.52446193479604
7,-206.52339405133682,542.7974637457858,117.20253625421427
8,-203.4550155997016,529.1568867738494,125.8431132261506
9,-200.38785361863216,520.5536661742341,134.44633382576595
10,-197.32190751168937,522.9876613986507,143.01233860134923
11,-194.25717668281138,515.458732324933,151.54126767506705
12,-191.1936605362985,497.96673925628664,160.03326074371336
13,-188.13135847683048,485.5115429205407,168.4884570794593
14,-185.07026990944925,479.0930044693971,176.90699553060287
15,-182.01039423958915,479.7109854776815,185.2890145223185
16,-178.95173087303797,468.3653479425931,193.63465205740692
17,-175.89427921595657,454.0559542829551,201.94404571704487
18,-172.83803867489166,438.7826673384653,210.21733266153473
19,-169.78300865674996,433.5453503689457,218.45464963105428
20,-166.729188568796,435.34386705359367,226.65613294640633
21,-163.67657781869758,420.1780814902314,234.82191850976855
22,-160.62517581446517,411.04785819455674,242.95214180544323
23,-157.5749819644843,401.95306209939326,251.04693790060674
24,-154.5259956775222,398.8935585539406,259.1064414460594
25,-151.4782163626973,387.86921332302467,267.13078667697533
26,-148.43164342950985,380.87989258634815,275.12010741365185
27,-145.38627628781765,374.9254629377405,283.0745370622595
28,-142.34211434787335,367.00579138440855,290.99420861559145
29,-139.29915702025906,368.1207453461865,298.8792546538135
30,-136.2574037159516,345.27019265478634,306.72980734521366
31,-133.21685384629424,357.45400155304816,314.54599844695184
32,-130.17750682297506,329.6720406941905,322.3279593058095
33,-127.13936205807023,328.92417914106045,330.07582085893955
34,-124.1024189640289,318.21028636538404,337.78971363461596
35,-121.06667695364285,309.5302322470165,345.4697677529835
36,-118.03213544008766,310.88388707319285,353.11611292680715
37,-114.99879383689016,311.27112153777745,360.72887846222255
38,-111.9666515579567,281.6918067405151,368.3081932594849
39,-108.93570801755355,278.1458141862811,375.8541858137189
40,-105.90596263031563,271.6330157843309,383.3669842156691
41,-102.87741481123345,258.15328384755145,390.84671615244855
