# laser_power_pct,15
# exposure_time,0.5
# laser_nm,532.021
# mode,accumulate
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-224.507,525.7414,678
1,-221.440,525.8262,667
2,-218.375,525.9110,677
3,-215.311,525.9957,676
4,-212.249,526.0805,668
5,-209.187,526.1652,671
6,-206.127,526.2499,666
7,-203.068,526.3347,676
8,-200.010,526.4194,671
9,-196.953,526.5041,677
10,-193.898,526.5888,681
11,-190.844,526.6735,679
12,-187.790,526.7582,668
13,-184.739,526.8429,675
14,-181.688,526.9276,673
15,-178.638,527.0123,670
16,-175.590,527.0970,671
17,-172.543,527.1817,668
18,-169.497,527.2663,663
19,-166.452,527.3510,672
20,-163.409,527.4356,667
21,-160.367,527.5203,670
22,-157.325,527.6049,673
23,-154.285,527.6896,681
24,-151.247,527.7742,671
25,-148.209,527.8588,673
26,-145.173,527.9434,672
27,-142.138,528.0280,670
28,-139.104,528.1126,662
29,-136.071,528.1972,677
30,-133.039,528.2818,677
31,-130.009,528.3664,678
32,-126.980,528.4510,675
33,-123.951,528.5356,668
34,-120.925,528.6202,676
35,-117.899,528.7047,667
36,-114.874,528.7893,670
37,-111.851,528.8738,678
38,-108.829,528.9584,667
39,-105.808,529.0429,670
40,-102.788,529.1274,672
41,-99.770,529.2120,669
42,-96.752,529.2965,664
43,-93.736,529.3810,677
44,-90.721,529.4655,674
45,-87.707,529.5500,667
46,-84.694,529.6345,684
47,-81.683,529.7190,669
48,-78.672,529.8035,675
49,-75.663,529.8880,673
50,-72.655,529.9724,669
51,-69.649,530.0569,672
52,-66.643,530.1414,668
53,-63.638,530.2258,667
54,-60.635,530.3103,672
55,-57.633,530.3947,662
56,-54.632,530.4791,662
57,-51.632,530.5636,668
58,-48.634,530.6480,665
59,-45.636,530.7324,676
60,-42.640,530.8168,667
61,-39.645,530.9012,675
62,-36.651,530.9856,676
63,-33.658,531.0700,671
64,-30.667,531.1544,692
65,-27.676,531.2388,687
66,-24.687,531.3232,723
67,-21.699,531.4075,734
68,-18.712,531.4919,679
69,-15.726,531.5762,682
70,-12.742,531.6606,671
71,-9.758,531.7449,674
72,-6.776,531.8293,687
73,-3.795,531.9136,670
74,-0.815,531.9979,665
75,2.164,532.0823,671
76,5.141,532.1666,663
77,8.118,532.2509,666
78,11.093,532.3352,677
79,14.067,532.4195,675
80,17.040,532.5038,678
81,20.012,532.5880,674
82,22.983,532.6723,674
83,25.952,532.7566,675
84,28.921,532.8408,673
85,31.888,532.9251,679
86,34.854,533.0094,685
87,37.819,533.0936,675
88,40.782,533.1778,662
89,43.745,533.2621,671
90,46.706,533.3463,682
91,49.667,533.4305,668
92,52.626,533.5147,679
93,55.584,533.5989,688
94,58.541,533.6831,707
95,61.496,533.7673,746
96,64.451,533.8515,792
97,67.404,533.9357,884
98,70.356,534.0199,1035
99,73.307,534.1041,1207
100,76.257,534.1882,1378
101,79.206,534.2724,1484
102,82.154,534.3565,1565
103,85.100,534.4407,1635
104,88.045,534.5248,1702
105,90.990,534.6090,1654
106,93.933,534.6931,1673
107,96.874,534.7772,1702
108,99.815,534.8613,1699
109,102.755,534.9454,1716
110,105.693,535.0295,1721
111,108.631,535.1136,1661
112,111.567,535.1977,1716
113,114.502,535.2818,1715
114,117.436,535.3659,1706
115,120.368,535.4499,1673
116,123.300,535.5340,1696
117,126.230,535.6181,1697
118,129.160,535.7021,1725
119,132.088,535.7862,1702
120,135.015,535.8702,1663
121,137.941,535.9542,1696
122,140.866,536.0383,1716
123,143.789,536.1223,1705
124,146.712,536.2063,1676
125,149.633,536.2903,1629
126,152.554,536.3743,1664
127,155.473,536.4583,1690
128,158.391,536.5423,1679
129,161.307,536.6263,1720
130,164.223,536.7102,1684
131,167.138,536.7942,1664
132,170.051,536.8782,1734
133,172.964,536.9621,1672
134,175.875,537.0461,1703
135,178.785,537.1300,1674
136,181.694,537.2140,1683
137,184.602,537.2979,1718
138,187.508,537.3818,1701
139,190.414,537.4657,1699
140,193.318,537.5497,1727
141,196.222,537.6336,1686
142,199.124,537.7175,1757
143,202.025,537.8014,1726
144,204.925,537.8853,1741
145,207.823,537.9691,1771
146,210.721,538.0530,1736
147,213.618,538.1369,1704
148,216.513,538.2207,1750
149,219.407,538.3046,1728
150,222.301,538.3884,1701
151,225.193,538.4723,1733
152,228.084,538.5561,1733
153,230.973,538.6400,1723
154,233.862,538.7238,1743
155,236.750,538.8076,1759
156,239.636,538.8914,1756
157,242.522,538.9752,1726
158,245.406,539.0590,1738
159,248.289,539.1428,1764
160,251.171,539.2266,1763
161,254.052,539.3104,1749
162,256.932,539.3941,1771
163,259.810,539.4779,1743
164,262.688,539.5617,1767
165,265.564,539.6454,1816
166,268.440,539.7292,1765
167,271.314,539.8129,1799
168,274.187,539.8966,1796
169,277.059,539.9804,1780
170,279.930,540.0641,1819
171,282.800,540.1478,1857
172,285.668,540.2315,1839
173,288.536,540.3152,1782
174,291.402,540.3989,1810
175,294.268,540.4826,1828
176,297.132,540.5663,1790
177,299.995,540.6500,1783
178,302.857,540.7336,1816
179,305.718,540.8173,1782
180,308.578,540.9010,1799
181,311.436,540.9846,1836
182,314.294,541.0683,1846
183,317.150,541.1519,1824
184,320.006,541.2355,1801
185,322.860,541.3192,1790
186,325.713,541.4028,1829
187,328.565,541.4864,1799
188,331.416,541.5700,1836
189,334.266,541.6536,1809
190,337.115,541.7372,1791
191,339.963,541.8208,1787
192,342.809,541.9043,1784
193,345.655,541.9879,1805
194,348.499,542.0715,1819
195,351.343,542.1550,1779
196,354.185,542.2386,1811
197,357.026,542.3222,1833
198,359.866,542.4057,1811
199,362.705,542.4892,1785
200,365.543,542.5728,1810
201,368.379,542.6563,1793
202,371.215,542.7398,1813
203,374.049,542.8233,1888
204,376.883,542.9068,1831
205,379.715,542.9903,1885
206,382.546,543.0738,1882
207,385.377,543.1573,1896
208,388.206,543.2407,1891
209,391.034,543.3242,1875
210,393.860,543.4077,1880
211,396.686,543.4911,1901
212,399.511,543.5746,1945
213,402.335,543.6580,1951
214,405.157,543.7415,1902
215,407.979,543.8249,1918
216,410.799,543.9083,1938
217,413.618,543.9917,1970
218,416.436,544.0751,1956
219,419.254,544.1585,1914
220,422.070,544.2419,1942
221,424.884,544.3253,1943
222,427.698,544.4087,1943
223,430.511,544.4921,2008
224,433.323,544.5755,2018
225,436.133,544.6588,1963
226,438.943,544.7422,1946
227,441.751,544.8255,1999
228,444.559,544.9089,1986
229,447.365,544.9922,1993
230,450.170,545.0756,1992
231,452.974,545.1589,1981
232,455.777,545.2422,1958
233,458.579,545.3255,1936
234,461.380,545.4088,1966
235,464.180,545.4921,1959
236,466.979,545.5754,1929
237,469.776,545.6587,1995
238,472.573,545.7420,1967
239,475.369,545.8253,2012
240,478.163,545.9085,2054
241,480.956,545.9918,1960
242,483.749,546.0750,1943
243,486.540,546.1583,1952
244,489.330,546.2415,1919
245,492.119,546.3247,1960
246,494.907,546.4080,1950
247,497.694,546.4912,1990
248,500.480,546.5744,1968
249,503.265,546.6576,2016
250,506.048,546.7408,2030
251,508.831,546.8240,2011
252,511.613,546.9072,2067
253,514.393,546.9904,2049
254,517.173,547.0735,2080
255,519.951,547.1567,2084
256,522.728,547.2399,2147
257,525.504,547.3230,2082
258,528.280,547.4062,2149
259,531.054,547.4893,2123
260,533.827,547.5724,2116
261,536.599,547.6556,2114
262,539.370,547.7387,2083
263,542.140,547.8218,2040
264,544.908,547.9049,2062
265,547.676,547.9880,2086
266,550.443,548.0711,2050
267,553.208,548.1542,2057
268,555.973,548.2373,2048
269,558.736,548.3203,2105
270,561.499,548.4034,2046
271,564.260,548.4865,2078
272,567.021,548.5695,2023
273,569.780,548.6526,2077
274,572.538,548.7356,2067
275,575.295,548.8186,2062
276,578.051,548.9017,2055
277,580.806,548.9847,2024
278,583.560,549.0677,2043
279,586.313,549.1507,2028
280,589.065,549.2337,2037
281,591.816,549.3167,2063
282,594.566,549.3997,2048
283,597.314,549.4827,2034
284,600.062,549.5656,2070
285,602.809,549.6486,2017
286,605.554,549.7316,1999
287,608.299,549.8145,2032
288,611.042,549.8975,2048
289,613.784,549.9804,2082
290,616.526,550.0633,2061
291,619.266,550.1463,2085
