# laser_power_pct,60
# exposure_time,0.05
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-224.507,525.7414,696
1,-221.440,525.8262,697
2,-218.375,525.9110,694
3,-215.311,525.9957,696
4,-212.249,526.0805,686
5,-209.187,526.1652,693
6,-206.127,526.2499,685
7,-203.068,526.3347,691
8,-200.010,526.4194,703
9,-196.953,526.5041,693
10,-193.898,526.5888,697
11,-190.844,526.6735,697
12,-187.790,526.7582,693
13,-184.739,526.8429,688
14,-181.688,526.9276,694
15,-178.638,527.0123,690
16,-175.590,527.0970,690
17,-172.543,527.1817,680
18,-169.497,527.2663,686
19,-166.452,527.3510,685
20,-163.409,527.4356,695
21,-160.367,527.5203,691
22,-157.325,527.6049,692
23,-154.285,527.6896,691
24,-151.247,527.7742,682
25,-148.209,527.8588,682
26,-145.173,527.9434,688
27,-142.138,528.0280,690
28,-139.104,528.1126,706
29,-136.071,528.1972,685
30,-133.039,528.2818,686
31,-130.009,528.3664,694
32,-126.980,528.4510,688
33,-123.951,528.5356,694
34,-120.925,528.6202,686
35,-117.899,528.7047,679
36,-114.874,528.7893,691
37,-111.851,528.8738,698
38,-108.829,528.9584,692
39,-105.808,529.0429,690
40,-102.788,529.1274,697
41,-99.770,529.2120,692
42,-96.752,529.2965,687
43,-93.736,529.3810,702
44,-90.721,529.4655,688
45,-87.707,529.5500,700
46,-84.694,529.6345,711
47,-81.683,529.7190,695
48,-78.672,529.8035,701
49,-75.663,529.8880,684
50,-72.655,529.9724,686
51,-69.649,530.0569,686
52,-66.643,530.1414,691
53,-63.638,530.2258,690
54,-60.635,530.3103,694
55,-57.633,530.3947,691
56,-54.632,530.4791,687
57,-51.632,530.5636,684
58,-48.634,530.6480,682
59,-45.636,530.7324,684
60,-42.640,530.8168,695
61,-39.645,530.9012,694
62,-36.651,530.9856,692
63,-33.658,531.0700,695
64,-30.667,531.1544,700
65,-27.676,531.2388,695
66,-24.687,531.3232,703
67,-21.699,531.4075,706
68,-18.712,531.4919,698
69,-15.726,531.5762,693
70,-12.742,531.6606,704
71,-9.758,531.7449,700
72,-6.776,531.8293,699
73,-3.795,531.9136,696
74,-0.815,531.9979,687
75,2.164,532.0823,686
76,5.141,532.1666,691
77,8.118,532.2509,709
78,11.093,532.3352,692
79,14.067,532.4195,711
80,17.040,532.5038,711
81,20.012,532.5880,695
82,22.983,532.6723,700
83,25.952,532.7566,700
84,28.921,532.8408,687
85,31.888,532.9251,698
86,34.854,533.0094,704
87,37.819,533.0936,699
88,40.782,533.1778,710
89,43.745,533.2621,710
90,46.706,533.3463,719
91,49.667,533.4305,714
92,52.626,533.5147,755
93,55.584,533.5989,806
94,58.541,533.6831,923
95,61.496,533.7673,1047
96,64.451,533.8515,1372
97,67.404,533.9357,1875
98,70.356,534.0199,2410
99,73.307,534.1041,3174
100,76.257,534.1882,3932
101,79.206,534.2724,4577
102,82.154,534.3565,4970
103,85.100,534.4407,5316
104,88.045,534.5248,5334
105,90.990,534.6090,5406
106,93.933,534.6931,5497
107,96.874,534.7772,5503
108,99.815,534.8613,5619
109,102.755,534.9454,5512
110,105.693,535.0295,5597
111,108.631,535.1136,5595
112,111.567,535.1977,5668
113,114.502,535.2818,5556
114,117.436,535.3659,5599
115,120.368,535.4499,5635
116,123.300,535.5340,5596
117,126.230,535.6181,5667
118,129.160,535.7021,5585
119,132.088,535.7862,5521
120,135.015,535.8702,5709
121,137.941,535.9542,5606
122,140.866,536.0383,5741
123,143.789,536.1223,5730
124,146.712,536.2063,5677
125,149.633,536.2903,5661
126,152.554,536.3743,5728
127,155.473,536.4583,5749
128,158.391,536.5423,5831
129,161.307,536.6263,5758
130,164.223,536.7102,5678
131,167.138,536.7942,5727
132,170.051,536.8782,5786
133,172.964,536.9621,5724
134,175.875,537.0461,5852
135,178.785,537.1300,5813
136,181.694,537.2140,5896
137,184.602,537.2979,5882
138,187.508,537.3818,5820
139,190.414,537.4657,5907
140,193.318,537.5497,5888
141,196.222,537.6336,5974
142,199.124,537.7175,5917
143,202.025,537.8014,5961
144,204.925,537.8853,5937
145,207.823,537.9691,6107
146,210.721,538.0530,5990
147,213.618,538.1369,6194
148,216.513,538.2207,6135
149,219.407,538.3046,6092
150,222.301,538.3884,6019
151,225.193,538.4723,6059
152,228.084,538.5561,6070
153,230.973,538.6400,6012
154,233.862,538.7238,6135
155,236.750,538.8076,6171
156,239.636,538.8914,6137
157,242.522,538.9752,6206
158,245.406,539.0590,6192
159,248.289,539.1428,6227
160,251.171,539.2266,6273
161,254.052,539.3104,6115
162,256.932,539.3941,6183
163,259.810,539.4779,6303
164,262.688,539.5617,6280
165,265.564,539.6454,6208
166,268.440,539.7292,6258
167,271.314,539.8129,6258
168,274.187,539.8966,6199
169,277.059,539.9804,6307
170,279.930,540.0641,6238
171,282.800,540.1478,6270
172,285.668,540.2315,6270
173,288.536,540.3152,6193
174,291.402,540.3989,6303
175,294.268,540.4826,6186
176,297.132,540.5663,6206
177,299.995,540.6500,6360
178,302.857,540.7336,6327
179,305.718,540.8173,6281
180,308.578,540.9010,6347
181,311.436,540.9846,6425
182,314.294,541.0683,6379
183,317.150,541.1519,6328
184,320.006,541.2355,6432
185,322.860,541.3192,6375
186,325.713,541.4028,6444
187,328.565,541.4864,6374
188,331.416,541.5700,6509
189,334.266,541.6536,6341
190,337.115,541.7372,6493
191,339.963,541.8208,6539
192,342.809,541.9043,6488
193,345.655,541.9879,6535
194,348.499,542.0715,6464
195,351.343,542.1550,6491
196,354.185,542.2386,6605
197,357.026,542.3222,6565
198,359.866,542.4057,6381
199,362.705,542.4892,6520
200,365.543,542.5728,6545
201,368.379,542.6563,6619
202,371.215,542.7398,6604
203,374.049,542.8233,6662
204,376.883,542.9068,6597
205,379.715,542.9903,6611
206,382.546,543.0738,6638
207,385.377,543.1573,6705
208,388.206,543.2407,6610
209,391.034,543.3242,6657
210,393.860,543.4077,6648
211,396.686,543.4911,6698
212,399.511,543.5746,6663
213,402.335,543.6580,6650
214,405.157,543.7415,6680
215,407.979,543.8249,6699
216,410.799,543.9083,6794
217,413.618,543.9917,6759
218,416.436,544.0751,6850
219,419.254,544.1585,6843
220,422.070,544.2419,6842
221,424.884,544.3253,6741
222,427.698,544.4087,6762
223,430.511,544.4921,6866
224,433.323,544.5755,6913
225,436.133,544.6588,6836
226,438.943,544.7422,6938
227,441.751,544.8255,6847
228,444.559,544.9089,6943
229,447.365,544.9922,6933
230,450.170,545.0756,7017
231,452.974,545.1589,7008
232,455.777,545.2422,6982
233,458.579,545.3255,6973
234,461.380,545.4088,6968
235,464.180,545.4921,6966
236,466.979,545.5754,7026
237,469.776,545.6587,7023
238,472.573,545.7420,7007
239,475.369,545.8253,7128
240,478.163,545.9085,7117
241,480.956,545.9918,7050
242,483.749,546.0750,7074
243,486.540,546.1583,7123
244,489.330,546.2415,7152
245,492.119,546.3247,7128
246,494.907,546.4080,7083
247,497.694,546.4912,7149
248,500.480,546.5744,7146
249,503.265,546.6576,7232
250,506.048,546.7408,7138
251,508.831,546.8240,7134
252,511.613,546.9072,7160
253,514.393,546.9904,7206
254,517.173,547.0735,7257
255,519.951,547.1567,7361
256,522.728,547.2399,7244
257,525.504,547.3230,7354
258,528.280,547.4062,7348
259,531.054,547.4893,7339
260,533.827,547.5724,7389
261,536.599,547.6556,7435
262,539.370,547.7387,7353
263,542.140,547.8218,7269
264,544.908,547.9049,7345
265,547.676,547.9880,7345
266,550.443,548.0711,7400
267,553.208,548.1542,7464
268,555.973,548.2373,7294
269,558.736,548.3203,7506
270,561.499,548.4034,7525
271,564.260,548.4865,7386
272,567.021,548.5695,7486
273,569.780,548.6526,7486
274,572.538,548.7356,7410
275,575.295,548.8186,7507
276,578.051,548.9017,7468
277,580.806,548.9847,7546
278,583.560,549.0677,7427
279,586.313,549.1507,7544
280,589.065,549.2337,7456
281,591.816,549.3167,7583
282,594.566,549.3997,7595
283,597.314,549.4827,7535
284,600.062,549.5656,7566
285,602.809,549.6486,7559
286,605.554,549.7316,7620
287,608.299,549.8145,7655
288,611.042,549.8975,7702
289,613.784,549.9804,7650
290,616.526,550.0633,7695
291,619.266,550.1463,7729
292,622.005,550.2292,7815
293,624.744,550.3121,7632
294,627.481,550.3950,7774
295,630.217,550.4779,7812
296,632.952,550.5608,7762
297,635.686,550.6437,7751
298,638.419,550.7266,7679
299,641.151,550.8094,7795
300,643.882,550.8923,7696
301,646.611,550.9751,7870
302,649.340,551.0580,7725
303,652.068,551.1408,7746
304,654.795,551.2237,7827
305,657.520,551.3065,7825
306,660.245,551.3893,7911
307,662.969,551.4722,7903
308,665.691,551.5550,7822
309,668.413,551.6378,7935
310,671.133,551.7206,7866
311,673.853,551.8034,7992
312,676.571,551.8861,7941
313,679.288,551.9689,7855
314,682.005,552.0517,7823
315,684.720,552.1344,7955
316,687.434,552.2172,8004
317,690.147,552.3000,7963
318,692.859,552.3827,7994
319,695.570,552.4654,7963
320,698.281,552.5482,7980
321,700.990,552.6309,8014
322,703.698,552.7136,7989
323,706.405,552.7963,8037
324,709.111,552.8790,8045
325,711.815,552.9617,8020
326,714.519,553.0444,8064
327,717.222,553.1271,8105
328,719.924,553.2097,7995
329,722.625,553.2924,7942
330,725.325,553.3751,8057
331,728.023,553.4577,8101
332,730.721,553.5404,8203
333,733.418,553.6230,8159
334,736.113,553.7057,8196
335,738.808,553.7883,8186
336,741.502,553.8709,8171
337,744.194,553.9535,8218
338,746.886,554.0361,8147
339,749.576,554.1187,8231
340,752.266,554.2013,8196
341,754.954,554.2839,8284
342,757.642,554.3665,8245
343,760.328,554.4490,8266
344,763.013,554.5316,8213
345,765.698,554.6142,8335
346,768.381,554.6967,8291
347,771.063,554.7793,8307
348,773.745,554.8618,8360
349,776.425,554.9443,8456
350,779.104,555.0269,8321
351,781.782,555.1094,8376
352,784.460,555.1919,8409
353,787.136,555.2744,8491
354,789.811,555.3569,8381
355,792.485,555.4394,8476
356,795.158,555.5218,8391
357,797.830,555.6043,8364
358,800.502,555.6868,8451
359,803.172,555.7693,8456
360,805.841,555.8517,8613
361,808.509,555.9342,8507
362,811.176,556.0166,8566
363,813.842,556.0990,8593
364,816.507,556.1815,8499
365,819.171,556.2639,8513
366,821.834,556.3463,8495
367,824.496,556.4287,8578
368,827.157,556.5111,8436
369,829.817,556.5935,8551
370,832.476,556.6759,8499
371,835.134,556.7582,8529
372,837.791,556.8406,8482
373,840.446,556.9230,8638
374,843.101,557.0053,8518
375,845.755,557.0877,8649
376,848.408,557.1700,8611
377,851.060,557.2524,8770
378,853.711,557.3347,8764
379,856.361,557.4170,8603
380,859.010,557.4993,8723
381,861.657,557.5816,8676
382,864.304,557.6640,8655
383,866.950,557.7462,8786
384,869.595,557.8285,8657
385,872.239,557.9108,8781
386,874.882,557.9931,8674
387,877.523,558.0754,8752
388,880.164,558.1576,8751
389,882.804,558.2399,8823
390,885.443,558.3221,8896
391,888.081,558.4044,8892
392,890.717,558.4866,8828
393,893.353,558.5688,8844
394,895.988,558.6510,8888
395,898.622,558.7332,8942
396,901.255,558.8154,8802
397,903.887,558.8976,8840
398,906.517,558.9798,9012
399,909.147,559.0620,8995
400,911.776,559.1442,9042
401,914.404,559.2264,8999
402,917.031,559.3085,8955
403,919.656,559.3907,8946
404,922.281,559.4728,8902
405,924.905,559.5550,8958
406,927.528,559.6371,8947
407,930.150,559.7192,9028
408,932.771,559.8013,9002
409,935.390,559.8835,9026
410,938.009,559.9656,9065
411,940.627,560.0477,8986
412,943.244,560.1297,9142
413,945.860,560.2118,9127
414,948.475,560.2939,9122
415,951.089,560.3760,9144
416,953.702,560.4580,9075
417,956.314,560.5401,9101
418,958.925,560.6221,9115
419,961.535,560.7042,9232
420,964.143,560.7862,9153
421,966.751,560.8683,9154
422,969.358,560.9503,9094
423,971.964,561.0323,9218
424,974.569,561.1143,9176
425,977.174,561.1963,9279
426,979.777,561.2783,9213
427,982.379,561.3603,9119
428,984.980,561.4423,9165
429,987.580,561.5242,9205
430,990.179,561.6062,9149
431,992.777,561.6881,9258
432,995.374,561.7701,9258
433,997.970,561.8520,9418
434,1000.565,561.9340,9345
435,1003.160,562.0159,9268
436,1005.753,562.0978,9350
437,1008.345,562.1797,9384
438,1010.936,562.2616,9304
439,1013.527,562.3435,9280
440,1016.116,562.4254,9438
441,1018.704,562.5073,9268
442,1021.292,562.5892,9387
