# laser_power_pct,40
# exposure_time,1
# laser_nm,532.021
# mode,accumulate
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.093,525.6699,866
1,-224.019,525.7549,889
2,-220.946,525.8399,889
3,-217.874,525.9248,873
4,-214.803,526.0098,873
5,-211.734,526.0947,890
6,-208.666,526.1796,883
7,-205.598,526.2646,884
8,-202.533,526.3495,899
9,-199.468,526.4344,893
10,-196.405,526.5193,895
11,-193.342,526.6042,923
12,-190.281,526.6891,884
13,-187.222,526.7740,886
14,-184.163,526.8589,894
15,-181.106,526.9438,880
16,-178.050,527.0287,872
17,-174.995,527.1135,889
18,-171.941,527.1984,883
19,-168.888,527.2832,885
20,-165.837,527.3681,859
21,-162.787,527.4529,892
22,-159.738,527.5378,896
23,-156.690,527.6226,885
24,-153.644,527.7074,872
25,-150.599,527.7922,866
26,-147.555,527.8771,887
27,-144.512,527.9619,881
28,-141.470,528.0467,887
29,-138.430,528.1314,884
30,-135.390,528.2162,891
31,-132.352,528.3010,895
32,-129.315,528.3858,881
33,-126.280,528.4706,907
34,-123.245,528.5553,879
35,-120.212,528.6401,872
36,-117.180,528.7248,901
37,-114.149,528.8096,892
38,-111.119,528.8943,881
39,-108.091,528.9790,885
40,-105.063,529.0637,882
41,-102.037,529.1485,872
42,-99.012,529.2332,883
43,-95.989,529.3179,885
44,-92.966,529.4026,899
45,-89.945,529.4873,901
46,-86.925,529.5720,914
47,-83.906,529.6566,909
48,-80.888,529.7413,891
49,-77.871,529.8260,907
50,-74.856,529.9106,881
51,-71.842,529.9953,888
52,-68.829,530.0799,889
53,-65.817,530.1646,871
54,-62.806,530.2492,911
55,-59.797,530.3338,880
56,-56.789,530.4185,897
57,-53.782,530.5031,882
58,-50.776,530.5877,879
59,-47.771,530.6723,894
60,-44.768,530.7569,879
61,-41.765,530.8415,894
62,-38.764,530.9261,902
63,-35.764,531.0106,908
64,-32.765,531.0952,954
65,-29.768,531.1798,944
66,-26.771,531.2643,1048
67,-23.776,531.3489,1081
68,-20.782,531.4334,945
69,-17.789,531.5180,897
70,-14.797,531.6025,900
71,-11.807,531.6870,891
72,-8.817,531.7715,913
73,-5.829,531.8561,901
74,-2.842,531.9406,910
75,0.144,532.0251,916
76,3.128,532.1096,922
77,6.112,532.1941,896
78,9.094,532.2785,903
79,12.075,532.3630,916
80,15.055,532.4475,926
81,18.034,532.5319,901
82,21.012,532.6164,896
83,23.988,532.7008,909
84,26.964,532.7853,888
85,29.938,532.8697,919
86,32.911,532.9542,895
87,35.882,533.0386,913
88,38.853,533.1230,925
89,41.822,533.2074,983
90,44.791,533.2918,992
91,47.758,533.3762,1068
92,50.724,533.4606,1191
93,53.689,533.5450,1426
94,56.652,533.6294,1862
95,59.615,533.7137,2561
96,62.576,533.7981,3732
97,65.536,533.8825,5423
98,68.495,533.9668,7862
99,71.453,534.0512,10938
100,74.410,534.1355,14314
101,77.365,534.2198,17350
102,80.319,534.3042,20130
103,83.273,534.3885,21664
104,86.225,534.4728,22765
105,89.176,534.5571,23250
106,92.125,534.6414,23563
107,95.074,534.7257,23643
108,98.021,534.8100,23499
109,100.967,534.8943,23586
110,103.912,534.9786,23736
111,106.856,535.0628,23889
112,109.799,535.1471,23866
113,112.741,535.2313,23995
114,115.681,535.3156,24043
115,118.621,535.3998,24041
116,121.559,535.4841,24233
117,124.496,535.5683,24195
118,127.432,535.6525,24203
119,130.366,535.7367,24483
120,133.300,535.8210,24220
121,136.232,535.9052,24445
122,139.164,535.9894,24459
123,142.094,536.0735,24416
124,145.023,536.1577,24352
125,147.950,536.2419,24363
126,150.877,536.3261,24518
127,153.803,536.4102,24525
128,156.727,536.4944,24561
129,159.650,536.5786,24338
130,162.572,536.6627,24547
131,165.493,536.7468,24636
132,168.413,536.8310,24797
133,171.332,536.9151,24906
134,174.249,536.9992,24968
135,177.166,537.0833,24940
136,180.081,537.1674,25074
137,182.995,537.2515,24968
138,185.908,537.3356,24999
139,188.820,537.4197,25342
140,191.731,537.5038,25252
141,194.640,537.5879,25311
142,197.549,537.6719,25366
143,200.456,537.7560,25510
144,203.362,537.8400,25593
145,206.267,537.9241,25558
146,209.171,538.0081,25566
147,212.074,538.0922,25824
148,214.975,538.1762,25721
149,217.876,538.2602,25753
150,220.775,538.3442,26003
151,223.673,538.4282,25945
152,226.570,538.5122,26025
153,229.466,538.5962,26082
154,232.361,538.6802,26136
155,235.255,538.7642,26058
156,238.147,538.8482,26133
157,241.039,538.9321,26218
158,243.929,539.0161,26296
159,246.818,539.1001,26351
160,249.706,539.1840,26374
161,252.593,539.2679,26649
162,255.479,539.3519,26406
163,258.363,539.4358,26529
164,261.247,539.5197,26649
165,264.129,539.6036,26630
166,267.011,539.6875,26752
167,269.891,539.7714,26684
168,272.770,539.8553,26795
169,275.648,539.9392,26783
170,278.524,540.0231,26897
171,281.400,540.1070,27004
172,284.275,540.1909,26862
173,287.148,540.2747,26803
174,290.020,540.3586,26809
175,292.892,540.4424,26866
176,295.762,540.5263,27177
177,298.631,540.6101,27144
178,301.498,540.6939,27219
179,304.365,540.7777,27153
180,307.231,540.8616,26959
181,310.095,540.9454,27327
182,312.959,541.0292,27257
183,315.821,541.1130,27305
184,318.682,541.1967,27470
185,321.542,541.2805,27295
186,324.401,541.3643,27545
187,327.259,541.4481,27593
188,330.115,541.5318,27798
189,332.971,541.6156,27644
190,335.825,541.6993,27757
191,338.679,541.7831,27721
192,341.531,541.8668,28048
193,344.382,541.9505,27776
194,347.232,542.0343,27808
195,350.081,542.1180,27992
196,352.929,542.2017,28039
197,355.775,542.2854,28095
198,358.621,542.3691,28022
199,361.465,542.4528,28346
200,364.309,542.5364,28236
201,367.151,542.6201,28227
202,369.992,542.7038,28235
203,372.832,542.7874,28314
204,375.671,542.8711,28233
205,378.509,542.9547,28324
206,381.346,543.0384,28339
207,384.181,543.1220,28557
208,387.016,543.2056,28622
209,389.849,543.2893,28785
210,392.682,543.3729,28832
211,395.513,543.4565,28830
212,398.343,543.5401,28736
213,401.172,543.6237,28946
214,404.000,543.7073,28936
215,406.827,543.7908,29064
216,409.653,543.8744,29004
217,412.477,543.9580,29221
218,415.301,544.0415,29206
219,418.123,544.1251,29371
220,420.945,544.2086,29502
