# laser_power_pct,20
# exposure_time,1
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.093,525.6699,691
1,-224.019,525.7549,695
2,-220.946,525.8399,694
3,-217.874,525.9248,699
4,-214.803,526.0098,695
5,-211.734,526.0947,696
6,-208.666,526.1796,697
7,-205.598,526.2646,691
8,-202.533,526.3495,690
9,-199.468,526.4344,688
10,-196.405,526.5193,711
11,-193.342,526.6042,686
12,-190.281,526.6891,695
13,-187.222,526.7740,694
14,-184.163,526.8589,690
15,-181.106,526.9438,687
16,-178.050,527.0287,698
17,-174.995,527.1135,691
18,-171.941,527.1984,698
19,-168.888,527.2832,696
20,-165.837,527.3681,698
21,-162.787,527.4529,695
22,-159.738,527.5378,686
23,-156.690,527.6226,691
24,-153.644,527.7074,691
25,-150.599,527.7922,694
26,-147.555,527.8771,694
27,-144.512,527.9619,698
28,-141.470,528.0467,703
29,-138.430,528.1314,708
30,-135.390,528.2162,691
31,-132.352,528.3010,697
32,-129.315,528.3858,689
33,-126.280,528.4706,685
34,-123.245,528.5553,689
35,-120.212,528.6401,686
36,-117.180,528.7248,698
37,-114.149,528.8096,699
38,-111.119,528.8943,695
39,-108.091,528.9790,684
40,-105.063,529.0637,695
41,-102.037,529.1485,698
42,-99.012,529.2332,699
43,-95.989,529.3179,692
44,-92.966,529.4026,693
45,-89.945,529.4873,691
46,-86.925,529.5720,693
47,-83.906,529.6566,698
48,-80.888,529.7413,693
49,-77.871,529.8260,690
50,-74.856,529.9106,697
51,-71.842,529.9953,697
52,-68.829,530.0799,688
53,-65.817,530.1646,701
54,-62.806,530.2492,695
55,-59.797,530.3338,690
56,-56.789,530.4185,694
57,-53.782,530.5031,692
58,-50.776,530.5877,687
59,-47.771,530.6723,697
60,-44.768,530.7569,692
61,-41.765,530.8415,704
62,-38.764,530.9261,692
63,-35.764,531.0106,696
64,-32.765,531.0952,715
65,-29.768,531.1798,701
66,-26.771,531.2643,713
67,-23.776,531.3489,712
68,-20.782,531.4334,703
69,-17.789,531.5180,700
70,-14.797,531.6025,690
71,-11.807,531.6870,702
72,-8.817,531.7715,703
73,-5.829,531.8561,697
74,-2.842,531.9406,691
75,0.144,532.0251,703
76,3.128,532.1096,696
77,6.112,532.1941,698
78,9.094,532.2785,705
79,12.075,532.3630,705
80,15.055,532.4475,711
81,18.034,532.5319,706
82,21.012,532.6164,708
83,23.988,532.7008,698
84,26.964,532.7853,689
85,29.938,532.8697,704
86,32.911,532.9542,704
87,35.882,533.0386,695
88,38.853,533.1230,705
89,41.822,533.2074,717
90,44.791,533.2918,722
91,47.758,533.3762,733
92,50.724,533.4606,775
93,53.689,533.5450,829
94,56.652,533.6294,909
95,59.615,533.7137,1106
96,62.576,533.7981,1358
97,65.536,533.8825,1757
98,68.495,533.9668,2305
99,71.453,534.0512,2926
100,74.410,534.1355,3608
101,77.365,534.2198,4254
102,80.319,534.3042,4595
103,83.273,534.3885,4963
104,86.225,534.4728,5128
105,89.176,534.5571,5255
106,92.125,534.6414,5294
107,95.074,534.7257,5345
108,98.021,534.8100,5302
109,100.967,534.8943,5347
110,103.912,534.9786,5405
111,106.856,535.0628,5377
112,109.799,535.1471,5425
113,112.741,535.2313,5458
114,115.681,535.3156,5431
115,118.621,535.3998,5448
116,121.559,535.4841,5491
117,124.496,535.5683,5439
118,127.432,535.6525,5449
119,130.366,535.7367,5496
120,133.300,535.8210,5500
121,136.232,535.9052,5634
122,139.164,535.9894,5557
123,142.094,536.0735,5608
124,145.023,536.1577,5524
125,147.950,536.2419,5597
126,150.877,536.3261,5563
127,153.803,536.4102,5521
128,156.727,536.4944,5519
129,159.650,536.5786,5549
130,162.572,536.6627,5614
131,165.493,536.7468,5655
132,168.413,536.8310,5634
133,171.332,536.9151,5727
134,174.249,536.9992,5760
135,177.166,537.0833,5723
136,180.081,537.1674,5756
137,182.995,537.2515,5793
138,185.908,537.3356,5715
139,188.820,537.4197,5797
140,191.731,537.5038,5853
141,194.640,537.5879,5876
142,197.549,537.6719,5910
143,200.456,537.7560,5851
144,203.362,537.8400,5941
145,206.267,537.9241,5970
146,209.171,538.0081,5892
147,212.074,538.0922,6035
148,214.975,538.1762,5935
149,217.876,538.2602,6012
150,220.775,538.3442,6045
151,223.673,538.4282,6060
152,226.570,538.5122,6034
153,229.466,538.5962,6097
154,232.361,538.6802,6114
155,235.255,538.7642,6103
156,238.147,538.8482,6104
157,241.039,538.9321,6131
158,243.929,539.0161,6192
159,246.818,539.1001,6231
160,249.706,539.1840,6368
161,252.593,539.2679,6249
162,255.479,539.3519,6231
163,258.363,539.4358,6301
164,261.247,539.5197,6331
165,264.129,539.6036,6415
166,267.011,539.6875,6342
167,269.891,539.7714,6358
168,272.770,539.8553,6459
169,275.648,539.9392,6453
170,278.524,540.0231,6373
171,281.400,540.1070,6443
172,284.275,540.1909,6474
173,287.148,540.2747,6363
174,290.020,540.3586,6537
175,292.892,540.4424,6479
176,295.762,540.5263,6537
177,298.631,540.6101,6515
178,301.498,540.6939,6491
179,304.365,540.7777,6600
180,307.231,540.8616,6499
181,310.095,540.9454,6530
182,312.959,541.0292,6543
183,315.821,541.1130,6533
184,318.682,541.1967,6624
185,321.542,541.2805,6557
186,324.401,541.3643,6714
187,327.259,541.4481,6508
188,330.115,541.5318,6604
189,332.971,541.6156,6658
190,335.825,541.6993,6697
191,338.679,541.7831,6641
192,341.531,541.8668,6704
193,344.382,541.9505,6712
194,347.232,542.0343,6688
195,350.081,542.1180,6749
196,352.929,542.2017,6833
197,355.775,542.2854,6747
198,358.621,542.3691,6739
199,361.465,542.4528,6842
200,364.309,542.5364,6815
201,367.151,542.6201,6741
202,369.992,542.7038,6883
203,372.832,542.7874,6857
204,375.671,542.8711,6980
205,378.509,542.9547,6962
206,381.346,543.0384,6954
207,384.181,543.1220,7057
208,387.016,543.2056,7041
