# laser_power_pct,0.004
# exposure_time,0.2
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.093,525.6699,637
1,-224.019,525.7549,637
2,-220.946,525.8399,647
3,-217.874,525.9248,641
4,-214.803,526.0098,639
5,-211.734,526.0947,642
6,-208.666,526.1796,637
7,-205.598,526.2646,643
8,-202.533,526.3495,637
9,-199.468,526.4344,636
10,-196.405,526.5193,656
11,-193.342,526.6042,646
12,-190.281,526.6891,639
13,-187.222,526.7740,635
14,-184.163,526.8589,634
15,-181.106,526.9438,640
16,-178.050,527.0287,634
17,-174.995,527.1135,643
18,-171.941,527.1984,630
19,-168.888,527.2832,647
20,-165.837,527.3681,640
21,-162.787,527.4529,640
22,-159.738,527.5378,638
23,-156.690,527.6226,642
24,-153.644,527.7074,640
25,-150.599,527.7922,636
26,-147.555,527.8771,639
27,-144.512,527.9619,640
28,-141.470,528.0467,643
29,-138.430,528.1314,645
30,-135.390,528.2162,642
31,-132.352,528.3010,645
32,-129.315,528.3858,643
33,-126.280,528.4706,639
34,-123.245,528.5553,644
35,-120.212,528.6401,636
36,-117.180,528.7248,638
37,-114.149,528.8096,647
38,-111.119,528.8943,638
39,-108.091,528.9790,634
40,-105.063,529.0637,638
41,-102.037,529.1485,638
42,-99.012,529.2332,643
43,-95.989,529.3179,638
44,-92.966,529.4026,643
45,-89.945,529.4873,639
46,-86.925,529.5720,643
47,-83.906,529.6566,641
48,-80.888,529.7413,644
49,-77.871,529.8260,641
50,-74.856,529.9106,636
51,-71.842,529.9953,637
52,-68.829,530.0799,636
53,-65.817,530.1646,640
54,-62.806,530.2492,638
55,-59.797,530.3338,640
56,-56.789,530.4185,639
57,-53.782,530.5031,632
58,-50.776,530.5877,640
59,-47.771,530.6723,640
60,-44.768,530.7569,640
61,-41.765,530.8415,640
62,-38.764,530.9261,639
63,-35.764,531.0106,648
64,-32.765,531.0952,648
65,-29.768,531.1798,641
66,-26.771,531.2643,637
67,-23.776,531.3489,644
68,-20.782,531.4334,643
69,-17.789,531.5180,642
70,-14.797,531.6025,642
71,-11.807,531.6870,641
72,-8.817,531.7715,647
73,-5.829,531.8561,642
74,-2.842,531.9406,640
75,0.144,532.0251,636
76,3.128,532.1096,642
77,6.112,532.1941,644
78,9.094,532.2785,643
79,12.075,532.3630,642
80,15.055,532.4475,656
81,18.034,532.5319,646
82,21.012,532.6164,641
83,23.988,532.7008,641
84,26.964,532.7853,637
85,29.938,532.8697,641
86,32.911,532.9542,641
87,35.882,533.0386,634
88,38.853,533.1230,640
89,41.822,533.2074,637
90,44.791,533.2918,638
91,47.758,533.3762,637
92,50.724,533.4606,642
93,53.689,533.5450,642
94,56.652,533.6294,641
95,59.615,533.7137,639
96,62.576,533.7981,640
97,65.536,533.8825,636
98,68.495,533.9668,636
99,71.453,534.0512,638
100,74.410,534.1355,641
101,77.365,534.2198,636
102,80.319,534.3042,640
103,83.273,534.3885,648
104,86.225,534.4728,640
105,89.176,534.5571,636
106,92.125,534.6414,636
107,95.074,534.7257,638
108,98.021,534.8100,643
109,100.967,534.8943,630
110,103.912,534.9786,640
111,106.856,535.0628,650
112,109.799,535.1471,643
113,112.741,535.2313,643
114,115.681,535.3156,645
115,118.621,535.3998,637
116,121.559,535.4841,645
117,124.496,535.5683,637
118,127.432,535.6525,640
119,130.366,535.7367,637
120,133.300,535.8210,641
121,136.232,535.9052,638
122,139.164,535.9894,645
123,142.094,536.0735,638
124,145.023,536.1577,641
125,147.950,536.2419,646
126,150.877,536.3261,637
127,153.803,536.4102,648
128,156.727,536.4944,641
129,159.650,536.5786,639
130,162.572,536.6627,636
131,165.493,536.7468,641
132,168.413,536.8310,646
133,171.332,536.9151,642
134,174.249,536.9992,652
135,177.166,537.0833,649
136,180.081,537.1674,652
137,182.995,537.2515,645
138,185.908,537.3356,643
139,188.820,537.4197,651
140,191.731,537.5038,643
141,194.640,537.5879,639
142,197.549,537.6719,641
143,200.456,537.7560,634
144,203.362,537.8400,636
145,206.267,537.9241,637
146,209.171,538.0081,643
147,212.074,538.0922,641
148,214.975,538.1762,640
149,217.876,538.2602,647
150,220.775,538.3442,646
151,223.673,538.4282,637
152,226.570,538.5122,637
153,229.466,538.5962,643
154,232.361,538.6802,643
155,235.255,538.7642,635
156,238.147,538.8482,641
157,241.039,538.9321,640
158,243.929,539.0161,643
159,246.818,539.1001,642
160,249.706,539.1840,634
161,252.593,539.2679,652
162,255.479,539.3519,643
163,258.363,539.4358,641
164,261.247,539.5197,640
165,264.129,539.6036,638
166,267.011,539.6875,642
167,269.891,539.7714,644
168,272.770,539.8553,642
169,275.648,539.9392,635
170,278.524,540.0231,642
171,281.400,540.1070,636
172,284.275,540.1909,644
173,287.148,540.2747,639
174,290.020,540.3586,640
175,292.892,540.4424,647
176,295.762,540.5263,638
177,298.631,540.6101,640
178,301.498,540.6939,638
179,304.365,540.7777,652
180,307.231,540.8616,638
181,310.095,540.9454,646
182,312.959,541.0292,640
183,315.821,541.1130,641
184,318.682,541.1967,642
185,321.542,541.2805,641
186,324.401,541.3643,644
187,327.259,541.4481,644
188,330.115,541.5318,650
189,332.971,541.6156,645
190,335.825,541.6993,640
191,338.679,541.7831,635
192,341.531,541.8668,640
193,344.382,541.9505,640
194,347.232,542.0343,641
195,350.081,542.1180,647
196,352.929,542.2017,639
197,355.775,542.2854,638
198,358.621,542.3691,639
199,361.465,542.4528,640
200,364.309,542.5364,643
201,367.151,542.6201,637
202,369.992,542.7038,642
203,372.832,542.7874,632
204,375.671,542.8711,643
205,378.509,542.9547,648
206,381.346,543.0384,643
207,384.181,543.1220,647
208,387.016,543.2056,647
209,389.849,543.2893,652
210,392.682,543.3729,642
211,395.513,543.4565,643
212,398.343,543.5401,641
213,401.172,543.6237,647
214,404.000,543.7073,641
215,406.827,543.7908,645
216,409.653,543.8744,648
217,412.477,543.9580,639
218,415.301,544.0415,655
219,418.123,544.1251,641
220,420.945,544.2086,642
221,423.765,544.2922,640
222,426.584,544.3757,642
223,429.402,544.4592,638
224,432.219,544.5427,641
225,435.035,544.6263,641
226,437.850,544.7098,639
227,440.664,544.7933,637
228,443.476,544.8767,638
229,446.288,544.9602,640
230,449.098,545.0437,643
231,451.907,545.1272,649
232,454.716,545.2106,642
233,457.523,545.2941,640
234,460.329,545.3775,640
235,463.134,545.4610,641
236,465.938,545.5444,646
237,468.741,545.6279,640
238,471.542,545.7113,640
239,474.343,545.7947,639
240,477.142,545.8781,641
241,479.941,545.9615,646
242,482.738,546.0449,636
243,485.535,546.1283,640
244,488.330,546.2117,637
245,491.124,546.2950,635
246,493.917,546.3784,649
247,496.709,546.4618,638
248,499.500,546.5451,642
249,502.290,546.6285,650
250,505.078,546.7118,643
251,507.866,546.7952,651
252,510.653,546.8785,645
253,513.438,546.9618,637
254,516.222,547.0451,646
255,519.006,547.1284,647
256,521.788,547.2117,649
257,524.569,547.2950,640
258,527.349,547.3783,643
259,530.128,547.4616,641
260,532.906,547.5448,649
261,535.683,547.6281,643
262,538.459,547.7114,643
263,541.234,547.7946,645
264,544.007,547.8779,644
265,546.780,547.9611,641
266,549.551,548.0443,638
267,552.322,548.1276,647
268,555.091,548.2108,639
269,557.859,548.2940,662
270,560.627,548.3772,640
271,563.393,548.4604,634
272,566.158,548.5436,644
273,568.922,548.6267,648
274,571.685,548.7099,641
275,574.447,548.7931,638
276,577.208,548.8763,647
277,579.967,548.9594,639
278,582.726,549.0426,642
279,585.484,549.1257,639
280,588.240,549.2088,639
281,590.996,549.2920,640
282,593.750,549.3751,643
283,596.503,549.4582,645
284,599.256,549.5413,651
285,602.007,549.6244,639
286,604.757,549.7075,648
287,607.506,549.7906,641
288,610.254,549.8736,642
289,613.001,549.9567,645
290,615.747,550.0398,643
291,618.492,550.1228,636
292,621.236,550.2059,639
293,623.979,550.2889,641
294,626.720,550.3720,645
295,629.461,550.4550,638
296,632.201,550.5380,640
297,634.939,550.6210,644
298,637.677,550.7040,639
299,640.413,550.7870,639
300,643.148,550.8700,643
301,645.883,550.9530,644
302,648.616,551.0360,642
303,651.348,551.1190,636
304,654.079,551.2019,643
305,656.809,551.2849,644
306,659.538,551.3679,640
307,662.266,551.4508,650
308,664.993,551.5337,651
309,667.719,551.6167,641
310,670.444,551.6996,641
311,673.168,551.7825,647
312,675.891,551.8654,636
313,678.612,551.9483,644
314,681.333,552.0312,638
315,684.052,552.1141,640
316,686.771,552.1970,642
317,689.488,552.2799,648
318,692.205,552.3627,639
319,694.920,552.4456,645
320,697.635,552.5284,654
321,700.348,552.6113,646
322,703.060,552.6941,639
323,705.772,552.7770,645
324,708.482,552.8598,641
325,711.191,552.9426,640
326,713.899,553.0254,636
327,716.606,553.1082,649
328,719.312,553.1910,652
329,722.017,553.2738,643
330,724.721,553.3566,645
331,727.424,553.4394,643
332,730.126,553.5221,640
333,732.827,553.6049,643
334,735.526,553.6877,641
335,738.225,553.7704,643
336,740.923,553.8531,647
337,743.619,553.9359,638
338,746.315,554.0186,641
339,749.010,554.1013,662
340,751.703,554.1840,642
341,754.396,554.2667,639
342,757.087,554.3494,645
343,759.778,554.4321,645
344,762.467,554.5148,637
345,765.155,554.5975,640
346,767.843,554.6802,635
347,770.529,554.7628,640
348,773.214,554.8455,648
349,775.899,554.9281,643
350,778.582,555.0108,646
351,781.264,555.0934,644
352,783.945,555.1760,640
353,786.625,555.2586,646
354,789.305,555.3413,642
355,791.983,555.4239,639
356,794.660,555.5065,646
357,797.336,555.5891,644
358,800.011,555.6716,646
359,802.685,555.7542,641
360,805.358,555.8368,644
361,808.030,555.9193,645
362,810.701,556.0019,647
363,813.370,556.0845,642
364,816.039,556.1670,643
365,818.707,556.2495,645
366,821.374,556.3321,643
367,824.040,556.4146,640
368,826.705,556.4971,642
369,829.368,556.5796,644
370,832.031,556.6621,646
371,834.693,556.7446,640
372,837.353,556.8271,637
373,840.013,556.9095,646
374,842.672,556.9920,640
375,845.329,557.0745,643
376,847.986,557.1569,640
377,850.642,557.2394,645
378,853.296,557.3218,644
379,855.950,557.4043,642
380,858.602,557.4867,641
381,861.254,557.5691,636
382,863.904,557.6515,645
383,866.554,557.7339,643
384,869.202,557.8163,642
385,871.850,557.8987,638
386,874.496,557.9811,646
387,877.142,558.0635,643
388,879.786,558.1458,644
389,882.429,558.2282,650
390,885.072,558.3105,642
391,887.713,558.3929,648
392,890.354,558.4752,645
393,892.993,558.5576,644
394,895.631,558.6399,643
395,898.269,558.7222,641
396,900.905,558.8045,646
397,903.540,558.8868,643
398,906.175,558.9691,640
399,908.808,559.0514,650
400,911.440,559.1337,653
401,914.072,559.2160,643
402,916.702,559.2982,645
403,919.331,559.3805,645
404,921.960,559.4628,638
405,924.587,559.5450,640
406,927.213,559.6272,636
407,929.838,559.7095,649
408,932.463,559.7917,644
409,935.086,559.8739,646
410,937.708,559.9561,646
411,940.330,560.0383,646
412,942.950,560.1205,640
413,945.569,560.2027,643
414,948.187,560.2849,643
415,950.805,560.3671,643
416,953.421,560.4492,642
417,956.036,560.5314,649
418,958.650,560.6135,640
419,961.264,560.6957,643
420,963.876,560.7778,646
421,966.487,560.8599,646
422,969.098,560.9421,645
423,971.707,561.0242,638
424,974.315,561.1063,640
425,976.922,561.1884,641
426,979.529,561.2705,644
427,982.134,561.3526,637
428,984.738,561.4346,642
429,987.342,561.5167,647
430,989.944,561.5988,643
431,992.545,561.6808,646
432,995.146,561.7629,645
433,997.745,561.8449,639
434,1000.343,561.9270,649
435,1002.941,562.0090,643
436,1005.537,562.0910,639
437,1008.133,562.1730,645
438,1010.727,562.2550,637
439,1013.320,562.3370,648
440,1015.913,562.4190,646
441,1018.504,562.5010,641
442,1021.095,562.5830,646
443,1023.684,562.6649,646
444,1026.273,562.7469,639
445,1028.860,562.8289,639
446,1031.447,562.9108,644
447,1034.032,562.9927,646
448,1036.617,563.0747,647
449,1039.200,563.1566,643
450,1041.783,563.2385,642
451,1044.364,563.3204,643
452,1046.945,563.4023,642
453,1049.525,563.4842,644
454,1052.103,563.5661,643
455,1054.681,563.6480,645
456,1057.258,563.7299,645
457,1059.833,563.8117,643
458,1062.408,563.8936,648
459,1064.982,563.9754,640
460,1067.555,564.0573,647
461,1070.126,564.1391,645
462,1072.697,564.2209,645
463,1075.267,564.3028,647
464,1077.836,564.3846,645
465,1080.404,564.4664,639
466,1082.971,564.5482,640
467,1085.537,564.6300,641
468,1088.101,564.7118,642
469,1090.665,564.7935,652
470,1093.228,564.8753,645
471,1095.790,564.9571,643
472,1098.351,565.0388,646
473,1100.912,565.1206,639
474,1103.471,565.2023,644
475,1106.029,565.2840,645
476,1108.586,565.3658,649
477,1111.142,565.4475,640
478,1113.697,565.5292,641
479,1116.252,565.6109,637
480,1118.805,565.6926,642
481,1121.357,565.7743,655
482,1123.908,565.8560,639
483,1126.459,565.9376,643
484,1129.008,566.0193,640
485,1131.557,566.1010,645
486,1134.104,566.1826,642
487,1136.651,566.2642,645
488,1139.196,566.3459,649
489,1141.741,566.4275,643
490,1144.284,566.5091,641
491,1146.827,566.5907,645
492,1149.369,566.6723,650
493,1151.909,566.7539,647
494,1154.449,566.8355,648
495,1156.988,566.9171,646
496,1159.526,566.9987,645
497,1162.062,567.0803,646
498,1164.598,567.1618,651
499,1167.133,567.2434,651
500,1169.667,567.3249,644
501,1172.200,567.4065,648
502,1174.732,567.4880,642
503,1177.263,567.5695,637
504,1179.793,567.6510,641
505,1182.323,567.7325,645
506,1184.851,567.8140,644
507,1187.378,567.8955,651
508,1189.904,567.9770,649
509,1192.430,568.0585,643
510,1194.954,568.1400,651
511,1197.478,568.2214,650
512,1200.000,568.3029,643
513,1202.521,568.3843,647
514,1205.042,568.4658,642
515,1207.562,568.5472,642
516,1210.080,568.6286,650
517,1212.598,568.7101,645
518,1215.115,568.7915,651
