# laser_power_pct,15
# exposure_time,1
# laser_nm,532.021
# mode,accumulate
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-224.942,525.7294,669
1,-221.874,525.8142,662
2,-218.808,525.8990,666
3,-215.742,525.9838,664
4,-212.678,526.0686,667
5,-209.615,526.1534,665
6,-206.553,526.2381,667
7,-203.493,526.3229,659
8,-200.433,526.4077,665
9,-197.375,526.4924,662
10,-194.318,526.5772,670
11,-191.263,526.6619,675
12,-188.208,526.7467,659
13,-185.155,526.8314,664
14,-182.103,526.9161,664
15,-179.052,527.0008,663
16,-176.002,527.0855,662
17,-172.953,527.1703,662
18,-169.906,527.2550,664
19,-166.860,527.3397,661
20,-163.815,527.4243,672
21,-160.771,527.5090,663
22,-157.728,527.5937,658
23,-154.687,527.6784,663
24,-151.647,527.7630,661
25,-148.608,527.8477,656
26,-145.570,527.9324,662
27,-142.533,528.0170,664
28,-139.498,528.1017,664
29,-136.464,528.1863,674
30,-133.431,528.2709,666
31,-130.399,528.3555,665
32,-127.368,528.4402,658
33,-124.339,528.5248,658
34,-121.310,528.6094,661
35,-118.283,528.6940,668
36,-115.257,528.7786,665
37,-112.233,528.8632,670
38,-109.209,528.9477,660
39,-106.187,529.0323,662
40,-103.166,529.1169,664
41,-100.146,529.2014,669
42,-97.127,529.2860,665
43,-94.109,529.3705,666
44,-91.093,529.4551,662
45,-88.077,529.5396,664
46,-85.063,529.6242,666
47,-82.050,529.7087,669
48,-79.039,529.7932,662
49,-76.028,529.8777,667
50,-73.019,529.9622,656
51,-70.011,530.0467,669
52,-67.004,530.1312,660
53,-63.998,530.2157,670
54,-60.993,530.3002,666
55,-57.990,530.3847,661
56,-54.987,530.4691,658
57,-51.986,530.5536,660
58,-48.986,530.6381,662
59,-45.988,530.7225,672
60,-42.990,530.8070,663
61,-39.994,530.8914,675
62,-36.998,530.9758,668
63,-34.004,531.0603,664
64,-31.011,531.1447,665
65,-28.020,531.2291,682
66,-25.029,531.3135,673
67,-22.040,531.3979,676
68,-19.051,531.4823,666
69,-16.064,531.5667,663
70,-13.078,531.6511,670
71,-10.094,531.7355,663
72,-7.110,531.8198,675
73,-4.128,531.9042,663
74,-1.146,531.9886,668
75,1.834,532.0729,666
76,4.813,532.1573,666
77,7.790,532.2416,670
78,10.767,532.3259,668
79,13.742,532.4103,675
80,16.717,532.4946,676
81,19.690,532.5789,670
82,22.662,532.6632,664
83,25.632,532.7475,668
84,28.602,532.8318,659
85,31.570,532.9161,667
86,34.538,533.0004,672
87,37.504,533.0847,656
88,40.469,533.1689,661
89,43.433,533.2532,662
90,46.395,533.3375,664
91,49.357,533.4217,661
92,52.317,533.5060,666
93,55.276,533.5902,664
94,58.234,533.6744,657
95,61.191,533.7587,666
96,64.147,533.8429,662
97,67.102,533.9271,667
98,70.055,534.0113,675
99,73.007,534.0955,672
100,75.958,534.1797,671
101,78.908,534.2639,668
102,81.857,534.3481,671
103,84.805,534.4323,685
104,87.752,534.5164,675
105,90.697,534.6006,667
106,93.641,534.6847,675
107,96.584,534.7689,667
108,99.526,534.8530,673
109,102.467,534.9372,671
110,105.407,535.0213,674
111,108.345,535.1054,685
112,111.283,535.1896,668
113,114.219,535.2737,676
114,117.154,535.3578,671
115,120.088,535.4419,683
116,123.021,535.5260,674
117,125.952,535.6101,675
118,128.883,535.6942,679
119,131.812,535.7782,666
120,134.740,535.8623,669
121,137.667,535.9464,673
122,140.593,536.0304,674
123,143.518,536.1145,673
124,146.442,536.1985,675
125,149.364,536.2826,667
126,152.286,536.3666,670
127,155.206,536.4506,669
128,158.125,536.5346,676
129,161.043,536.6187,668
130,163.960,536.7027,665
131,166.876,536.7867,667
132,169.790,536.8707,673
133,172.704,536.9546,672
134,175.616,537.0386,669
135,178.527,537.1226,672
136,181.437,537.2066,671
137,184.346,537.2905,683
138,187.254,537.3745,669
139,190.161,537.4584,678
140,193.066,537.5424,670
141,195.971,537.6263,678
142,198.874,537.7103,679
143,201.776,537.7942,670
144,204.677,537.8781,679
145,207.577,537.9620,680
146,210.476,538.0459,667
147,213.374,538.1298,670
148,216.270,538.2137,670
149,219.165,538.2976,670
150,222.060,538.3815,681
151,224.953,538.4653,674
152,227.845,538.5492,670
153,230.736,538.6331,677
154,233.626,538.7169,675
155,236.514,538.8008,668
156,239.402,538.8846,672
157,242.288,538.9684,671
158,245.174,539.0523,671
159,248.058,539.1361,675
160,250.941,539.2199,675
161,253.823,539.3037,680
162,256.704,539.3875,667
163,259.583,539.4713,667
164,262.462,539.5551,666
165,265.340,539.6389,674
166,268.216,539.7227,667
167,271.091,539.8064,673
168,273.965,539.8902,675
169,276.838,539.9739,678
170,279.710,540.0577,672
171,282.581,540.1414,669
172,285.451,540.2252,659
173,288.319,540.3089,680
174,291.187,540.3926,677
175,294.053,540.4763,679
176,296.918,540.5601,667
177,299.783,540.6438,660
178,302.646,540.7275,664
179,305.508,540.8112,691
180,308.368,540.8948,676
181,311.228,540.9785,679
182,314.087,541.0622,677
183,316.944,541.1459,672
184,319.801,541.2295,680
185,322.656,541.3132,673
186,325.510,541.3968,673
187,328.363,541.4805,680
188,331.215,541.5641,691
189,334.066,541.6477,676
190,336.916,541.7313,679
191,339.764,541.8149,677
192,342.612,541.8986,669
193,345.458,541.9822,675
194,348.304,542.0657,662
195,351.148,542.1493,666
196,353.991,542.2329,668
197,356.833,542.3165,668
198,359.674,542.4001,667
199,362.514,542.4836,672
200,365.353,542.5672,672
201,368.191,542.6507,666
202,371.027,542.7343,664
203,373.863,542.8178,672
204,376.697,542.9013,666
205,379.530,542.9848,667
206,382.362,543.0684,670
207,385.194,543.1519,673
208,388.024,543.2354,663
209,390.853,543.3189,679
210,393.680,543.4024,668
211,396.507,543.4858,668
212,399.333,543.5693,668
213,402.157,543.6528,673
214,404.981,543.7362,668
215,407.803,543.8197,680
216,410.624,543.9032,671
217,413.445,543.9866,669
218,416.264,544.0700,686
219,419.082,544.1535,663
220,421.899,544.2369,667
221,424.714,544.3203,675
222,427.529,544.4037,666
223,430.343,544.4871,671
224,433.155,544.5705,671
225,435.967,544.6539,670
226,438.777,544.7373,669
227,441.587,544.8207,669
228,444.395,544.9040,663
229,447.202,544.9874,669
230,450.008,545.0707,677
231,452.813,545.1541,669
232,455.617,545.2374,677
233,458.420,545.3208,669
234,461.222,545.4041,673
235,464.023,545.4874,672
236,466.822,545.5707,665
237,469.621,545.6541,665
238,472.418,545.7374,665
239,475.214,545.8207,671
240,478.010,545.9040,667
241,480.804,545.9872,676
242,483.597,546.0705,671
243,486.389,546.1538,677
244,489.180,546.2370,663
245,491.970,546.3203,668
246,494.759,546.4036,671
247,497.547,546.4868,679
248,500.333,546.5700,670
249,503.119,546.6533,671
250,505.904,546.7365,663
251,508.687,546.8197,674
