# laser_power_pct,10
# exposure_time,0.5
# laser_nm,532.021
# mode,accumulate
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-224.942,525.7294,649
1,-221.874,525.8142,655
2,-218.808,525.8990,656
3,-215.742,525.9838,657
4,-212.678,526.0686,662
5,-209.615,526.1534,651
6,-206.553,526.2381,652
7,-203.493,526.3229,655
8,-200.433,526.4077,659
9,-197.375,526.4924,655
10,-194.318,526.5772,664
11,-191.263,526.6619,661
12,-188.208,526.7467,657
13,-185.155,526.8314,653
14,-182.103,526.9161,647
15,-179.052,527.0008,656
16,-176.002,527.0855,649
17,-172.953,527.1703,651
18,-169.906,527.2550,648
19,-166.860,527.3397,651
20,-163.815,527.4243,647
21,-160.771,527.5090,642
22,-157.728,527.5937,651
23,-154.687,527.6784,654
24,-151.647,527.7630,652
25,-148.608,527.8477,655
26,-145.570,527.9324,648
27,-142.533,528.0170,649
28,-139.498,528.1017,653
29,-136.464,528.1863,660
30,-133.431,528.2709,654
31,-130.399,528.3555,658
32,-127.368,528.4402,654
33,-124.339,528.5248,651
34,-121.310,528.6094,654
35,-118.283,528.6940,656
36,-115.257,528.7786,652
37,-112.233,528.8632,661
38,-109.209,528.9477,654
39,-106.187,529.0323,651
40,-103.166,529.1169,661
41,-100.146,529.2014,652
42,-97.127,529.2860,658
43,-94.109,529.3705,663
44,-91.093,529.4551,650
45,-88.077,529.5396,654
46,-85.063,529.6242,656
47,-82.050,529.7087,657
48,-79.039,529.7932,655
49,-76.028,529.8777,651
50,-73.019,529.9622,652
51,-70.011,530.0467,650
52,-67.004,530.1312,648
53,-63.998,530.2157,656
54,-60.993,530.3002,653
55,-57.990,530.3847,647
56,-54.987,530.4691,647
57,-51.986,530.5536,651
58,-48.986,530.6381,654
59,-45.988,530.7225,653
60,-42.990,530.8070,648
61,-39.994,530.8914,655
62,-36.998,530.9758,653
63,-34.004,531.0603,654
64,-31.011,531.1447,672
65,-28.020,531.2291,664
66,-25.029,531.3135,660
67,-22.040,531.3979,666
68,-19.051,531.4823,660
69,-16.064,531.5667,655
70,-13.078,531.6511,652
71,-10.094,531.7355,655
72,-7.110,531.8198,670
73,-4.128,531.9042,656
74,-1.146,531.9886,649
75,1.834,532.0729,645
76,4.813,532.1573,642
77,7.790,532.2416,652
78,10.767,532.3259,658
79,13.742,532.4103,651
80,16.717,532.4946,663
81,19.690,532.5789,655
82,22.662,532.6632,650
83,25.632,532.7475,656
84,28.602,532.8318,647
85,31.570,532.9161,654
86,34.538,533.0004,655
87,37.504,533.0847,653
88,40.469,533.1689,656
89,43.433,533.2532,652
90,46.395,533.3375,646
91,49.357,533.4217,653
92,52.317,533.5060,651
93,55.276,533.5902,651
94,58.234,533.6744,653
95,61.191,533.7587,659
96,64.147,533.8429,652
97,67.102,533.9271,653
98,70.055,534.0113,657
99,73.007,534.0955,660
100,75.958,534.1797,658
101,78.908,534.2639,656
102,81.857,534.3481,655
103,84.805,534.4323,663
104,87.752,534.5164,656
105,90.697,534.6006,651
106,93.641,534.6847,655
107,96.584,534.7689,650
108,99.526,534.8530,654
109,102.467,534.9372,655
110,105.407,535.0213,662
111,108.345,535.1054,659
112,111.283,535.1896,656
113,114.219,535.2737,645
114,117.154,535.3578,658
115,120.088,535.4419,656
116,123.021,535.5260,650
117,125.952,535.6101,655
118,128.883,535.6942,656
119,131.812,535.7782,649
120,134.740,535.8623,654
121,137.667,535.9464,663
122,140.593,536.0304,651
123,143.518,536.1145,653
124,146.442,536.1985,654
125,149.364,536.2826,654
126,152.286,536.3666,649
127,155.206,536.4506,654
128,158.125,536.5346,660
129,161.043,536.6187,665
130,163.960,536.7027,656
131,166.876,536.7867,652
132,169.790,536.8707,657
133,172.704,536.9546,653
134,175.616,537.0386,652
135,178.527,537.1226,671
136,181.437,537.2066,655
137,184.346,537.2905,643
138,187.254,537.3745,653
139,190.161,537.4584,656
140,193.066,537.5424,652
141,195.971,537.6263,661
142,198.874,537.7103,651
143,201.776,537.7942,655
144,204.677,537.8781,660
145,207.577,537.9620,658
146,210.476,538.0459,647
147,213.374,538.1298,655
148,216.270,538.2137,658
149,219.165,538.2976,657
150,222.060,538.3815,668
151,224.953,538.4653,657
152,227.845,538.5492,655
153,230.736,538.6331,655
154,233.626,538.7169,651
155,236.514,538.8008,651
156,239.402,538.8846,657
157,242.288,538.9684,654
158,245.174,539.0523,659
159,248.058,539.1361,654
160,250.941,539.2199,649
161,253.823,539.3037,659
162,256.704,539.3875,654
163,259.583,539.4713,655
164,262.462,539.5551,656
165,265.340,539.6389,653
166,268.216,539.7227,650
167,271.091,539.8064,655
168,273.965,539.8902,655
169,276.838,539.9739,656
170,279.710,540.0577,656
171,282.581,540.1414,656
172,285.451,540.2252,653
173,288.319,540.3089,661
174,291.187,540.3926,656
175,294.053,540.4763,653
176,296.918,540.5601,655
