# laser_power_pct,10
# exposure_time,0.5
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-224.942,525.7294,652
1,-221.874,525.8142,655
2,-218.808,525.8990,656
3,-215.742,525.9838,654
4,-212.678,526.0686,661
5,-209.615,526.1534,647
6,-206.553,526.2381,652
7,-203.493,526.3229,646
8,-200.433,526.4077,653
9,-197.375,526.4924,651
10,-194.318,526.5772,669
11,-191.263,526.6619,662
12,-188.208,526.7467,659
13,-185.155,526.8314,655
14,-182.103,526.9161,655
15,-179.052,527.0008,654
16,-176.002,527.0855,650
17,-172.953,527.1703,645
18,-169.906,527.2550,654
19,-166.860,527.3397,651
20,-163.815,527.4243,655
21,-160.771,527.5090,652
22,-157.728,527.5937,644
23,-154.687,527.6784,651
24,-151.647,527.7630,650
25,-148.608,527.8477,652
26,-145.570,527.9324,648
27,-142.533,528.0170,650
28,-139.498,528.1017,658
29,-136.464,528.1863,664
30,-133.431,528.2709,648
31,-130.399,528.3555,654
32,-127.368,528.4402,646
33,-124.339,528.5248,644
34,-121.310,528.6094,653
35,-118.283,528.6940,651
36,-115.257,528.7786,651
37,-112.233,528.8632,649
38,-109.209,528.9477,649
39,-106.187,529.0323,648
40,-103.166,529.1169,655
41,-100.146,529.2014,649
42,-97.127,529.2860,659
43,-94.109,529.3705,648
44,-91.093,529.4551,658
45,-88.077,529.5396,658
46,-85.063,529.6242,659
47,-82.050,529.7087,656
48,-79.039,529.7932,655
49,-76.028,529.8777,655
50,-73.019,529.9622,649
51,-70.011,530.0467,650
52,-67.004,530.1312,650
53,-63.998,530.2157,658
54,-60.993,530.3002,658
55,-57.990,530.3847,653
56,-54.987,530.4691,646
57,-51.986,530.5536,650
58,-48.986,530.6381,660
59,-45.988,530.7225,651
60,-42.990,530.8070,653
61,-39.994,530.8914,656
62,-36.998,530.9758,657
63,-34.004,531.0603,655
64,-31.011,531.1447,665
65,-28.020,531.2291,650
66,-25.029,531.3135,658
67,-22.040,531.3979,657
68,-19.051,531.4823,651
69,-16.064,531.5667,647
70,-13.078,531.6511,659
71,-10.094,531.7355,655
72,-7.110,531.8198,661
73,-4.128,531.9042,648
74,-1.146,531.9886,651
75,1.834,532.0729,653
76,4.813,532.1573,649
77,7.790,532.2416,650
78,10.767,532.3259,648
79,13.742,532.4103,649
80,16.717,532.4946,672
81,19.690,532.5789,652
82,22.662,532.6632,650
83,25.632,532.7475,657
84,28.602,532.8318,648
85,31.570,532.9161,656
86,34.538,533.0004,663
87,37.504,533.0847,656
88,40.469,533.1689,656
89,43.433,533.2532,648
90,46.395,533.3375,652
91,49.357,533.4217,652
92,52.317,533.5060,651
93,55.276,533.5902,647
94,58.234,533.6744,653
