# laser_power_pct,40
# exposure_time,2
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-224.942,525.7294,700
1,-221.874,525.8142,697
2,-218.808,525.8990,703
3,-215.742,525.9838,707
4,-212.678,526.0686,706
5,-209.615,526.1534,699
6,-206.553,526.2381,705
7,-203.493,526.3229,695
8,-200.433,526.4077,695
9,-197.375,526.4924,701
10,-194.318,526.5772,706
11,-191.263,526.6619,704
12,-188.208,526.7467,709
13,-185.155,526.8314,699
14,-182.103,526.9161,695
15,-179.052,527.0008,701
16,-176.002,527.0855,708
17,-172.953,527.1703,692
18,-169.906,527.2550,685
19,-166.860,527.3397,704
20,-163.815,527.4243,695
21,-160.771,527.5090,693
22,-157.728,527.5937,697
23,-154.687,527.6784,696
24,-151.647,527.7630,701
25,-148.608,527.8477,703
26,-145.570,527.9324,698
27,-142.533,528.0170,697
28,-139.498,528.1017,699
29,-136.464,528.1863,700
30,-133.431,528.2709,699
31,-130.399,528.3555,696
32,-127.368,528.4402,691
33,-124.339,528.5248,693
34,-121.310,528.6094,693
35,-118.283,528.6940,686
36,-115.257,528.7786,704
37,-112.233,528.8632,714
38,-109.209,528.9477,702
39,-106.187,529.0323,692
40,-103.166,529.1169,705
41,-100.146,529.2014,710
42,-97.127,529.2860,707
43,-94.109,529.3705,684
44,-91.093,529.4551,693
45,-88.077,529.5396,702
46,-85.063,529.6242,713
47,-82.050,529.7087,697
48,-79.039,529.7932,700
49,-76.028,529.8777,706
50,-73.019,529.9622,698
51,-70.011,530.0467,695
52,-67.004,530.1312,696
53,-63.998,530.2157,701
54,-60.993,530.3002,696
55,-57.990,530.3847,694
56,-54.987,530.4691,695
57,-51.986,530.5536,706
58,-48.986,530.6381,691
59,-45.988,530.7225,692
60,-42.990,530.8070,691
61,-39.994,530.8914,708
62,-36.998,530.9758,704
63,-34.004,531.0603,716
64,-31.011,531.1447,736
65,-28.020,531.2291,721
66,-25.029,531.3135,753
67,-22.040,531.3979,748
68,-19.051,531.4823,715
69,-16.064,531.5667,714
70,-13.078,531.6511,711
71,-10.094,531.7355,693
72,-7.110,531.8198,713
73,-4.128,531.9042,696
74,-1.146,531.9886,703
75,1.834,532.0729,703
76,4.813,532.1573,702
77,7.790,532.2416,692
78,10.767,532.3259,720
79,13.742,532.4103,707
80,16.717,532.4946,703
81,19.690,532.5789,700
82,22.662,532.6632,703
83,25.632,532.7475,704
84,28.602,532.8318,694
85,31.570,532.9161,702
86,34.538,533.0004,700
87,37.504,533.0847,700
88,40.469,533.1689,700
89,43.433,533.2532,691
90,46.395,533.3375,696
91,49.357,533.4217,703
92,52.317,533.5060,692
93,55.276,533.5902,695
94,58.234,533.6744,698
95,61.191,533.7587,703
96,64.147,533.8429,699
97,67.102,533.9271,726
98,70.055,534.0113,719
99,73.007,534.0955,721
100,75.958,534.1797,734
101,78.908,534.2639,743
102,81.857,534.3481,738
103,84.805,534.4323,759
104,87.752,534.5164,756
105,90.697,534.6006,742
106,93.641,534.6847,736
107,96.584,534.7689,727
108,99.526,534.8530,732
109,102.467,534.9372,740
110,105.407,535.0213,743
111,108.345,535.1054,731
112,111.283,535.1896,725
113,114.219,535.2737,731
114,117.154,535.3578,730
115,120.088,535.4419,742
116,123.021,535.5260,734
117,125.952,535.6101,734
118,128.883,535.6942,718
119,131.812,535.7782,716
120,134.740,535.8623,735
121,137.667,535.9464,729
122,140.593,536.0304,732
123,143.518,536.1145,725
124,146.442,536.1985,742
125,149.364,536.2826,718
126,152.286,536.3666,729
127,155.206,536.4506,730
128,158.125,536.5346,727
129,161.043,536.6187,725
130,163.960,536.7027,724
131,166.876,536.7867,706
132,169.790,536.8707,734
133,172.704,536.9546,720
134,175.616,537.0386,732
135,178.527,537.1226,726
136,181.437,537.2066,719
137,184.346,537.2905,728
138,187.254,537.3745,728
139,190.161,537.4584,717
140,193.066,537.5424,706
141,195.971,537.6263,734
142,198.874,537.7103,737
143,201.776,537.7942,739
144,204.677,537.8781,714
145,207.577,537.9620,729
146,210.476,538.0459,715
147,213.374,538.1298,721
148,216.270,538.2137,722
149,219.165,538.2976,724
150,222.060,538.3815,711
151,224.953,538.4653,717
152,227.845,538.5492,725
153,230.736,538.6331,724
154,233.626,538.7169,730
155,236.514,538.8008,721
156,239.402,538.8846,717
157,242.288,538.9684,720
158,245.174,539.0523,721
159,248.058,539.1361,720
160,250.941,539.2199,719
161,253.823,539.3037,727
162,256.704,539.3875,731
163,259.583,539.4713,728
164,262.462,539.5551,730
165,265.340,539.6389,715
166,268.216,539.7227,710
167,271.091,539.8064,717
168,273.965,539.8902,719
169,276.838,539.9739,724
170,279.710,540.0577,711
171,282.581,540.1414,722
172,285.451,540.2252,721
173,288.319,540.3089,723
174,291.187,540.3926,723
175,294.053,540.4763,712
176,296.918,540.5601,725
177,299.783,540.6438,727
178,302.646,540.7275,731
179,305.508,540.8112,742
180,308.368,540.8948,727
181,311.228,540.9785,724
182,314.087,541.0622,730
183,316.944,541.1459,728
184,319.801,541.2295,727
185,322.656,541.3132,724
186,325.510,541.3968,720
187,328.363,541.4805,729
188,331.215,541.5641,762
189,334.066,541.6477,733
190,336.916,541.7313,710
191,339.764,541.8149,720
192,342.612,541.8986,714
193,345.458,541.9822,732
194,348.304,542.0657,722
195,351.148,542.1493,710
196,353.991,542.2329,717
197,356.833,542.3165,716
198,359.674,542.4001,724
199,362.514,542.4836,713
200,365.353,542.5672,723
201,368.191,542.6507,737
202,371.027,542.7343,724
203,373.863,542.8178,710
204,376.697,542.9013,723
205,379.530,542.9848,723
206,382.362,543.0684,728
207,385.194,543.1519,718
208,388.024,543.2354,731
209,390.853,543.3189,730
210,393.680,543.4024,716
211,396.507,543.4858,724
212,399.333,543.5693,716
213,402.157,543.6528,740
214,404.981,543.7362,724
215,407.803,543.8197,725
216,410.624,543.9032,718
217,413.445,543.9866,743
218,416.264,544.0700,724
219,419.082,544.1535,730
220,421.899,544.2369,727
221,424.714,544.3203,724
222,427.529,544.4037,710
223,430.343,544.4871,734
224,433.155,544.5705,719
225,435.967,544.6539,731
226,438.777,544.7373,715
227,441.587,544.8207,719
228,444.395,544.9040,718
229,447.202,544.9874,726
230,450.008,545.0707,732
231,452.813,545.1541,733
232,455.617,545.2374,733
233,458.420,545.3208,714
234,461.222,545.4041,717
235,464.023,545.4874,715
236,466.822,545.5707,712
237,469.621,545.6541,728
238,472.418,545.7374,723
239,475.214,545.8207,714
240,478.010,545.9040,722
241,480.804,545.9872,718
242,483.597,546.0705,719
243,486.389,546.1538,722
244,489.180,546.2370,731
245,491.970,546.3203,715
246,494.759,546.4036,713
247,497.547,546.4868,726
248,500.333,546.5700,720
249,503.119,546.6533,732
250,505.904,546.7365,721
251,508.687,546.8197,721
252,511.470,546.9029,722
253,514.251,546.9861,718
254,517.031,547.0693,728
255,519.810,547.1525,725
256,522.588,547.2357,726
257,525.366,547.3189,716
258,528.142,547.4020,715
259,530.916,547.4852,720
260,533.690,547.5684,708
261,536.463,547.6515,735
262,539.235,547.7346,740
263,542.006,547.8178,728
264,544.775,547.9009,716
265,547.544,547.9840,715
266,550.311,548.0672,726
267,553.078,548.1503,728
268,555.843,548.2334,729
269,558.607,548.3165,743
270,561.370,548.3995,727
271,564.133,548.4826,714
272,566.894,548.5657,722
273,569.654,548.6488,736
274,572.413,548.7318,721
275,575.171,548.8149,723
276,577.928,548.8979,719
277,580.683,548.9810,714
278,583.438,549.0640,715
279,586.192,549.1470,710
280,588.944,549.2301,709
281,591.696,549.3131,727
282,594.447,549.3961,733
283,597.196,549.4791,725
284,599.944,549.5621,723
285,602.692,549.6451,720
286,605.438,549.7281,717
287,608.183,549.8110,712
288,610.928,549.8940,721
289,613.671,549.9770,726
290,616.413,550.0599,722
291,619.154,550.1429,714
292,621.894,550.2258,717
293,624.633,550.3087,724
294,627.371,550.3917,720
295,630.107,550.4746,718
296,632.843,550.5575,712
297,635.578,550.6404,725
298,638.312,550.7233,717
299,641.044,550.8062,719
300,643.776,550.8891,717
301,646.506,550.9720,715
302,649.236,551.0548,717
303,651.964,551.1377,722
304,654.692,551.2206,719
305,657.418,551.3034,726
306,660.144,551.3863,725
307,662.868,551.4691,719
308,665.591,551.5519,723
309,668.313,551.6347,720
310,671.034,551.7176,712
311,673.755,551.8004,723
312,676.474,551.8832,716
313,679.192,551.9660,716
314,681.909,552.0488,728
315,684.625,552.1315,707
316,687.340,552.2143,712
317,690.053,552.2971,712
318,692.766,552.3799,731
319,695.478,552.4626,723
320,698.189,552.5454,720
321,700.899,552.6281,725
322,703.607,552.7108,720
323,706.315,552.7936,725
324,709.022,552.8763,731
325,711.727,552.9590,729
326,714.432,553.0417,729
327,717.135,553.1244,726
328,719.838,553.2071,722
329,722.539,553.2898,727
330,725.240,553.3725,729
331,727.939,553.4551,724
332,730.637,553.5378,728
333,733.335,553.6205,733
334,736.031,553.7031,718
335,738.726,553.7858,728
336,741.420,553.8684,708
337,744.114,553.9510,727
338,746.806,554.0337,718
339,749.497,554.1163,729
340,752.187,554.1989,733
341,754.876,554.2815,713
342,757.564,554.3641,728
343,760.251,554.4467,712
344,762.937,554.5293,716
345,765.622,554.6118,711
346,768.306,554.6944,725
347,770.989,554.7770,707
348,773.671,554.8595,722
349,776.352,554.9421,728
350,779.032,555.0246,719
