# laser_power_pct,40
# exposure_time,0.2
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-226.925,525.6746,650
1,-223.851,525.7595,652
2,-220.779,525.8445,653
3,-217.708,525.9294,654
4,-214.638,526.0143,645
5,-211.570,526.0993,651
6,-208.502,526.1842,655
7,-205.436,526.2691,650
8,-202.371,526.3540,647
9,-199.307,526.4389,650
10,-196.245,526.5238,669
11,-193.183,526.6086,664
12,-190.123,526.6935,649
13,-187.064,526.7784,654
14,-184.007,526.8633,654
15,-180.950,526.9481,649
16,-177.895,527.0330,652
17,-174.841,527.1178,650
18,-171.788,527.2026,650
19,-168.736,527.2875,653
20,-165.685,527.3723,648
21,-162.636,527.4571,647
22,-159.588,527.5419,650
23,-156.541,527.6268,645
24,-153.496,527.7116,646
25,-150.451,527.7964,652
26,-147.408,527.8811,647
27,-144.366,527.9659,647
28,-141.325,528.0507,657
29,-138.285,528.1355,655
30,-135.247,528.2202,648
31,-132.209,528.3050,643
32,-129.173,528.3898,647
33,-126.138,528.4745,653
34,-123.105,528.5592,646
35,-120.072,528.6440,646
36,-117.041,528.7287,648
37,-114.011,528.8134,656
38,-110.982,528.8981,648
39,-107.954,528.9828,649
40,-104.928,529.0675,646
41,-101.902,529.1522,650
42,-98.878,529.2369,647
43,-95.855,529.3216,649
44,-92.833,529.4063,648
45,-89.813,529.4910,646
46,-86.794,529.5756,650
47,-83.775,529.6603,648
48,-80.758,529.7449,655
49,-77.742,529.8296,649
50,-74.728,529.9142,644
51,-71.714,529.9989,651
52,-68.702,530.0835,643
53,-65.691,530.1681,649
54,-62.681,530.2527,649
55,-59.672,530.3373,647
56,-56.665,530.4219,649
57,-53.659,530.5065,649
58,-50.653,530.5911,642
59,-47.649,530.6757,651
60,-44.647,530.7603,652
61,-41.645,530.8449,654
62,-38.645,530.9294,660
63,-35.645,531.0140,660
64,-32.647,531.0985,734
65,-29.650,531.1831,938
66,-26.655,531.2676,1325
67,-23.660,531.3522,737
68,-20.667,531.4367,663
69,-17.674,531.5212,657
70,-14.683,531.6057,657
71,-11.694,531.6902,650
72,-8.705,531.7747,664
73,-5.717,531.8592,650
74,-2.731,531.9437,647
75,0.254,532.0282,648
76,3.238,532.1127,648
77,6.221,532.1971,648
78,9.202,532.2816,659
79,12.183,532.3661,654
80,15.162,532.4505,660
81,18.140,532.5350,648
82,21.117,532.6194,650
83,24.093,532.7038,643
84,27.068,532.7882,647
85,30.041,532.8727,652
86,33.013,532.9571,647
87,35.985,533.0415,648
88,38.955,533.1259,650
89,41.923,533.2103,652
90,44.891,533.2947,647
91,47.857,533.3790,650
92,50.823,533.4634,651
93,53.787,533.5478,645
94,56.750,533.6321,651
95,59.712,533.7165,655
96,62.672,533.8009,654
97,65.632,533.8852,648
98,68.590,533.9695,658
99,71.547,534.0539,655
100,74.503,534.1382,655
101,77.458,534.2225,658
102,80.412,534.3068,657
103,83.365,534.3911,665
104,86.316,534.4754,662
105,89.266,534.5597,659
106,92.215,534.6440,664
107,95.163,534.7283,657
108,98.110,534.8125,653
109,101.056,534.8968,659
110,104.000,534.9811,658
111,106.943,535.0653,659
112,109.886,535.1496,655
113,112.827,535.2338,657
114,115.766,535.3180,654
115,118.705,535.4023,657
116,121.643,535.4865,653
117,124.579,535.5707,657
118,127.514,535.6549,658
119,130.449,535.7391,653
120,133.382,535.8233,646
121,136.313,535.9075,662
122,139.244,535.9917,652
123,142.174,536.0758,655
124,145.102,536.1600,648
125,148.029,536.2442,663
126,150.955,536.3283,657
127,153.880,536.4125,660
128,156.804,536.4966,659
129,159.727,536.5808,654
130,162.648,536.6649,652
131,165.569,536.7490,651
