# laser_power_pct,5.0
# exposure_time,0.2
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-224.987,525.7281,649
1,-221.919,525.8130,657
2,-218.852,525.8978,649
3,-215.787,525.9826,656
4,-212.722,526.0673,652
5,-209.659,526.1521,647
6,-206.597,526.2369,650
7,-203.537,526.3217,651
8,-200.477,526.4065,652
9,-197.419,526.4912,649
10,-194.362,526.5760,660
11,-191.306,526.6607,661
12,-188.251,526.7455,648
13,-185.198,526.8302,648
14,-182.145,526.9149,658
15,-179.094,526.9996,649
16,-176.044,527.0844,644
17,-172.996,527.1691,647
18,-169.948,527.2538,653
19,-166.902,527.3385,648
20,-163.857,527.4232,652
21,-160.813,527.5079,651
22,-157.770,527.5926,644
23,-154.728,527.6772,651
24,-151.688,527.7619,650
25,-148.649,527.8466,641
26,-145.611,527.9312,655
27,-142.574,528.0159,652
28,-139.539,528.1005,651
29,-136.504,528.1852,650
30,-133.471,528.2698,646
31,-130.439,528.3544,648
32,-127.408,528.4390,652
33,-124.379,528.5237,643
34,-121.350,528.6083,650
35,-118.323,528.6929,649
36,-115.297,528.7775,655
37,-112.272,528.8621,654
38,-109.248,528.9466,651
39,-106.226,529.0312,655
40,-103.204,529.1158,653
41,-100.184,529.2004,658
42,-97.165,529.2849,654
43,-94.148,529.3695,652
44,-91.131,529.4540,649
45,-88.116,529.5386,646
46,-85.101,529.6231,657
47,-82.088,529.7076,657
48,-79.076,529.7921,654
49,-76.066,529.8767,651
50,-73.056,529.9612,653
51,-70.048,530.0457,644
52,-67.041,530.1302,650
53,-64.035,530.2147,653
54,-61.030,530.2992,646
55,-58.026,530.3836,653
56,-55.024,530.4681,651
57,-52.023,530.5526,645
58,-49.023,530.6370,651
59,-46.024,530.7215,647
60,-43.026,530.8059,647
61,-40.029,530.8904,653
62,-37.034,530.9748,650
63,-34.040,531.0593,656
64,-31.047,531.1437,670
65,-28.055,531.2281,663
66,-25.064,531.3125,674
67,-22.075,531.3969,648
68,-19.086,531.4813,652
69,-16.099,531.5657,655
70,-13.113,531.6501,653
71,-10.128,531.7345,647
72,-7.144,531.8189,662
73,-4.162,531.9032,650
74,-1.180,531.9876,649
75,1.800,532.0719,648
76,4.779,532.1563,650
77,7.757,532.2406,648
78,10.733,532.3250,668
79,13.709,532.4093,650
80,16.683,532.4936,658
81,19.657,532.5780,655
82,22.629,532.6623,657
83,25.599,532.7466,649
84,28.569,532.8309,648
85,31.538,532.9152,655
86,34.505,532.9995,655
87,37.472,533.0837,650
88,40.437,533.1680,654
89,43.401,533.2523,653
90,46.363,533.3365,643
91,49.325,533.4208,648
92,52.285,533.5050,648
93,55.245,533.5893,650
94,58.203,533.6735,655
95,61.160,533.7578,660
96,64.116,533.8420,653
97,67.071,533.9262,646
98,70.024,534.0104,650
99,72.977,534.0946,648
100,75.928,534.1788,650
101,78.878,534.2630,651
102,81.827,534.3472,650
103,84.775,534.4314,663
104,87.721,534.5156,655
105,90.667,534.5997,648
106,93.611,534.6839,650
107,96.554,534.7680,657
108,99.497,534.8522,647
109,102.437,534.9363,652
110,105.377,535.0205,658
111,108.316,535.1046,655
112,111.253,535.1887,649
113,114.190,535.2729,654
114,117.125,535.3570,658
115,120.059,535.4411,653
116,122.992,535.5252,656
117,125.924,535.6093,650
118,128.854,535.6933,652
119,131.784,535.7774,653
120,134.712,535.8615,651
121,137.639,535.9456,653
122,140.565,536.0296,656
123,143.490,536.1137,649
124,146.414,536.1977,654
125,149.337,536.2818,656
