# laser_power_pct,60
# exposure_time,2
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-224.987,525.7281,672
1,-221.919,525.8130,657
2,-218.852,525.8978,672
3,-215.787,525.9826,680
4,-212.722,526.0673,668
5,-209.659,526.1521,669
6,-206.597,526.2369,670
7,-203.537,526.3217,669
8,-200.477,526.4065,668
9,-197.419,526.4912,662
10,-194.362,526.5760,682
11,-191.306,526.6607,676
12,-188.251,526.7455,664
13,-185.198,526.8302,657
14,-182.145,526.9149,663
15,-179.094,526.9996,667
16,-176.044,527.0844,661
17,-172.996,527.1691,659
18,-169.948,527.2538,670
19,-166.902,527.3385,661
20,-163.857,527.4232,660
21,-160.813,527.5079,657
22,-157.770,527.5926,666
23,-154.728,527.6772,668
24,-151.688,527.7619,655
25,-148.649,527.8466,661
26,-145.611,527.9312,662
27,-142.574,528.0159,663
28,-139.539,528.1005,668
29,-136.504,528.1852,669
30,-133.471,528.2698,659
31,-130.439,528.3544,665
32,-127.408,528.4390,664
33,-124.379,528.5237,662
34,-121.350,528.6083,663
35,-118.323,528.6929,660
36,-115.297,528.7775,665
37,-112.272,528.8621,672
38,-109.248,528.9466,663
39,-106.226,529.0312,667
40,-103.204,529.1158,666
41,-100.184,529.2004,667
42,-97.165,529.2849,673
43,-94.148,529.3695,663
44,-91.131,529.4540,673
45,-88.116,529.5386,671
46,-85.101,529.6231,669
47,-82.088,529.7076,667
48,-79.076,529.7921,664
49,-76.066,529.8767,663
50,-73.056,529.9612,663
51,-70.048,530.0457,660
52,-67.041,530.1302,669
53,-64.035,530.2147,666
54,-61.030,530.2992,664
55,-58.026,530.3836,671
56,-55.024,530.4681,662
57,-52.023,530.5526,665
58,-49.023,530.6370,663
59,-46.024,530.7215,667
60,-43.026,530.8059,674
61,-40.029,530.8904,689
62,-37.034,530.9748,716
63,-34.040,531.0593,875
64,-31.047,531.1437,1134
65,-28.055,531.2281,2614
66,-25.064,531.3125,4904
67,-22.075,531.3969,1015
68,-19.086,531.4813,716
69,-16.099,531.5657,680
70,-13.113,531.6501,667
71,-10.128,531.7345,663
72,-7.144,531.8189,670
73,-4.162,531.9032,672
74,-1.180,531.9876,657
75,1.800,532.0719,662
76,4.779,532.1563,667
77,7.757,532.2406,667
78,10.733,532.3250,673
79,13.709,532.4093,670
80,16.683,532.4936,690
81,19.657,532.5780,660
82,22.629,532.6623,668
83,25.599,532.7466,661
84,28.569,532.8309,659
85,31.538,532.9152,673
86,34.505,532.9995,666
87,37.472,533.0837,665
88,40.437,533.1680,664
89,43.401,533.2523,672
90,46.363,533.3365,661
91,49.325,533.4208,664
92,52.285,533.5050,669
93,55.245,533.5893,676
94,58.203,533.6735,690
95,61.160,533.7578,713
96,64.116,533.8420,746
97,67.071,533.9262,801
98,70.024,534.0104,864
99,72.977,534.0946,956
100,75.928,534.1788,1037
101,78.878,534.2630,1095
102,81.827,534.3472,1112
103,84.775,534.4314,1174
104,87.721,534.5156,1184
105,90.667,534.5997,1122
106,93.611,534.6839,1187
107,96.554,534.7680,1161
108,99.497,534.8522,1138
109,102.437,534.9363,1164
110,105.377,535.0205,1179
111,108.316,535.1046,1135
112,111.253,535.1887,1153
113,114.190,535.2729,1136
114,117.125,535.3570,1146
115,120.059,535.4411,1188
116,122.992,535.5252,1149
117,125.924,535.6093,1127
118,128.854,535.6933,1145
119,131.784,535.7774,1126
120,134.712,535.8615,1153
121,137.639,535.9456,1109
122,140.565,536.0296,1130
123,143.490,536.1137,1119
124,146.414,536.1977,1138
125,149.337,536.2818,1134
126,152.258,536.3658,1160
127,155.179,536.4498,1132
128,158.098,536.5339,1118
129,161.016,536.6179,1139
130,163.933,536.7019,1119
131,166.849,536.7859,1139
132,169.764,536.8699,1170
133,172.677,536.9539,1125
134,175.590,537.0379,1129
135,178.501,537.1218,1142
136,181.411,537.2058,1137
137,184.320,537.2898,1150
138,187.228,537.3737,1163
139,190.135,537.4577,1160
140,193.040,537.5416,1143
141,195.945,537.6256,1144
142,198.848,537.7095,1144
143,201.751,537.7934,1165
144,204.652,537.8774,1183
145,207.552,537.9613,1179
146,210.451,538.0452,1160
147,213.349,538.1291,1202
148,216.245,538.2130,1200
149,219.141,538.2969,1184
150,222.035,538.3807,1225
151,224.928,538.4646,1227
152,227.821,538.5485,1207
153,230.712,538.6324,1209
154,233.601,538.7162,1210
155,236.490,538.8001,1203
156,239.378,538.8839,1200
157,242.264,538.9677,1245
158,245.150,539.0516,1222
159,248.034,539.1354,1198
160,250.917,539.2192,1212
161,253.799,539.3030,1217
162,256.680,539.3868,1231
163,259.560,539.4706,1246
164,262.439,539.5544,1243
165,265.317,539.6382,1270
166,268.193,539.7220,1261
167,271.068,539.8058,1299
168,273.943,539.8895,1263
169,276.816,539.9733,1275
170,279.688,540.0570,1243
171,282.559,540.1408,1311
172,285.429,540.2245,1298
173,288.297,540.3083,1312
174,291.165,540.3920,1303
175,294.031,540.4757,1304
176,296.897,540.5594,1276
177,299.761,540.6431,1270
