# laser_power_pct,80
# exposure_time,0.5
# laser_nm,532.021
# mode,accumulate
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-224.987,525.7281,652
1,-221.919,525.8130,645
2,-218.852,525.8978,652
3,-215.787,525.9826,650
4,-212.722,526.0673,645
5,-209.659,526.1521,645
6,-206.597,526.2369,647
7,-203.537,526.3217,650
8,-200.477,526.4065,651
9,-197.419,526.4912,654
10,-194.362,526.5760,659
11,-191.306,526.6607,664
12,-188.251,526.7455,647
13,-185.198,526.8302,641
14,-182.145,526.9149,643
15,-179.094,526.9996,644
16,-176.044,527.0844,651
17,-172.996,527.1691,646
18,-169.948,527.2538,645
19,-166.902,527.3385,649
20,-163.857,527.4232,654
21,-160.813,527.5079,643
22,-157.770,527.5926,637
23,-154.728,527.6772,647
24,-151.688,527.7619,642
25,-148.649,527.8466,645
26,-145.611,527.9312,649
27,-142.574,528.0159,642
28,-139.539,528.1005,645
29,-136.504,528.1852,652
30,-133.471,528.2698,648
31,-130.439,528.3544,650
32,-127.408,528.4390,650
33,-124.379,528.5237,644
34,-121.350,528.6083,643
35,-118.323,528.6929,648
36,-115.297,528.7775,653
37,-112.272,528.8621,655
38,-109.248,528.9466,644
39,-106.226,529.0312,647
40,-103.204,529.1158,651
41,-100.184,529.2004,645
42,-97.165,529.2849,659
43,-94.148,529.3695,644
44,-91.131,529.4540,651
45,-88.116,529.5386,641
46,-85.101,529.6231,652
47,-82.088,529.7076,652
48,-79.076,529.7921,650
49,-76.066,529.8767,648
50,-73.056,529.9612,645
51,-70.048,530.0457,652
52,-67.041,530.1302,646
53,-64.035,530.2147,650
54,-61.030,530.2992,645
55,-58.026,530.3836,646
56,-55.024,530.4681,651
57,-52.023,530.5526,647
58,-49.023,530.6370,638
59,-46.024,530.7215,648
60,-43.026,530.8059,649
61,-40.029,530.8904,653
62,-37.034,530.9748,667
63,-34.040,531.0593,713
64,-31.047,531.1437,785
65,-28.055,531.2281,1155
66,-25.064,531.3125,1778
67,-22.075,531.3969,726
68,-19.086,531.4813,666
69,-16.099,531.5657,654
70,-13.113,531.6501,647
71,-10.128,531.7345,648
72,-7.144,531.8189,661
73,-4.162,531.9032,646
74,-1.180,531.9876,648
75,1.800,532.0719,646
76,4.779,532.1563,645
77,7.757,532.2406,644
78,10.733,532.3250,656
79,13.709,532.4093,653
80,16.683,532.4936,671
81,19.657,532.5780,649
82,22.629,532.6623,653
83,25.599,532.7466,652
84,28.569,532.8309,640
85,31.538,532.9152,648
86,34.505,532.9995,649
87,37.472,533.0837,644
88,40.437,533.1680,650
89,43.401,533.2523,645
90,46.363,533.3365,651
91,49.325,533.4208,643
92,52.285,533.5050,644
93,55.245,533.5893,650
94,58.203,533.6735,646
95,61.160,533.7578,646
96,64.116,533.8420,651
97,67.071,533.9262,669
98,70.024,534.0104,674
99,72.977,534.0946,669
100,75.928,534.1788,689
101,78.878,534.2630,683
102,81.827,534.3472,692
103,84.775,534.4314,708
104,87.721,534.5156,712
105,90.667,534.5997,691
106,93.611,534.6839,695
107,96.554,534.7680,685
108,99.497,534.8522,684
109,102.437,534.9363,689
110,105.377,535.0205,689
111,108.316,535.1046,682
112,111.253,535.1887,683
113,114.190,535.2729,680
114,117.125,535.3570,685
115,120.059,535.4411,695
116,122.992,535.5252,677
117,125.924,535.6093,681
118,128.854,535.6933,664
119,131.784,535.7774,689
120,134.712,535.8615,686
121,137.639,535.9456,688
122,140.565,536.0296,691
123,143.490,536.1137,669
124,146.414,536.1977,684
125,149.337,536.2818,670
126,152.258,536.3658,667
127,155.179,536.4498,670
128,158.098,536.5339,677
129,161.016,536.6179,678
130,163.933,536.7019,680
131,166.849,536.7859,674
132,169.764,536.8699,676
133,172.677,536.9539,673
134,175.590,537.0379,682
135,178.501,537.1218,675
136,181.411,537.2058,676
137,184.320,537.2898,674
138,187.228,537.3737,666
139,190.135,537.4577,672
140,193.040,537.5416,683
141,195.945,537.6256,677
142,198.848,537.7095,686
143,201.751,537.7934,676
144,204.652,537.8774,684
145,207.552,537.9613,677
146,210.451,538.0452,685
147,213.349,538.1291,695
148,216.245,538.2130,700
149,219.141,538.2969,694
150,222.035,538.3807,688
151,224.928,538.4646,691
152,227.821,538.5485,691
153,230.712,538.6324,687
154,233.601,538.7162,689
155,236.490,538.8001,700
156,239.378,538.8839,696
157,242.264,538.9677,699
158,245.150,539.0516,704
159,248.034,539.1354,693
160,250.917,539.2192,685
161,253.799,539.3030,706
162,256.680,539.3868,695
163,259.560,539.4706,707
164,262.439,539.5544,700
165,265.317,539.6382,705
166,268.193,539.7220,702
167,271.068,539.8058,689
168,273.943,539.8895,702
169,276.816,539.9733,705
170,279.688,540.0570,707
171,282.559,540.1408,710
172,285.429,540.2245,720
173,288.297,540.3083,713
174,291.165,540.3920,711
175,294.031,540.4757,714
176,296.897,540.5594,703
177,299.761,540.6431,692
178,302.624,540.7268,714
179,305.486,540.8105,700
180,308.347,540.8942,688
181,311.207,540.9779,699
182,314.065,541.0616,689
183,316.923,541.1452,679
184,319.780,541.2289,698
185,322.635,541.3126,691
186,325.489,541.3962,687
187,328.342,541.4798,692
188,331.194,541.5635,714
189,334.045,541.6471,692
190,336.895,541.7307,687
191,339.744,541.8143,688
192,342.592,541.8980,695
193,345.438,541.9816,682
194,348.284,542.0652,689
195,351.128,542.1487,688
196,353.971,542.2323,685
197,356.814,542.3159,682
198,359.655,542.3995,680
199,362.495,542.4830,683
200,365.334,542.5666,694
201,368.171,542.6502,680
202,371.008,542.7337,686
203,373.844,542.8172,672
204,376.678,542.9008,683
205,379.511,542.9843,678
206,382.344,543.0678,682
207,385.175,543.1513,698
208,388.005,543.2348,682
209,390.834,543.3183,681
210,393.662,543.4018,682
211,396.489,543.4853,678
212,399.315,543.5688,676
213,402.139,543.6522,681
214,404.963,543.7357,683
215,407.785,543.8192,685
216,410.607,543.9026,683
217,413.427,543.9861,680
218,416.246,544.0695,674
219,419.064,544.1529,680
220,421.881,544.2364,681
221,424.697,544.3198,679
222,427.512,544.4032,676
223,430.326,544.4866,684
224,433.138,544.5700,678
225,435.950,544.6534,672
226,438.761,544.7368,673
227,441.570,544.8202,667
228,444.378,544.9035,678
229,447.186,544.9869,669
230,449.992,545.0703,685
231,452.797,545.1536,679
232,455.601,545.2370,672
233,458.404,545.3203,669
234,461.206,545.4036,666
235,464.006,545.4870,677
236,466.806,545.5703,676
237,469.605,545.6536,666
238,472.402,545.7369,664
239,475.199,545.8202,679
240,477.994,545.9035,687
241,480.788,545.9868,700
242,483.582,546.0701,691
243,486.374,546.1533,694
244,489.165,546.2366,712
245,491.955,546.3198,726
246,494.744,546.4031,781
247,497.532,546.4863,839
248,500.319,546.5696,943
249,503.104,546.6528,1224
250,505.889,546.7360,1928
251,508.672,546.8193,2973
252,511.455,546.9025,3079
253,514.236,546.9857,1811
254,517.017,547.0689,1102
255,519.796,547.1521,887
256,522.574,547.2353,783
257,525.351,547.3184,750
258,528.128,547.4016,731
259,530.903,547.4848,714
260,533.676,547.5679,718
261,536.449,547.6511,684
262,539.221,547.7342,693
263,541.992,547.8174,698
264,544.762,547.9005,684
265,547.530,547.9836,692
266,550.298,548.0667,682
267,553.064,548.1499,677
268,555.830,548.2330,687
269,558.594,548.3161,694
270,561.357,548.3992,668
271,564.120,548.4822,672
272,566.881,548.5653,679
273,569.641,548.6484,678
274,572.400,548.7315,669
275,575.158,548.8145,679
276,577.915,548.8976,676
277,580.671,548.9806,681
278,583.426,549.0636,684
279,586.179,549.1467,678
280,588.932,549.2297,669
281,591.684,549.3127,679
282,594.434,549.3957,673
283,597.184,549.4787,684
284,599.932,549.5617,685
285,602.680,549.6447,682
286,605.426,549.7277,684
287,608.172,549.8107,677
288,610.916,549.8936,680
289,613.659,549.9766,677
290,616.401,550.0596,672
291,619.142,550.1425,675
292,621.882,550.2255,676
293,624.621,550.3084,668
294,627.359,550.3913,671
295,630.096,550.4742,679
296,632.832,550.5572,672
297,635.567,550.6401,666
298,638.301,550.7230,674
299,641.034,550.8059,681
300,643.765,550.8888,672
301,646.496,550.9716,687
302,649.225,551.0545,678
303,651.954,551.1374,677
304,654.681,551.2202,676
305,657.408,551.3031,683
306,660.133,551.3859,666
307,662.858,551.4688,680
308,665.581,551.5516,683
309,668.303,551.6344,676
310,671.024,551.7173,681
311,673.745,551.8001,670
312,676.464,551.8829,665
313,679.182,551.9657,676
314,681.899,552.0485,675
315,684.615,552.1313,676
316,687.330,552.2140,674
317,690.044,552.2968,661
318,692.757,552.3796,662
319,695.469,552.4623,673
320,698.180,552.5451,685
321,700.889,552.6278,675
322,703.598,552.7106,678
323,706.306,552.7933,668
324,709.013,552.8760,672
325,711.718,552.9587,675
326,714.423,553.0414,663
327,717.126,553.1241,665
328,719.829,553.2068,666
329,722.530,553.2895,679
330,725.231,553.3722,665
331,727.930,553.4549,681
