# laser_power_pct,40
# exposure_time,1
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.075,525.6704,675
1,-224.001,525.7554,659
2,-220.928,525.8404,666
3,-217.855,525.9253,663
4,-214.785,526.0103,665
5,-211.715,526.0952,667
6,-208.646,526.1802,667
7,-205.579,526.2651,668
8,-202.513,526.3500,666
9,-199.448,526.4350,668
10,-196.385,526.5199,675
11,-193.322,526.6048,676
12,-190.261,526.6897,660
13,-187.201,526.7746,664
14,-184.142,526.8595,667
15,-181.085,526.9444,665
16,-178.029,527.0292,669
17,-174.974,527.1141,671
18,-171.920,527.1990,665
19,-168.867,527.2838,667
20,-165.815,527.3687,665
21,-162.765,527.4535,668
22,-159.716,527.5384,663
23,-156.668,527.6232,663
24,-153.622,527.7080,668
25,-150.576,527.7929,667
26,-147.532,527.8777,660
27,-144.489,527.9625,663
28,-141.447,528.0473,667
29,-138.406,528.1321,668
30,-135.367,528.2169,663
31,-132.329,528.3017,663
32,-129.291,528.3865,658
33,-126.256,528.4712,654
34,-123.221,528.5560,661
35,-120.188,528.6407,661
36,-117.155,528.7255,661
37,-114.124,528.8102,675
38,-111.094,528.8950,664
39,-108.066,528.9797,661
40,-105.038,529.0645,668
41,-102.012,529.1492,666
42,-98.987,529.2339,667
43,-95.963,529.3186,661
44,-92.940,529.4033,668
45,-89.919,529.4880,663
46,-86.899,529.5727,677
47,-83.879,529.6574,666
48,-80.862,529.7420,666
49,-77.845,529.8267,663
50,-74.829,529.9114,665
51,-71.815,529.9960,668
52,-68.802,530.0807,664
53,-65.790,530.1653,672
54,-62.779,530.2500,667
55,-59.769,530.3346,667
56,-56.761,530.4192,661
57,-53.754,530.5039,661
58,-50.748,530.5885,664
59,-47.743,530.6731,659
60,-44.739,530.7577,662
61,-41.737,530.8423,679
62,-38.736,530.9269,684
63,-35.735,531.0114,740
64,-32.737,531.0960,947
65,-29.739,531.1806,1869
66,-26.742,531.2651,3953
67,-23.747,531.3497,841
68,-20.753,531.4343,702
69,-17.760,531.5188,673
70,-14.768,531.6033,669
71,-11.777,531.6879,660
72,-8.788,531.7724,678
73,-5.799,531.8569,668
74,-2.812,531.9414,654
75,0.174,532.0259,659
76,3.159,532.1104,658
77,6.142,532.1949,664
78,9.125,532.2794,673
79,12.106,532.3639,662
80,15.086,532.4483,676
81,18.065,532.5328,675
82,21.043,532.6173,665
83,24.019,532.7017,663
84,26.995,532.7862,662
85,29.969,532.8706,663
86,32.942,532.9550,663
87,35.914,533.0395,669
88,38.885,533.1239,668
89,41.854,533.2083,663
90,44.823,533.2927,667
91,47.790,533.3771,665
92,50.756,533.4615,670
93,53.721,533.5459,673
94,56.685,533.6303,663
95,59.647,533.7147,660
96,62.609,533.7990,665
97,65.569,533.8834,681
98,68.528,533.9678,677
99,71.486,534.0521,690
100,74.443,534.1364,690
101,77.398,534.2208,699
102,80.353,534.3051,704
103,83.306,534.3894,708
104,86.258,534.4738,699
105,89.209,534.5581,701
106,92.159,534.6424,696
107,95.107,534.7267,711
108,98.055,534.8110,694
109,101.001,534.8952,693
110,103.946,534.9795,692
111,106.890,535.0638,705
112,109.833,535.1481,695
113,112.775,535.2323,686
114,115.715,535.3166,690
115,118.655,535.4008,691
116,121.593,535.4851,701
117,124.530,535.5693,702
118,127.466,535.6535,679
119,130.401,535.7377,694
120,133.335,535.8219,695
121,136.267,535.9062,697
122,139.198,535.9904,695
123,142.129,536.0745,701
124,145.058,536.1587,687
125,147.985,536.2429,689
126,150.912,536.3271,691
127,153.838,536.4113,683
128,156.762,536.4954,696
129,159.686,536.5796,697
130,162.608,536.6637,694
131,165.529,536.7479,689
132,168.449,536.8320,691
133,171.367,536.9161,685
134,174.285,537.0002,680
135,177.201,537.0844,702
136,180.117,537.1685,689
137,183.031,537.2526,695
138,185.944,537.3367,690
139,188.856,537.4207,707
140,191.767,537.5048,692
141,194.676,537.5889,702
142,197.585,537.6730,691
143,200.492,537.7570,697
144,203.398,537.8411,707
145,206.303,537.9251,708
146,209.207,538.0092,703
147,212.110,538.0932,719
148,215.012,538.1772,724
149,217.912,538.2613,708
150,220.811,538.3453,700
151,223.710,538.4293,719
152,226.607,538.5133,726
153,229.503,538.5973,725
154,232.398,538.6813,711
155,235.291,538.7653,718
156,238.184,538.8492,718
157,241.075,538.9332,732
158,243.966,539.0172,722
159,246.855,539.1011,724
160,249.743,539.1851,731
161,252.630,539.2690,736
162,255.516,539.3530,726
163,258.400,539.4369,739
164,261.284,539.5208,725
165,264.166,539.6047,739
166,267.048,539.6886,747
167,269.928,539.7725,736
168,272.807,539.8564,741
169,275.685,539.9403,744
170,278.562,540.0242,752
171,281.437,540.1081,754
172,284.312,540.1919,759
173,287.186,540.2758,761
174,290.058,540.3597,751
175,292.929,540.4435,761
176,295.799,540.5274,750
177,298.668,540.6112,741
178,301.536,540.6950,738
179,304.403,540.7788,745
180,307.268,540.8627,717
181,310.133,540.9465,740
182,312.996,541.0303,715
183,315.858,541.1141,719
184,318.720,541.1978,726
185,321.580,541.2816,720
186,324.439,541.3654,715
187,327.296,541.4492,713
188,330.153,541.5329,738
189,333.009,541.6167,710
190,335.863,541.7004,719
191,338.716,541.7842,708
192,341.569,541.8679,697
193,344.420,541.9516,716
194,347.270,542.0354,719
195,350.119,542.1191,715
196,352.967,542.2028,699
197,355.813,542.2865,708
198,358.659,542.3702,701
199,361.503,542.4539,712
200,364.347,542.5376,702
201,367.189,542.6212,709
202,370.030,542.7049,714
203,372.870,542.7886,705
204,375.709,542.8722,708
205,378.547,542.9559,711
206,381.384,543.0395,706
207,384.219,543.1231,701
208,387.054,543.2068,704
209,389.887,543.2904,707
210,392.720,543.3740,703
211,395.551,543.4576,693
212,398.381,543.5412,701
213,401.210,543.6248,716
214,404.038,543.7084,701
215,406.865,543.7920,706
216,409.690,543.8755,700
217,412.515,543.9591,701
218,415.339,544.0426,712
219,418.161,544.1262,711
220,420.982,544.2097,711
221,423.803,544.2933,695
222,426.622,544.3768,692
223,429.440,544.4603,704
224,432.257,544.5439,692
225,435.073,544.6274,689
226,437.887,544.7109,695
227,440.701,544.7944,687
228,443.514,544.8779,681
229,446.325,544.9613,690
230,449.136,545.0448,668
231,451.945,545.1283,686
232,454.753,545.2118,687
233,457.560,545.2952,687
234,460.366,545.3787,696
235,463.171,545.4621,685
236,465.975,545.5455,689
237,468.778,545.6290,699
238,471.580,545.7124,696
239,474.380,545.7958,700
240,477.180,545.8792,711
241,479.978,545.9626,721
242,482.775,546.0460,727
243,485.572,546.1294,755
244,488.367,546.2128,780
245,491.161,546.2962,834
246,493.954,546.3795,965
247,496.746,546.4629,1148
248,499.537,546.5462,1372
249,502.327,546.6296,1794
250,505.115,546.7129,2695
251,507.903,546.7963,4003
252,510.689,546.8796,4463
253,513.475,546.9629,3082
254,516.259,547.0462,1720
255,519.042,547.1295,1107
256,521.825,547.2128,890
257,524.606,547.2961,824
258,527.386,547.3794,772
259,530.165,547.4627,738
260,532.943,547.5459,729
261,535.720,547.6292,726
262,538.495,547.7125,718
263,541.270,547.7957,722
264,544.044,547.8789,702
265,546.816,547.9622,706
266,549.588,548.0454,703
267,552.358,548.1286,695
268,555.127,548.2119,685
269,557.895,548.2951,702
270,560.663,548.3783,699
271,563.429,548.4615,697
272,566.194,548.5446,691
273,568.958,548.6278,699
274,571.721,548.7110,695
275,574.482,548.7942,691
276,577.243,548.8773,684
277,580.003,548.9605,690
278,582.761,549.0436,686
279,585.519,549.1268,690
280,588.275,549.2099,688
281,591.031,549.2930,690
282,593.785,549.3761,699
283,596.539,549.4592,704
284,599.291,549.5423,697
285,602.042,549.6254,697
286,604.792,549.7085,695
287,607.541,549.7916,692
288,610.289,549.8747,696
289,613.036,549.9578,697
290,615.782,550.0408,691
291,618.527,550.1239,689
292,621.270,550.2069,697
293,624.013,550.2900,692
294,626.755,550.3730,685
295,629.495,550.4560,704
296,632.235,550.5391,684
