# laser_power_pct,40
# exposure_time,0.2
# laser_nm,532.021
# mode,accumulate
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.085,525.6702,651
1,-224.010,525.7552,649
2,-220.937,525.8401,651
3,-217.864,525.9251,658
4,-214.793,526.0100,649
5,-211.724,526.0950,653
6,-208.655,526.1799,649
7,-205.588,526.2649,646
8,-202.521,526.3498,649
9,-199.457,526.4347,649
10,-196.393,526.5197,665
11,-193.330,526.6046,664
12,-190.269,526.6895,643
13,-187.209,526.7744,651
14,-184.150,526.8593,650
15,-181.093,526.9442,652
16,-178.036,527.0290,646
17,-174.981,527.1139,649
18,-171.927,527.1988,652
19,-168.874,527.2836,645
20,-165.822,527.3685,645
21,-162.772,527.4534,643
22,-159.723,527.5382,646
23,-156.675,527.6230,649
24,-153.628,527.7079,648
25,-150.583,527.7927,645
26,-147.538,527.8775,646
27,-144.495,527.9623,645
28,-141.453,528.0471,647
29,-138.412,528.1319,649
30,-135.373,528.2167,647
31,-132.334,528.3015,651
32,-129.297,528.3863,645
33,-126.261,528.4711,646
34,-123.227,528.5558,649
35,-120.193,528.6406,647
36,-117.161,528.7254,650
37,-114.130,528.8101,653
38,-111.100,528.8948,647
39,-108.071,528.9796,644
40,-105.043,529.0643,649
41,-102.017,529.1490,655
42,-98.992,529.2338,652
43,-95.968,529.3185,645
44,-92.945,529.4032,655
45,-89.924,529.4879,649
46,-86.903,529.5726,659
47,-83.884,529.6572,655
48,-80.866,529.7419,641
49,-77.849,529.8266,646
50,-74.833,529.9113,641
51,-71.819,529.9959,649
52,-68.806,530.0806,650
53,-65.794,530.1652,653
54,-62.783,530.2499,651
55,-59.773,530.3345,644
56,-56.765,530.4191,643
57,-53.757,530.5038,646
58,-50.751,530.5884,643
59,-47.746,530.6730,647
60,-44.743,530.7576,647
61,-41.740,530.8422,648
62,-38.739,530.9268,653
63,-35.738,531.0114,665
64,-32.739,531.0959,720
65,-29.742,531.1805,1022
66,-26.745,531.2651,1039
67,-23.749,531.3496,662
68,-20.755,531.4342,650
69,-17.762,531.5187,648
70,-14.770,531.6033,649
71,-11.779,531.6878,648
72,-8.790,531.7723,655
73,-5.801,531.8568,647
74,-2.814,531.9414,646
75,0.172,532.0259,643
76,3.157,532.1104,649
77,6.140,532.1949,651
78,9.123,532.2793,662
79,12.104,532.3638,645
80,15.084,532.4483,664
81,18.063,532.5328,651
82,21.041,532.6172,645
83,24.018,532.7017,647
84,26.993,532.7861,651
85,29.968,532.8706,649
86,32.941,532.9550,652
87,35.913,533.0394,648
88,38.884,533.1239,641
89,41.853,533.2083,647
90,44.822,533.2927,647
91,47.789,533.3771,647
92,50.755,533.4615,649
93,53.720,533.5459,650
94,56.684,533.6303,649
95,59.647,533.7147,647
96,62.608,533.7990,651
97,65.568,533.8834,651
98,68.528,533.9677,652
99,71.486,534.0521,662
100,74.442,534.1364,655
101,77.398,534.2208,656
102,80.353,534.3051,656
103,83.306,534.3894,672
104,86.258,534.4738,654
105,89.209,534.5581,663
106,92.159,534.6424,653
107,95.108,534.7267,663
108,98.055,534.8110,663
109,101.002,534.8953,667
110,103.947,534.9795,661
111,106.891,535.0638,656
112,109.834,535.1481,661
113,112.776,535.2323,655
114,115.716,535.3166,660
115,118.656,535.4008,655
116,121.594,535.4851,655
117,124.531,535.5693,651
118,127.467,535.6535,658
119,130.402,535.7378,651
120,133.336,535.8220,650
121,136.268,535.9062,659
122,139.200,535.9904,658
123,142.130,536.0746,653
124,145.059,536.1588,654
125,147.987,536.2430,654
126,150.914,536.3271,656
127,153.839,536.4113,653
128,156.764,536.4955,659
129,159.687,536.5796,654
130,162.610,536.6638,659
131,165.531,536.7479,656
132,168.451,536.8320,658
133,171.369,536.9162,654
134,174.287,537.0003,659
135,177.203,537.0844,663
136,180.119,537.1685,656
137,183.033,537.2526,659
138,185.946,537.3367,659
139,188.858,537.4208,654
140,191.769,537.5049,653
141,194.679,537.5890,665
142,197.587,537.6730,655
143,200.494,537.7571,660
144,203.401,537.8412,664
145,206.306,537.9252,671
146,209.210,538.0093,663
147,212.113,538.0933,670
148,215.014,538.1773,666
149,217.915,538.2613,661
150,220.814,538.3454,662
151,223.713,538.4294,667
152,226.610,538.5134,662
153,229.506,538.5974,663
154,232.401,538.6814,664
155,235.294,538.7654,664
156,238.187,538.8493,666
157,241.079,538.9333,677
158,243.969,539.0173,669
159,246.858,539.1012,676
160,249.746,539.1852,663
161,252.633,539.2691,674
162,255.519,539.3531,662
163,258.404,539.4370,667
164,261.288,539.5209,663
165,264.170,539.6048,670
166,267.051,539.6887,667
167,269.932,539.7726,668
168,272.811,539.8565,667
169,275.689,539.9404,667
170,278.566,540.0243,660
171,281.441,540.1082,670
172,284.316,540.1921,669
173,287.189,540.2759,679
174,290.062,540.3598,669
175,292.933,540.4436,669
176,295.803,540.5275,669
177,298.672,540.6113,663
178,301.540,540.6951,666
179,304.407,540.7790,681
180,307.272,540.8628,662
181,310.137,540.9466,675
182,313.000,541.0304,665
183,315.863,541.1142,670
