# laser_power_pct,100
# exposure_time,0.2
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.075,525.6704,652
1,-224.001,525.7554,652
2,-220.928,525.8404,648
3,-217.855,525.9253,648
4,-214.785,526.0103,650
5,-211.715,526.0952,644
6,-208.646,526.1802,647
7,-205.579,526.2651,645
8,-202.513,526.3500,648
9,-199.448,526.4350,649
10,-196.385,526.5199,659
11,-193.322,526.6048,656
12,-190.261,526.6897,653
13,-187.201,526.7746,647
14,-184.142,526.8595,650
15,-181.085,526.9444,652
16,-178.029,527.0292,647
17,-174.974,527.1141,648
18,-171.920,527.1990,644
19,-168.867,527.2838,647
20,-165.815,527.3687,644
21,-162.765,527.4535,647
22,-159.716,527.5384,646
23,-156.668,527.6232,647
24,-153.622,527.7080,648
25,-150.576,527.7929,646
26,-147.532,527.8777,643
27,-144.489,527.9625,650
28,-141.447,528.0473,650
29,-138.406,528.1321,647
30,-135.367,528.2169,647
31,-132.329,528.3017,651
32,-129.291,528.3865,654
33,-126.256,528.4712,649
34,-123.221,528.5560,639
35,-120.188,528.6407,643
36,-117.155,528.7255,643
37,-114.124,528.8102,658
38,-111.094,528.8950,643
39,-108.066,528.9797,649
40,-105.038,529.0645,650
41,-102.012,529.1492,647
42,-98.987,529.2339,648
43,-95.963,529.3186,645
44,-92.940,529.4033,644
45,-89.919,529.4880,653
46,-86.899,529.5727,659
47,-83.879,529.6574,650
48,-80.862,529.7420,652
49,-77.845,529.8267,654
50,-74.829,529.9114,644
51,-71.815,529.9960,648
52,-68.802,530.0807,645
53,-65.790,530.1653,643
54,-62.779,530.2500,646
55,-59.769,530.3346,648
56,-56.761,530.4192,644
57,-53.754,530.5039,643
58,-50.748,530.5885,651
59,-47.743,530.6731,643
60,-44.739,530.7577,647
61,-41.737,530.8423,652
62,-38.736,530.9269,659
63,-35.735,531.0114,697
64,-32.737,531.0960,767
65,-29.739,531.1806,945
66,-26.742,531.2651,1104
67,-23.747,531.3497,1111
68,-20.753,531.4343,836
69,-17.760,531.5188,662
70,-14.768,531.6033,658
71,-11.777,531.6879,649
72,-8.788,531.7724,653
73,-5.799,531.8569,650
74,-2.812,531.9414,654
75,0.174,532.0259,646
76,3.159,532.1104,645
77,6.142,532.1949,646
78,9.125,532.2794,655
79,12.106,532.3639,654
80,15.086,532.4483,664
81,18.065,532.5328,647
82,21.043,532.6173,654
83,24.019,532.7017,645
84,26.995,532.7862,649
85,29.969,532.8706,652
86,32.942,532.9550,650
87,35.914,533.0395,651
88,38.885,533.1239,648
89,41.854,533.2083,644
90,44.823,533.2927,647
91,47.790,533.3771,651
92,50.756,533.4615,643
93,53.721,533.5459,646
94,56.685,533.6303,649
95,59.647,533.7147,650
96,62.609,533.7990,651
97,65.569,533.8834,652
98,68.528,533.9678,664
99,71.486,534.0521,667
100,74.443,534.1364,667
101,77.398,534.2208,667
102,80.353,534.3051,678
103,83.306,534.3894,686
104,86.258,534.4738,680
105,89.209,534.5581,671
106,92.159,534.6424,672
107,95.107,534.7267,666
108,98.055,534.8110,665
109,101.001,534.8952,671
110,103.946,534.9795,670
111,106.890,535.0638,672
112,109.833,535.1481,667
113,112.775,535.2323,670
114,115.715,535.3166,680
115,118.655,535.4008,674
116,121.593,535.4851,666
117,124.530,535.5693,668
118,127.466,535.6535,662
119,130.401,535.7377,672
120,133.335,535.8219,668
121,136.267,535.9062,671
122,139.198,535.9904,672
123,142.129,536.0745,666
124,145.058,536.1587,666
125,147.985,536.2429,666
126,150.912,536.3271,667
127,153.838,536.4113,663
128,156.762,536.4954,672
129,159.686,536.5796,672
130,162.608,536.6637,657
131,165.529,536.7479,657
132,168.449,536.8320,666
133,171.367,536.9161,665
134,174.285,537.0002,656
135,177.201,537.0844,666
136,180.117,537.1685,668
137,183.031,537.2526,670
138,185.944,537.3367,662
139,188.856,537.4207,666
140,191.767,537.5048,671
141,194.676,537.5889,677
142,197.585,537.6730,673
143,200.492,537.7570,665
144,203.398,537.8411,663
145,206.303,537.9251,670
146,209.207,538.0092,668
147,212.110,538.0932,688
148,215.012,538.1772,671
149,217.912,538.2613,673
150,220.811,538.3453,684
151,223.710,538.4293,688
152,226.607,538.5133,682
153,229.503,538.5973,674
154,232.398,538.6813,681
155,235.291,538.7653,679
156,238.184,538.8492,672
157,241.075,538.9332,674
158,243.966,539.0172,695
159,246.855,539.1011,683
160,249.743,539.1851,673
161,252.630,539.2690,695
162,255.516,539.3530,682
163,258.400,539.4369,687
164,261.284,539.5208,682
165,264.166,539.6047,678
166,267.048,539.6886,685
167,269.928,539.7725,684
168,272.807,539.8564,688
169,275.685,539.9403,689
170,278.562,540.0242,697
171,281.437,540.1081,704
172,284.312,540.1919,708
173,287.186,540.2758,702
174,290.058,540.3597,687
175,292.929,540.4435,695
176,295.799,540.5274,695
177,298.668,540.6112,675
178,301.536,540.6950,686
179,304.403,540.7788,692
