# laser_power_pct,20.0
# exposure_time,0.5
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.075,525.6704,660
1,-224.001,525.7554,651
2,-220.928,525.8404,663
3,-217.855,525.9253,660
4,-214.785,526.0103,653
5,-211.715,526.0952,659
6,-208.646,526.1802,654
7,-205.579,526.2651,653
8,-202.513,526.3500,656
9,-199.448,526.4350,652
10,-196.385,526.5199,664
11,-193.322,526.6048,659
12,-190.261,526.6897,645
13,-187.201,526.7746,649
14,-184.142,526.8595,654
15,-181.085,526.9444,652
16,-178.029,527.0292,653
17,-174.974,527.1141,648
18,-171.920,527.1990,649
19,-168.867,527.2838,660
20,-165.815,527.3687,651
21,-162.765,527.4535,658
22,-159.716,527.5384,654
23,-156.668,527.6232,658
24,-153.622,527.7080,651
25,-150.576,527.7929,651
26,-147.532,527.8777,648
27,-144.489,527.9625,651
28,-141.447,528.0473,654
29,-138.406,528.1321,657
30,-135.367,528.2169,656
31,-132.329,528.3017,652
32,-129.291,528.3865,653
33,-126.256,528.4712,652
34,-123.221,528.5560,653
35,-120.188,528.6407,653
36,-117.155,528.7255,650
37,-114.124,528.8102,656
38,-111.094,528.8950,654
39,-108.066,528.9797,649
40,-105.038,529.0645,654
41,-102.012,529.1492,661
42,-98.987,529.2339,656
43,-95.963,529.3186,649
44,-92.940,529.4033,657
45,-89.919,529.4880,659
46,-86.899,529.5727,655
47,-83.879,529.6574,662
48,-80.862,529.7420,654
49,-77.845,529.8267,652
50,-74.829,529.9114,655
51,-71.815,529.9960,658
52,-68.802,530.0807,651
53,-65.790,530.1653,653
54,-62.779,530.2500,651
55,-59.769,530.3346,653
56,-56.761,530.4192,654
57,-53.754,530.5039,654
58,-50.748,530.5885,647
59,-47.743,530.6731,652
60,-44.739,530.7577,649
61,-41.737,530.8423,660
62,-38.736,530.9269,659
63,-35.735,531.0114,670
64,-32.737,531.0960,679
65,-29.739,531.1806,709
66,-26.742,531.2651,908
67,-23.747,531.3497,674
68,-20.753,531.4343,663
69,-17.760,531.5188,655
70,-14.768,531.6033,654
71,-11.777,531.6879,655
72,-8.788,531.7724,664
73,-5.799,531.8569,654
74,-2.812,531.9414,649
75,0.174,532.0259,652
76,3.159,532.1104,650
77,6.142,532.1949,653
78,9.125,532.2794,671
79,12.106,532.3639,656
80,15.086,532.4483,675
81,18.065,532.5328,656
82,21.043,532.6173,655
83,24.019,532.7017,654
84,26.995,532.7862,644
85,29.969,532.8706,651
86,32.942,532.9550,653
87,35.914,533.0395,653
88,38.885,533.1239,652
89,41.854,533.2083,652
90,44.823,533.2927,651
91,47.790,533.3771,641
92,50.756,533.4615,652
93,53.721,533.5459,654
94,56.685,533.6303,646
95,59.647,533.7147,656
96,62.609,533.7990,656
97,65.569,533.8834,650
98,68.528,533.9678,656
99,71.486,534.0521,659
100,74.443,534.1364,660
101,77.398,534.2208,653
102,80.353,534.3051,664
103,83.306,534.3894,673
104,86.258,534.4738,661
105,89.209,534.5581,651
106,92.159,534.6424,658
107,95.107,534.7267,660
108,98.055,534.8110,654
109,101.001,534.8952,659
110,103.946,534.9795,662
111,106.890,535.0638,658
112,109.833,535.1481,658
113,112.775,535.2323,656
114,115.715,535.3166,661
115,118.655,535.4008,655
116,121.593,535.4851,652
117,124.530,535.5693,656
118,127.466,535.6535,651
119,130.401,535.7377,657
120,133.335,535.8219,656
121,136.267,535.9062,664
122,139.198,535.9904,666
123,142.129,536.0745,661
124,145.058,536.1587,663
125,147.985,536.2429,657
126,150.912,536.3271,657
127,153.838,536.4113,660
128,156.762,536.4954,660
129,159.686,536.5796,654
130,162.608,536.6637,648
131,165.529,536.7479,648
132,168.449,536.8320,660
133,171.367,536.9161,657
134,174.285,537.0002,657
135,177.201,537.0844,669
136,180.117,537.1685,656
137,183.031,537.2526,655
138,185.944,537.3367,652
139,188.856,537.4207,651
140,191.767,537.5048,646
141,194.676,537.5889,661
142,197.585,537.6730,660
143,200.492,537.7570,663
144,203.398,537.8411,654
145,206.303,537.9251,659
146,209.207,538.0092,655
147,212.110,538.0932,671
148,215.012,538.1772,664
149,217.912,538.2613,657
150,220.811,538.3453,658
151,223.710,538.4293,658
152,226.607,538.5133,655
153,229.503,538.5973,663
154,232.398,538.6813,663
155,235.291,538.7653,660
156,238.184,538.8492,656
157,241.075,538.9332,661
158,243.966,539.0172,664
159,246.855,539.1011,656
160,249.743,539.1851,662
161,252.630,539.2690,674
162,255.516,539.3530,655
163,258.400,539.4369,664
164,261.284,539.5208,662
165,264.166,539.6047,662
166,267.048,539.6886,661
167,269.928,539.7725,665
168,272.807,539.8564,655
169,275.685,539.9403,659
170,278.562,540.0242,667
171,281.437,540.1081,667
172,284.312,540.1919,663
173,287.186,540.2758,658
174,290.058,540.3597,660
175,292.929,540.4435,665
176,295.799,540.5274,659
177,298.668,540.6112,657
178,301.536,540.6950,669
179,304.403,540.7788,671
180,307.268,540.8627,659
181,310.133,540.9465,673
182,312.996,541.0303,665
183,315.858,541.1141,659
184,318.720,541.1978,658
185,321.580,541.2816,660
186,324.439,541.3654,658
187,327.296,541.4492,666
188,330.153,541.5329,674
189,333.009,541.6167,667
190,335.863,541.7004,658
191,338.716,541.7842,662
192,341.569,541.8679,660
193,344.420,541.9516,660
194,347.270,542.0354,654
195,350.119,542.1191,658
196,352.967,542.2028,665
197,355.813,542.2865,658
198,358.659,542.3702,657
199,361.503,542.4539,659
200,364.347,542.5376,662
201,367.189,542.6212,657
202,370.030,542.7049,666
203,372.870,542.7886,654
204,375.709,542.8722,661
205,378.547,542.9559,665
206,381.384,543.0395,658
207,384.219,543.1231,665
208,387.054,543.2068,667
209,389.887,543.2904,664
210,392.720,543.3740,661
211,395.551,543.4576,655
212,398.381,543.5412,655
213,401.210,543.6248,658
214,404.038,543.7084,659
215,406.865,543.7920,668
216,409.690,543.8755,656
217,412.515,543.9591,663
218,415.339,544.0426,665
219,418.161,544.1262,658
220,420.982,544.2097,663
221,423.803,544.2933,660
222,426.622,544.3768,661
223,429.440,544.4603,660
224,432.257,544.5439,658
225,435.073,544.6274,658
226,437.887,544.7109,667
227,440.701,544.7944,655
228,443.514,544.8779,656
229,446.325,544.9613,661
230,449.136,545.0448,665
231,451.945,545.1283,663
232,454.753,545.2118,649
233,457.560,545.2952,652
234,460.366,545.3787,655
235,463.171,545.4621,657
236,465.975,545.5455,661
237,468.778,545.6290,660
238,471.580,545.7124,658
239,474.380,545.7958,654
240,477.180,545.8792,656
241,479.978,545.9626,659
242,482.775,546.0460,661
243,485.572,546.1294,663
244,488.367,546.2128,659
245,491.161,546.2962,667
246,493.954,546.3795,671
247,496.746,546.4629,673
248,499.537,546.5462,689
249,502.327,546.6296,718
250,505.115,546.7129,835
251,507.903,546.7963,1063
252,510.689,546.8796,1140
253,513.475,546.9629,915
254,516.259,547.0462,759
255,519.042,547.1295,699
256,521.825,547.2128,678
257,524.606,547.2961,675
258,527.386,547.3794,669
259,530.165,547.4627,653
260,532.943,547.5459,667
261,535.720,547.6292,653
262,538.495,547.7125,673
263,541.270,547.7957,657
264,544.044,547.8789,665
265,546.816,547.9622,663
266,549.588,548.0454,652
267,552.358,548.1286,655
268,555.127,548.2119,673
269,557.895,548.2951,683
270,560.663,548.3783,658
271,563.429,548.4615,654
272,566.194,548.5446,652
273,568.958,548.6278,667
274,571.721,548.7110,657
275,574.482,548.7942,659
276,577.243,548.8773,653
277,580.003,548.9605,662
278,582.761,549.0436,662
279,585.519,549.1268,652
280,588.275,549.2099,656
281,591.031,549.2930,654
282,593.785,549.3761,661
283,596.539,549.4592,654
284,599.291,549.5423,668
285,602.042,549.6254,658
286,604.792,549.7085,661
287,607.541,549.7916,656
288,610.289,549.8747,660
289,613.036,549.9578,655
290,615.782,550.0408,661
291,618.527,550.1239,659
292,621.270,550.2069,659
293,624.013,550.2900,656
294,626.755,550.3730,654
295,629.495,550.4560,657
296,632.235,550.5391,656
297,634.973,550.6221,650
298,637.711,550.7051,660
299,640.447,550.7881,652
300,643.182,550.8711,654
301,645.916,550.9540,659
302,648.650,551.0370,657
303,651.382,551.1200,653
304,654.113,551.2030,656
305,656.843,551.2859,659
306,659.572,551.3689,659
307,662.300,551.4518,659
308,665.026,551.5347,658
309,667.752,551.6177,662
310,670.477,551.7006,658
311,673.201,551.7835,664
312,675.923,551.8664,670
313,678.645,551.9493,658
314,681.365,552.0322,652
315,684.085,552.1151,655
316,686.803,552.1980,654
317,689.521,552.2808,657
318,692.237,552.3637,651
319,694.952,552.4466,655
320,697.667,552.5294,667
321,700.380,552.6123,656
322,703.092,552.6951,656
323,705.803,552.7779,657
324,708.513,552.8608,661
325,711.222,552.9436,658
326,713.930,553.0264,658
327,716.637,553.1092,655
328,719.343,553.1920,654
329,722.048,553.2748,665
330,724.752,553.3575,661
331,727.455,553.4403,655
332,730.156,553.5231,653
333,732.857,553.6058,654
334,735.557,553.6886,660
335,738.256,553.7713,658
336,740.953,553.8541,658
337,743.650,553.9368,654
338,746.345,554.0195,669
339,749.040,554.1022,672
340,751.733,554.1850,657
341,754.426,554.2677,660
342,757.117,554.3503,657
343,759.807,554.4330,656
344,762.497,554.5157,657
345,765.185,554.5984,652
346,767.872,554.6811,659
347,770.558,554.7637,659
348,773.243,554.8464,661
349,775.928,554.9290,660
350,778.611,555.0116,656
351,781.293,555.0943,665
352,783.974,555.1769,654
353,786.654,555.2595,661
354,789.333,555.3421,659
355,792.011,555.4247,660
356,794.688,555.5073,656
357,797.364,555.5899,661
358,800.039,555.6725,656
359,802.712,555.7551,662
360,805.385,555.8376,666
361,808.057,555.9202,662
362,810.728,556.0027,662
363,813.398,556.0853,655
364,816.066,556.1678,658
