# laser_power_pct,20
# exposure_time,2
# laser_nm,532.021
# mode,accumulate
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.075,525.6704,660
1,-224.001,525.7554,664
2,-220.928,525.8404,665
3,-217.855,525.9253,663
4,-214.785,526.0103,662
5,-211.715,526.0952,664
6,-208.646,526.1802,653
7,-205.579,526.2651,648
8,-202.513,526.3500,659
9,-199.448,526.4350,663
10,-196.385,526.5199,668
11,-193.322,526.6048,668
12,-190.261,526.6897,652
13,-187.201,526.7746,657
14,-184.142,526.8595,660
15,-181.085,526.9444,666
16,-178.029,527.0292,660
17,-174.974,527.1141,648
18,-171.920,527.1990,651
19,-168.867,527.2838,660
20,-165.815,527.3687,653
21,-162.765,527.4535,656
22,-159.716,527.5384,657
23,-156.668,527.6232,664
24,-153.622,527.7080,656
25,-150.576,527.7929,651
26,-147.532,527.8777,654
27,-144.489,527.9625,659
28,-141.447,528.0473,668
29,-138.406,528.1321,664
30,-135.367,528.2169,652
31,-132.329,528.3017,659
32,-129.291,528.3865,660
33,-126.256,528.4712,655
34,-123.221,528.5560,653
35,-120.188,528.6407,662
36,-117.155,528.7255,660
37,-114.124,528.8102,666
38,-111.094,528.8950,659
39,-108.066,528.9797,662
40,-105.038,529.0645,656
41,-102.012,529.1492,654
42,-98.987,529.2339,661
43,-95.963,529.3186,660
44,-92.940,529.4033,666
45,-89.919,529.4880,660
46,-86.899,529.5727,659
47,-83.879,529.6574,665
48,-80.862,529.7420,657
49,-77.845,529.8267,654
50,-74.829,529.9114,651
51,-71.815,529.9960,660
52,-68.802,530.0807,663
53,-65.790,530.1653,659
54,-62.779,530.2500,660
55,-59.769,530.3346,655
56,-56.761,530.4192,656
57,-53.754,530.5039,659
58,-50.748,530.5885,653
59,-47.743,530.6731,659
60,-44.739,530.7577,664
61,-41.737,530.8423,660
62,-38.736,530.9269,668
63,-35.735,531.0114,702
64,-32.737,531.0960,703
65,-29.739,531.1806,714
66,-26.742,531.2651,728
67,-23.747,531.3497,728
68,-20.753,531.4343,691
69,-17.760,531.5188,659
70,-14.768,531.6033,663
71,-11.777,531.6879,657
72,-8.788,531.7724,663
73,-5.799,531.8569,667
74,-2.812,531.9414,661
75,0.174,532.0259,661
76,3.159,532.1104,653
77,6.142,532.1949,657
78,9.125,532.2794,666
79,12.106,532.3639,663
80,15.086,532.4483,672
81,18.065,532.5328,655
82,21.043,532.6173,664
83,24.019,532.7017,669
84,26.995,532.7862,662
85,29.969,532.8706,658
86,32.942,532.9550,656
87,35.914,533.0395,652
88,38.885,533.1239,653
89,41.854,533.2083,654
90,44.823,533.2927,659
91,47.790,533.3771,655
92,50.756,533.4615,653
93,53.721,533.5459,662
94,56.685,533.6303,658
95,59.647,533.7147,662
96,62.609,533.7990,661
97,65.569,533.8834,665
98,68.528,533.9678,671
99,71.486,534.0521,663
100,74.443,534.1364,673
101,77.398,534.2208,671
102,80.353,534.3051,679
103,83.306,534.3894,689
104,86.258,534.4738,679
105,89.209,534.5581,673
106,92.159,534.6424,667
107,95.107,534.7267,674
108,98.055,534.8110,666
109,101.001,534.8952,681
110,103.946,534.9795,674
111,106.890,535.0638,675
112,109.833,535.1481,665
113,112.775,535.2323,668
114,115.715,535.3166,673
115,118.655,535.4008,674
116,121.593,535.4851,679
117,124.530,535.5693,662
118,127.466,535.6535,669
119,130.401,535.7377,667
120,133.335,535.8219,678
121,136.267,535.9062,663
122,139.198,535.9904,669
123,142.129,536.0745,665
124,145.058,536.1587,665
125,147.985,536.2429,662
126,150.912,536.3271,666
127,153.838,536.4113,670
128,156.762,536.4954,675
129,159.686,536.5796,666
130,162.608,536.6637,664
131,165.529,536.7479,665
132,168.449,536.8320,663
133,171.367,536.9161,662
134,174.285,537.0002,668
135,177.201,537.0844,675
136,180.117,537.1685,675
137,183.031,537.2526,668
138,185.944,537.3367,672
139,188.856,537.4207,675
140,191.767,537.5048,665
141,194.676,537.5889,674
142,197.585,537.6730,668
143,200.492,537.7570,677
144,203.398,537.8411,659
145,206.303,537.9251,667
146,209.207,538.0092,669
147,212.110,538.0932,670
148,215.012,538.1772,665
149,217.912,538.2613,665
150,220.811,538.3453,660
151,223.710,538.4293,668
152,226.607,538.5133,660
153,229.503,538.5973,667
154,232.398,538.6813,679
155,235.291,538.7653,678
156,238.184,538.8492,671
157,241.075,538.9332,675
158,243.966,539.0172,664
159,246.855,539.1011,670
160,249.743,539.1851,667
161,252.630,539.2690,679
162,255.516,539.3530,662
163,258.400,539.4369,667
164,261.284,539.5208,669
165,264.166,539.6047,660
166,267.048,539.6886,658
167,269.928,539.7725,669
168,272.807,539.8564,668
169,275.685,539.9403,670
170,278.562,540.0242,675
171,281.437,540.1081,672
172,284.312,540.1919,661
173,287.186,540.2758,679
174,290.058,540.3597,664
175,292.929,540.4435,675
176,295.799,540.5274,658
177,298.668,540.6112,669
178,301.536,540.6950,678
179,304.403,540.7788,688
180,307.268,540.8627,675
181,310.133,540.9465,668
182,312.996,541.0303,669
183,315.858,541.1141,662
184,318.720,541.1978,672
185,321.580,541.2816,665
186,324.439,541.3654,674
187,327.296,541.4492,668
188,330.153,541.5329,685
189,333.009,541.6167,679
190,335.863,541.7004,679
191,338.716,541.7842,675
192,341.569,541.8679,661
193,344.420,541.9516,660
194,347.270,542.0354,668
195,350.119,542.1191,665
196,352.967,542.2028,662
197,355.813,542.2865,662
198,358.659,542.3702,668
199,361.503,542.4539,660
200,364.347,542.5376,668
201,367.189,542.6212,664
202,370.030,542.7049,664
203,372.870,542.7886,657
204,375.709,542.8722,651
205,378.547,542.9559,672
206,381.384,543.0395,670
207,384.219,543.1231,679
208,387.054,543.2068,668
209,389.887,543.2904,674
210,392.720,543.3740,670
211,395.551,543.4576,661
212,398.381,543.5412,659
213,401.210,543.6248,664
214,404.038,543.7084,661
215,406.865,543.7920,668
216,409.690,543.8755,656
217,412.515,543.9591,659
218,415.339,544.0426,671
219,418.161,544.1262,667
220,420.982,544.2097,663
221,423.803,544.2933,661
222,426.622,544.3768,661
223,429.440,544.4603,666
224,432.257,544.5439,667
225,435.073,544.6274,659
226,437.887,544.7109,661
227,440.701,544.7944,662
228,443.514,544.8779,661
229,446.325,544.9613,666
230,449.136,545.0448,666
231,451.945,545.1283,675
232,454.753,545.2118,661
233,457.560,545.2952,672
234,460.366,545.3787,662
235,463.171,545.4621,659
236,465.975,545.5455,659
237,468.778,545.6290,675
238,471.580,545.7124,659
239,474.380,545.7958,663
240,477.180,545.8792,658
241,479.978,545.9626,665
242,482.775,546.0460,657
243,485.572,546.1294,668
244,488.367,546.2128,666
245,491.161,546.2962,659
246,493.954,546.3795,665
247,496.746,546.4629,670
248,499.537,546.5462,673
249,502.327,546.6296,666
250,505.115,546.7129,688
251,507.903,546.7963,706
252,510.689,546.8796,693
253,513.475,546.9629,677
254,516.259,547.0462,678
255,519.042,547.1295,659
256,521.825,547.2128,666
257,524.606,547.2961,664
258,527.386,547.3794,661
259,530.165,547.4627,670
260,532.943,547.5459,663
261,535.720,547.6292,663
262,538.495,547.7125,672
263,541.270,547.7957,668
264,544.044,547.8789,660
265,546.816,547.9622,660
266,549.588,548.0454,657
267,552.358,548.1286,667
268,555.127,548.2119,667
269,557.895,548.2951,684
270,560.663,548.3783,668
271,563.429,548.4615,660
272,566.194,548.5446,660
273,568.958,548.6278,664
274,571.721,548.7110,669
275,574.482,548.7942,672
276,577.243,548.8773,656
277,580.003,548.9605,666
278,582.761,549.0436,663
279,585.519,549.1268,662
280,588.275,549.2099,660
281,591.031,549.2930,670
282,593.785,549.3761,669
283,596.539,549.4592,667
284,599.291,549.5423,665
285,602.042,549.6254,664
286,604.792,549.7085,665
287,607.541,549.7916,658
288,610.289,549.8747,664
289,613.036,549.9578,670
290,615.782,550.0408,664
291,618.527,550.1239,663
292,621.270,550.2069,670
293,624.013,550.2900,661
294,626.755,550.3730,662
295,629.495,550.4560,660
296,632.235,550.5391,666
297,634.973,550.6221,667
298,637.711,550.7051,666
299,640.447,550.7881,659
300,643.182,550.8711,661
301,645.916,550.9540,673
302,648.650,551.0370,656
303,651.382,551.1200,662
304,654.113,551.2030,659
305,656.843,551.2859,659
306,659.572,551.3689,669
307,662.300,551.4518,679
308,665.026,551.5347,677
309,667.752,551.6177,661
310,670.477,551.7006,665
311,673.201,551.7835,668
312,675.923,551.8664,664
313,678.645,551.9493,665
314,681.365,552.0322,663
315,684.085,552.1151,662
316,686.803,552.1980,657
317,689.521,552.2808,659
318,692.237,552.3637,664
319,694.952,552.4466,663
320,697.667,552.5294,683
321,700.380,552.6123,663
322,703.092,552.6951,657
323,705.803,552.7779,669
324,708.513,552.8608,669
325,711.222,552.9436,665
326,713.930,553.0264,659
327,716.637,553.1092,664
328,719.343,553.1920,663
329,722.048,553.2748,660
330,724.752,553.3575,667
331,727.455,553.4403,662
332,730.156,553.5231,662
333,732.857,553.6058,665
334,735.557,553.6886,661
335,738.256,553.7713,663
336,740.953,553.8541,666
337,743.650,553.9368,669
338,746.345,554.0195,671
339,749.040,554.1022,689
340,751.733,554.1850,659
341,754.426,554.2677,668
342,757.117,554.3503,670
343,759.807,554.4330,657
344,762.497,554.5157,662
345,765.185,554.5984,659
346,767.872,554.6811,664
347,770.558,554.7637,659
348,773.243,554.8464,670
349,775.928,554.9290,660
350,778.611,555.0116,658
351,781.293,555.0943,667
352,783.974,555.1769,657
353,786.654,555.2595,671
354,789.333,555.3421,668
355,792.011,555.4247,667
356,794.688,555.5073,660
357,797.364,555.5899,665
358,800.039,555.6725,667
359,802.712,555.7551,661
360,805.385,555.8376,657
361,808.057,555.9202,657
362,810.728,556.0027,658
363,813.398,556.0853,660
364,816.066,556.1678,655
365,818.734,556.2504,663
366,821.401,556.3329,663
367,824.066,556.4154,661
368,826.731,556.4979,661
369,829.395,556.5804,667
370,832.057,556.6629,658
371,834.719,556.7454,656
372,837.379,556.8279,656
373,840.039,556.9103,658
374,842.697,556.9928,665
375,845.355,557.0753,657
376,848.011,557.1577,663
377,850.667,557.2402,671
378,853.321,557.3226,663
379,855.975,557.4050,671
380,858.627,557.4874,660
381,861.278,557.5699,651
382,863.929,557.6523,659
383,866.578,557.7347,661
384,869.226,557.8171,666
385,871.874,557.8995,666
386,874.520,557.9818,662
387,877.165,558.0642,667
388,879.810,558.1466,655
389,882.453,558.2289,665
390,885.095,558.3113,664
391,887.736,558.3936,664
392,890.377,558.4760,667
393,893.016,558.5583,669
394,895.654,558.6406,663
395,898.291,558.7229,662
396,900.927,558.8052,660
397,903.563,558.8875,663
398,906.197,558.9698,671
399,908.830,559.0521,657
400,911.462,559.1344,675
401,914.093,559.2166,668
402,916.723,559.2989,658
403,919.353,559.3812,663
404,921.981,559.4634,669
405,924.608,559.5457,664
406,927.234,559.6279,663
407,929.859,559.7101,658
408,932.483,559.7923,659
409,935.106,559.8745,666
410,937.728,559.9568,675
411,940.350,560.0389,655
412,942.970,560.1211,660
413,945.589,560.2033,664
414,948.207,560.2855,658
415,950.824,560.3677,665
416,953.440,560.4498,667
417,956.055,560.5320,665
418,958.669,560.6141,659
419,961.282,560.6963,665
420,963.895,560.7784,671
421,966.506,560.8605,665
422,969.116,560.9426,655
423,971.725,561.0247,661
424,974.333,561.1068,672
425,976.940,561.1889,668
426,979.546,561.2710,660
427,982.151,561.3531,661
428,984.756,561.4352,666
429,987.359,561.5173,665
430,989.961,561.5993,667
431,992.562,561.6814,665
432,995.162,561.7634,653
433,997.761,561.8454,664
434,1000.359,561.9275,664
435,1002.957,562.0095,661
436,1005.553,562.0915,663
437,1008.148,562.1735,666
438,1010.742,562.2555,667
439,1013.336,562.3375,666
440,1015.928,562.4195,658
441,1018.519,562.5015,663
442,1021.109,562.5834,664
443,1023.699,562.6654,656
444,1026.287,562.7474,658
445,1028.874,562.8293,663
446,1031.461,562.9112,663
447,1034.046,562.9932,670
448,1036.630,563.0751,662
449,1039.214,563.1570,667
450,1041.796,563.2389,661
451,1044.377,563.3208,664
452,1046.958,563.4027,668
453,1049.537,563.4846,657
454,1052.116,563.5665,653
455,1054.693,563.6484,666
456,1057.270,563.7302,657
457,1059.845,563.8121,671
458,1062.420,563.8940,667
459,1064.993,563.9758,666
460,1067.566,564.0576,676
461,1070.137,564.1395,658
462,1072.708,564.2213,665
463,1075.278,564.3031,675
464,1077.846,564.3849,663
465,1080.414,564.4667,663
466,1082.981,564.5485,665
467,1085.546,564.6303,665
468,1088.111,564.7121,657
469,1090.675,564.7938,680
470,1093.238,564.8756,662
471,1095.799,564.9574,656
472,1098.360,565.0391,664
473,1100.920,565.1208,668
474,1103.479,565.2026,663
475,1106.037,565.2843,659
476,1108.594,565.3660,664
477,1111.150,565.4477,663
478,1113.705,565.5294,659
479,1116.259,565.6111,657
480,1118.812,565.6928,667
481,1121.364,565.7745,661
482,1123.915,565.8562,669
483,1126.465,565.9378,661
484,1129.014,566.0195,660
485,1131.563,566.1011,659
486,1134.110,566.1828,663
487,1136.656,566.2644,655
488,1139.202,566.3461,660
489,1141.746,566.4277,657
490,1144.289,566.5093,661
