# laser_power_pct,2.0
# exposure_time,0.99999
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-225.132,525.7242,683.0
1,-222.063,525.8090,694.0
2,-218.996,525.8938,692.0
3,-215.930,525.9786,683.0
4,-212.866,526.0634,674.0
5,-209.802,526.1482,672.0
6,-206.740,526.2330,670.0
7,-203.679,526.3177,685.0
8,-200.619,526.4025,680.0
9,-197.561,526.4873,681.0
10,-194.503,526.5720,687.0
11,-191.447,526.6568,687.0
12,-188.392,526.7416,677.0
13,-185.338,526.8263,678.0
14,-182.285,526.9110,678.0
15,-179.234,526.9958,673.0
16,-176.184,527.0805,674.0
17,-173.135,527.1652,676.0
18,-170.087,527.2499,670.0
19,-167.040,527.3346,678.0
20,-163.995,527.4193,679.0
21,-160.951,527.5040,678.0
22,-157.908,527.5887,687.0
23,-154.866,527.6734,685.0
24,-151.825,527.7581,675.0
25,-148.786,527.8428,679.0
26,-145.747,527.9274,685.0
27,-142.710,528.0121,675.0
28,-139.674,528.0967,681.0
29,-136.640,528.1814,675.0
30,-133.606,528.2660,685.0
31,-130.574,528.3507,679.0
32,-127.543,528.4353,671.0
33,-124.513,528.5199,679.0
34,-121.484,528.6045,677.0
35,-118.457,528.6891,675.0
36,-115.430,528.7737,677.0
37,-112.405,528.8583,678.0
38,-109.381,528.9429,672.0
39,-106.358,529.0275,667.0
40,-103.337,529.1121,673.0
41,-100.316,529.1967,678.0
42,-97.297,529.2812,680.0
43,-94.279,529.3658,674.0
44,-91.262,529.4503,691.0
45,-88.246,529.5349,680.0
46,-85.232,529.6194,678.0
47,-82.218,529.7040,685.0
48,-79.206,529.7885,679.0
49,-76.195,529.8730,681.0
50,-73.185,529.9576,680.0
51,-70.177,530.0421,676.0
52,-67.169,530.1266,677.0
53,-64.163,530.2111,680.0
54,-61.158,530.2956,678.0
55,-58.154,530.3801,682.0
56,-55.151,530.4645,671.0
57,-52.150,530.5490,673.0
58,-49.149,530.6335,676.0
