# laser_power_pct,2
# exposure_time,1.00001
# laser_nm,532.021
# mode,accumulate
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-224.245,525.7487,698.0
1,-221.179,525.8334,695.0
2,-218.114,525.9182,684.0
3,-215.051,526.0029,691.0
4,-211.989,526.0876,699.0
5,-208.928,526.1724,697.0
6,-205.868,526.2571,686.0
7,-202.810,526.3418,693.0
8,-199.753,526.4265,696.0
9,-196.697,526.5112,687.0
10,-193.642,526.5959,694.0
11,-190.588,526.6806,696.0
12,-187.536,526.7653,695.0
13,-184.484,526.8500,689.0
14,-181.434,526.9347,692.0
15,-178.385,527.0193,697.0
16,-175.338,527.1040,683.0
17,-172.291,527.1887,682.0
18,-169.246,527.2733,690.0
19,-166.202,527.3580,684.0
20,-163.159,527.4426,702.0
21,-160.117,527.5272,690.0
22,-157.077,527.6119,690.0
23,-154.037,527.6965,689.0
24,-150.999,527.7811,694.0
25,-147.962,527.8657,690.0
26,-144.926,527.9503,692.0
27,-141.892,528.0349,685.0
28,-138.858,528.1195,692.0
29,-135.826,528.2041,693.0
30,-132.795,528.2887,688.0
31,-129.765,528.3732,688.0
32,-126.737,528.4578,683.0
33,-123.709,528.5424,682.0
34,-120.683,528.6269,684.0
35,-117.658,528.7115,682.0
36,-114.634,528.7960,697.0
37,-111.611,528.8805,690.0
38,-108.589,528.9651,689.0
39,-105.569,529.0496,683.0
40,-102.550,529.1341,701.0
41,-99.532,529.2186,687.0
42,-96.515,529.3031,696.0
43,-93.499,529.3876,692.0
44,-90.485,529.4721,683.0
45,-87.472,529.5566,693.0
46,-84.460,529.6411,694.0
47,-81.449,529.7256,687.0
48,-78.439,529.8100,696.0
49,-75.430,529.8945,691.0
50,-72.423,529.9790,690.0
51,-69.417,530.0634,691.0
52,-66.412,530.1479,689.0
53,-63.408,530.2323,695.0
54,-60.405,530.3167,693.0
55,-57.403,530.4012,687.0
56,-54.403,530.4856,692.0
57,-51.404,530.5700,688.0
58,-48.406,530.6544,690.0
59,-45.409,530.7388,694.0
60,-42.413,530.8232,680.0
61,-39.419,530.9076,697.0
62,-36.425,530.9920,675.0
63,-33.433,531.0764,692.0
64,-30.442,531.1607,698.0
65,-27.452,531.2451,687.0
66,-24.464,531.3295,708.0
67,-21.476,531.4138,730.0
68,-18.490,531.4982,718.0
69,-15.505,531.5825,690.0
70,-12.521,531.6668,695.0
71,-9.538,531.7512,684.0
72,-6.556,531.8355,707.0
73,-3.576,531.9198,690.0
74,-0.596,532.0041,694.0
75,2.382,532.0884,694.0
76,5.359,532.1727,684.0
77,8.335,532.2570,686.0
78,11.310,532.3413,690.0
79,14.283,532.4256,688.0
80,17.256,532.5099,707.0
81,20.227,532.5941,703.0
82,23.197,532.6784,696.0
83,26.166,532.7626,693.0
84,29.134,532.8469,690.0
85,32.100,532.9311,693.0
86,35.066,533.0154,683.0
87,38.030,533.0996,686.0
88,40.993,533.1838,687.0
89,43.955,533.2680,696.0
90,46.916,533.3523,688.0
91,49.876,533.4365,691.0
92,52.834,533.5207,699.0
93,55.792,533.6049,721.0
94,58.748,533.6890,732.0
95,61.703,533.7732,763.0
96,64.657,533.8574,832.0
97,67.610,533.9416,953.0
98,70.561,534.0257,1095.0
99,73.512,534.1099,1296.0
100,76.461,534.1940,1517.0
101,79.409,534.2782,1696.0
102,82.356,534.3623,1839.0
103,85.302,534.4465,1894.0
104,88.247,534.5306,1968.0
105,91.191,534.6147,1996.0
106,94.133,534.6988,2018.0
107,97.074,534.7829,2075.0
108,100.015,534.8670,2044.0
109,102.954,534.9511,2063.0
110,105.891,535.0352,2029.0
111,108.828,535.1193,2052.0
112,111.764,535.2034,2081.0
113,114.698,535.2874,2126.0
114,117.632,535.3715,2112.0
115,120.564,535.4555,2071.0
116,123.495,535.5396,2073.0
117,126.425,535.6236,2043.0
118,129.354,535.7077,2135.0
119,132.281,535.7917,2115.0
120,135.208,535.8757,2139.0
