# laser_power_pct,1
# exposure_time,0.99999
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-225.132,525.7242,687.0
1,-222.063,525.8090,682.0
2,-218.996,525.8938,691.0
3,-215.930,525.9786,684.0
4,-212.866,526.0634,690.0
5,-209.802,526.1482,680.0
6,-206.740,526.2330,692.0
7,-203.679,526.3177,680.0
8,-200.619,526.4025,686.0
9,-197.561,526.4873,683.0
10,-194.503,526.5720,694.0
11,-191.447,526.6568,708.0
12,-188.392,526.7416,694.0
13,-185.338,526.8263,693.0
14,-182.285,526.9110,683.0
15,-179.234,526.9958,683.0
16,-176.184,527.0805,685.0
17,-173.135,527.1652,688.0
18,-170.087,527.2499,686.0
19,-167.040,527.3346,697.0
20,-163.995,527.4193,691.0
21,-160.951,527.5040,684.0
22,-157.908,527.5887,683.0
23,-154.866,527.6734,676.0
24,-151.825,527.7581,689.0
25,-148.786,527.8428,683.0
26,-145.747,527.9274,683.0
27,-142.710,528.0121,685.0
28,-139.674,528.0967,683.0
29,-136.640,528.1814,690.0
30,-133.606,528.2660,690.0
31,-130.574,528.3507,689.0
32,-127.543,528.4353,684.0
33,-124.513,528.5199,686.0
34,-121.484,528.6045,691.0
35,-118.457,528.6891,680.0
36,-115.430,528.7737,682.0
37,-112.405,528.8583,692.0
38,-109.381,528.9429,684.0
39,-106.358,529.0275,674.0
40,-103.337,529.1121,680.0
41,-100.316,529.1967,684.0
42,-97.297,529.2812,683.0
43,-94.279,529.3658,686.0
44,-91.262,529.4503,683.0
45,-88.246,529.5349,694.0
46,-85.232,529.6194,688.0
47,-82.218,529.7040,692.0
48,-79.206,529.7885,681.0
49,-76.195,529.8730,686.0
50,-73.185,529.9576,681.0
51,-70.177,530.0421,692.0
52,-67.169,530.1266,679.0
53,-64.163,530.2111,687.0
54,-61.158,530.2956,682.0
55,-58.154,530.3801,696.0
56,-55.151,530.4645,684.0
57,-52.150,530.5490,676.0
58,-49.149,530.6335,684.0
59,-46.150,530.7179,680.0
60,-43.152,530.8024,696.0
61,-40.155,530.8868,683.0
62,-37.159,530.9713,686.0
63,-34.165,531.0557,690.0
64,-31.171,531.1402,694.0
65,-28.179,531.2246,689.0
66,-25.188,531.3090,711.0
67,-22.198,531.3934,710.0
68,-19.210,531.4778,687.0
69,-16.222,531.5622,687.0
70,-13.236,531.6466,690.0
71,-10.251,531.7310,678.0
72,-7.267,531.8154,698.0
73,-4.284,531.8998,691.0
74,-1.302,531.9841,689.0
75,1.678,532.0685,672.0
76,4.658,532.1529,678.0
77,7.636,532.2372,683.0
78,10.613,532.3216,685.0
79,13.589,532.4059,686.0
80,16.563,532.4902,698.0
81,19.537,532.5746,684.0
82,22.509,532.6589,686.0
83,25.480,532.7432,689.0
84,28.451,532.8275,682.0
85,31.419,532.9118,686.0
86,34.387,532.9961,689.0
87,37.354,533.0804,685.0
88,40.319,533.1647,688.0
89,43.283,533.2489,683.0
90,46.246,533.3332,690.0
91,49.208,533.4175,688.0
92,52.169,533.5017,699.0
93,55.129,533.5860,688.0
94,58.087,533.6702,700.0
95,61.045,533.7545,729.0
96,64.001,533.8387,746.0
97,66.956,533.9229,776.0
98,69.910,534.0072,861.0
99,72.862,534.0914,937.0
100,75.814,534.1756,1021.0
101,78.764,534.2598,1118.0
102,81.714,534.3440,1207.0
103,84.662,534.4282,1240.0
104,87.609,534.5123,1280.0
105,90.554,534.5965,1258.0
106,93.499,534.6807,1285.0
107,96.443,534.7649,1295.0
108,99.385,534.8490,1349.0
109,102.326,534.9332,1308.0
110,105.266,535.0173,1326.0
111,108.205,535.1014,1319.0
112,111.143,535.1856,1338.0
113,114.080,535.2697,1286.0
114,117.015,535.3538,1303.0
115,119.950,535.4379,1298.0
116,122.883,535.5220,1334.0
117,125.815,535.6061,1311.0
118,128.746,535.6902,1305.0
119,131.676,535.7743,1303.0
120,134.604,535.8584,1315.0
121,137.532,535.9425,1310.0
122,140.458,536.0265,1353.0
123,143.383,536.1106,1329.0
124,146.307,536.1947,1308.0
125,149.230,536.2787,1351.0
126,152.152,536.3628,1306.0
127,155.073,536.4468,1311.0
128,157.992,536.5308,1375.0
129,160.911,536.6148,1319.0
130,163.828,536.6989,1328.0
131,166.744,536.7829,1339.0
132,169.659,536.8669,1319.0
133,172.573,536.9509,1335.0
134,175.486,537.0349,1344.0
135,178.397,537.1189,1354.0
136,181.308,537.2028,1350.0
137,184.217,537.2868,1339.0
138,187.126,537.3708,1357.0
139,190.033,537.4547,1370.0
140,192.939,537.5387,1330.0
141,195.843,537.6226,1369.0
142,198.747,537.7066,1362.0
143,201.650,537.7905,1381.0
144,204.551,537.8744,1372.0
145,207.451,537.9584,1353.0
146,210.351,538.0423,1351.0
147,213.249,538.1262,1350.0
148,216.146,538.2101,1366.0
149,219.041,538.2940,1402.0
150,221.936,538.3779,1370.0
151,224.830,538.4618,1390.0
152,227.722,538.5456,1392.0
153,230.613,538.6295,1380.0
154,233.504,538.7134,1385.0
155,236.393,538.7972,1401.0
156,239.281,538.8811,1395.0
157,242.167,538.9649,1434.0
158,245.053,539.0488,1420.0
159,247.938,539.1326,1392.0
160,250.821,539.2164,1408.0
161,253.704,539.3002,1428.0
162,256.585,539.3841,1416.0
163,259.465,539.4679,1453.0
164,262.344,539.5517,1399.0
165,265.222,539.6355,1379.0
166,268.099,539.7192,1424.0
167,270.974,539.8030,1433.0
168,273.849,539.8868,1430.0
169,276.722,539.9706,1410.0
170,279.595,540.0543,1390.0
171,282.466,540.1381,1392.0
172,285.336,540.2218,1409.0
173,288.205,540.3056,1448.0
174,291.073,540.3893,1409.0
175,293.940,540.4730,1395.0
176,296.805,540.5567,1420.0
177,299.670,540.6405,1425.0
178,302.533,540.7242,1414.0
179,305.396,540.8079,1485.0
180,308.257,540.8916,1443.0
181,311.117,540.9753,1441.0
182,313.976,541.0589,1415.0
183,316.834,541.1426,1449.0
184,319.691,541.2263,1440.0
185,322.546,541.3100,1459.0
186,325.401,541.3936,1458.0
187,328.254,541.4773,1459.0
188,331.107,541.5609,1507.0
189,333.958,541.6445,1450.0
190,336.808,541.7282,1465.0
191,339.657,541.8118,1446.0
192,342.505,541.8954,1481.0
193,345.352,541.9790,1442.0
194,348.198,542.0626,1459.0
195,351.042,542.1462,1448.0
196,353.886,542.2298,1488.0
197,356.728,542.3134,1484.0
198,359.570,542.3970,1450.0
199,362.410,542.4806,1509.0
200,365.249,542.5641,1463.0
201,368.087,542.6477,1459.0
202,370.924,542.7312,1488.0
203,373.760,542.8148,1511.0
204,376.595,542.8983,1520.0
205,379.428,542.9818,1472.0
206,382.261,543.0654,1494.0
207,385.092,543.1489,1530.0
208,387.923,543.2324,1476.0
209,390.752,543.3159,1516.0
210,393.580,543.3994,1477.0
211,396.408,543.4829,1457.0
212,399.234,543.5664,1487.0
213,402.058,543.6499,1521.0
214,404.882,543.7333,1462.0
215,407.705,543.8168,1512.0
216,410.527,543.9003,1538.0
217,413.347,543.9837,1490.0
218,416.167,544.0672,1502.0
219,418.985,544.1506,1493.0
220,421.803,544.2340,1523.0
221,424.619,544.3175,1512.0
222,427.434,544.4009,1510.0
223,430.248,544.4843,1518.0
224,433.061,544.5677,1545.0
225,435.873,544.6511,1540.0
226,438.684,544.7345,1513.0
227,441.493,544.8179,1506.0
228,444.302,544.9013,1523.0
229,447.109,544.9846,1537.0
230,449.916,545.0680,1545.0
231,452.721,545.1514,1568.0
232,455.526,545.2347,1566.0
233,458.329,545.3181,1553.0
234,461.131,545.4014,1544.0
235,463.932,545.4847,1541.0
236,466.732,545.5681,1565.0
237,469.531,545.6514,1529.0
238,472.329,545.7347,1547.0
239,475.126,545.8180,1576.0
240,477.921,545.9013,1580.0
241,480.716,545.9846,1526.0
242,483.509,546.0679,1564.0
243,486.302,546.1512,1612.0
244,489.093,546.2344,1588.0
245,491.883,546.3177,1589.0
246,494.673,546.4010,1559.0
247,497.461,546.4842,1556.0
248,500.248,546.5675,1590.0
249,503.034,546.6507,1568.0
250,505.819,546.7339,1616.0
251,508.603,546.8172,1603.0
252,511.385,546.9004,1602.0
253,514.167,546.9836,1608.0
254,516.948,547.0668,1583.0
255,519.727,547.1500,1590.0
256,522.506,547.2332,1612.0
257,525.283,547.3164,1601.0
258,528.060,547.3996,1624.0
259,530.835,547.4828,1577.0
260,533.609,547.5659,1642.0
261,536.382,547.6491,1595.0
262,539.154,547.7322,1606.0
263,541.925,547.8154,1645.0
264,544.695,547.8985,1598.0
265,547.464,547.9817,1609.0
266,550.232,548.0648,1597.0
267,552.999,548.1479,1631.0
268,555.765,548.2310,1616.0
269,558.529,548.3141,1628.0
270,561.293,548.3972,1657.0
271,564.055,548.4803,1583.0
272,566.817,548.5634,1647.0
273,569.577,548.6465,1643.0
274,572.337,548.7295,1641.0
275,575.095,548.8126,1645.0
276,577.852,548.8957,1617.0
277,580.608,548.9787,1620.0
278,583.363,549.0618,1618.0
279,586.117,549.1448,1630.0
280,588.870,549.2278,1620.0
281,591.622,549.3109,1652.0
282,594.373,549.3939,1641.0
283,597.123,549.4769,1610.0
284,599.872,549.5599,1682.0
285,602.620,549.6429,1621.0
286,605.366,549.7259,1644.0
287,608.112,549.8089,1656.0
288,610.856,549.8918,1629.0
289,613.600,549.9748,1654.0
290,616.342,550.0578,1630.0
291,619.084,550.1407,1658.0
292,621.824,550.2237,1643.0
293,624.563,550.3066,1661.0
294,627.302,550.3896,1677.0
295,630.039,550.4725,1674.0
296,632.775,550.5554,1631.0
297,635.510,550.6383,1662.0
298,638.244,550.7212,1655.0
299,640.977,550.8042,1663.0
300,643.709,550.8870,1680.0
301,646.440,550.9699,1644.0
302,649.170,551.0528,1655.0
