# laser_power_pct,20
# exposure_time,2.00001
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-225.424,525.7161,102.0
1,-222.355,525.8009,102.0
2,-219.287,525.8858,103.0
3,-216.220,525.9706,103.0
4,-213.154,526.0554,103.0
5,-210.090,526.1402,103.0
6,-207.027,526.2250,102.0
7,-203.965,526.3098,101.0
8,-200.904,526.3946,103.0
9,-197.845,526.4794,101.0
10,-194.786,526.5642,104.0
11,-191.729,526.6490,101.0
12,-188.673,526.7337,102.0
13,-185.618,526.8185,103.0
14,-182.565,526.9033,102.0
15,-179.513,526.9880,103.0
16,-176.461,527.0728,103.0
17,-173.412,527.1575,104.0
18,-170.363,527.2423,103.0
19,-167.315,527.3270,104.0
20,-164.269,527.4117,102.0
21,-161.224,527.4964,102.0
22,-158.180,527.5811,102.0
23,-155.137,527.6658,104.0
24,-152.096,527.7505,103.0
25,-149.055,527.8352,103.0
26,-146.016,527.9199,103.0
27,-142.978,528.0046,100.0
28,-139.941,528.0893,102.0
29,-136.906,528.1740,103.0
30,-133.871,528.2586,100.0
31,-130.838,528.3433,104.0
32,-127.806,528.4279,102.0
33,-124.775,528.5126,101.0
34,-121.746,528.5972,101.0
35,-118.717,528.6818,103.0
36,-115.690,528.7665,102.0
37,-112.664,528.8511,101.0
38,-109.639,528.9357,103.0
39,-106.616,529.0203,102.0
40,-103.593,529.1049,103.0
41,-100.572,529.1895,103.0
42,-97.552,529.2741,101.0
43,-94.533,529.3587,103.0
44,-91.515,529.4432,103.0
45,-88.499,529.5278,101.0
46,-85.483,529.6124,104.0
47,-82.469,529.6969,103.0
48,-79.456,529.7815,102.0
49,-76.444,529.8660,103.0
50,-73.433,529.9506,103.0
51,-70.424,530.0351,103.0
52,-67.416,530.1196,102.0
53,-64.409,530.2042,103.0
54,-61.403,530.2887,103.0
55,-58.398,530.3732,103.0
56,-55.394,530.4577,101.0
57,-52.392,530.5422,102.0
58,-49.391,530.6267,102.0
59,-46.391,530.7112,102.0
60,-43.392,530.7956,103.0
61,-40.394,530.8801,104.0
62,-37.398,530.9646,105.0
63,-34.402,531.0490,109.0
64,-31.408,531.1335,111.0
65,-28.415,531.2179,146.0
66,-25.423,531.3024,304.0
67,-22.433,531.3868,111.0
68,-19.443,531.4712,108.0
69,-16.455,531.5557,105.0
70,-13.468,531.6401,103.0
71,-10.482,531.7245,102.0
72,-7.497,531.8089,103.0
73,-4.513,531.8933,102.0
74,-1.531,531.9777,104.0
75,1.451,532.0621,100.0
76,4.431,532.1464,102.0
77,7.410,532.2308,102.0
78,10.388,532.3152,104.0
79,13.364,532.3995,102.0
80,16.340,532.4839,103.0
81,19.314,532.5682,102.0
82,22.287,532.6526,102.0
83,25.259,532.7369,101.0
84,28.230,532.8212,104.0
85,31.200,532.9056,103.0
86,34.168,532.9899,104.0
87,37.136,533.0742,102.0
88,40.102,533.1585,103.0
89,43.067,533.2428,100.0
90,46.031,533.3271,103.0
91,48.993,533.4114,100.0
92,51.955,533.4956,102.0
93,54.915,533.5799,102.0
94,57.875,533.6642,101.0
95,60.833,533.7484,103.0
96,63.790,533.8327,103.0
97,66.745,533.9169,102.0
98,69.700,534.0012,103.0
99,72.654,534.0854,104.0
100,75.606,534.1696,106.0
101,78.557,534.2539,105.0
102,81.507,534.3381,105.0
103,84.456,534.4223,112.0
104,87.404,534.5065,109.0
105,90.350,534.5907,105.0
106,93.296,534.6749,108.0
107,96.240,534.7591,107.0
108,99.183,534.8432,106.0
109,102.125,534.9274,111.0
110,105.066,535.0116,108.0
111,108.006,535.0957,108.0
112,110.944,535.1799,110.0
113,113.882,535.2640,106.0
114,116.818,535.3482,108.0
115,119.753,535.4323,107.0
116,122.687,535.5164,107.0
117,125.620,535.6005,109.0
118,128.551,535.6847,107.0
119,131.482,535.7688,107.0
120,134.411,535.8529,109.0
121,137.339,535.9370,107.0
122,140.267,536.0210,111.0
123,143.193,536.1051,106.0
124,146.117,536.1892,107.0
125,149.041,536.2733,107.0
126,151.964,536.3573,105.0
127,154.885,536.4414,107.0
128,157.805,536.5254,107.0
129,160.724,536.6095,108.0
130,163.642,536.6935,108.0
131,166.559,536.7775,106.0
132,169.475,536.8616,107.0
133,172.390,536.9456,107.0
134,175.303,537.0296,106.0
135,178.215,537.1136,109.0
136,181.127,537.1976,106.0
137,184.037,537.2816,106.0
138,186.946,537.3656,106.0
139,189.853,537.4496,107.0
140,192.760,537.5335,106.0
141,195.666,537.6175,107.0
142,198.570,537.7015,107.0
143,201.473,537.7854,106.0
144,204.375,537.8694,107.0
145,207.276,537.9533,107.0
146,210.176,538.0372,107.0
147,213.075,538.1212,111.0
148,215.973,538.2051,108.0
149,218.869,538.2890,112.0
150,221.765,538.3729,109.0
151,224.659,538.4568,107.0
152,227.552,538.5407,108.0
153,230.444,538.6246,110.0
154,233.335,538.7085,109.0
155,236.225,538.7924,108.0
156,239.113,538.8762,108.0
157,242.001,538.9601,111.0
158,244.887,539.0439,110.0
159,247.773,539.1278,107.0
160,250.657,539.2116,109.0
161,253.540,539.2955,111.0
162,256.422,539.3793,112.0
163,259.302,539.4631,112.0
164,262.182,539.5469,111.0
165,265.061,539.6308,109.0
166,267.938,539.7146,109.0
167,270.814,539.7984,110.0
168,273.690,539.8822,111.0
169,276.564,539.9659,115.0
170,279.437,540.0497,112.0
171,282.309,540.1335,110.0
172,285.179,540.2173,113.0
173,288.049,540.3010,113.0
174,290.918,540.3848,112.0
175,293.785,540.4685,112.0
176,296.651,540.5523,113.0
