# laser_power_pct,60
# exposure_time,2.00001
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-225.424,525.7161,103.0
1,-222.355,525.8009,103.0
2,-219.287,525.8858,104.0
3,-216.220,525.9706,102.0
4,-213.154,526.0554,102.0
5,-210.090,526.1402,104.0
6,-207.027,526.2250,105.0
7,-203.965,526.3098,100.0
8,-200.904,526.3946,104.0
9,-197.845,526.4794,103.0
10,-194.786,526.5642,103.0
11,-191.729,526.6490,103.0
12,-188.673,526.7337,103.0
13,-185.618,526.8185,103.0
14,-182.565,526.9033,103.0
15,-179.513,526.9880,102.0
16,-176.461,527.0728,104.0
17,-173.412,527.1575,104.0
18,-170.363,527.2423,100.0
19,-167.315,527.3270,104.0
20,-164.269,527.4117,101.0
21,-161.224,527.4964,101.0
22,-158.180,527.5811,102.0
23,-155.137,527.6658,100.0
24,-152.096,527.7505,102.0
25,-149.055,527.8352,102.0
26,-146.016,527.9199,104.0
27,-142.978,528.0046,100.0
28,-139.941,528.0893,104.0
29,-136.906,528.1740,104.0
30,-133.871,528.2586,103.0
31,-130.838,528.3433,104.0
32,-127.806,528.4279,103.0
33,-124.775,528.5126,103.0
34,-121.746,528.5972,102.0
35,-118.717,528.6818,100.0
36,-115.690,528.7665,103.0
37,-112.664,528.8511,104.0
38,-109.639,528.9357,103.0
39,-106.616,529.0203,101.0
40,-103.593,529.1049,102.0
41,-100.572,529.1895,104.0
42,-97.552,529.2741,103.0
43,-94.533,529.3587,104.0
44,-91.515,529.4432,103.0
45,-88.499,529.5278,105.0
46,-85.483,529.6124,103.0
47,-82.469,529.6969,103.0
48,-79.456,529.7815,101.0
49,-76.444,529.8660,103.0
50,-73.433,529.9506,103.0
51,-70.424,530.0351,105.0
52,-67.416,530.1196,101.0
53,-64.409,530.2042,101.0
54,-61.403,530.2887,102.0
55,-58.398,530.3732,104.0
56,-55.394,530.4577,103.0
57,-52.392,530.5422,104.0
58,-49.391,530.6267,103.0
59,-46.391,530.7112,103.0
60,-43.392,530.7956,106.0
61,-40.394,530.8801,106.0
62,-37.398,530.9646,115.0
63,-34.402,531.0490,141.0
64,-31.408,531.1335,270.0
65,-28.415,531.2179,1032.0
66,-25.423,531.3024,1244.0
67,-22.433,531.3868,128.0
68,-19.443,531.4712,116.0
69,-16.455,531.5557,106.0
70,-13.468,531.6401,105.0
71,-10.482,531.7245,103.0
72,-7.497,531.8089,104.0
73,-4.513,531.8933,104.0
74,-1.531,531.9777,104.0
75,1.451,532.0621,102.0
76,4.431,532.1464,102.0
77,7.410,532.2308,105.0
78,10.388,532.3152,103.0
79,13.364,532.3995,104.0
80,16.340,532.4839,105.0
81,19.314,532.5682,102.0
82,22.287,532.6526,105.0
83,25.259,532.7369,104.0
84,28.230,532.8212,103.0
85,31.200,532.9056,101.0
86,34.168,532.9899,101.0
87,37.136,533.0742,102.0
88,40.102,533.1585,102.0
89,43.067,533.2428,103.0
90,46.031,533.3271,103.0
91,48.993,533.4114,102.0
92,51.955,533.4956,105.0
93,54.915,533.5799,107.0
94,57.875,533.6642,106.0
95,60.833,533.7484,109.0
96,63.790,533.8327,114.0
97,66.745,533.9169,117.0
98,69.700,534.0012,122.0
99,72.654,534.0854,127.0
100,75.606,534.1696,131.0
101,78.557,534.2539,134.0
102,81.507,534.3381,139.0
103,84.456,534.4223,149.0
104,87.404,534.5065,145.0
105,90.350,534.5907,142.0
106,93.296,534.6749,143.0
107,96.240,534.7591,144.0
108,99.183,534.8432,142.0
109,102.125,534.9274,142.0
110,105.066,535.0116,141.0
111,108.006,535.0957,144.0
112,110.944,535.1799,139.0
113,113.882,535.2640,139.0
114,116.818,535.3482,145.0
115,119.753,535.4323,140.0
116,122.687,535.5164,138.0
117,125.620,535.6005,141.0
118,128.551,535.6847,138.0
119,131.482,535.7688,139.0
120,134.411,535.8529,139.0
121,137.339,535.9370,136.0
122,140.267,536.0210,136.0
123,143.193,536.1051,133.0
124,146.117,536.1892,139.0
125,149.041,536.2733,139.0
126,151.964,536.3573,135.0
127,154.885,536.4414,135.0
128,157.805,536.5254,136.0
129,160.724,536.6095,142.0
130,163.642,536.6935,138.0
131,166.559,536.7775,137.0
132,169.475,536.8616,142.0
133,172.390,536.9456,140.0
134,175.303,537.0296,138.0
135,178.215,537.1136,139.0
136,181.127,537.1976,140.0
137,184.037,537.2816,141.0
138,186.946,537.3656,141.0
139,189.853,537.4496,143.0
140,192.760,537.5335,142.0
141,195.666,537.6175,146.0
142,198.570,537.7015,144.0
143,201.473,537.7854,147.0
144,204.375,537.8694,147.0
145,207.276,537.9533,150.0
146,210.176,538.0372,155.0
147,213.075,538.1212,156.0
148,215.973,538.2051,153.0
149,218.869,538.2890,157.0
150,221.765,538.3729,156.0
151,224.659,538.4568,154.0
152,227.552,538.5407,157.0
153,230.444,538.6246,156.0
154,233.335,538.7085,158.0
155,236.225,538.7924,161.0
156,239.113,538.8762,157.0
157,242.001,538.9601,161.0
158,244.887,539.0439,159.0
159,247.773,539.1278,161.0
160,250.657,539.2116,163.0
161,253.540,539.2955,169.0
162,256.422,539.3793,165.0
163,259.302,539.4631,169.0
164,262.182,539.5469,170.0
165,265.061,539.6308,171.0
166,267.938,539.7146,176.0
167,270.814,539.7984,173.0
168,273.690,539.8822,177.0
169,276.564,539.9659,178.0
170,279.437,540.0497,180.0
171,282.309,540.1335,185.0
172,285.179,540.2173,184.0
173,288.049,540.3010,180.0
174,290.918,540.3848,183.0
175,293.785,540.4685,169.0
176,296.651,540.5523,171.0
177,299.517,540.6360,167.0
178,302.381,540.7197,168.0
179,305.244,540.8034,163.0
180,308.105,540.8871,162.0
181,310.966,540.9709,165.0
182,313.826,541.0546,161.0
183,316.684,541.1382,161.0
184,319.542,541.2219,167.0
185,322.398,541.3056,158.0
186,325.253,541.3893,158.0
187,328.108,541.4730,157.0
188,330.961,541.5566,157.0
189,333.812,541.6403,157.0
190,336.663,541.7239,156.0
191,339.513,541.8076,156.0
192,342.362,541.8912,155.0
193,345.209,541.9748,159.0
194,348.055,542.0584,157.0
195,350.901,542.1421,155.0
196,353.745,542.2257,154.0
197,356.588,542.3093,159.0
198,359.430,542.3929,149.0
199,362.271,542.4765,151.0
200,365.111,542.5600,155.0
201,367.949,542.6436,151.0
202,370.787,542.7272,150.0
203,373.623,542.8107,151.0
204,376.459,542.8943,153.0
205,379.293,542.9779,148.0
206,382.126,543.0614,149.0
207,384.958,543.1449,150.0
208,387.789,543.2285,151.0
209,390.619,543.3120,153.0
210,393.448,543.3955,152.0
211,396.276,543.4790,150.0
212,399.103,543.5625,149.0
213,401.928,543.6460,148.0
214,404.753,543.7295,150.0
215,407.576,543.8130,155.0
216,410.398,543.8965,150.0
217,413.219,543.9799,155.0
218,416.040,544.0634,153.0
219,418.859,544.1469,154.0
220,421.676,544.2303,156.0
221,424.493,544.3137,153.0
222,427.309,544.3972,151.0
223,430.124,544.4806,149.0
224,432.937,544.5640,148.0
225,435.750,544.6475,143.0
226,438.561,544.7309,145.0
227,441.371,544.8143,142.0
228,444.181,544.8977,141.0
229,446.989,544.9811,143.0
230,449.796,545.0644,145.0
231,452.602,545.1478,139.0
232,455.407,545.2312,139.0
233,458.210,545.3145,142.0
234,461.013,545.3979,150.0
235,463.815,545.4813,148.0
236,466.615,545.5646,148.0
237,469.415,545.6479,154.0
238,472.213,545.7313,155.0
239,475.011,545.8146,157.0
240,477.807,545.8979,165.0
241,480.602,545.9812,170.0
242,483.396,546.0645,173.0
243,486.189,546.1478,192.0
244,488.981,546.2311,245.0
245,491.772,546.3144,341.0
246,494.562,546.3977,536.0
247,497.350,546.4809,678.0
248,500.138,546.5642,844.0
249,502.925,546.6475,1288.0
250,505.710,546.7307,1933.0
251,508.495,546.8139,2338.0
252,511.278,546.8972,1623.0
253,514.060,546.9804,833.0
