# laser_power_pct,1
# exposure_time,1.00002
# mode,kinetic
frame_index,pixel_index,intensity
0,0,99
0,1,99
0,2,99
0,3,99
0,4,99
0,5,99
0,6,99
0,7,99
0,8,98
0,9,99
0,10,98
0,11,99
0,12,99
0,13,98
0,14,98
0,15,99
0,16,99
0,17,99
0,18,97
0,19,97
0,20,99
0,21,100
0,22,99
0,23,98
0,24,98
0,25,100
0,26,98
0,27,98
0,28,98
0,29,100
0,30,99
0,31,100
0,32,97
0,33,99
0,34,96
0,35,98
0,36,97
0,37,99
0,38,99
0,39,96
0,40,97
0,41,97
0,42,99
0,43,98
0,44,98
0,45,100
0,46,101
0,47,99
0,48,97
0,49,99
0,50,98
0,51,99
0,52,98
0,53,99
0,54,99
0,55,98
0,56,96
0,57,99
0,58,99
0,59,99
0,60,97
0,61,97
0,62,98
0,63,100
0,64,100
0,65,103
0,66,110
0,67,99
0,68,99
0,69,97
0,70,98
0,71,99
0,72,98
0,73,99
0,74,99
0,75,98
0,76,98
0,77,98
0,78,99
0,79,98
0,80,98
0,81,98
0,82,99
0,83,99
0,84,96
0,85,99
0,86,97
0,87,97
0,88,97
0,89,98
0,90,97
0,91,97
0,92,99
0,93,97
0,94,97
0,95,98
0,96,97
0,97,99
0,98,101
0,99,99
0,100,96
0,101,100
0,102,99
0,103,98
0,104,98
0,105,99
0,106,100
0,107,99
0,108,97
0,109,97
0,110,99
0,111,100
0,112,99
0,113,98
0,114,100
0,115,98
0,116,97
0,117,97
0,118,99
0,119,99
0,120,99
0,121,100
0,122,99
0,123,99
0,124,99
0,125,99
0,126,98
0,127,99
0,128,98
0,129,100
0,130,97
0,131,99
0,132,98
0,133,97
0,134,99
0,135,99
0,136,100
0,137,99
0,138,99
0,139,98
0,140,100
0,141,99
0,142,100
0,143,99
0,144,99
0,145,98
0,146,99
0,147,97
0,148,98
0,149,97
0,150,98
0,151,99
0,152,98
0,153,99
0,154,100
0,155,98
0,156,99
0,157,99
0,158,100
0,159,99
0,160,100
0,161,98
0,162,97
0,163,99
0,164,99
0,165,100
0,166,98
0,167,99
0,168,99
0,169,101
0,170,100
0,171,100
0,172,98
0,173,99
0,174,100
0,175,99
0,176,98
0,177,98
0,178,99
0,179,99
0,180,97
0,181,98
0,182,99
0,183,98
0,184,99
0,185,98
0,186,99
0,187,98
0,188,99
0,189,100
0,190,98
0,191,98
0,192,97
0,193,99
0,194,97
0,195,99
0,196,99
0,197,99
0,198,100
0,199,98
0,200,98
0,201,101
0,202,98
0,203,98
0,204,98
0,205,100
0,206,98
0,207,99
0,208,100
0,209,101
0,210,97
0,211,98
0,212,98
0,213,96
0,214,97
0,215,99
0,216,99
0,217,99
0,218,98
0,219,100
0,220,100
0,221,100
0,222,101
0,223,99
0,224,99
0,225,99
0,226,99
0,227,98
0,228,99
0,229,99
0,230,99
0,231,98
0,232,99
0,233,100
0,234,98
0,235,99
0,236,100
0,237,99
0,238,100
0,239,99
0,240,97
0,241,98
0,242,100
0,243,99
0,244,99
0,245,99
0,246,99
0,247,101
0,248,101
0,249,106
0,250,111
0,251,115
0,252,110
0,253,100
0,254,101
0,255,101
0,256,101
0,257,98
0,258,98
0,259,97
0,260,100
0,261,99
0,262,99
0,263,100
0,264,96
0,265,98
0,266,97
0,267,99
0,268,98
0,269,100
0,270,100
0,271,97
0,272,97
0,273,99
0,274,101
0,275,96
0,276,99
0,277,99
0,278,98
0,279,99
0,280,98
0,281,99
0,282,98
0,283,98
0,284,98
0,285,98
0,286,100
0,287,98
0,288,98
0,289,99
0,290,98
0,291,99
0,292,96
0,293,99
0,294,99
0,295,97
0,296,98
0,297,100
0,298,99
0,299,99
0,300,99
0,301,97
0,302,98
0,303,100
0,304,97
0,305,99
0,306,99
0,307,97
0,308,99
0,309,100
0,310,98
0,311,100
0,312,98
0,313,97
0,314,97
0,315,99
0,316,99
0,317,98
0,318,99
0,319,100
0,320,98
0,321,100
0,322,99
0,323,99
0,324,99
0,325,99
0,326,99
0,327,100
0,328,99
0,329,100
0,330,99
0,331,97
0,332,98
0,333,99
0,334,100
0,335,97
0,336,98
0,337,98
0,338,97
0,339,98
0,340,97
0,341,99
0,342,98
0,343,97
0,344,99
0,345,98
0,346,99
0,347,97
0,348,101
0,349,99
0,350,98
0,351,97
0,352,99
0,353,100
0,354,98
0,355,97
0,356,99
0,357,99
0,358,98
0,359,99
0,360,99
0,361,98
0,362,99
0,363,99
0,364,97
0,365,99
0,366,99
0,367,99
0,368,99
0,369,98
0,370,96
0,371,99
0,372,98
0,373,99
0,374,99
0,375,100
0,376,98
0,377,98
0,378,100
0,379,99
0,380,96
0,381,96
0,382,98
0,383,99
0,384,100
0,385,97
0,386,99
0,387,99
0,388,98
0,389,98
0,390,99
0,391,97
0,392,100
0,393,100
0,394,99
0,395,98
0,396,99
0,397,99
0,398,100
0,399,97
0,400,98
0,401,99
0,402,99
0,403,97
0,404,98
0,405,99
0,406,99
0,407,99
0,408,98
0,409,99
0,410,99
0,411,99
0,412,98
0,413,98
0,414,99
0,415,102
0,416,98
0,417,100
0,418,100
0,419,98
0,420,101
0,421,101
0,422,99
0,423,98
0,424,99
0,425,98
0,426,100
0,427,98
0,428,100
0,429,98
0,430,101
0,431,99
0,432,97
0,433,99
0,434,98
0,435,97
0,436,99
0,437,98
0,438,100
0,439,100
0,440,99
0,441,99
0,442,98
0,443,97
0,444,98
0,445,98
0,446,98
0,447,100
0,448,99
0,449,99
0,450,100
0,451,96
0,452,99
0,453,101
0,454,100
0,455,99
0,456,99
0,457,98
0,458,99
0,459,99
0,460,96
0,461,98
0,462,99
0,463,99
0,464,98
0,465,98
0,466,97
0,467,99
0,468,98
0,469,99
0,470,99
0,471,98
0,472,98
0,473,99
0,474,99
0,475,98
0,476,99
0,477,99
0,478,98
0,479,99
0,480,97
0,481,99
0,482,99
0,483,97
0,484,98
0,485,96
0,486,99
0,487,99
0,488,99
0,489,98
0,490,99
0,491,98
0,492,98
0,493,99
0,494,98
0,495,98
0,496,100
0,497,101
0,498,100
0,499,99
0,500,100
0,501,97
0,502,99
0,503,98
0,504,98
0,505,99
0,506,99
0,507,99
0,508,99
0,509,98
0,510,99
0,511,97
0,512,99
0,513,98
0,514,99
0,515,97
0,516,99
0,517,98
0,518,98
0,519,97
0,520,100
0,521,101
0,522,99
0,523,98
0,524,97
0,525,101
0,526,97
0,527,99
0,528,99
0,529,99
0,530,97
0,531,99
0,532,99
0,533,97
0,534,100
0,535,97
0,536,99
0,537,100
0,538,98
0,539,97
0,540,100
0,541,98
0,542,101
0,543,98
0,544,99
0,545,99
0,546,97
0,547,97
0,548,97
0,549,98
0,550,100
0,551,98
0,552,100
0,553,99
0,554,99
0,555,98
0,556,99
0,557,98
0,558,98
0,559,98
0,560,99
0,561,101
0,562,98
0,563,97
0,564,98
0,565,97
0,566,98
0,567,98
0,568,98
0,569,98
0,570,98
0,571,99
0,572,97
0,573,101
0,574,97
0,575,98
0,576,97
0,577,99
0,578,98
0,579,99
0,580,96
0,581,99
0,582,98
0,583,99
0,584,99
0,585,99
0,586,99
0,587,98
0,588,97
0,589,98
0,590,96
0,591,97
0,592,99
0,593,98
0,594,98
0,595,99
0,596,98
0,597,100
0,598,100
0,599,101
0,600,99
0,601,100
0,602,99
0,603,98
0,604,99
0,605,98
0,606,97
0,607,98
0,608,99
0,609,99
0,610,97
0,611,97
0,612,98
0,613,100
0,614,100
0,615,97
0,616,98
0,617,98
0,618,99
0,619,98
0,620,97
0,621,100
0,622,99
0,623,99
0,624,97
0,625,100
0,626,99
0,627,99
0,628,98
0,629,98
0,630,99
0,631,98
0,632,98
0,633,100
0,634,99
0,635,99
0,636,97
0,637,99
0,638,99
0,639,99
0,640,99
0,641,97
0,642,100
0,643,97
0,644,99
0,645,99
0,646,98
0,647,98
0,648,99
0,649,98
0,650,98
0,651,98
0,652,96
0,653,95
0,654,100
0,655,98
0,656,99
0,657,98
0,658,98
0,659,99
0,660,99
0,661,99
0,662,98
0,663,97
0,664,99
0,665,96
0,666,100
0,667,96
0,668,97
0,669,97
0,670,99
0,671,99
0,672,99
0,673,98
0,674,98
0,675,98
0,676,98
0,677,96
0,678,99
0,679,99
0,680,99
0,681,101
0,682,98
0,683,97
0,684,98
0,685,99
0,686,98
0,687,100
0,688,96
0,689,98
0,690,97
0,691,98
0,692,98
0,693,99
0,694,98
0,695,99
0,696,97
0,697,99
0,698,97
0,699,98
0,700,97
0,701,99
0,702,98
0,703,99
0,704,98
0,705,98
0,706,100
0,707,99
0,708,96
0,709,99
0,710,99
0,711,97
0,712,97
0,713,97
0,714,99
0,715,97
0,716,99
0,717,98
0,718,99
0,719,100
0,720,97
0,721,99
0,722,99
0,723,98
0,724,100
0,725,99
0,726,98
0,727,98
0,728,98
0,729,98
0,730,99
0,731,99
0,732,99
0,733,97
0,734,98
0,735,99
0,736,98
0,737,98
0,738,98
0,739,98
0,740,99
0,741,96
0,742,98
0,743,98
0,744,97
0,745,98
0,746,100
0,747,96
0,748,99
0,749,98
0,750,99
0,751,97
0,752,98
0,753,98
0,754,96
0,755,98
0,756,99
0,757,98
0,758,99
0,759,98
0,760,97
0,761,97
0,762,99
0,763,97
0,764,99
0,765,97
0,766,98
0,767,99
0,768,99
0,769,98
0,770,98
0,771,99
0,772,98
0,773,99
0,774,98
0,775,99
0,776,99
0,777,99
0,778,99
0,779,98
0,780,98
0,781,97
0,782,99
0,783,97
0,784,97
0,785,97
0,786,96
0,787,96
0,788,96
0,789,96
0,790,98
0,791,99
0,792,98
0,793,101
0,794,98
0,795,99
0,796,97
0,797,97
0,798,98
0,799,97
0,800,98
0,801,99
0,802,99
0,803,101
0,804,99
0,805,97
0,806,100
0,807,98
0,808,97
0,809,97
0,810,98
0,811,99
0,812,97
0,813,97
0,814,100
0,815,98
0,816,97
0,817,97
0,818,97
0,819,97
0,820,98
0,821,98
0,822,96
0,823,98
0,824,98
0,825,99
0,826,98
0,827,96
0,828,98
0,829,99
