# laser_power_pct,60
# exposure_time,1.00002
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-224.905,525.7304,98.0
1,-221.837,525.8152,100.0
2,-218.771,525.9000,100.0
3,-215.706,525.9848,100.0
4,-212.642,526.0696,98.0
5,-209.579,526.1544,99.0
6,-206.517,526.2391,97.0
7,-203.456,526.3239,99.0
8,-200.397,526.4087,99.0
9,-197.339,526.4934,98.0
10,-194.282,526.5782,98.0
11,-191.227,526.6629,99.0
12,-188.172,526.7476,100.0
13,-185.119,526.8324,99.0
14,-182.067,526.9171,100.0
15,-179.016,527.0018,99.0
16,-175.966,527.0865,99.0
17,-172.918,527.1712,99.0
18,-169.871,527.2559,98.0
19,-166.825,527.3406,97.0
20,-163.780,527.4253,99.0
21,-160.736,527.5100,98.0
22,-157.693,527.5947,99.0
23,-154.652,527.6793,99.0
24,-151.612,527.7640,100.0
25,-148.573,527.8487,99.0
26,-145.535,527.9333,99.0
27,-142.499,528.0180,98.0
28,-139.464,528.1026,99.0
29,-136.429,528.1872,101.0
30,-133.397,528.2719,99.0
31,-130.365,528.3565,96.0
32,-127.334,528.4411,98.0
33,-124.305,528.5257,98.0
34,-121.277,528.6103,98.0
35,-118.250,528.6949,99.0
36,-115.224,528.7795,98.0
37,-112.199,528.8641,100.0
38,-109.176,528.9487,98.0
39,-106.153,529.0332,97.0
40,-103.132,529.1178,99.0
41,-100.112,529.2024,99.0
42,-97.094,529.2869,98.0
43,-94.076,529.3715,98.0
44,-91.060,529.4560,97.0
45,-88.045,529.5405,100.0
46,-85.031,529.6251,101.0
47,-82.018,529.7096,97.0
48,-79.006,529.7941,99.0
49,-75.996,529.8786,99.0
50,-72.987,529.9631,98.0
51,-69.979,530.0476,99.0
52,-66.972,530.1321,99.0
53,-63.966,530.2166,99.0
54,-60.961,530.3011,97.0
55,-57.958,530.3856,98.0
56,-54.956,530.4700,98.0
57,-51.955,530.5545,99.0
58,-48.955,530.6390,101.0
59,-45.956,530.7234,99.0
60,-42.959,530.8078,98.0
61,-39.962,530.8923,99.0
62,-36.967,530.9767,100.0
63,-33.973,531.0611,104.0
64,-30.980,531.1456,154.0
65,-27.989,531.2300,407.0
66,-24.998,531.3144,962.0
67,-22.009,531.3988,140.0
68,-19.021,531.4832,105.0
69,-16.034,531.5676,102.0
70,-13.048,531.6519,99.0
71,-10.063,531.7363,97.0
72,-7.080,531.8207,100.0
73,-4.098,531.9050,100.0
74,-1.116,531.9894,100.0
75,1.864,532.0738,99.0
76,4.842,532.1581,99.0
77,7.820,532.2424,98.0
78,10.797,532.3268,99.0
79,13.772,532.4111,101.0
80,16.746,532.4954,99.0
81,19.719,532.5797,99.0
82,22.691,532.6640,97.0
83,25.662,532.7483,99.0
84,28.631,532.8326,96.0
85,31.599,532.9169,97.0
86,34.567,533.0012,98.0
87,37.533,533.0855,98.0
88,40.498,533.1697,98.0
89,43.461,533.2540,97.0
90,46.424,533.3383,99.0
91,49.385,533.4225,97.0
92,52.346,533.5068,99.0
93,55.305,533.5910,101.0
94,58.263,533.6752,100.0
95,61.219,533.7595,99.0
96,64.175,533.8437,103.0
97,67.130,533.9279,105.0
98,70.083,534.0121,107.0
99,73.035,534.0963,108.0
100,75.986,534.1805,108.0
101,78.936,534.2647,109.0
102,81.885,534.3489,108.0
103,84.832,534.4330,115.0
104,87.779,534.5172,113.0
105,90.724,534.6014,111.0
106,93.668,534.6855,108.0
107,96.611,534.7697,112.0
108,99.553,534.8538,109.0
