# laser_power_pct,1
# exposure_time,0.2
# laser_nm,532.021
# mode,accumulate
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-226.387,525.6895,92.0
1,-223.315,525.7744,93.0
2,-220.244,525.8593,94.0
3,-217.175,525.9442,95.0
4,-214.107,526.0290,93.0
5,-211.040,526.1139,95.0
6,-207.974,526.1988,95.0
7,-204.909,526.2837,95.0
8,-201.846,526.3685,93.0
9,-198.784,526.4534,93.0
10,-195.723,526.5382,93.0
11,-192.663,526.6231,94.0
12,-189.605,526.7079,94.0
13,-186.547,526.7927,93.0
14,-183.491,526.8776,93.0
15,-180.436,526.9624,94.0
16,-177.382,527.0472,95.0
17,-174.330,527.1320,92.0
18,-171.279,527.2168,94.0
19,-168.229,527.3016,94.0
20,-165.180,527.3864,93.0
21,-162.132,527.4712,94.0
22,-159.085,527.5559,94.0
23,-156.040,527.6407,93.0
24,-152.996,527.7255,94.0
25,-149.953,527.8102,93.0
26,-146.911,527.8950,94.0
27,-143.871,527.9797,94.0
28,-140.832,528.0645,93.0
29,-137.793,528.1492,94.0
30,-134.757,528.2339,95.0
31,-131.721,528.3186,93.0
32,-128.686,528.4033,95.0
33,-125.653,528.4881,95.0
34,-122.621,528.5728,94.0
35,-119.590,528.6575,94.0
36,-116.560,528.7421,94.0
37,-113.532,528.8268,94.0
38,-110.504,528.9115,94.0
39,-107.478,528.9962,92.0
40,-104.453,529.0808,94.0
41,-101.429,529.1655,93.0
42,-98.407,529.2501,92.0
43,-95.385,529.3348,93.0
44,-92.365,529.4194,93.0
45,-89.346,529.5041,92.0
46,-86.328,529.5887,94.0
47,-83.311,529.6733,93.0
48,-80.296,529.7579,92.0
49,-77.282,529.8425,92.0
50,-74.268,529.9271,93.0
51,-71.256,530.0117,95.0
52,-68.246,530.0963,94.0
53,-65.236,530.1809,94.0
54,-62.228,530.2655,95.0
55,-59.221,530.3500,94.0
56,-56.214,530.4346,93.0
57,-53.210,530.5192,94.0
58,-50.206,530.6037,94.0
59,-47.203,530.6883,93.0
60,-44.202,530.7728,93.0
61,-41.202,530.8573,94.0
62,-38.203,530.9419,94.0
63,-35.205,531.0264,95.0
64,-32.209,531.1109,93.0
65,-29.213,531.1954,93.0
66,-26.219,531.2799,94.0
67,-23.226,531.3644,94.0
68,-20.234,531.4489,95.0
69,-17.243,531.5334,94.0
70,-14.254,531.6179,93.0
71,-11.265,531.7023,95.0
72,-8.278,531.7868,95.0
73,-5.292,531.8713,94.0
74,-2.307,531.9557,91.0
75,0.677,532.0401,93.0
76,3.659,532.1246,93.0
77,6.640,532.2090,93.0
78,9.621,532.2934,94.0
79,12.600,532.3779,93.0
80,15.578,532.4623,96.0
81,18.554,532.5467,92.0
82,21.530,532.6311,96.0
83,24.504,532.7155,93.0
84,27.477,532.7999,94.0
85,30.449,532.8843,93.0
86,33.420,532.9686,93.0
87,36.390,533.0530,94.0
88,39.359,533.1374,94.0
89,42.326,533.2217,93.0
90,45.292,533.3061,93.0
91,48.257,533.3904,92.0
92,51.221,533.4748,94.0
93,54.184,533.5591,96.0
94,57.145,533.6434,93.0
95,60.106,533.7277,94.0
96,63.065,533.8120,95.0
97,66.023,533.8964,93.0
98,68.980,533.9807,93.0
99,71.936,534.0649,95.0
100,74.891,534.1492,93.0
101,77.844,534.2335,95.0
102,80.796,534.3178,94.0
103,83.748,534.4021,94.0
104,86.698,534.4863,94.0
105,89.647,534.5706,93.0
106,92.594,534.6548,94.0
107,95.541,534.7391,93.0
108,98.486,534.8233,92.0
109,101.430,534.9075,94.0
110,104.374,534.9918,94.0
111,107.316,535.0760,93.0
112,110.256,535.1602,94.0
113,113.196,535.2444,92.0
114,116.135,535.3286,96.0
115,119.072,535.4128,95.0
116,122.008,535.4970,93.0
117,124.943,535.5811,94.0
118,127.877,535.6653,94.0
119,130.810,535.7495,95.0
120,133.742,535.8336,95.0
121,136.672,535.9178,94.0
122,139.601,536.0019,96.0
123,142.530,536.0861,93.0
124,145.457,536.1702,91.0
125,148.383,536.2543,92.0
126,151.307,536.3385,94.0
127,154.231,536.4226,94.0
128,157.154,536.5067,94.0
129,160.075,536.5908,93.0
130,162.995,536.6749,94.0
131,165.914,536.7590,93.0
132,168.832,536.8430,94.0
133,171.749,536.9271,94.0
134,174.665,537.0112,93.0
135,177.579,537.0953,94.0
136,180.493,537.1793,94.0
137,183.405,537.2634,93.0
138,186.316,537.3474,95.0
139,189.226,537.4314,94.0
140,192.135,537.5155,93.0
141,195.042,537.5995,92.0
142,197.949,537.6835,93.0
143,200.855,537.7675,96.0
144,203.759,537.8515,95.0
145,206.662,537.9355,94.0
146,209.564,538.0195,93.0
147,212.465,538.1035,94.0
148,215.365,538.1875,93.0
149,218.264,538.2714,93.0
150,221.161,538.3554,92.0
151,224.057,538.4394,95.0
152,226.953,538.5233,91.0
153,229.847,538.6073,94.0
154,232.740,538.6912,94.0
155,235.632,538.7751,92.0
156,238.523,538.8591,93.0
157,241.412,538.9430,94.0
158,244.301,539.0269,93.0
159,247.188,539.1108,94.0
160,250.075,539.1947,92.0
161,252.960,539.2786,96.0
162,255.844,539.3625,93.0
163,258.727,539.4464,94.0
164,261.608,539.5302,93.0
165,264.489,539.6141,93.0
166,267.369,539.6980,93.0
