# laser_power_pct,20.0
# exposure_time,2.00001
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-224.846,525.7320,277.0
1,-221.778,525.8168,280.0
2,-218.712,525.9016,284.0
3,-215.647,525.9864,284.0
4,-212.583,526.0712,282.0
5,-209.521,526.1560,292.0
6,-206.460,526.2407,281.0
7,-203.399,526.3255,284.0
8,-200.340,526.4102,285.0
9,-197.283,526.4950,286.0
10,-194.226,526.5797,286.0
11,-191.171,526.6645,282.0
12,-188.116,526.7492,284.0
13,-185.064,526.8339,286.0
14,-182.012,526.9186,281.0
15,-178.961,527.0033,283.0
16,-175.912,527.0880,283.0
17,-172.864,527.1727,291.0
18,-169.817,527.2574,289.0
19,-166.771,527.3421,285.0
20,-163.726,527.4268,285.0
21,-160.683,527.5115,282.0
22,-157.641,527.5962,288.0
23,-154.600,527.6808,283.0
24,-151.560,527.7655,287.0
25,-148.521,527.8501,284.0
26,-145.484,527.9348,280.0
27,-142.447,528.0194,286.0
28,-139.412,528.1040,283.0
29,-136.379,528.1887,288.0
30,-133.346,528.2733,282.0
31,-130.314,528.3579,284.0
32,-127.284,528.4425,279.0
33,-124.255,528.5271,285.0
34,-121.227,528.6117,285.0
35,-118.200,528.6963,283.0
36,-115.175,528.7809,286.0
37,-112.150,528.8655,286.0
38,-109.127,528.9500,287.0
39,-106.105,529.0346,279.0
40,-103.084,529.1191,276.0
41,-100.065,529.2037,286.0
42,-97.046,529.2882,285.0
43,-94.029,529.3728,287.0
44,-91.013,529.4573,283.0
45,-87.998,529.5419,283.0
46,-84.984,529.6264,284.0
47,-81.972,529.7109,277.0
48,-78.960,529.7954,285.0
49,-75.950,529.8799,275.0
50,-72.941,529.9644,281.0
51,-69.933,530.0489,286.0
52,-66.927,530.1334,280.0
53,-63.921,530.2179,281.0
54,-60.917,530.3023,284.0
55,-57.914,530.3868,286.0
56,-54.912,530.4713,279.0
57,-51.911,530.5557,283.0
58,-48.912,530.6402,287.0
59,-45.913,530.7246,283.0
60,-42.916,530.8090,284.0
61,-39.920,530.8935,284.0
62,-36.925,530.9779,286.0
63,-33.931,531.0623,291.0
64,-30.939,531.1467,286.0
65,-27.947,531.2311,292.0
66,-24.957,531.3155,288.0
67,-21.968,531.3999,290.0
68,-18.980,531.4843,285.0
69,-15.993,531.5687,286.0
70,-13.008,531.6531,286.0
71,-10.023,531.7374,286.0
72,-7.040,531.8218,284.0
73,-4.058,531.9062,285.0
74,-1.077,531.9905,284.0
75,1.903,532.0749,287.0
76,4.881,532.1592,287.0
77,7.859,532.2435,289.0
78,10.835,532.3279,289.0
79,13.810,532.4122,283.0
80,16.784,532.4965,294.0
81,19.757,532.5808,295.0
82,22.728,532.6651,290.0
83,25.699,532.7494,291.0
84,28.668,532.8337,295.0
85,31.636,532.9180,299.0
86,34.603,533.0022,289.0
87,37.569,533.0865,287.0
88,40.534,533.1708,287.0
89,43.497,533.2550,303.0
90,46.460,533.3393,316.0
91,49.421,533.4235,321.0
92,52.381,533.5078,356.0
93,55.340,533.5920,419.0
94,58.297,533.6762,518.0
95,61.254,533.7604,725.0
96,64.209,533.8447,1059.0
97,67.164,533.9289,1562.0
98,70.117,534.0131,2253.0
99,73.069,534.0973,3056.0
100,76.020,534.1814,3822.0
101,78.969,534.2656,4453.0
102,81.918,534.3498,4806.0
103,84.865,534.4340,5049.0
104,87.811,534.5181,5109.0
105,90.757,534.6023,5207.0
106,93.700,534.6864,5220.0
107,96.643,534.7706,5287.0
108,99.585,534.8547,5320.0
109,102.525,534.9389,5310.0
110,105.465,535.0230,5330.0
111,108.403,535.1071,5291.0
112,111.340,535.1912,5311.0
113,114.276,535.2753,5295.0
114,117.211,535.3594,5368.0
115,120.144,535.4435,5335.0
116,123.077,535.5276,5346.0
117,126.008,535.6117,5415.0
118,128.938,535.6958,5375.0
119,131.868,535.7798,5380.0
120,134.795,535.8639,5402.0
121,137.722,535.9480,5386.0
122,140.648,536.0320,5406.0
123,143.572,536.1160,5415.0
124,146.496,536.2001,5435.0
125,149.418,536.2841,5413.0
126,152.339,536.3681,5431.0
127,155.259,536.4522,5446.0
128,158.178,536.5362,5437.0
129,161.096,536.6202,5438.0
130,164.012,536.7042,5474.0
131,166.928,536.7882,5472.0
132,169.842,536.8722,5510.0
133,172.755,536.9561,5503.0
134,175.667,537.0401,5532.0
135,178.578,537.1241,5535.0
136,181.488,537.2080,5560.0
137,184.397,537.2920,5545.0
138,187.304,537.3759,5571.0
139,190.211,537.4599,5592.0
140,193.116,537.5438,5628.0
141,196.020,537.6277,5637.0
142,198.923,537.7117,5638.0
