# laser_power_pct,60
# exposure_time,1.00002
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-224.846,525.7320,99.0
1,-221.778,525.8168,99.0
2,-218.712,525.9016,98.0
3,-215.647,525.9864,98.0
4,-212.583,526.0712,99.0
5,-209.521,526.1560,100.0
6,-206.460,526.2407,100.0
7,-203.399,526.3255,100.0
8,-200.340,526.4102,98.0
9,-197.283,526.4950,98.0
10,-194.226,526.5797,98.0
11,-191.171,526.6645,99.0
12,-188.116,526.7492,97.0
13,-185.064,526.8339,100.0
14,-182.012,526.9186,99.0
15,-178.961,527.0033,98.0
16,-175.912,527.0880,95.0
17,-172.864,527.1727,98.0
18,-169.817,527.2574,99.0
19,-166.771,527.3421,98.0
20,-163.726,527.4268,97.0
21,-160.683,527.5115,98.0
22,-157.641,527.5962,98.0
23,-154.600,527.6808,99.0
24,-151.560,527.7655,99.0
25,-148.521,527.8501,98.0
26,-145.484,527.9348,98.0
27,-142.447,528.0194,98.0
28,-139.412,528.1040,100.0
29,-136.379,528.1887,99.0
30,-133.346,528.2733,101.0
31,-130.314,528.3579,100.0
32,-127.284,528.4425,98.0
33,-124.255,528.5271,100.0
34,-121.227,528.6117,99.0
35,-118.200,528.6963,99.0
36,-115.175,528.7809,99.0
37,-112.150,528.8655,99.0
38,-109.127,528.9500,100.0
39,-106.105,529.0346,97.0
40,-103.084,529.1191,97.0
41,-100.065,529.2037,98.0
42,-97.046,529.2882,101.0
43,-94.029,529.3728,98.0
44,-91.013,529.4573,98.0
45,-87.998,529.5419,97.0
46,-84.984,529.6264,99.0
47,-81.972,529.7109,99.0
48,-78.960,529.7954,99.0
49,-75.950,529.8799,99.0
50,-72.941,529.9644,98.0
51,-69.933,530.0489,98.0
52,-66.927,530.1334,97.0
53,-63.921,530.2179,99.0
54,-60.917,530.3023,98.0
55,-57.914,530.3868,100.0
56,-54.912,530.4713,98.0
57,-51.911,530.5557,97.0
58,-48.912,530.6402,99.0
59,-45.913,530.7246,99.0
60,-42.916,530.8090,96.0
61,-39.920,530.8935,101.0
62,-36.925,530.9779,107.0
63,-33.931,531.0623,119.0
64,-30.939,531.1467,205.0
65,-27.947,531.2311,444.0
66,-24.957,531.3155,608.0
67,-21.968,531.3999,149.0
68,-18.980,531.4843,105.0
69,-15.993,531.5687,101.0
70,-13.008,531.6531,99.0
71,-10.023,531.7374,99.0
72,-7.040,531.8218,98.0
73,-4.058,531.9062,98.0
74,-1.077,531.9905,99.0
75,1.903,532.0749,98.0
76,4.881,532.1592,99.0
77,7.859,532.2435,99.0
78,10.835,532.3279,97.0
79,13.810,532.4122,99.0
80,16.784,532.4965,99.0
81,19.757,532.5808,97.0
82,22.728,532.6651,97.0
83,25.699,532.7494,99.0
84,28.668,532.8337,97.0
85,31.636,532.9180,98.0
86,34.603,533.0022,100.0
87,37.569,533.0865,98.0
88,40.534,533.1708,98.0
89,43.497,533.2550,100.0
90,46.460,533.3393,98.0
91,49.421,533.4235,99.0
92,52.381,533.5078,98.0
93,55.340,533.5920,99.0
94,58.297,533.6762,100.0
95,61.254,533.7604,103.0
96,64.209,533.8447,105.0
97,67.164,533.9289,108.0
98,70.117,534.0131,114.0
99,73.069,534.0973,119.0
100,76.020,534.1814,124.0
101,78.969,534.2656,126.0
102,81.918,534.3498,130.0
103,84.865,534.4340,133.0
104,87.811,534.5181,132.0
105,90.757,534.6023,132.0
106,93.700,534.6864,130.0
107,96.643,534.7706,130.0
108,99.585,534.8547,129.0
109,102.525,534.9389,132.0
110,105.465,535.0230,132.0
111,108.403,535.1071,131.0
112,111.340,535.1912,127.0
113,114.276,535.2753,131.0
114,117.211,535.3594,132.0
115,120.144,535.4435,130.0
116,123.077,535.5276,131.0
117,126.008,535.6117,130.0
118,128.938,535.6958,129.0
