# laser_power_pct,20
# exposure_time,2.00001
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-226.800,525.6780,100.0
1,-223.727,525.7630,100.0
2,-220.655,525.8479,102.0
3,-217.584,525.9328,101.0
4,-214.514,526.0178,100.0
5,-211.445,526.1027,100.0
6,-208.378,526.1876,99.0
7,-205.312,526.2725,102.0
8,-202.247,526.3574,100.0
9,-199.183,526.4423,99.0
10,-196.121,526.5272,100.0
11,-193.059,526.6121,102.0
12,-189.999,526.6970,102.0
13,-186.941,526.7818,99.0
14,-183.883,526.8667,103.0
15,-180.826,526.9515,101.0
16,-177.771,527.0364,100.0
17,-174.717,527.1212,100.0
18,-171.664,527.2061,103.0
19,-168.613,527.2909,103.0
20,-165.562,527.3757,100.0
21,-162.513,527.4606,101.0
22,-159.465,527.5454,101.0
23,-156.418,527.6302,100.0
24,-153.373,527.7150,100.0
25,-150.328,527.7998,103.0
26,-147.285,527.8846,101.0
27,-144.243,527.9693,101.0
28,-141.202,528.0541,101.0
29,-138.163,528.1389,100.0
30,-135.124,528.2237,102.0
31,-132.087,528.3084,102.0
32,-129.051,528.3932,98.0
33,-126.016,528.4779,102.0
34,-122.983,528.5626,99.0
35,-119.950,528.6474,100.0
36,-116.919,528.7321,100.0
37,-113.889,528.8168,100.0
38,-110.860,528.9015,102.0
39,-107.833,528.9863,101.0
40,-104.806,529.0710,102.0
41,-101.781,529.1556,102.0
42,-98.757,529.2403,104.0
43,-95.734,529.3250,103.0
44,-92.712,529.4097,102.0
45,-89.692,529.4944,101.0
46,-86.672,529.5790,103.0
47,-83.654,529.6637,101.0
48,-80.637,529.7483,101.0
49,-77.622,529.8330,101.0
50,-74.607,529.9176,99.0
51,-71.594,530.0023,100.0
52,-68.582,530.0869,99.0
53,-65.571,530.1715,100.0
54,-62.561,530.2561,103.0
55,-59.552,530.3407,101.0
56,-56.545,530.4253,101.0
57,-53.539,530.5099,101.0
58,-50.534,530.5945,100.0
59,-47.530,530.6791,102.0
60,-44.527,530.7637,102.0
61,-41.525,530.8482,104.0
62,-38.525,530.9328,113.0
63,-35.526,531.0173,120.0
64,-32.528,531.1019,124.0
65,-29.531,531.1864,163.0
66,-26.536,531.2710,191.0
67,-23.541,531.3555,156.0
68,-20.548,531.4400,119.0
69,-17.556,531.5246,108.0
70,-14.565,531.6091,103.0
71,-11.575,531.6936,100.0
72,-8.587,531.7781,103.0
73,-5.599,531.8626,101.0
74,-2.613,531.9470,100.0
75,0.372,532.0315,102.0
76,3.356,532.1160,100.0
77,6.339,532.2005,100.0
78,9.320,532.2849,104.0
79,12.300,532.3694,100.0
80,15.280,532.4538,102.0
81,18.258,532.5383,101.0
82,21.234,532.6227,99.0
83,24.210,532.7071,101.0
84,27.185,532.7916,101.0
85,30.158,532.8760,101.0
86,33.130,532.9604,100.0
87,36.101,533.0448,101.0
88,39.071,533.1292,99.0
89,42.040,533.2136,102.0
90,45.007,533.2980,100.0
91,47.973,533.3823,100.0
92,50.939,533.4667,100.0
93,53.903,533.5511,102.0
94,56.865,533.6354,105.0
95,59.827,533.7198,106.0
96,62.788,533.8041,108.0
97,65.747,533.8885,113.0
98,68.705,533.9728,116.0
99,71.662,534.0571,123.0
100,74.618,534.1415,130.0
101,77.573,534.2258,133.0
102,80.527,534.3101,134.0
103,83.479,534.3944,141.0
104,86.430,534.4787,140.0
105,89.380,534.5630,144.0
106,92.329,534.6472,142.0
107,95.277,534.7315,146.0
108,98.224,534.8158,139.0
109,101.169,534.9001,141.0
110,104.113,534.9843,142.0
111,107.057,535.0686,143.0
112,109.999,535.1528,140.0
113,112.940,535.2370,142.0
114,115.879,535.3213,143.0
115,118.818,535.4055,143.0
116,121.755,535.4897,143.0
117,124.691,535.5739,140.0
118,127.627,535.6581,143.0
119,130.561,535.7423,141.0
120,133.493,535.8265,144.0
121,136.425,535.9107,144.0
122,139.356,535.9949,141.0
123,142.285,536.0790,140.0
124,145.213,536.1632,145.0
125,148.140,536.2474,142.0
126,151.066,536.3315,142.0
127,153.991,536.4157,142.0
128,156.915,536.4998,143.0
129,159.837,536.5839,143.0
130,162.759,536.6681,143.0
131,165.679,536.7522,145.0
132,168.598,536.8363,146.0
133,171.516,536.9204,148.0
134,174.433,537.0045,148.0
135,177.348,537.0886,148.0
136,180.263,537.1727,147.0
137,183.176,537.2568,149.0
138,186.088,537.3408,147.0
139,189.000,537.4249,148.0
140,191.910,537.5090,151.0
141,194.818,537.5930,150.0
142,197.726,537.6771,151.0
143,200.633,537.7611,151.0
144,203.538,537.8451,153.0
145,206.442,537.9292,152.0
146,209.346,538.0132,154.0
147,212.248,538.0972,154.0
148,215.148,538.1812,152.0
149,218.048,538.2652,153.0
150,220.947,538.3492,154.0
151,223.844,538.4332,156.0
152,226.741,538.5172,158.0
153,229.636,538.6012,156.0
154,232.530,538.6851,158.0
155,235.423,538.7691,150.0
156,238.315,538.8530,154.0
157,241.206,538.9370,157.0
158,244.095,539.0209,161.0
159,246.984,539.1049,160.0
160,249.871,539.1888,160.0
161,252.757,539.2727,165.0
162,255.642,539.3566,155.0
163,258.526,539.4405,164.0
164,261.409,539.5244,161.0
165,264.291,539.6083,158.0
166,267.172,539.6922,164.0
167,270.051,539.7761,165.0
168,272.929,539.8600,164.0
169,275.807,539.9439,165.0
170,278.683,540.0277,166.0
171,281.558,540.1116,168.0
172,284.432,540.1954,167.0
173,287.304,540.2793,169.0
174,290.176,540.3631,165.0
175,293.046,540.4469,171.0
176,295.916,540.5308,165.0
177,298.784,540.6146,168.0
178,301.651,540.6984,164.0
179,304.517,540.7822,163.0
180,307.382,540.8660,164.0
181,310.246,540.9498,158.0
182,313.109,541.0336,158.0
183,315.970,541.1173,160.0
184,318.831,541.2011,162.0
185,321.690,541.2849,164.0
186,324.549,541.3686,165.0
187,327.406,541.4524,162.0
188,330.262,541.5361,166.0
189,333.117,541.6199,165.0
190,335.970,541.7036,166.0
191,338.823,541.7873,167.0
192,341.675,541.8710,162.0
193,344.525,541.9547,165.0
194,347.375,542.0384,157.0
195,350.223,542.1221,160.0
196,353.070,542.2058,161.0
197,355.916,542.2895,159.0
198,358.761,542.3732,164.0
199,361.605,542.4569,165.0
200,364.448,542.5405,157.0
201,367.289,542.6242,162.0
202,370.130,542.7078,166.0
203,372.969,542.7915,166.0
204,375.807,542.8751,158.0
205,378.645,542.9587,161.0
206,381.481,543.0424,160.0
207,384.316,543.1260,163.0
208,387.150,543.2096,165.0
209,389.983,543.2932,162.0
210,392.814,543.3768,166.0
211,395.645,543.4604,161.0
212,398.474,543.5440,163.0
213,401.303,543.6275,164.0
214,404.130,543.7111,166.0
215,406.956,543.7947,162.0
216,409.782,543.8782,166.0
217,412.606,543.9618,169.0
218,415.428,544.0453,169.0
219,418.250,544.1288,169.0
220,421.071,544.2124,169.0
221,423.891,544.2959,167.0
222,426.709,544.3794,171.0
223,429.527,544.4629,167.0
224,432.343,544.5464,167.0
225,435.158,544.6299,162.0
226,437.973,544.7134,168.0
227,440.786,544.7969,171.0
228,443.598,544.8804,165.0
229,446.409,544.9638,166.0
230,449.218,545.0473,167.0
231,452.027,545.1307,167.0
232,454.835,545.2142,167.0
233,457.641,545.2976,170.0
234,460.447,545.3811,174.0
235,463.251,545.4645,170.0
236,466.055,545.5479,169.0
237,468.857,545.6313,173.0
238,471.658,545.7147,174.0
239,474.458,545.7981,179.0
240,477.257,545.8815,173.0
241,480.055,545.9649,175.0
242,482.852,546.0483,181.0
243,485.647,546.1317,184.0
244,488.442,546.2150,195.0
245,491.236,546.2984,218.0
246,494.028,546.3817,278.0
247,496.819,546.4651,335.0
248,499.610,546.5484,375.0
249,502.399,546.6317,483.0
250,505.187,546.7151,662.0
251,507.974,546.7984,860.0
252,510.760,546.8817,852.0
253,513.545,546.9650,549.0
254,516.329,547.0483,336.0
255,519.112,547.1316,235.0
256,521.893,547.2149,210.0
257,524.674,547.2982,197.0
258,527.454,547.3814,191.0
259,530.232,547.4647,185.0
260,533.009,547.5479,187.0
261,535.786,547.6312,178.0
262,538.561,547.7144,183.0
263,541.335,547.7977,181.0
264,544.108,547.8809,180.0
265,546.880,547.9641,181.0
266,549.651,548.0473,177.0
267,552.421,548.1305,173.0
268,555.190,548.2137,177.0
269,557.958,548.2969,178.0
270,560.724,548.3801,175.0
271,563.490,548.4633,180.0
272,566.255,548.5465,182.0
273,569.018,548.6296,184.0
274,571.781,548.7128,183.0
275,574.542,548.7960,175.0
276,577.302,548.8791,178.0
277,580.061,548.9622,179.0
278,582.820,549.0454,181.0
279,585.577,549.1285,183.0
280,588.333,549.2116,173.0
281,591.088,549.2947,180.0
282,593.841,549.3778,178.0
283,596.594,549.4609,183.0
284,599.346,549.5440,176.0
285,602.097,549.6271,176.0
286,604.846,549.7102,186.0
