# laser_power_pct,20
# exposure_time,0.5
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-224.082,525.7532,97.0
1,-221.017,525.8379,97.0
2,-217.953,525.9226,98.0
3,-214.890,526.0074,100.0
4,-211.828,526.0921,97.0
5,-208.768,526.1768,96.0
6,-205.709,526.2615,97.0
7,-202.651,526.3462,96.0
8,-199.594,526.4309,97.0
9,-196.538,526.5156,99.0
10,-193.484,526.6003,99.0
11,-190.431,526.6850,96.0
12,-187.379,526.7697,97.0
13,-184.328,526.8543,98.0
14,-181.278,526.9390,98.0
15,-178.230,527.0237,97.0
16,-175.182,527.1083,98.0
17,-172.136,527.1930,98.0
18,-169.092,527.2776,98.0
19,-166.048,527.3622,98.0
20,-163.005,527.4469,97.0
21,-159.964,527.5315,98.0
22,-156.924,527.6161,96.0
23,-153.885,527.7007,97.0
24,-150.848,527.7853,98.0
25,-147.811,527.8699,97.0
26,-144.776,527.9545,97.0
27,-141.742,528.0391,97.0
28,-138.709,528.1237,98.0
29,-135.677,528.2082,100.0
30,-132.646,528.2928,98.0
31,-129.617,528.3774,98.0
32,-126.589,528.4619,98.0
33,-123.562,528.5465,97.0
34,-120.536,528.6310,96.0
35,-117.511,528.7156,98.0
36,-114.488,528.8001,98.0
37,-111.465,528.8846,99.0
38,-108.444,528.9691,97.0
39,-105.424,529.0536,98.0
40,-102.406,529.1382,96.0
41,-99.388,529.2227,98.0
42,-96.372,529.3071,97.0
43,-93.357,529.3916,99.0
44,-90.343,529.4761,96.0
45,-87.330,529.5606,97.0
46,-84.318,529.6451,99.0
47,-81.307,529.7295,98.0
48,-78.298,529.8140,97.0
49,-75.290,529.8984,97.0
50,-72.283,529.9829,98.0
51,-69.277,530.0673,97.0
52,-66.273,530.1518,95.0
53,-63.269,530.2362,97.0
54,-60.267,530.3206,99.0
55,-57.266,530.4050,97.0
56,-54.266,530.4894,97.0
57,-51.267,530.5738,97.0
58,-48.270,530.6582,97.0
59,-45.273,530.7426,96.0
60,-42.278,530.8270,97.0
61,-39.284,530.9114,97.0
62,-36.291,530.9958,100.0
63,-33.299,531.0801,99.0
64,-30.309,531.1645,98.0
65,-27.319,531.2489,105.0
66,-24.331,531.3332,122.0
67,-21.344,531.4176,115.0
68,-18.358,531.5019,104.0
69,-15.373,531.5862,98.0
70,-12.390,531.6705,98.0
71,-9.407,531.7549,100.0
72,-6.426,531.8392,97.0
73,-3.446,531.9235,96.0
74,-0.467,532.0078,97.0
75,2.511,532.0921,98.0
76,5.488,532.1764,97.0
77,8.463,532.2606,97.0
78,11.437,532.3449,99.0
79,14.410,532.4292,97.0
80,17.382,532.5135,97.0
81,20.353,532.5977,97.0
82,23.323,532.6820,98.0
83,26.291,532.7662,97.0
84,29.259,532.8504,96.0
85,32.225,532.9347,98.0
86,35.190,533.0189,98.0
87,38.154,533.1031,99.0
88,41.117,533.1873,99.0
89,44.078,533.2716,97.0
90,47.039,533.3558,98.0
91,49.998,533.4399,98.0
92,52.956,533.5241,96.0
93,55.913,533.6083,98.0
94,58.869,533.6925,98.0
95,61.824,533.7767,98.0
96,64.777,533.8608,102.0
97,67.729,533.9450,105.0
98,70.681,534.0291,107.0
99,73.631,534.1133,115.0
100,76.580,534.1974,119.0
101,79.527,534.2816,122.0
102,82.474,534.3657,127.0
103,85.420,534.4498,127.0
104,88.364,534.5339,126.0
105,91.307,534.6180,129.0
106,94.249,534.7021,128.0
107,97.190,534.7862,129.0
108,100.130,534.8703,127.0
109,103.069,534.9544,130.0
110,106.006,535.0385,131.0
111,108.942,535.1226,130.0
112,111.878,535.2066,131.0
113,114.812,535.2907,129.0
114,117.745,535.3747,128.0
115,120.676,535.4588,128.0
116,123.607,535.5428,130.0
