# laser_power_pct,20
# exposure_time,5.00001
# laser_nm,532.021
# mode,accumulate
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-224.082,525.7532,119.0
1,-221.017,525.8379,122.0
2,-217.953,525.9226,120.0
3,-214.890,526.0074,121.0
4,-211.828,526.0921,122.0
5,-208.768,526.1768,119.0
6,-205.709,526.2615,119.0
7,-202.651,526.3462,122.0
8,-199.594,526.4309,122.0
9,-196.538,526.5156,120.0
10,-193.484,526.6003,122.0
11,-190.431,526.6850,120.0
12,-187.379,526.7697,119.0
13,-184.328,526.8543,124.0
14,-181.278,526.9390,118.0
15,-178.230,527.0237,119.0
16,-175.182,527.1083,122.0
17,-172.136,527.1930,121.0
18,-169.092,527.2776,119.0
19,-166.048,527.3622,121.0
20,-163.005,527.4469,119.0
21,-159.964,527.5315,119.0
22,-156.924,527.6161,122.0
23,-153.885,527.7007,120.0
24,-150.848,527.7853,122.0
25,-147.811,527.8699,120.0
26,-144.776,527.9545,122.0
27,-141.742,528.0391,119.0
28,-138.709,528.1237,121.0
29,-135.677,528.2082,124.0
30,-132.646,528.2928,121.0
31,-129.617,528.3774,120.0
32,-126.589,528.4619,121.0
33,-123.562,528.5465,120.0
34,-120.536,528.6310,122.0
35,-117.511,528.7156,121.0
36,-114.488,528.8001,123.0
37,-111.465,528.8846,122.0
38,-108.444,528.9691,120.0
39,-105.424,529.0536,118.0
40,-102.406,529.1382,120.0
41,-99.388,529.2227,121.0
42,-96.372,529.3071,119.0
43,-93.357,529.3916,122.0
44,-90.343,529.4761,122.0
45,-87.330,529.5606,120.0
46,-84.318,529.6451,121.0
47,-81.307,529.7295,123.0
48,-78.298,529.8140,120.0
49,-75.290,529.8984,118.0
50,-72.283,529.9829,119.0
51,-69.277,530.0673,118.0
52,-66.273,530.1518,119.0
53,-63.269,530.2362,119.0
54,-60.267,530.3206,122.0
55,-57.266,530.4050,120.0
56,-54.266,530.4894,121.0
57,-51.267,530.5738,119.0
58,-48.270,530.6582,119.0
59,-45.273,530.7426,118.0
60,-42.278,530.8270,122.0
61,-39.284,530.9114,121.0
62,-36.291,530.9958,119.0
63,-33.299,531.0801,123.0
64,-30.309,531.1645,128.0
65,-27.319,531.2489,173.0
66,-24.331,531.3332,273.0
67,-21.344,531.4176,704.0
68,-18.358,531.5019,167.0
69,-15.373,531.5862,124.0
70,-12.390,531.6705,120.0
71,-9.407,531.7549,117.0
72,-6.426,531.8392,118.0
73,-3.446,531.9235,124.0
74,-0.467,532.0078,117.0
75,2.511,532.0921,118.0
76,5.488,532.1764,120.0
77,8.463,532.2606,119.0
78,11.437,532.3449,123.0
79,14.410,532.4292,118.0
80,17.382,532.5135,121.0
81,20.353,532.5977,119.0
82,23.323,532.6820,123.0
83,26.291,532.7662,118.0
84,29.259,532.8504,119.0
85,32.225,532.9347,120.0
86,35.190,533.0189,122.0
87,38.154,533.1031,119.0
88,41.117,533.1873,117.0
89,44.078,533.2716,122.0
90,47.039,533.3558,122.0
91,49.998,533.4399,122.0
92,52.956,533.5241,120.0
93,55.913,533.6083,124.0
94,58.869,533.6925,125.0
95,61.824,533.7767,128.0
96,64.777,533.8608,136.0
97,67.729,533.9450,144.0
98,70.681,534.0291,164.0
99,73.631,534.1133,181.0
100,76.580,534.1974,201.0
101,79.527,534.2816,227.0
102,82.474,534.3657,243.0
103,85.420,534.4498,250.0
