# laser_power_pct,2
# exposure_time,1.99999
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-223.245,525.7763,721.0
1,-220.182,525.8610,710.0
2,-217.121,525.9457,727.0
3,-214.061,526.0303,715.0
4,-211.002,526.1150,715.0
5,-207.944,526.1996,712.0
6,-204.887,526.2843,711.0
7,-201.832,526.3689,711.0
8,-198.778,526.4535,710.0
9,-195.725,526.5382,722.0
10,-192.673,526.6228,737.0
11,-189.622,526.7074,735.0
12,-186.573,526.7920,723.0
13,-183.525,526.8766,711.0
14,-180.478,526.9612,711.0
15,-177.432,527.0458,705.0
16,-174.387,527.1304,717.0
17,-171.344,527.2150,727.0
18,-168.301,527.2996,710.0
19,-165.260,527.3841,727.0
20,-162.220,527.4687,715.0
21,-159.182,527.5533,718.0
22,-156.144,527.6378,708.0
23,-153.108,527.7224,713.0
24,-150.073,527.8069,709.0
25,-147.039,527.8914,705.0
26,-144.006,527.9760,715.0
27,-140.974,528.0605,718.0
28,-137.944,528.1450,727.0
29,-134.915,528.2295,722.0
30,-131.887,528.3140,710.0
31,-128.860,528.3985,718.0
32,-125.834,528.4830,716.0
33,-122.809,528.5675,719.0
34,-119.786,528.6520,713.0
35,-116.764,528.7364,712.0
36,-113.743,528.8209,722.0
37,-110.723,528.9054,724.0
38,-107.705,528.9898,713.0
39,-104.687,529.0743,708.0
40,-101.671,529.1587,720.0
41,-98.656,529.2432,710.0
42,-95.642,529.3276,712.0
43,-92.629,529.4120,712.0
44,-89.617,529.4964,717.0
45,-86.607,529.5809,708.0
46,-83.598,529.6653,731.0
47,-80.590,529.7497,726.0
48,-77.583,529.8341,717.0
49,-74.577,529.9185,725.0
50,-71.573,530.0028,720.0
51,-68.569,530.0872,724.0
52,-65.567,530.1716,703.0
53,-62.566,530.2560,709.0
54,-59.566,530.3403,725.0
55,-56.567,530.4247,707.0
56,-53.570,530.5090,716.0
57,-50.574,530.5934,714.0
58,-47.578,530.6777,706.0
59,-44.584,530.7620,723.0
60,-41.591,530.8464,710.0
61,-38.600,530.9307,718.0
62,-35.609,531.0150,714.0
63,-32.620,531.0993,716.0
64,-29.632,531.1836,732.0
65,-26.645,531.2679,750.0
66,-23.659,531.3522,943.0
67,-20.674,531.4365,807.0
68,-17.690,531.5208,738.0
69,-14.708,531.6050,722.0
70,-11.727,531.6893,719.0
71,-8.747,531.7735,715.0
72,-5.768,531.8578,717.0
73,-2.790,531.9420,713.0
74,0.187,532.0263,713.0
75,3.162,532.1105,722.0
76,6.137,532.1947,708.0
77,9.110,532.2790,708.0
78,12.082,532.3632,717.0
79,15.053,532.4474,721.0
80,18.022,532.5316,725.0
81,20.991,532.6158,718.0
82,23.958,532.7000,710.0
83,26.924,532.7842,702.0
84,29.889,532.8684,710.0
85,32.853,532.9525,733.0
86,35.816,533.0367,712.0
87,38.778,533.1209,699.0
88,41.738,533.2050,709.0
89,44.698,533.2892,708.0
90,47.656,533.3733,711.0
91,50.613,533.4574,716.0
92,53.569,533.5416,704.0
93,56.523,533.6257,720.0
94,59.477,533.7098,726.0
95,62.429,533.7939,724.0
96,65.381,533.8780,762.0
97,68.331,533.9621,781.0
98,71.280,534.0462,826.0
99,74.228,534.1303,864.0
100,77.175,534.2144,938.0
101,80.120,534.2985,978.0
102,83.065,534.3825,998.0
103,86.008,534.4666,1062.0
104,88.950,534.5507,1082.0
105,91.891,534.6347,1080.0
106,94.831,534.7188,1075.0
107,97.770,534.8028,1064.0
108,100.707,534.8868,1107.0
109,103.644,534.9709,1064.0
110,106.579,535.0549,1107.0
111,109.513,535.1389,1074.0
112,112.446,535.2229,1087.0
113,115.378,535.3069,1129.0
114,118.309,535.3909,1123.0
115,121.239,535.4749,1109.0
116,124.167,535.5589,1141.0
117,127.095,535.6429,1112.0
118,130.021,535.7268,1088.0
119,132.946,535.8108,1104.0
120,135.870,535.8948,1131.0
121,138.793,535.9787,1106.0
122,141.715,536.0626,1132.0
123,144.635,536.1466,1125.0
124,147.555,536.2305,1132.0
125,150.473,536.3145,1106.0
126,153.390,536.3984,1133.0
127,156.306,536.4823,1115.0
128,159.221,536.5662,1127.0
129,162.135,536.6501,1095.0
130,165.048,536.7340,1152.0
131,167.959,536.8179,1101.0
132,170.870,536.9018,1143.0
133,173.779,536.9857,1138.0
134,176.687,537.0695,1139.0
135,179.594,537.1534,1147.0
136,182.500,537.2372,1134.0
137,185.405,537.3211,1145.0
138,188.309,537.4049,1172.0
139,191.211,537.4888,1190.0
140,194.113,537.5726,1135.0
141,197.013,537.6565,1171.0
142,199.912,537.7403,1126.0
143,202.810,537.8241,1172.0
144,205.707,537.9079,1175.0
145,208.603,537.9917,1165.0
146,211.498,538.0755,1163.0
147,214.392,538.1593,1183.0
148,217.284,538.2431,1168.0
149,220.175,538.3269,1177.0
150,223.066,538.4106,1173.0
151,225.955,538.4944,1177.0
152,228.843,538.5781,1167.0
153,231.730,538.6619,1219.0
154,234.616,538.7456,1197.0
155,237.500,538.8294,1186.0
156,240.384,538.9131,1212.0
157,243.266,538.9968,1186.0
158,246.148,539.0806,1208.0
159,249.028,539.1643,1183.0
160,251.907,539.2480,1190.0
161,254.785,539.3317,1201.0
162,257.662,539.4154,1202.0
163,260.538,539.4991,1205.0
164,263.413,539.5828,1203.0
165,266.286,539.6664,1229.0
166,269.159,539.7501,1197.0
167,272.030,539.8338,1233.0
168,274.900,539.9174,1257.0
169,277.769,540.0011,1209.0
170,280.638,540.0847,1230.0
171,283.504,540.1684,1233.0
172,286.370,540.2520,1227.0
173,289.235,540.3356,1243.0
174,292.099,540.4193,1239.0
175,294.961,540.5029,1242.0
176,297.823,540.5865,1240.0
177,300.683,540.6701,1213.0
178,303.542,540.7537,1251.0
179,306.400,540.8373,1243.0
180,309.257,540.9208,1260.0
181,312.113,541.0044,1245.0
182,314.968,541.0880,1248.0
183,317.822,541.1716,1233.0
184,320.675,541.2551,1265.0
185,323.526,541.3387,1262.0
186,326.377,541.4222,1250.0
187,329.226,541.5057,1276.0
188,332.074,541.5893,1299.0
189,334.921,541.6728,1262.0
190,337.767,541.7563,1248.0
