# laser_power_pct,20
# exposure_time,1.99999
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,130.069,535.7282,731.0
1,133.014,535.8127,734.0
2,135.958,535.8973,736.0
3,138.901,535.9818,749.0
4,141.843,536.0663,753.0
5,144.783,536.1508,747.0
6,147.722,536.2354,731.0
7,150.661,536.3199,738.0
8,153.598,536.4044,745.0
9,156.534,536.4888,740.0
10,159.469,536.5733,758.0
11,162.402,536.6578,743.0
12,165.335,536.7423,727.0
13,168.266,536.8267,743.0
14,171.197,536.9112,755.0
15,174.126,536.9957,733.0
16,177.054,537.0801,735.0
17,179.981,537.1645,750.0
18,182.907,537.2490,742.0
19,185.831,537.3334,745.0
20,188.755,537.4178,756.0
21,191.677,537.5023,746.0
22,194.599,537.5867,751.0
23,197.519,537.6711,762.0
24,200.438,537.7555,757.0
25,203.356,537.8399,758.0
26,206.273,537.9243,756.0
27,209.188,538.0086,761.0
28,212.103,538.0930,782.0
29,215.016,538.1774,772.0
30,217.928,538.2617,756.0
31,220.839,538.3461,778.0
32,223.749,538.4304,760.0
33,226.658,538.5148,757.0
34,229.566,538.5991,757.0
35,232.473,538.6835,783.0
36,235.378,538.7678,775.0
37,238.283,538.8521,782.0
38,241.186,538.9364,763.0
39,244.088,539.0207,774.0
40,246.989,539.1050,782.0
41,249.889,539.1893,775.0
42,252.788,539.2736,762.0
43,255.686,539.3579,776.0
44,258.582,539.4422,788.0
45,261.478,539.5264,777.0
46,264.372,539.6107,807.0
47,267.265,539.6950,807.0
48,270.157,539.7792,778.0
49,273.048,539.8635,787.0
50,275.938,539.9477,794.0
51,278.827,540.0319,825.0
52,281.715,540.1162,813.0
53,284.601,540.2004,795.0
54,287.487,540.2846,786.0
55,290.371,540.3688,774.0
56,293.254,540.4530,776.0
57,296.136,540.5372,788.0
58,299.017,540.6214,788.0
59,301.897,540.7056,787.0
60,304.776,540.7897,772.0
61,307.653,540.8739,762.0
62,310.530,540.9581,773.0
63,313.405,541.0422,764.0
64,316.280,541.1264,782.0
65,319.153,541.2105,763.0
66,322.025,541.2947,772.0
67,324.896,541.3788,771.0
68,327.766,541.4629,758.0
69,330.635,541.5471,782.0
70,333.502,541.6312,773.0
71,336.369,541.7153,780.0
72,339.235,541.7994,777.0
73,342.099,541.8835,765.0
74,344.962,541.9676,771.0
75,347.824,542.0517,769.0
76,350.685,542.1357,766.0
77,353.545,542.2198,760.0
78,356.404,542.3039,765.0
79,359.262,542.3879,775.0
80,362.119,542.4720,774.0
81,364.974,542.5560,765.0
82,367.829,542.6401,784.0
83,370.682,542.7241,768.0
84,373.535,542.8081,751.0
85,376.386,542.8922,758.0
86,379.236,542.9762,762.0
87,382.085,543.0602,759.0
88,384.933,543.1442,753.0
89,387.780,543.2282,747.0
90,390.625,543.3122,751.0
91,393.470,543.3961,746.0
92,396.314,543.4801,755.0
93,399.156,543.5641,753.0
94,401.997,543.6481,738.0
95,404.838,543.7320,757.0
96,407.677,543.8160,764.0
97,410.515,543.8999,768.0
98,413.352,543.9839,762.0
99,416.188,544.0678,779.0
100,419.023,544.1517,766.0
101,421.856,544.2356,750.0
102,424.689,544.3195,774.0
103,427.521,544.4035,763.0
104,430.351,544.4874,757.0
105,433.180,544.5712,758.0
106,436.009,544.6551,758.0
107,438.836,544.7390,754.0
108,441.662,544.8229,750.0
109,444.487,544.9068,737.0
110,447.311,544.9906,749.0
111,450.134,545.0745,743.0
112,452.956,545.1583,735.0
113,455.776,545.2422,750.0
114,458.596,545.3260,763.0
115,461.415,545.4098,763.0
116,464.232,545.4937,757.0
117,467.049,545.5775,755.0
118,469.864,545.6613,768.0
119,472.678,545.7451,778.0
120,475.491,545.8289,768.0
121,478.303,545.9127,783.0
122,481.114,545.9965,781.0
123,483.924,546.0803,767.0
124,486.733,546.1640,811.0
125,489.541,546.2478,817.0
126,492.348,546.3316,872.0
127,495.153,546.4153,964.0
128,497.958,546.4991,1241.0
129,500.761,546.5828,2182.0
130,503.564,546.6665,4411.0
131,506.365,546.7503,4377.0
132,509.165,546.8340,2105.0
133,511.964,546.9177,1197.0
134,514.762,547.0014,967.0
135,517.560,547.0851,860.0
136,520.355,547.1688,829.0
137,523.150,547.2525,815.0
138,525.944,547.3362,786.0
139,528.737,547.4199,773.0
140,531.529,547.5035,791.0
141,534.319,547.5872,797.0
142,537.109,547.6709,772.0
143,539.897,547.7545,759.0
144,542.685,547.8382,771.0
145,545.471,547.9218,752.0
146,548.256,548.0054,752.0
147,551.041,548.0891,751.0
148,553.824,548.1727,759.0
149,556.606,548.2563,771.0
150,559.387,548.3399,744.0
151,562.167,548.4235,746.0
152,564.946,548.5071,742.0
153,567.724,548.5907,762.0
154,570.501,548.6743,753.0
155,573.276,548.7578,743.0
156,576.051,548.8414,757.0
157,578.825,548.9250,747.0
158,581.597,549.0085,746.0
159,584.369,549.0921,751.0
160,587.139,549.1756,747.0
161,589.908,549.2591,755.0
162,592.677,549.3427,755.0
163,595.444,549.4262,754.0
164,598.210,549.5097,766.0
165,600.975,549.5932,756.0
166,603.739,549.6767,756.0
167,606.502,549.7602,766.0
168,609.264,549.8437,763.0
169,612.025,549.9272,752.0
170,614.785,550.0107,746.0
171,617.544,550.0941,745.0
172,620.302,550.1776,752.0
173,623.059,550.2611,757.0
174,625.814,550.3445,761.0
175,628.569,550.4280,759.0
176,631.322,550.5114,764.0
177,634.075,550.5948,757.0
178,636.826,550.6783,754.0
179,639.577,550.7617,767.0
180,642.326,550.8451,727.0
181,645.074,550.9285,758.0
182,647.822,551.0119,751.0
183,650.568,551.0953,757.0
184,653.313,551.1787,746.0
185,656.057,551.2620,760.0
186,658.800,551.3454,758.0
187,661.542,551.4288,765.0
188,664.283,551.5121,765.0
189,667.023,551.5955,764.0
190,669.762,551.6788,761.0
191,672.500,551.7622,753.0
192,675.237,551.8455,754.0
193,677.973,551.9288,752.0
194,680.707,552.0122,747.0
195,683.441,552.0955,761.0
196,686.174,552.1788,751.0
197,688.905,552.2621,738.0
198,691.636,552.3454,745.0
199,694.365,552.4287,733.0
200,697.094,552.5119,749.0
201,699.821,552.5952,752.0
202,702.548,552.6785,743.0
203,705.273,552.7617,737.0
204,707.998,552.8450,732.0
205,710.721,552.9282,758.0
206,713.443,553.0115,738.0
207,716.164,553.0947,750.0
208,718.885,553.1779,752.0
209,721.604,553.2612,752.0
210,724.322,553.3444,741.0
211,727.039,553.4276,752.0
212,729.755,553.5108,744.0
213,732.470,553.5940,739.0
214,735.184,553.6772,757.0
215,737.897,553.7603,758.0
216,740.609,553.8435,740.0
217,743.320,553.9267,753.0
218,746.030,554.0098,743.0
219,748.739,554.0930,749.0
220,751.446,554.1761,746.0
221,754.153,554.2593,765.0
222,756.859,554.3424,750.0
223,759.564,554.4255,755.0
224,762.267,554.5087,745.0
225,764.970,554.5918,742.0
226,767.672,554.6749,739.0
227,770.372,554.7580,764.0
228,773.072,554.8411,742.0
229,775.770,554.9242,746.0
230,778.468,555.0073,748.0
231,781.165,555.0903,746.0
232,783.860,555.1734,761.0
233,786.555,555.2565,752.0
234,789.248,555.3395,770.0
235,791.940,555.4226,745.0
236,794.632,555.5056,751.0
237,797.322,555.5886,753.0
238,800.012,555.6717,759.0
239,802.700,555.7547,752.0
240,805.387,555.8377,761.0
241,808.074,555.9207,759.0
242,810.759,556.0037,769.0
243,813.443,556.0867,752.0
244,816.126,556.1697,755.0
245,818.809,556.2527,755.0
246,821.490,556.3356,776.0
247,824.170,556.4186,763.0
248,826.849,556.5016,744.0
249,829.527,556.5845,751.0
250,832.205,556.6675,750.0
251,834.881,556.7504,761.0
252,837.556,556.8333,752.0
253,840.230,556.9163,760.0
254,842.903,556.9992,757.0
255,845.575,557.0821,759.0
256,848.246,557.1650,756.0
257,850.916,557.2479,747.0
258,853.585,557.3308,754.0
259,856.253,557.4137,753.0
260,858.920,557.4966,758.0
261,861.586,557.5794,753.0
262,864.251,557.6623,754.0
263,866.915,557.7452,763.0
264,869.578,557.8280,741.0
265,872.240,557.9109,750.0
266,874.901,557.9937,748.0
267,877.561,558.0765,744.0
268,880.220,558.1594,758.0
269,882.878,558.2422,779.0
270,885.535,558.3250,745.0
271,888.191,558.4078,742.0
272,890.846,558.4906,765.0
273,893.500,558.5734,767.0
274,896.153,558.6562,757.0
275,898.805,558.7389,742.0
276,901.456,558.8217,753.0
277,904.105,558.9045,748.0
278,906.754,558.9872,758.0
279,909.402,559.0700,749.0
280,912.049,559.1527,768.0
281,914.695,559.2355,769.0
282,917.340,559.3182,764.0
283,919.984,559.4009,774.0
284,922.627,559.4836,771.0
285,925.269,559.5663,800.0
286,927.910,559.6491,796.0
287,930.550,559.7317,830.0
288,933.188,559.8144,836.0
289,935.826,559.8971,859.0
290,938.463,559.9798,832.0
291,941.099,560.0625,844.0
292,943.734,560.1451,849.0
293,946.368,560.2278,854.0
294,949.001,560.3104,867.0
295,951.633,560.3931,850.0
296,954.264,560.4757,847.0
297,956.894,560.5583,860.0
298,959.523,560.6410,848.0
299,962.151,560.7236,864.0
300,964.778,560.8062,852.0
301,967.404,560.8888,866.0
302,970.029,560.9714,852.0
303,972.653,561.0540,854.0
304,975.276,561.1365,849.0
305,977.898,561.2191,859.0
306,980.519,561.3017,851.0
307,983.139,561.3842,848.0
308,985.758,561.4668,840.0
309,988.376,561.5493,811.0
310,990.993,561.6319,778.0
