# laser_power_pct,1
# exposure_time,0.99999
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,130.965,535.7539,733.0
1,133.907,535.8384,723.0
2,136.848,535.9228,738.0
3,139.788,536.0073,740.0
4,142.727,536.0917,733.0
5,145.664,536.1762,735.0
6,148.601,536.2606,739.0
7,151.536,536.3450,740.0
8,154.470,536.4295,730.0
9,157.403,536.5139,723.0
10,160.335,536.5983,746.0
11,163.266,536.6827,757.0
12,166.196,536.7671,747.0
13,169.125,536.8515,750.0
14,172.052,536.9359,758.0
15,174.978,537.0202,755.0
16,177.904,537.1046,758.0
17,180.828,537.1890,754.0
18,183.751,537.2733,756.0
19,186.672,537.3577,749.0
20,189.593,537.4420,766.0
21,192.513,537.5264,747.0
22,195.431,537.6107,754.0
23,198.349,537.6951,760.0
24,201.265,537.7794,758.0
25,204.180,537.8637,753.0
26,207.094,537.9480,751.0
27,210.007,538.0323,752.0
28,212.918,538.1166,763.0
29,215.829,538.2009,756.0
30,218.739,538.2852,746.0
31,221.647,538.3695,747.0
32,224.554,538.4538,751.0
33,227.460,538.5380,759.0
34,230.365,538.6223,763.0
35,233.269,538.7066,769.0
36,236.172,538.7908,783.0
37,239.074,538.8751,755.0
38,241.974,538.9593,757.0
39,244.874,539.0435,764.0
40,247.772,539.1278,753.0
41,250.669,539.2120,780.0
42,253.565,539.2962,755.0
43,256.460,539.3804,754.0
44,259.354,539.4646,750.0
45,262.247,539.5488,764.0
46,265.139,539.6330,754.0
47,268.029,539.7172,760.0
48,270.919,539.8014,754.0
49,273.807,539.8856,753.0
50,276.694,539.9697,757.0
51,279.580,540.0539,766.0
52,282.465,540.1381,752.0
53,285.349,540.2222,760.0
54,288.232,540.3064,767.0
55,291.114,540.3905,751.0
56,293.994,540.4746,747.0
57,296.874,540.5587,754.0
58,299.752,540.6429,759.0
59,302.629,540.7270,740.0
60,305.505,540.8111,762.0
61,308.380,540.8952,768.0
62,311.254,540.9793,769.0
63,314.127,541.0634,758.0
64,316.999,541.1475,773.0
65,319.870,541.2315,763.0
66,322.739,541.3156,763.0
67,325.607,541.3997,771.0
68,328.475,541.4837,767.0
69,331.341,541.5678,760.0
70,334.206,541.6518,772.0
71,337.070,541.7359,773.0
72,339.933,541.8199,779.0
73,342.795,541.9039,774.0
74,345.656,541.9879,757.0
75,348.515,542.0720,758.0
76,351.374,542.1560,764.0
77,354.231,542.2400,771.0
78,357.088,542.3240,776.0
79,359.943,542.4080,763.0
80,362.797,542.4919,774.0
81,365.650,542.5759,768.0
82,368.502,542.6599,751.0
83,371.353,542.7439,758.0
84,374.203,542.8278,767.0
85,377.052,542.9118,767.0
86,379.899,542.9957,771.0
87,382.746,543.0797,757.0
88,385.591,543.1636,758.0
89,388.436,543.2475,757.0
90,391.279,543.3315,764.0
91,394.121,543.4154,759.0
92,396.962,543.4993,764.0
93,399.802,543.5832,763.0
94,402.641,543.6671,773.0
95,405.479,543.7510,762.0
96,408.316,543.8349,771.0
97,411.151,543.9187,773.0
98,413.986,544.0026,778.0
99,416.819,544.0865,773.0
100,419.652,544.1703,781.0
101,422.483,544.2542,757.0
102,425.313,544.3380,765.0
103,428.143,544.4219,769.0
104,430.971,544.5057,763.0
105,433.798,544.5896,766.0
106,436.623,544.6734,763.0
107,439.448,544.7572,770.0
108,442.272,544.8410,763.0
109,445.095,544.9248,770.0
110,447.916,545.0086,773.0
111,450.737,545.0924,776.0
112,453.556,545.1762,783.0
113,456.375,545.2600,775.0
114,459.192,545.3437,787.0
115,462.008,545.4275,800.0
116,464.823,545.5113,808.0
117,467.637,545.5950,828.0
118,470.450,545.6788,833.0
119,473.262,545.7625,820.0
120,476.073,545.8462,814.0
121,478.883,545.9300,809.0
122,481.692,546.0137,803.0
123,484.499,546.0974,777.0
124,487.306,546.1811,796.0
125,490.111,546.2648,790.0
126,492.916,546.3485,781.0
127,495.719,546.4322,775.0
128,498.521,546.5159,789.0
129,501.322,546.5996,805.0
130,504.123,546.6833,876.0
131,506.922,546.7669,850.0
132,509.720,546.8506,803.0
133,512.517,546.9342,774.0
134,515.312,547.0179,778.0
135,518.107,547.1015,775.0
136,520.901,547.1852,786.0
137,523.694,547.2688,790.0
138,526.485,547.3524,785.0
139,529.276,547.4360,767.0
140,532.065,547.5196,778.0
141,534.854,547.6032,790.0
142,537.641,547.6868,779.0
143,540.427,547.7704,776.0
144,543.213,547.8540,792.0
145,545.997,547.9376,786.0
146,548.780,548.0212,791.0
147,551.562,548.1047,769.0
148,554.343,548.1883,789.0
149,557.123,548.2718,787.0
150,559.902,548.3554,783.0
151,562.679,548.4389,771.0
152,565.456,548.5224,779.0
153,568.232,548.6060,774.0
154,571.006,548.6895,781.0
155,573.780,548.7730,786.0
156,576.553,548.8565,776.0
157,579.324,548.9400,810.0
158,582.094,549.0235,790.0
159,584.864,549.1070,779.0
160,587.632,549.1905,782.0
161,590.399,549.2740,790.0
162,593.166,549.3574,803.0
163,595.931,549.4409,779.0
164,598.695,549.5244,791.0
165,601.458,549.6078,782.0
166,604.220,549.6912,806.0
167,606.981,549.7747,782.0
168,609.741,549.8581,772.0
169,612.499,549.9415,795.0
170,615.257,550.0250,785.0
171,618.014,550.1084,798.0
172,620.770,550.1918,800.0
173,623.524,550.2752,797.0
174,626.278,550.3586,787.0
175,629.031,550.4419,790.0
176,631.782,550.5253,791.0
177,634.533,550.6087,799.0
178,637.282,550.6921,787.0
179,640.030,550.7754,815.0
180,642.778,550.8588,792.0
181,645.524,550.9421,790.0
182,648.269,551.0255,785.0
183,651.013,551.1088,783.0
184,653.757,551.1921,789.0
185,656.499,551.2755,789.0
186,659.240,551.3588,777.0
187,661.980,551.4421,787.0
188,664.719,551.5254,805.0
189,667.457,551.6087,787.0
190,670.194,551.6920,800.0
191,672.929,551.7752,803.0
192,675.664,551.8585,795.0
193,678.398,551.9418,799.0
194,681.131,552.0251,788.0
195,683.863,552.1083,793.0
196,686.593,552.1916,825.0
197,689.323,552.2748,808.0
198,692.052,552.3580,787.0
199,694.779,552.4413,794.0
200,697.506,552.5245,808.0
201,700.231,552.6077,805.0
202,702.956,552.6909,812.0
203,705.679,552.7741,802.0
204,708.402,552.8573,825.0
205,711.123,552.9405,801.0
206,713.843,553.0237,807.0
207,716.563,553.1069,795.0
208,719.281,553.1901,783.0
209,721.998,553.2732,817.0
210,724.714,553.3564,793.0
211,727.430,553.4395,814.0
212,730.144,553.5227,817.0
213,732.857,553.6058,819.0
214,735.569,553.6890,790.0
215,738.280,553.7721,832.0
216,740.990,553.8552,794.0
217,743.699,553.9383,786.0
218,746.407,554.0214,836.0
219,749.114,554.1045,819.0
220,751.820,554.1876,806.0
221,754.525,554.2707,807.0
222,757.229,554.3538,802.0
223,759.932,554.4369,803.0
224,762.634,554.5199,807.0
225,765.335,554.6030,791.0
226,768.034,554.6860,806.0
227,770.733,554.7691,797.0
228,773.431,554.8521,791.0
229,776.128,554.9352,799.0
230,778.823,555.0182,799.0
231,781.518,555.1012,811.0
232,784.212,555.1842,800.0
233,786.904,555.2672,795.0
234,789.596,555.3502,802.0
235,792.287,555.4332,812.0
236,794.976,555.5162,812.0
237,797.665,555.5992,807.0
238,800.353,555.6822,787.0
239,803.039,555.7652,814.0
240,805.725,555.8481,806.0
241,808.409,555.9311,811.0
242,811.093,556.0140,818.0
243,813.775,556.0970,815.0
244,816.457,556.1799,817.0
245,819.137,556.2628,817.0
246,821.817,556.3458,828.0
247,824.495,556.4287,794.0
248,827.173,556.5116,806.0
249,829.849,556.5945,828.0
250,832.524,556.6774,840.0
251,835.199,556.7603,831.0
252,837.872,556.8432,835.0
253,840.545,556.9260,831.0
254,843.216,557.0089,834.0
255,845.886,557.0918,816.0
256,848.556,557.1746,811.0
257,851.224,557.2575,814.0
258,853.891,557.3403,814.0
259,856.558,557.4231,802.0
260,859.223,557.5060,826.0
261,861.887,557.5888,822.0
262,864.551,557.6716,821.0
263,867.213,557.7544,816.0
264,869.874,557.8372,802.0
265,872.535,557.9200,821.0
266,875.194,558.0028,824.0
267,877.852,558.0856,849.0
268,880.510,558.1684,824.0
269,883.166,558.2511,831.0
270,885.821,558.3339,835.0
271,888.475,558.4167,839.0
272,891.129,558.4994,834.0
273,893.781,558.5822,837.0
274,896.432,558.6649,851.0
275,899.083,558.7476,811.0
276,901.732,558.8303,825.0
277,904.380,558.9131,834.0
278,907.028,558.9958,854.0
279,909.674,559.0785,826.0
280,912.319,559.1612,833.0
281,914.963,559.2439,826.0
282,917.607,559.3265,843.0
283,920.249,559.4092,843.0
284,922.890,559.4919,838.0
285,925.531,559.5745,843.0
286,928.170,559.6572,851.0
287,930.808,559.7399,818.0
288,933.446,559.8225,826.0
289,936.082,559.9051,834.0
290,938.717,559.9878,833.0
291,941.352,560.0704,830.0
292,943.985,560.1530,849.0
293,946.618,560.2356,823.0
294,949.249,560.3182,829.0
295,951.879,560.4008,830.0
296,954.509,560.4834,822.0
297,957.137,560.5660,833.0
298,959.765,560.6485,839.0
299,962.391,560.7311,825.0
300,965.016,560.8137,836.0
301,967.641,560.8962,814.0
302,970.264,560.9788,839.0
303,972.887,561.0613,832.0
304,975.508,561.1439,824.0
305,978.129,561.2264,828.0
306,980.748,561.3089,832.0
307,983.367,561.3914,836.0
308,985.984,561.4739,842.0
309,988.601,561.5564,850.0
310,991.217,561.6389,839.0
311,993.831,561.7214,834.0
312,996.445,561.8039,853.0
313,999.058,561.8864,872.0
314,1001.669,561.9688,863.0
315,1004.280,562.0513,858.0
316,1006.890,562.1337,853.0
317,1009.498,562.2162,846.0
318,1012.106,562.2986,845.0
319,1014.713,562.3811,845.0
320,1017.319,562.4635,862.0
321,1019.923,562.5459,851.0
322,1022.527,562.6283,850.0
323,1025.130,562.7107,864.0
324,1027.732,562.7931,853.0
325,1030.333,562.8755,844.0
326,1032.933,562.9579,834.0
327,1035.532,563.0403,876.0
328,1038.130,563.1226,865.0
329,1040.727,563.2050,862.0
330,1043.323,563.2874,858.0
331,1045.918,563.3697,860.0
332,1048.512,563.4521,868.0
333,1051.105,563.5344,849.0
334,1053.697,563.6167,843.0
335,1056.288,563.6990,857.0
336,1058.878,563.7814,852.0
337,1061.467,563.8637,836.0
338,1064.056,563.9460,846.0
339,1066.643,564.0283,896.0
340,1069.229,564.1106,857.0
341,1071.814,564.1928,836.0
342,1074.399,564.2751,857.0
343,1076.982,564.3574,862.0
344,1079.565,564.4396,858.0
345,1082.146,564.5219,863.0
346,1084.726,564.6042,874.0
347,1087.306,564.6864,884.0
348,1089.884,564.7686,896.0
349,1092.462,564.8509,860.0
350,1095.039,564.9331,857.0
351,1097.614,565.0153,894.0
352,1100.189,565.0975,857.0
353,1102.763,565.1797,876.0
354,1105.335,565.2619,871.0
355,1107.907,565.3441,915.0
356,1110.478,565.4262,899.0
357,1113.048,565.5084,911.0
358,1115.617,565.5906,903.0
359,1118.185,565.6727,903.0
360,1120.752,565.7549,918.0
361,1123.318,565.8370,901.0
362,1125.883,565.9192,936.0
363,1128.447,566.0013,925.0
364,1131.010,566.0834,891.0
365,1133.572,566.1655,891.0
366,1136.133,566.2477,906.0
367,1138.693,566.3298,891.0
368,1141.253,566.4119,907.0
369,1143.811,566.4939,934.0
370,1146.368,566.5760,912.0
371,1148.925,566.6581,909.0
372,1151.480,566.7402,905.0
373,1154.035,566.8222,923.0
374,1156.588,566.9043,924.0
375,1159.141,566.9863,910.0
376,1161.693,567.0684,915.0
377,1164.243,567.1504,899.0
378,1166.793,567.2324,917.0
379,1169.342,567.3144,926.0
380,1171.890,567.3965,904.0
381,1174.436,567.4785,927.0
382,1176.982,567.5605,928.0
383,1179.527,567.6425,942.0
384,1182.071,567.7244,927.0
385,1184.614,567.8064,933.0
386,1187.157,567.8884,930.0
387,1189.698,567.9704,931.0
388,1192.238,568.0523,904.0
389,1194.777,568.1343,939.0
390,1197.315,568.2162,936.0
391,1199.853,568.2981,904.0
392,1202.389,568.3801,918.0
393,1204.925,568.4620,912.0
394,1207.459,568.5439,927.0
395,1209.993,568.6258,910.0
396,1212.525,568.7077,914.0
397,1215.057,568.7896,909.0
398,1217.588,568.8715,936.0
