pixel_index,raman_shift_cm-1,intensity
0,130.069,731.0
1,133.014,734.0
2,135.958,736.0
3,138.901,749.0
4,141.843,753.0
5,144.783,747.0
6,147.722,731.0
7,150.661,738.0
8,153.598,745.0
9,156.534,740.0
10,159.469,758.0
11,162.402,743.0
12,165.335,727.0
13,168.266,743.0
14,171.197,755.0
15,174.126,733.0
16,177.054,735.0
17,179.981,750.0
18,182.907,742.0
19,185.831,745.0
20,188.755,756.0
21,191.677,746.0
22,194.599,751.0
23,197.519,762.0
24,200.438,757.0
25,203.356,758.0
26,206.273,756.0
27,209.188,761.0
28,212.103,782.0
29,215.016,772.0
30,217.928,756.0
31,220.839,778.0
32,223.749,760.0
33,226.658,757.0
34,229.566,757.0
35,232.473,783.0
36,235.378,775.0
37,238.283,782.0
38,241.186,763.0
39,244.088,774.0
40,246.989,782.0
41,249.889,775.0
42,252.788,762.0
43,255.686,776.0
44,258.582,788.0
45,261.478,777.0
46,264.372,807.0
47,267.265,807.0
48,270.157,778.0
49,273.048,787.0
50,275.938,794.0
51,278.827,825.0
52,281.715,813.0
53,284.601,795.0
54,287.487,786.0
55,290.371,774.0
56,293.254,776.0
57,296.136,788.0
58,299.017,788.0
59,301.897,787.0
60,304.776,772.0
61,307.653,762.0
62,310.530,773.0
63,313.405,764.0
64,316.280,782.0
65,319.153,763.0
66,322.025,772.0
67,324.896,771.0
68,327.766,758.0
69,330.635,782.0
70,333.502,773.0
71,336.369,780.0
72,339.235,777.0
73,342.099,765.0
74,344.962,771.0
75,347.824,769.0
76,350.685,766.0
77,353.545,760.0
78,356.404,765.0
79,359.262,775.0
80,362.119,774.0
81,364.974,765.0
82,367.829,784.0
83,370.682,768.0
84,373.535,751.0
85,376.386,758.0
86,379.236,762.0
87,382.085,759.0
88,384.933,753.0
89,387.780,747.0
90,390.625,751.0
91,393.470,746.0
92,396.314,755.0
93,399.156,753.0
94,401.997,738.0
95,404.838,757.0
96,407.677,764.0
97,410.515,768.0
98,413.352,762.0
99,416.188,779.0
100,419.023,766.0
101,421.856,750.0
102,424.689,774.0
103,427.521,763.0
104,430.351,757.0
105,433.180,758.0
106,436.009,758.0
107,438.836,754.0
108,441.662,750.0
109,444.487,737.0
110,447.311,749.0
111,450.134,743.0
112,452.956,735.0
113,455.776,750.0
114,458.596,763.0
115,461.415,763.0
116,464.232,757.0
117,467.049,755.0
118,469.864,768.0
119,472.678,778.0
120,475.491,768.0
121,478.303,783.0
122,481.114,781.0
123,483.924,767.0
124,486.733,811.0
125,489.541,817.0
126,492.348,872.0
127,495.153,964.0
128,497.958,1241.0
129,500.761,2182.0
130,503.564,4411.0
131,506.365,4377.0
132,509.165,2105.0
133,511.964,1197.0
134,514.762,967.0
135,517.560,860.0
136,520.355,829.0
137,523.150,815.0
138,525.944,786.0
139,528.737,773.0
140,531.529,791.0
141,534.319,797.0
142,537.109,772.0
143,539.897,759.0
144,542.685,771.0
145,545.471,752.0
146,548.256,752.0
147,551.041,751.0
148,553.824,759.0
149,556.606,771.0
150,559.387,744.0
151,562.167,746.0
152,564.946,742.0
153,567.724,762.0
154,570.501,753.0
155,573.276,743.0
156,576.051,757.0
157,578.825,747.0
158,581.597,746.0
159,584.369,751.0
160,587.139,747.0
161,589.908,755.0
162,592.677,755.0
163,595.444,754.0
164,598.210,766.0
165,600.975,756.0
166,603.739,756.0
167,606.502,766.0
168,609.264,763.0
169,612.025,752.0
170,614.785,746.0
171,617.544,745.0
172,620.302,752.0
173,623.059,757.0
174,625.814,761.0
175,628.569,759.0
176,631.322,764.0
177,634.075,757.0
178,636.826,754.0
179,639.577,767.0
180,642.326,727.0
181,645.074,758.0
182,647.822,751.0
183,650.568,757.0
184,653.313,746.0
185,656.057,760.0
186,658.800,758.0
187,661.542,765.0
188,664.283,765.0
189,667.023,764.0
190,669.762,761.0
191,672.500,753.0
192,675.237,754.0
193,677.973,752.0
194,680.707,747.0
195,683.441,761.0
196,686.174,751.0
197,688.905,738.0
198,691.636,745.0
199,694.365,733.0
200,697.094,749.0
201,699.821,752.0
202,702.548,743.0
203,705.273,737.0
204,707.998,732.0
205,710.721,758.0
206,713.443,738.0
207,716.164,750.0
208,718.885,752.0
209,721.604,752.0
210,724.322,741.0
211,727.039,752.0
212,729.755,744.0
213,732.470,739.0
214,735.184,757.0
215,737.897,758.0
216,740.609,740.0
217,743.320,753.0
218,746.030,743.0
219,748.739,749.0
220,751.446,746.0
221,754.153,765.0
222,756.859,750.0
223,759.564,755.0
224,762.267,745.0
225,764.970,742.0
226,767.672,739.0
227,770.372,764.0
228,773.072,742.0
229,775.770,746.0
230,778.468,748.0
231,781.165,746.0
232,783.860,761.0
233,786.555,752.0
234,789.248,770.0
235,791.940,745.0
236,794.632,751.0
237,797.322,753.0
238,800.012,759.0
239,802.700,752.0
240,805.387,761.0
241,808.074,759.0
242,810.759,769.0
243,813.443,752.0
244,816.126,755.0
245,818.809,755.0
246,821.490,776.0
247,824.170,763.0
248,826.849,744.0
249,829.527,751.0
250,832.205,750.0
251,834.881,761.0
252,837.556,752.0
253,840.230,760.0
254,842.903,757.0
255,845.575,759.0
256,848.246,756.0
257,850.916,747.0
258,853.585,754.0
259,856.253,753.0
260,858.920,758.0
261,861.586,753.0
262,864.251,754.0
263,866.915,763.0
264,869.578,741.0
265,872.240,750.0
266,874.901,748.0
267,877.561,744.0
268,880.220,758.0
269,882.878,779.0
270,885.535,745.0
271,888.191,742.0
272,890.846,765.0
273,893.500,767.0
274,896.153,757.0
275,898.805,742.0
276,901.456,753.0
277,904.105,748.0
278,906.754,758.0
279,909.402,749.0
280,912.049,768.0
281,914.695,769.0
282,917.340,764.0
283,919.984,774.0
284,922.627,771.0
285,925.269,800.0
286,927.910,796.0
287,930.550,830.0
288,933.188,836.0
289,935.826,859.0
290,938.463,832.0
291,941.099,844.0
292,943.734,849.0
293,946.368,854.0
294,949.001,867.0
295,951.633,850.0
296,954.264,847.0
297,956.894,860.0
298,959.523,848.0
299,962.151,864.0
300,964.778,852.0
301,967.404,866.0
302,970.029,852.0
303,972.653,854.0
304,975.276,849.0
305,977.898,859.0
306,980.519,851.0
307,983.139,848.0
308,985.758,840.0
309,988.376,811.0
310,990.993,778.0
311,993.609,780.0
312,996.224,769.0
313,998.838,793.0
314,1001.451,764.0
315,1004.064,759.0
316,1006.675,753.0
317,1009.285,764.0
318,1011.894,761.0
319,1014.502,783.0
320,1017.110,762.0
321,1019.716,759.0
322,1022.321,768.0
323,1024.925,766.0
324,1027.529,753.0
325,1030.131,763.0
326,1032.732,747.0
327,1035.333,762.0
328,1037.932,748.0
329,1040.530,742.0
330,1043.128,750.0
331,1045.724,725.0
332,1048.320,742.0
333,1050.914,748.0
334,1053.508,739.0
335,1056.100,748.0
336,1058.692,739.0
337,1061.282,744.0
338,1063.872,744.0
339,1066.461,746.0
340,1069.048,734.0
341,1071.635,741.0
342,1074.221,735.0
343,1076.805,749.0
344,1079.389,747.0
345,1081.972,747.0
346,1084.554,740.0
347,1087.134,746.0
348,1089.714,757.0
349,1092.293,747.0
350,1094.871,738.0
351,1097.448,731.0
352,1100.024,749.0
353,1102.599,743.0
354,1105.173,731.0
355,1107.746,733.0
356,1110.318,725.0
357,1112.890,738.0
358,1115.460,739.0
359,1118.029,745.0
360,1120.597,751.0
361,1123.165,740.0
362,1125.731,747.0
363,1128.296,733.0
364,1130.861,738.0
365,1133.424,749.0
366,1135.986,752.0
367,1138.548,736.0
368,1141.109,740.0
369,1143.668,747.0
370,1146.227,727.0
371,1148.784,751.0
372,1151.341,732.0
373,1153.897,746.0
374,1156.452,742.0
375,1159.005,753.0
376,1161.558,735.0
377,1164.110,729.0
378,1166.661,733.0
379,1169.211,735.0
380,1171.760,750.0
381,1174.308,741.0
382,1176.855,745.0
383,1179.402,738.0
384,1181.947,737.0
385,1184.491,740.0
386,1187.034,738.0
387,1189.577,727.0
388,1192.118,739.0
389,1194.659,738.0
390,1197.198,733.0
391,1199.737,748.0
392,1202.274,728.0
393,1204.811,727.0
394,1207.346,724.0
395,1209.881,723.0
396,1212.415,728.0
397,1214.948,745.0
398,1217.480,755.0
399,1220.011,745.0
400,1222.541,751.0
401,1225.070,737.0
402,1227.598,735.0
403,1230.125,740.0
404,1232.651,731.0
405,1235.176,742.0
406,1237.701,747.0
407,1240.224,725.0
408,1242.746,739.0
409,1245.268,733.0
410,1247.788,744.0
411,1250.308,744.0
412,1252.827,735.0
413,1255.344,723.0
414,1257.861,732.0
415,1260.377,744.0
416,1262.892,740.0
417,1265.406,727.0
418,1267.919,743.0
419,1270.431,733.0
420,1272.942,744.0
421,1275.452,751.0
422,1277.961,737.0
423,1280.470,735.0
424,1282.977,732.0
425,1285.483,736.0
426,1287.989,734.0
427,1290.493,720.0
428,1292.997,731.0
429,1295.500,741.0
430,1298.001,739.0
431,1300.502,742.0
432,1303.002,734.0
433,1305.501,732.0
434,1307.999,747.0
435,1310.496,739.0
436,1312.992,724.0
437,1315.487,733.0
438,1317.982,726.0
439,1320.475,722.0
440,1322.967,739.0
441,1325.459,733.0
442,1327.949,736.0
443,1330.439,732.0
444,1332.928,730.0
445,1335.416,736.0
446,1337.902,733.0
447,1340.388,737.0
448,1342.873,739.0
449,1345.357,738.0
450,1347.840,737.0
451,1350.323,730.0
452,1352.804,730.0
453,1355.284,748.0
454,1357.764,720.0
455,1360.242,731.0
456,1362.720,732.0
457,1365.196,746.0
458,1367.672,754.0
459,1370.147,753.0
460,1372.621,752.0
461,1375.094,736.0
462,1377.566,742.0
463,1380.037,758.0
464,1382.507,735.0
465,1384.976,743.0
466,1387.444,736.0
467,1389.912,747.0
468,1392.378,746.0
469,1394.844,753.0
470,1397.309,747.0
471,1399.772,737.0
472,1402.235,736.0
473,1404.697,741.0
474,1407.158,754.0
475,1409.618,749.0
476,1412.077,739.0
477,1414.536,743.0
478,1416.993,729.0
479,1419.449,727.0
480,1421.905,737.0
481,1424.359,734.0
482,1426.813,739.0
483,1429.266,734.0
484,1431.718,735.0
485,1434.169,742.0
486,1436.619,735.0
487,1439.068,729.0
488,1441.516,737.0
489,1443.963,746.0
490,1446.409,747.0
491,1448.855,739.0
492,1451.299,737.0
493,1453.743,749.0
494,1456.186,757.0
495,1458.628,747.0
496,1461.069,739.0
497,1463.509,754.0
498,1465.948,737.0
499,1468.386,736.0
500,1470.823,725.0
501,1473.260,738.0
502,1475.695,729.0
503,1478.130,748.0
504,1480.563,727.0
505,1482.996,763.0
506,1485.428,737.0
507,1487.859,747.0
508,1490.289,747.0
509,1492.718,731.0
510,1495.146,754.0
511,1497.574,745.0
512,1500.000,749.0
513,1502.426,739.0
514,1504.850,743.0
515,1507.274,744.0
516,1509.697,734.0
517,1512.119,726.0
518,1514.540,733.0
519,1516.960,741.0
520,1519.379,728.0
521,1521.797,749.0
522,1524.215,739.0
523,1526.631,730.0
524,1529.047,732.0
525,1531.462,744.0
526,1533.876,736.0
527,1536.289,741.0
528,1538.701,731.0
529,1541.112,739.0
530,1543.522,735.0
531,1545.931,735.0
532,1548.340,733.0
533,1550.748,731.0
534,1553.154,746.0
535,1555.560,734.0
536,1557.965,738.0
537,1560.369,743.0
538,1562.772,733.0
