pixel_index,raman_shift_cm-1,intensity
0,-225.424,96.4
1,-222.355,96.4
2,-219.287,96.2
3,-216.220,96.6
4,-213.154,96.0
5,-210.090,96.2
6,-207.027,96.2
7,-203.965,97.0
8,-200.904,96.6
9,-197.845,95.8
10,-194.786,96.6
11,-191.729,96.8
12,-188.673,96.8
13,-185.618,96.6
14,-182.565,96.2
15,-179.513,97.0
16,-176.461,96.2
17,-173.412,96.2
18,-170.363,95.4
19,-167.315,96.0
20,-164.269,96.4
21,-161.224,96.2
22,-158.180,96.2
23,-155.137,96.4
24,-152.096,96.4
25,-149.055,96.2
26,-146.016,96.0
27,-142.978,96.0
28,-139.941,96.6
29,-136.906,96.6
30,-133.871,95.8
31,-130.838,96.2
32,-127.806,96.6
33,-124.775,96.0
34,-121.746,95.8
35,-118.717,96.2
36,-115.690,96.0
37,-112.664,96.6
38,-109.639,96.6
39,-106.616,96.2
40,-103.593,96.0
41,-100.572,95.6
42,-97.552,96.0
43,-94.533,96.4
44,-91.515,96.0
45,-88.499,96.6
46,-85.483,97.2
47,-82.469,96.2
48,-79.456,96.6
49,-76.444,96.4
50,-73.433,96.0
51,-70.424,96.2
52,-67.416,95.6
53,-64.409,96.2
54,-61.403,96.4
55,-58.398,95.8
56,-55.394,95.8
57,-52.392,96.4
58,-49.391,96.4
59,-46.391,96.2
60,-43.392,96.4
61,-40.394,96.0
62,-37.398,96.2
63,-34.402,95.8
64,-31.408,97.0
65,-28.415,96.8
66,-25.423,101.6
67,-22.433,97.0
68,-19.443,97.2
69,-16.455,96.6
70,-13.468,95.4
71,-10.482,96.2
72,-7.497,95.6
73,-4.513,96.2
74,-1.531,96.2
75,1.451,96.2
76,4.431,95.8
77,7.410,96.6
78,10.388,97.0
79,13.364,96.0
80,16.340,97.0
81,19.314,96.6
82,22.287,96.6
83,25.259,95.4
84,28.230,97.4
85,31.200,96.6
86,34.168,95.4
87,37.136,95.4
88,40.102,96.0
89,43.067,95.8
90,46.031,95.8
91,48.993,96.6
92,51.955,96.2
93,54.915,96.6
94,57.875,95.6
95,60.833,96.8
96,63.790,96.2
97,66.745,96.8
98,69.700,96.6
99,72.654,95.6
100,75.606,96.2
101,78.557,96.0
102,81.507,95.8
103,84.456,96.8
104,87.404,96.2
105,90.350,95.6
106,93.296,96.8
107,96.240,96.6
