pixel_index,raman_shift_cm-1,intensity
0,-225.424,9.6
1,-222.355,9.5
2,-219.287,9.5
3,-216.220,9.6
4,-213.154,9.4
5,-210.090,9.5
6,-207.027,9.6
7,-203.965,9.4
8,-200.904,9.5
9,-197.845,9.4
10,-194.786,9.6
11,-191.729,9.4
12,-188.673,9.6
13,-185.618,9.6
14,-182.565,9.4
15,-179.513,9.6
16,-176.461,9.6
17,-173.412,9.6
18,-170.363,9.4
19,-167.315,9.4
20,-164.269,9.7
21,-161.224,9.6
22,-158.180,9.4
23,-155.137,9.5
24,-152.096,9.7
25,-149.055,9.6
26,-146.016,9.5
27,-142.978,9.5
28,-139.941,9.6
29,-136.906,9.7
30,-133.871,9.5
31,-130.838,9.5
32,-127.806,9.5
33,-124.775,9.3
34,-121.746,9.5
35,-118.717,9.4
36,-115.690,9.7
37,-112.664,9.7
38,-109.639,9.6
39,-106.616,9.5
40,-103.593,9.6
41,-100.572,9.6
42,-97.552,9.6
43,-94.533,9.4
44,-91.515,9.6
45,-88.499,9.6
46,-85.483,9.5
47,-82.469,9.4
48,-79.456,9.7
49,-76.444,9.5
50,-73.433,9.4
51,-70.424,9.5
52,-67.416,9.4
53,-64.409,9.4
54,-61.403,9.5
55,-58.398,9.4
56,-55.394,9.4
57,-52.392,9.5
58,-49.391,9.5
59,-46.391,9.5
60,-43.392,9.6
61,-40.394,9.6
62,-37.398,9.4
63,-34.402,9.4
64,-31.408,9.6
65,-28.415,9.8
66,-25.423,9.7
67,-22.433,9.4
68,-19.443,9.7
69,-16.455,9.4
70,-13.468,9.4
71,-10.482,9.4
72,-7.497,9.5
73,-4.513,9.5
74,-1.531,9.5
75,1.451,9.4
76,4.431,9.5
77,7.410,9.5
78,10.388,9.6
79,13.364,9.7
80,16.340,9.9
81,19.314,9.5
82,22.287,9.5
83,25.259,9.4
84,28.230,9.6
85,31.200,9.4
86,34.168,9.5
87,37.136,9.6
88,40.102,9.6
89,43.067,9.5
90,46.031,9.5
91,48.993,9.5
92,51.955,9.4
93,54.915,9.4
94,57.875,9.4
95,60.833,9.5
96,63.790,9.4
97,66.745,9.5
98,69.700,9.5
99,72.654,9.3
100,75.606,9.5
101,78.557,9.6
102,81.507,9.3
103,84.456,9.6
104,87.404,9.6
105,90.350,9.6
106,93.296,9.7
107,96.240,9.4
108,99.183,9.3
109,102.125,9.6
110,105.066,9.4
111,108.006,9.6
112,110.944,9.6
113,113.882,9.4
114,116.818,9.7
115,119.753,9.4
116,122.687,9.5
117,125.620,9.6
118,128.551,9.3
119,131.482,9.4
120,134.411,9.5
121,137.339,9.6
122,140.267,9.7
123,143.193,9.4
124,146.117,9.4
125,149.041,9.5
126,151.964,9.5
127,154.885,9.5
128,157.805,9.4
129,160.724,9.5
130,163.642,9.4
131,166.559,9.4
132,169.475,9.4
133,172.390,9.6
134,175.303,9.6
135,178.215,9.5
136,181.127,9.5
137,184.037,9.5
138,186.946,9.6
139,189.853,9.5
140,192.760,9.4
141,195.666,9.6
142,198.570,9.6
143,201.473,9.6
144,204.375,9.5
145,207.276,9.5
146,210.176,9.5
147,213.075,9.5
148,215.973,9.6
149,218.869,9.6
150,221.765,9.4
151,224.659,9.5
152,227.552,9.4
153,230.444,9.6
154,233.335,9.6
155,236.225,9.5
156,239.113,9.6
157,242.001,9.6
158,244.887,9.5
159,247.773,9.5
160,250.657,9.7
161,253.540,9.7
162,256.422,9.4
163,259.302,9.4
164,262.182,9.7
165,265.061,9.4
166,267.938,9.6
167,270.814,9.6
168,273.690,9.5
169,276.564,9.5
170,279.437,9.5
171,282.309,9.5
172,285.179,9.5
173,288.049,9.5
174,290.918,9.5
175,293.785,9.6
176,296.651,9.4
177,299.517,9.5
178,302.381,9.6
179,305.244,9.6
180,308.105,9.6
181,310.966,9.7
182,313.826,9.5
183,316.684,9.4
184,319.542,9.4
185,322.398,9.6
186,325.253,9.4
187,328.108,9.5
188,330.961,9.7
189,333.812,9.5
190,336.663,9.5
191,339.513,9.5
192,342.362,9.5
193,345.209,9.3
194,348.055,9.5
195,350.901,9.5
196,353.745,9.4
197,356.588,9.5
198,359.430,9.6
199,362.271,9.6
200,365.111,9.6
201,367.949,9.7
202,370.787,9.6
203,373.623,9.5
204,376.459,9.4
205,379.293,9.5
206,382.126,9.4
207,384.958,9.5
208,387.789,9.6
209,390.619,9.4
210,393.448,9.6
211,396.276,9.5
212,399.103,9.6
213,401.928,9.6
214,404.753,9.5
215,407.576,9.5
216,410.398,9.4
217,413.219,9.4
218,416.040,9.5
219,418.859,9.3
220,421.676,9.4
221,424.493,9.5
222,427.309,9.4
223,430.124,9.5
224,432.937,9.5
225,435.750,9.5
226,438.561,9.5
227,441.371,9.5
228,444.181,9.5
229,446.989,9.5
230,449.796,9.4
231,452.602,9.5
232,455.407,9.4
233,458.210,9.5
234,461.013,9.5
235,463.815,9.5
236,466.615,9.6
237,469.415,9.5
238,472.213,9.4
239,475.011,9.7
240,477.807,9.5
241,480.602,9.6
242,483.396,9.6
243,486.189,9.5
244,488.981,9.7
245,491.772,9.6
246,494.562,9.6
247,497.350,9.4
248,500.138,9.6
249,502.925,9.5
250,505.710,9.8
251,508.495,9.6
252,511.278,9.7
253,514.060,9.6
254,516.841,9.5
255,519.622,9.6
256,522.401,9.5
257,525.179,9.5
258,527.955,9.4
259,530.731,9.6
260,533.506,9.5
261,536.280,9.5
262,539.052,9.6
263,541.824,9.5
264,544.595,9.6
265,547.364,9.6
266,550.132,9.5
267,552.900,9.7
268,555.666,9.5
269,558.431,9.7
270,561.195,9.6
271,563.958,9.4
272,566.720,9.6
273,569.481,9.5
274,572.241,9.5
275,575.000,9.4
276,577.758,9.4
277,580.514,9.6
278,583.270,9.5
279,586.025,9.7
280,588.778,9.5
281,591.531,9.6
282,594.282,9.4
283,597.032,9.5
284,599.782,9.5
285,602.530,9.6
286,605.277,9.3
287,608.023,9.5
288,610.768,9.4
289,613.512,9.7
290,616.255,9.7
291,618.997,9.5
292,621.738,9.5
293,624.478,9.5
294,627.217,9.6
295,629.954,9.5
296,632.691,9.7
297,635.427,9.6
298,638.161,9.4
299,640.895,9.5
300,643.627,9.3
301,646.359,9.6
302,649.089,9.5
303,651.818,9.5
304,654.546,9.5
305,657.274,9.6
306,660.000,9.3
307,662.725,9.6
308,665.449,9.6
309,668.172,9.5
310,670.894,9.6
311,673.615,9.5
312,676.335,9.6
313,679.054,9.5
314,681.772,9.7
315,684.489,9.5
316,687.204,9.4
317,689.919,9.5
318,692.633,9.6
319,695.345,9.5
320,698.057,9.6
321,700.767,9.6
322,703.477,9.6
323,706.185,9.4
324,708.893,9.6
325,711.599,9.6
326,714.305,9.5
327,717.009,9.4
328,719.712,9.6
329,722.414,9.5
330,725.116,9.4
331,727.816,9.3
332,730.515,9.6
333,733.213,9.4
334,735.910,9.6
335,738.606,9.5
336,741.301,9.6
337,743.995,9.3
338,746.688,9.5
339,749.380,9.4
340,752.071,9.5
341,754.761,9.4
342,757.450,9.4
343,760.138,9.6
344,762.825,9.6
345,765.510,9.6
346,768.195,9.4
347,770.879,9.5
348,773.562,9.8
349,776.243,9.5
350,778.924,9.5
351,781.603,9.4
352,784.282,9.6
353,786.960,9.6
354,789.636,9.5
355,792.312,9.5
356,794.986,9.4
357,797.660,9.5
358,800.332,9.6
359,803.004,9.5
360,805.674,9.4
361,808.344,9.5
362,811.012,9.6
363,813.679,9.5
364,816.346,9.4
365,819.011,9.7
366,821.675,9.5
367,824.339,9.5
368,827.001,9.5
369,829.662,9.4
370,832.322,9.5
371,834.982,9.5
372,837.640,9.8
373,840.297,9.5
374,842.953,9.5
375,845.609,9.5
376,848.263,9.6
377,850.916,9.6
378,853.568,9.4
379,856.219,9.3
380,858.869,9.5
381,861.518,9.4
382,864.167,9.4
383,866.814,9.5
384,869.460,9.4
385,872.105,9.5
386,874.749,9.5
387,877.392,9.6
388,880.034,9.7
389,882.675,9.7
390,885.315,9.6
391,887.954,9.8
392,890.592,9.5
393,893.229,9.5
394,895.865,9.4
395,898.501,9.6
396,901.135,9.7
397,903.768,9.5
398,906.400,9.5
399,909.031,9.7
400,911.661,9.5
401,914.290,9.5
402,916.918,9.5
403,919.545,9.6
404,922.171,9.4
405,924.796,9.6
406,927.420,9.6
407,930.043,9.6
408,932.665,9.6
409,935.286,9.7
410,937.906,9.5
411,940.525,9.4
412,943.143,9.6
413,945.760,9.6
414,948.376,9.5
415,950.991,9.4
416,953.605,9.5
417,956.219,9.5
418,958.831,9.5
419,961.442,9.5
420,964.052,9.7
421,966.661,9.4
422,969.269,9.5
423,971.876,9.4
424,974.482,9.5
425,977.088,9.7
426,979.692,9.6
427,982.295,9.4
428,984.897,9.6
429,987.498,9.6
430,990.099,9.3
431,992.698,9.3
432,995.296,9.4
433,997.893,9.4
434,1000.490,9.7
435,1003.085,9.5
436,1005.679,9.3
437,1008.272,9.7
438,1010.865,9.6
439,1013.456,9.4
440,1016.046,9.6
441,1018.636,9.6
442,1021.224,9.6
443,1023.812,9.6
444,1026.398,9.4
445,1028.984,9.6
446,1031.568,9.4
447,1034.152,9.5
448,1036.734,9.7
449,1039.316,9.5
450,1041.896,9.6
451,1044.476,9.3
452,1047.054,9.4
453,1049.632,9.6
454,1052.209,9.4
455,1054.784,9.4
456,1057.359,9.7
457,1059.933,9.6
458,1062.506,9.6
459,1065.077,9.6
460,1067.648,9.6
461,1070.218,9.5
462,1072.787,9.7
463,1075.355,9.5
464,1077.922,9.5
465,1080.488,9.6
466,1083.053,9.6
467,1085.617,9.5
468,1088.180,9.5
469,1090.742,9.6
470,1093.303,9.6
471,1095.863,9.5
472,1098.422,9.4
473,1100.980,9.5
474,1103.538,9.6
475,1106.094,9.5
476,1108.649,9.4
477,1111.204,9.6
478,1113.757,9.4
479,1116.309,9.6
480,1118.861,9.6
481,1121.411,9.5
482,1123.961,9.5
483,1126.509,9.4
484,1129.057,9.4
485,1131.604,9.6
486,1134.149,9.4
487,1136.694,9.7
488,1139.238,9.5
489,1141.780,9.5
490,1144.322,9.6
491,1146.863,9.6
492,1149.403,9.5
493,1151.942,9.7
494,1154.480,9.4
495,1157.017,9.6
496,1159.553,9.5
497,1162.088,9.6
498,1164.622,9.6
499,1167.155,9.6
500,1169.688,9.6
501,1172.219,9.6
502,1174.749,9.7
503,1177.279,9.5
504,1179.807,9.5
505,1182.334,9.5
506,1184.861,9.5
507,1187.386,9.6
508,1189.911,9.6
509,1192.435,9.6
510,1194.957,9.6
511,1197.479,9.5
512,1200.000,9.6
513,1202.520,9.6
514,1205.039,9.6
515,1207.557,9.5
516,1210.074,9.5
517,1212.590,9.6
518,1215.105,9.6
519,1217.619,9.6
520,1220.132,9.5
521,1222.644,9.8
522,1225.156,9.6
523,1227.666,9.6
524,1230.176,9.6
525,1232.684,9.6
526,1235.192,9.4
527,1237.698,9.6
528,1240.204,9.4
529,1242.708,9.5
530,1245.212,9.4
531,1247.715,9.6
532,1250.217,9.6
533,1252.718,9.5
534,1255.218,9.7
535,1257.717,9.5
536,1260.215,9.5
537,1262.712,9.8
538,1265.208,9.5
539,1267.704,9.5
540,1270.198,9.5
541,1272.691,9.5
542,1275.184,9.4
543,1277.675,9.5
544,1280.166,9.5
545,1282.656,9.6
546,1285.144,9.5
547,1287.632,9.5
548,1290.119,9.5
549,1292.605,9.5
550,1295.090,9.6
551,1297.574,9.4
552,1300.057,9.4
553,1302.539,9.6
554,1305.021,9.5
555,1307.501,9.3
556,1309.980,9.5
557,1312.459,9.6
558,1314.936,9.5
559,1317.413,9.7
560,1319.889,9.6
561,1322.363,9.7
562,1324.837,9.7
563,1327.310,9.7
564,1329.782,9.6
565,1332.253,9.6
566,1334.723,9.4
567,1337.192,9.3
568,1339.660,9.5
569,1342.128,9.7
570,1344.594,9.5
571,1347.060,9.5
572,1349.524,9.4
573,1351.988,9.6
574,1354.450,9.5
575,1356.912,9.4
576,1359.373,9.7
577,1361.833,9.4
578,1364.292,9.4
579,1366.750,9.4
580,1369.207,9.5
581,1371.663,9.5
582,1374.119,9.5
583,1376.573,9.4
584,1379.027,9.6
585,1381.479,9.6
586,1383.931,9.6
587,1386.381,9.6
588,1388.831,9.7
589,1391.280,9.5
590,1393.728,9.6
591,1396.175,9.6
592,1398.621,9.7
593,1401.066,9.6
594,1403.511,9.5
595,1405.954,9.5
596,1408.397,9.7
597,1410.838,9.5
598,1413.279,9.7
599,1415.718,9.7
600,1418.157,9.6
601,1420.595,9.4
602,1423.032,9.5
603,1425.468,9.6
604,1427.903,9.6
605,1430.338,9.5
606,1432.771,9.5
607,1435.203,9.6
608,1437.635,9.6
609,1440.065,9.6
610,1442.495,9.5
611,1444.924,9.5
612,1447.352,9.5
613,1449.779,9.6
614,1452.205,9.4
615,1454.630,9.6
616,1457.054,9.5
617,1459.477,9.6
618,1461.900,9.6
619,1464.321,9.5
620,1466.742,9.5
621,1469.162,9.5
622,1471.581,9.6
623,1473.998,9.4
624,1476.415,9.5
625,1478.832,9.6
626,1481.247,9.5
627,1483.661,9.5
628,1486.074,9.4
629,1488.487,9.5
630,1490.899,9.7
631,1493.309,9.6
632,1495.719,9.8
633,1498.128,9.4
634,1500.536,9.5
635,1502.943,9.5
636,1505.349,9.4
637,1507.754,9.6
638,1510.159,9.5
639,1512.562,9.5
640,1514.965,9.3
641,1517.367,9.5
642,1519.767,9.6
643,1522.167,9.5
644,1524.566,9.7
645,1526.964,9.4
646,1529.362,9.5
647,1531.758,9.5
648,1534.153,9.6
649,1536.548,9.4
650,1538.942,9.5
651,1541.334,9.4
652,1543.726,9.3
653,1546.117,9.6
654,1548.507,9.6
655,1550.896,9.4
656,1553.285,9.6
657,1555.672,9.6
658,1558.059,9.4
659,1560.444,9.6
660,1562.829,9.6
661,1565.213,9.6
662,1567.596,9.4
663,1569.978,9.3
664,1572.359,9.4
665,1574.739,9.5
666,1577.119,9.6
667,1579.497,9.6
668,1581.875,9.4
669,1584.252,9.5
670,1586.628,9.5
671,1589.003,9.5
672,1591.377,9.6
673,1593.750,9.4
674,1596.122,9.5
675,1598.494,9.5
676,1600.864,9.4
677,1603.234,9.6
678,1605.603,9.6
679,1607.971,9.5
680,1610.338,9.7
681,1612.704,9.5
682,1615.069,9.5
683,1617.433,9.4
684,1619.797,9.6
685,1622.160,9.4
686,1624.521,9.6
687,1626.882,9.5
688,1629.242,9.6
689,1631.601,9.4
690,1633.960,9.5
691,1636.317,9.6
692,1638.673,9.6
693,1641.029,9.6
694,1643.384,9.4
695,1645.738,9.5
696,1648.091,9.4
697,1650.443,9.6
698,1652.794,9.6
699,1655.144,9.4
700,1657.494,9.5
701,1659.842,9.5
702,1662.190,9.5
703,1664.537,9.4
704,1666.883,9.5
705,1669.228,9.7
706,1671.573,9.6
707,1673.916,9.3
708,1676.258,9.4
709,1678.600,9.6
710,1680.941,9.6
711,1683.281,9.5
712,1685.620,9.4
713,1687.958,9.6
714,1690.295,9.3
715,1692.632,9.4
716,1694.967,9.6
717,1697.302,9.5
718,1699.636,9.6
719,1701.969,9.7
720,1704.301,9.6
721,1706.632,9.6
722,1708.963,9.5
723,1711.292,9.5
724,1713.621,9.5
725,1715.948,9.5
726,1718.275,9.5
727,1720.601,9.5
728,1722.927,9.4
729,1725.251,9.5
730,1727.574,9.5
731,1729.897,9.5
732,1732.219,9.5
733,1734.540,9.7
734,1736.860,9.4
735,1739.179,9.6
736,1741.497,9.3
737,1743.815,9.5
738,1746.131,9.6
739,1748.447,9.5
740,1750.762,9.4
741,1753.076,9.3
742,1755.389,9.6
743,1757.701,9.4
744,1760.013,9.2
745,1762.323,9.6
746,1764.633,9.5
747,1766.942,9.4
748,1769.250,9.4
749,1771.557,9.6
750,1773.864,9.5
751,1776.169,9.6
752,1778.474,9.6
753,1780.777,9.3
754,1783.080,9.7
755,1785.382,9.3
756,1787.683,9.5
757,1789.984,9.6
758,1792.283,9.5
759,1794.582,9.5
760,1796.880,9.4
761,1799.177,9.6
762,1801.473,9.4
763,1803.768,9.5
764,1806.062,9.6
765,1808.356,9.6
766,1810.649,9.6
767,1812.941,9.6
768,1815.232,9.4
769,1817.522,9.6
770,1819.811,9.4
771,1822.099,9.3
772,1824.387,9.5
773,1826.674,9.5
774,1828.960,9.5
775,1831.245,9.4
776,1833.529,9.5
777,1835.813,9.5
778,1838.095,9.4
779,1840.377,9.4
780,1842.658,9.5
781,1844.938,9.4
782,1847.217,9.4
783,1849.495,9.5
784,1851.773,9.6
785,1854.049,9.4
786,1856.325,9.6
787,1858.600,9.4
788,1860.874,9.6
789,1863.148,9.5
790,1865.420,9.7
791,1867.692,9.5
792,1869.962,9.5
793,1872.232,9.5
794,1874.501,9.4
795,1876.770,9.6
796,1879.037,9.5
797,1881.304,9.5
798,1883.570,9.4
799,1885.834,9.6
800,1888.099,9.5
