pixel_index,raman_shift_cm-1,intensity
0,200.000,-5.172294
1,201.000,-12.193538
2,202.000,-5.6504365
3,203.000,0.892665
4,204.000,-7.376657
5,205.000,-2.306291
6,206.000,3.127641
7,207.000,-9.235067
8,208.000,-8.165857
9,209.000,3.383837
10,210.000,-4.017449
11,211.000,6.860024
12,212.000,-2.226795
13,213.000,-1.77054
14,214.000,3.603222
15,215.000,8.964849
16,216.000,5.736878
17,217.000,4.547597
18,218.000,-6.81021
19,219.000,-3.479256
20,220.000,7.225202
21,221.000,-10.163015
22,222.000,-1.039963
23,223.000,2.621934
24,224.000,-5.073894
25,225.000,2.086743
26,226.000,-2.004868
27,227.000,6.310274
28,228.000,1.27454
29,229.000,-3.996049
30,230.000,-3.010825
31,231.000,-7.795591
32,232.000,-2.106697
33,233.000,-9.42435
34,234.000,3.495965
35,235.000,-4.496484
36,236.000,5.336198
37,237.000,-0.353475
38,238.000,-4.387238
39,239.000,0.062009
40,240.000,5.613037
41,241.000,4.96444
42,242.000,-4.213331
43,243.000,-0.342758
44,244.000,-1.923376
45,245.000,4.703221
46,246.000,-1.829829
47,247.000,5.621717
48,248.000,1.558458
49,249.000,-3.77807
50,250.000,-4.711058
51,251.000,1.19715
52,252.000,-9.174227
53,253.000,-7.06608
54,254.000,-1.8217125000000003
55,255.000,3.422655
56,256.000,-1.87277
57,257.000,2.556428
58,258.000,1.873553
59,259.000,2.032926
60,260.000,-1.464883
61,261.000,-3.874969
62,262.000,-0.506863
63,263.000,6.141825
64,264.000,-2.688373
65,265.000,7.642407
66,266.000,11.146095
67,267.000,6.461470500000001
68,268.000,1.776846
69,269.000,4.535756
70,270.000,3.407148
71,271.000,0.855044
72,272.000,3.787812
73,273.000,1.2074835
74,274.000,-1.372845
75,275.000,7.310373
76,276.000,4.802228
77,277.000,-0.234702
78,278.000,3.245893
79,279.000,8.889458
80,280.000,-0.051447
81,281.000,-1.261632
82,282.000,9.354268
83,283.000,4.609488
84,284.000,-4.160764
85,285.000,-5.006653
86,286.000,-11.938454
87,287.000,5.63843
88,288.000,-8.743195
89,289.000,2.063688
90,290.000,2.914393
91,291.000,2.747771
92,292.000,3.3194295
93,293.000,3.891088
94,294.000,2.581067
95,295.000,3.404621
96,296.000,4.147535
97,297.000,4.890449
98,298.000,-10.251324
99,299.000,-6.517756
100,300.000,2.481965
101,301.000,-8.505207
102,302.000,-1.381571
103,303.000,-2.221794
104,304.000,-5.346796
105,305.000,-3.012863
106,306.000,-4.825594
107,307.000,2.330971
108,308.000,0.342191
109,309.000,-9.397283
110,310.000,-3.086307
111,311.000,5.166881
112,312.000,-5.182405
113,313.000,-7.865931
114,314.000,-8.892402
115,315.000,-0.510147
116,316.000,-8.300234
117,317.000,3.523451
118,318.000,-9.897262
119,319.000,-4.892112
120,320.000,-10.255772
121,321.000,-1.388246
122,322.000,1.298673
123,323.000,3.985592
124,324.000,-0.467542
125,325.000,9.650845
126,326.000,-2.477391
127,327.000,7.532832
128,328.000,6.729582000000001
129,329.000,5.926332
130,330.000,3.488411
131,331.000,-5.879415
132,332.000,-8.663664
133,333.000,9.042421
134,334.000,-3.851487
135,335.000,4.57116
136,336.000,-3.611258
137,337.000,-4.665906
138,338.000,1.70462
139,339.000,-1.649351
140,340.000,6.849715
141,341.000,-4.049561
142,342.000,0.108222
143,343.000,4.591077
144,344.000,4.91013
145,345.000,4.778158
146,346.000,-0.986678
147,347.000,0.259168
148,348.000,2.544962
149,349.000,0.390635
150,350.000,-3.333437
151,351.000,0.433678
152,352.000,3.004922
153,353.000,9.442551
154,354.000,2.989218
155,355.000,1.308661
156,356.000,0.104724
