pixel_index,raman_shift_cm-1,intensity
0,199.000,-12.195698
1,200.000,3.006575
2,201.000,8.398121
3,202.000,-5.407255
4,203.000,14.138312
5,204.000,4.845988
6,205.000,5.652112
7,206.000,3.459731
8,207.000,1.410133
9,208.000,-0.880691
10,209.000,-2.464648
11,210.000,-6.238261
12,211.000,-4.619234
13,212.000,-1.718878
14,213.000,-1.975407
15,214.000,-8.374999
16,215.000,10.520425
17,216.000,-3.036181
18,217.000,14.080437
19,218.000,1.875655
20,219.000,0.034136
21,220.000,3.84405
22,221.000,-16.227373
23,222.000,8.901796
24,223.000,3.356319
25,224.000,3.461404
26,225.000,-3.219032
27,226.000,5.577044
28,227.000,-3.45682
29,228.000,-7.234507
30,229.000,-5.794536
31,230.000,-3.437349
32,231.000,1.915793
33,232.000,-2.91942
34,233.000,4.155513
35,234.000,3.31669
36,235.000,2.594238
37,236.000,-4.095669
38,237.000,-7.047276
39,238.000,-0.237033
40,239.000,9.652194
41,240.000,5.99621
42,241.000,0.692392
43,242.000,3.960098
44,243.000,-2.639182
45,244.000,-0.095698
46,245.000,1.02503
47,246.000,3.987147
48,247.000,-2.96817
49,248.000,-1.433514
50,249.000,-0.524558
51,250.000,3.628542
52,251.000,3.182195
53,252.000,-8.698801
54,253.000,5.471796
55,254.000,6.856512
56,255.000,3.672372
57,256.000,-9.010069
58,257.000,5.100268
59,258.000,5.296288
60,259.000,8.020788
61,260.000,-1.698866
62,261.000,0.77795
63,262.000,-7.29179
64,263.000,-2.21066
65,264.000,1.313322
66,265.000,-1.496894
67,266.000,3.820521
68,267.000,-9.396931
69,268.000,5.726218
70,269.000,6.779434
71,270.000,-6.153286
72,271.000,-0.507057
73,272.000,-8.807345
74,273.000,3.344773
75,274.000,2.797627
76,275.000,2.815251
77,276.000,-7.627961
78,277.000,2.617483
79,278.000,4.294774
80,279.000,1.257072
81,280.000,-1.839824
82,281.000,-9.672546
83,282.000,-0.089893
84,283.000,-3.619718
85,284.000,8.954641
86,285.000,-4.36509
87,286.000,-0.166916
88,287.000,3.84633
89,288.000,4.08916
90,289.000,-6.513377
91,290.000,-2.606106
92,291.000,-2.708994
93,292.000,13.542976
94,293.000,-7.227947
95,294.000,3.134688
96,295.000,3.875825
97,296.000,-0.86364
98,297.000,-0.99074
99,298.000,2.343955
100,299.000,-4.649173
101,300.000,4.978271
102,301.000,1.173675
103,302.000,4.520954
104,303.000,-13.940843
105,304.000,13.590097
106,305.000,-3.921253
107,306.000,4.313458
108,307.000,1.272463
109,308.000,-2.743758
110,309.000,3.087209
111,310.000,-4.546017
112,311.000,6.470732
113,312.000,4.673779
114,313.000,-5.880783
115,314.000,2.030574
116,315.000,5.500149
117,316.000,0.711421
118,317.000,-2.578827
119,318.000,-3.169295
120,319.000,15.12325
121,320.000,9.532035
122,321.000,-9.107431
123,322.000,3.626889
124,323.000,-7.972991
125,324.000,-0.24717
126,325.000,-0.034206
127,326.000,-7.247552
128,327.000,-0.477326
129,328.000,-10.173181
130,329.000,-0.834236
131,330.000,2.225796
132,331.000,8.461165
133,332.000,7.184097
134,333.000,7.607492
135,334.000,-10.395673
136,335.000,-1.628816
137,336.000,4.087168
138,337.000,-5.065067
139,338.000,4.883401
140,339.000,-12.053775
141,340.000,2.35707
142,341.000,3.359701
143,342.000,-11.914669
144,343.000,-3.400838
145,344.000,-8.962532
146,345.000,2.471625
147,346.000,3.683108
148,347.000,-8.429896
149,348.000,-2.502048
150,349.000,-8.545164
151,350.000,4.264631
152,351.000,-2.371325
153,352.000,8.758494
154,353.000,-13.405266
155,354.000,-5.014544
156,355.000,4.365874
157,356.000,-2.955085
158,357.000,5.427719
159,358.000,4.792426
160,359.000,2.366649
161,360.000,-2.480408
162,361.000,-9.819338
163,362.000,-3.794434
164,363.000,7.841552
165,364.000,5.956683
166,365.000,7.4747
167,366.000,-1.459875
168,367.000,2.196954
169,368.000,-4.000554
170,369.000,-5.341447
171,370.000,7.532628
172,371.000,-7.471254
173,372.000,0.924969
174,373.000,-3.51725
175,374.000,-6.502473
176,375.000,-10.534824
177,376.000,-1.356878
178,377.000,3.434564
179,378.000,4.564204
180,379.000,0.626988
181,380.000,-2.507802
182,381.000,-6.644571
183,382.000,9.464299
184,383.000,-11.722439
185,384.000,6.779267
186,385.000,-11.485491
187,386.000,-5.992499
188,387.000,-2.186998
189,388.000,-2.291016
190,389.000,3.811452
191,390.000,1.898492
192,391.000,-2.072574
193,392.000,0.601713
194,393.000,-15.768086
195,394.000,-10.972142
196,395.000,-6.071994
197,396.000,0.668818
198,397.000,-4.203106
199,398.000,-0.447191
200,399.000,8.681168
201,400.000,8.665147
202,401.000,-7.333171
203,402.000,6.163527
204,403.000,0.850868
205,404.000,-1.69214
206,405.000,4.011277
207,406.000,-1.432537
208,407.000,-5.15556
209,408.000,3.036845
210,409.000,8.199408
211,410.000,3.800045
212,411.000,13.149537
213,412.000,5.32208
214,413.000,5.340919
215,414.000,6.913438
216,415.000,-0.88777
217,416.000,-2.008312
218,417.000,-8.513002
219,418.000,-5.358247
220,419.000,4.109556
221,420.000,5.669132
222,421.000,1.514484
223,422.000,1.548298
224,423.000,2.856633
225,424.000,1.958036
226,425.000,0.704438
227,426.000,-1.178131
228,427.000,2.320051
229,428.000,1.634594
230,429.000,-1.74678
231,430.000,0.648689
232,431.000,6.346315
233,432.000,-5.106319
234,433.000,-0.403262
235,434.000,5.833373
236,435.000,0.60219
237,436.000,-3.159535
238,437.000,9.13808
239,438.000,4.763603
240,439.000,3.094721
241,440.000,-4.328041
242,441.000,-5.121322
243,442.000,-1.217819
244,443.000,7.708951
245,444.000,3.424137
246,445.000,3.225239
247,446.000,-12.281008
248,447.000,-2.338096
249,448.000,5.502993
250,449.000,-1.806037
251,450.000,-1.498879
252,451.000,0.137727
253,452.000,-4.219023
254,453.000,2.010158
255,454.000,-1.127524
256,455.000,-2.233331
257,456.000,0.504221
258,457.000,-5.684486
259,458.000,-1.791681
260,459.000,0.788397
261,460.000,-10.018678
262,461.000,2.957934
263,462.000,1.27595
264,463.000,0.181932
265,464.000,8.525799
266,465.000,0.725843
267,466.000,4.432714
268,467.000,7.892925
269,468.000,6.789909
270,469.000,-10.738218
271,470.000,0.31946
272,471.000,4.1795
273,472.000,3.895803
274,473.000,2.278723
275,474.000,12.750987
276,475.000,11.162695
277,476.000,-5.157626
278,477.000,2.411934
279,478.000,8.103167
280,479.000,3.603055
281,480.000,1.760572
282,481.000,-0.459089
283,482.000,-1.152629
284,483.000,-1.391665
285,484.000,-0.475489
286,485.000,-3.221071
287,486.000,-3.62192
288,487.000,-2.142631
289,488.000,14.163992
290,489.000,9.421891
291,490.000,6.004007
